Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2617056461.13867,20.0333489281559,1.39613361326697,1.38317095609917,,9.29,3603566791.90508,177927548.0,7624497991.96787,72266682.3486713,3903614457.83133,33.3067729083665,1403968816.44224,3416135128.7503,5124852350.57879,1403968816.44224,6.85,9.29113455487692,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,289840225.994747,12.720910168474,331498542.883813,Austria,331498542.883813,338570511.798668,FY-5
XL.V,129520.0,0.210702075216665,,,,,1528210.14152818,7252943.0,507584.0,1661081.0,16147016.0,,14154006.0,-15639432.0,-1485426.0,14154010.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,6370.0,23.74702,-141102.0,Canada,-141102.0,2502.0,FY-5
ERF.TO,709551395.0,9.78770772044208,0.93781,1.24297,0.92104,18.5,2369887344.31899,242129000.0,2103706766.31947,29830068.99865,830931859.74398,12.2503143486442,534610002.38531,1272774906.5755,1807384908.9608,534609888.0,-5.7,15.4738836597529,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,193227404.11909,24.28755,180949873.52488,Canada,180949873.52488,364017147.20495,FY-5
WFRD.OQ,5699000000.0,,-0.53636,-0.19611,0.23501,-165.95,4138839045.33,993000000.0,9747000000.0,,10318000000.0,,7689000000.0,-626000000.0,7118000000.0,7689000000.0,2.94,-413.419913419913,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,801000000.0,16.4794,-382000000.0,United States of America,-382000000.0,484000000.0,FY-5
EOG.N,11307416000.0,98.504795087,3.86117,4.49905,5.6192,4.28,62395637109.2999,578476807.0,29833078000.0,274372000.0,13549805000.0,101.198445288424,6387071000.0,16283273000.0,22670344000.0,6387071000.0,,2.52820648003126,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,3409387000.0,21.51151,1484910000.0,United States of America,1484910000.0,4124242000.0,FY-5
1313.TW,1705890533.34232,0.569893986447306,0.049032071163219,,,11.809,760288342.094262,1297160940.2794,1517429000.06743,12163671.2927717,800555357.022453,50.3564940939109,613422459.712764,716873643.044973,1330296102.75774,613422459.712764,,11.8087908054878,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,41787879.0074137,20.57891,65622390.5034043,Taiwan,65622390.5034043,112893155.185332,FY-5
EPGRQ.PK,,0.0001,,,,-87.26,1570.8591,4882987.0,108946000.0,1510000.0,98729000.0,,5607000.0,10220000.0,15827000.0,46465650.0,,-47.0902612826603,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,658000.0,,-3640000.0,United States of America,-3640000.0,111000.0,FY-5
CAMB.BR,259714974.628423,27.2789433907943,,,,,40918415.0861913,1500000.0,86578855.8198678,766188.889040503,57090246.0383153,21.4041095890411,22755245.2585742,29488609.7815525,52243855.0401267,22755245.2585742,,32.0226644428705,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,3038763.89768424,24.10033,15050300.3307396,Belgium,15050300.3307396,3650132.90796582,FY-5
EQT.N,2700999000.0,30.98394664,2.26649,2.32302,4.75803,2.88,15125487752.64,264320000.0,29522604000.0,167971000.0,11107991000.0,,5997329000.0,13319618000.0,24411942000.0,5997329000.0,15.0,-1.74895602943477,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,1088499000.0,22.020485,151931000.0,United States of America,151931000.0,3949700000.0,FY-5
RECT.BR,1361971425.48674,9.27292139009849,0.940677966101695,1.107234094817,,12.05,507936852.496971,54449557.0,875903600.004799,13265916.4726349,561864660.93257,50.3943419897127,170542579.863485,314038939.072228,484581518.935713,170542579.863485,,9.3229705784312,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,34955390.4362844,19.38025,59732221.3982505,Belgium,59732221.3982505,72533678.2346087,FY-5
