Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
NEE.N,18442000000.0,60.54,2.27236,2.46668,2.66483,11.42,118361972670.48,,,,,,,,,42583000000.0,8.1445,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,15.1021176811115,,United States of America,,,FY-3
EGAB.PA,807793000.0,150.214111158442,,,,,675963500.21299,,,,,,,,,67188000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,18.38104,,Gabon,,,FY-3
BTKW.KL,3834071923.53644,4.26510149180729,0.162155688622754,0.191137724550898,,2.903,1859375260.45487,,,,,,,,,1678335722.81959,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.98788,,Malaysia,,,FY-3
0002.HK,10490243902.439,10.5134788189987,0.601008455113483,0.627501571701672,0.65485431287769,10.369,26561784554.9422,,,,,,,,,6732734274.71117,-1.594,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,19.751060057425,,Hong Kong,,,FY-3
0135.HK,14621793214.3986,0.627251101412067,0.110603178235807,0.121712700070087,0.132380533359826,13.49,7647311392.9448,,,,,,,,,5044241431.81361,,,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,,28.5309,,Hong Kong,,,FY-3
FPE3_p.DE,2883214133.57846,49.4457507557944,1.93247005503399,2.0834142656739,2.48949710725412,15.119,6545342066.95778,,,,,,,,,29146021.568056,-1.054,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,28.07571,,Germany,,,FY-3
WWGG.F,2173396408.31334,1209.27107826671,,,,,4156869331.54182,,,,,,,,,196959845.750286,,,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,,,,Germany,,,FY-3
0003.HK,5215417201.54044,1.77214249589217,0.057412180098451,0.060941728305972,0.060077059869591,11.0,33067945462.6033,,,,,,,,,5051142490.37227,7.702,,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,,22.00713,,Hong Kong,,,FY-3
1314.TW,990474238.523521,0.321635547828413,,,,2.589,928868610.585442,,,,,,,,,558877963.154903,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.09463,,Taiwan,,,FY-3
0154.HK,177678177.150193,0.082156611039795,,,,-40.75,123264505.263157,,,,,,,,,402322849.807445,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,12.857854161616,,Hong Kong,,,FY-3
