Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2469562568.11071,21.9834263653577,1.52575734634692,1.63058037014174,,4.66,3954343605.0852,,,,,,,,,1445177468.68372,-7.9,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,12.720910168474,,Austria,,,FY-2
XL.V,1496050.0,0.21209740769835,,,,,1538330.40848389,,,,,,,,,31574310.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-2
ERF.TO,553739000.0,3.12647289866457,0.69353,0.80454,1.0807,,695789040.062843,,,,,,,,,385400000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,24.28755,,Canada,,,FY-2
WFRD.OQ,3685000000.0,,-4.669,,,-26.25,420104136.0,,,,,,,,,2614000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,16.4794,,United States of America,,,FY-2
EOG.N,11078931000.0,45.523437411,4.0158,4.34939,5.23784,4.05,29093083052.1499,,,,,,,,,5816405000.0,29.303,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.51151,,United States of America,,,FY-2
1313.TW,1847438610.86376,0.683882457702582,0.060617306169462,,,9.376,911169155.989314,,,,,,,,,508427319.67943,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.57891,,Taiwan,,,FY-2
EPGRQ.PK,,0.0022,,,,-87.26,34558.9002,,,,,,,,,46465650.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-2
CAMB.BR,203892281.387396,29.3926738760364,,,,,43966780.6546165,,,,,,,,,12539081.5828041,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.10033,,Belgium,,,FY-2
EQT.N,2658629000.0,12.71,0.3934,0.57823,-0.06084,-0.53,3502861091.17,,,,,,,,,4925466000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.020485,,United States of America,,,FY-2
RECT.BR,753398876.404494,13.0923302393747,0.875214215394339,1.15132934247837,1.16159161757559,23.92,729804717.147044,,,,,,,,,102779677.576942,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.38025,,Belgium,,,FY-2
NEU.N,2010931000.0,398.29,23.42,25.82,,,4349880024.81,,,,,,,,,611067000.0,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,21.20364,,United States of America,,,FY-2
FLOB.BR,456695163.654128,415.2418172936,27.223912437425,35.9995636416528,,,376861846.604787,,,,,,,,,190966047.874939,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,30.74400391804,,Belgium,,,FY-2
SOAC.BR,-371275036.638984,137.396189545677,,,,,2936848085.61309,,,,,,,,,241084513.922814,11.0,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.38025,,Belgium,,,FY-2
SOLB.BR,11863702979.9707,118.319491939424,8.16889672789198,9.58220411142197,9.73081133682034,8.28,12527243749.487,,,,,,,,,4286761113.82511,-7.91,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.38025,,Belgium,,,FY-2
SPMI.MI,9036394723.98632,6.80523554356112,-0.192428983672028,0.218424673379683,0.31534265380586,-30.829,2741361293.43816,,,,,,,,,4220810942.84319,-4.55,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,28.47653,,Italy,,,FY-2
TESB.BR,2121763556.42404,39.8754274548119,3.90003114294612,4.25094027741178,,11.49,1720823234.42843,,,,,,,,,551172447.484123,,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,20.89424,,Belgium,,,FY-2
BOOM.OQ,229161000.0,43.25,0.60796,2.45123,,,638963433.25,,,,,,,,,11264000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,32.6807210896205,,United States of America,,,FY-2
XOM.N,178574000000.0,41.22,1.98492,3.20553,3.72845,-0.81,174287810179.08,,,,,,,,,67779000000.0,13.955,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,,28.006675,,United States of America,,,FY-2
XXFPL.PK,2785000.0,0.01,,,,,22342.62,,,,,,,,,20191000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,,,,United States of America,,,FY-2
NEE.N,17997000000.0,77.15,2.50564,2.701,2.89046,12.38,151142568666.6,,,,,,,,,48091000000.0,8.7538,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,15.1021176811115,,United States of America,,,FY-2
EGAB.PA,434933000.0,161.211529066927,,,,,725451880.801172,,,,,,,,,23046000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,18.38104,,Gabon,,,FY-2
BTKW.KL,3871448109.80014,4.45273631840796,,,,,1779026066.59203,,,,,,,,,1704620515.29015,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.98788,,Malaysia,,,FY-2
0002.HK,9883776427.64083,9.24886807786076,0.604541292094979,0.619640669134433,0.623605432525505,10.67,23366808027.1661,,,,,,,,,7038814287.37278,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,19.751060057425,,Hong Kong,,,FY-2
