Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2848004544.04068,15.9217645759717,1.58792380073049,1.62987956387731,,4.1,2863981568.946,,,,,,,,,3203142961.47032,0.9,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,12.720910168474,,Austria,,,FY-9
XL.V,263280.0,0.047156465151372,,,,,341475.65913371,,,,,,,,,9009600.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-9
ERF.TO,1272509353.0,18.1732580037665,0.62817,0.90717,1.5639,7.71,3679334771.75141,,,,,,,,,965441103.0,38.9,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,24.28755,,Canada,,,FY-9
WFRD.OQ,15263000000.0,,1.05667,1.48517,1.90884,5.46,11917931152.32,,,,,,,,,8714000000.0,61.65667,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,16.4794,,United States of America,,,FY-9
EOG.N,14289553000.0,76.605712202,4.61865,5.10031,6.89902,15.65,45816073815.84,,,,,,,,,5913221000.0,15.75,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.51151,,United States of America,,,FY-9
1313.TW,1730642495.38823,0.425153669864162,,,,3.24,560794285.887975,,,,,,,,,686763374.140533,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.57891,,Taiwan,,,FY-9
EPGRQ.PK,,0.0011,,,,-87.26,17279.4501,,,,,,,,,46465650.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-9
CAMB.BR,188944937.735382,18.4546157243816,,,,,27565494.6807048,,,,,,,,,24093520.6311681,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.10033,,Belgium,,,FY-9
EQT.N,1793354000.0,48.87102476,3.41433,4.53005,6.89068,9.23,13531308336.64,,,,,,,,,2501516000.0,42.18,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.02326,,United States of America,,,FY-9
RECT.BR,1342555735.76711,6.44866920031888,0.691344337685801,0.98805163449799,1.16345867107653,5.84,224006397.283998,,,,,,,,,226812271.490227,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.32466,,Belgium,,,FY-9
NEU.N,2280355000.0,334.15,,,,37.21,4430964664.9,,,,,,,,,349467000.0,12.7,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,21.20364,,United States of America,,,FY-9
FLOB.BR,356311680.457432,95.7928445229682,,,,-20.99,86573242.4334057,,,,,,,,,99358110.8942464,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,30.743206952005,,Belgium,,,FY-9
SOAC.BR,114083074.470132,150.23672130742,,,,,2553950460.04343,,,,,,,,,207548725.843253,11.0,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.32466,,Belgium,,,FY-9
SOLB.BR,13951122962.3113,148.557921213954,9.92265473159782,11.895650269634,12.0087049355342,5.72,13388446401.5724,,,,,,,,,4926189625.3127,11.9,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.32466,,Belgium,,,FY-9
