Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2386982129.48579,11.4754098360656,0.910406457822891,0.912167483374169,0.975973506157406,7.3,2064178383.60655,177820083.0,7265777797.64632,104644548.186806,4371067425.14836,50.50641458474,1890765224.58285,2609273891.61461,4785475597.08082,1890765224.58285,,6.26228884331593,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,299000833.073825,12.720910168474,205957930.734295,Austria,205957930.734295,370678328.209464,FY-7
XL.V,144940.0,0.101331789229878,,,,,733732.220536166,7252943.0,567883.0,1295813.0,12495030.0,,10645585.0,-11927147.0,-1281562.0,10645590.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,13307.0,23.74702,-150526.0,Canada,-150526.0,6230.0,FY-7
ERF.TO,691713053.0,3.4323289255004,-0.48662,-0.27194,0.00729,-97.63,708763673.133897,206539000.0,1865188236.14423,52003437.13686,1216475178.8424,,884227184.04509,648713057.30183,1532940241.34692,884227718.0,,-93.0516862721903,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,396940946.06552,24.28755,-187698634.3138,Canada,-187698634.3138,434311178.15755,FY-7
WFRD.OQ,9433000000.0,,-0.62766,-0.18749,0.33398,-4.51,6536168630.55,779000000.0,14760000000.0,,10395000000.0,,7434000000.0,4304000000.0,11799000000.0,7434000000.0,-36.1545,-35.251287515539,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,1200000000.0,16.4794,-399000000.0,United States of America,-399000000.0,690000000.0,FY-7
EOG.N,8766226000.0,64.620094933,-1.23586,0.70218,2.41257,0.22,38913772192.47,549858644.0,26970470000.0,237393000.0,14027435000.0,,6655490000.0,12943035000.0,19598525000.0,6655490000.0,-38.78,-29.5183424297087,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,3313644000.0,21.51151,-125659000.0,United States of America,-125659000.0,5013163000.0,FY-7
1313.TW,1330122322.10879,0.253691959317385,,,,,338718119.663263,1309382863.01747,1126547402.1027,10445331.0818879,578072436.385799,,463795703.184519,548474965.716898,1012270668.90142,463795703.184519,,-0.936699899566753,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,48285647.2407637,20.57891,-9428931.14727984,Taiwan,-9428931.14727984,70497396.0846157,FY-7
EPGRQ.PK,,1e-05,,,,-87.26,157.08591,3121566.771,92959000.0,284000.0,86773000.0,0.0,2688000.0,6185000.0,8873000.0,46465650.0,,21.4400605544517,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,545000.0,,-647000.0,United States of America,-647000.0,51000.0,FY-7
CAMB.BR,178162704.57532,12.3497267759563,,,,,18407706.2586201,1500000.0,58914434.0309076,556166.252960508,33415145.3611494,0.0,13115626.459313,25499288.6697582,38614915.1290711,13115626.459313,,4.14505523123332,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,3242637.9738476,24.10033,2694242.50685659,Belgium,2694242.50685659,2928476.1982232,FY-7
EQT.N,1954000000.0,28.37654846,-1.17991,-0.34088,3.57047,2.37,7951910200.0,152554000.0,13976172000.0,146531000.0,5948130000.0,21.497927698395,3092343000.0,5077791000.0,11120385000.0,3092343000.0,-36.28,1.76326412649476,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,819216000.0,22.02326,299846000.0,United States of America,299846000.0,2451148000.0,FY-7
RECT.BR,1122665913.70641,6.0816020677447,,0.56128837269548,,5.349,326774258.316047,53404808.0,734842149.846331,12050268.8141443,464471497.920309,165.582767334361,159993918.397932,270370651.926022,430364570.323954,159993918.397932,,2.18874887683891,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,31811377.5346035,19.32466,26291899.27169,Belgium,26291899.27169,37565089.4888835,FY-7
