Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2299964038.47883,11.7798570227082,0.956413183811526,1.02256698071937,1.20009851554978,6.8,2118941857.03322,,,,,,,,,1762002157.69127,-0.6,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,12.720910168474,,Austria,,,FY-6
XL.V,102100.0,0.059568131049888,,,,,432044.25912137,,,,,,,,,12151820.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-6
ERF.TO,545522450.0,9.48622486969471,0.3324,0.54589,1.31268,-44.87,2281275141.81682,,,,,,,,,572468633.0,152.191,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,24.28755,,Canada,,,FY-6
WFRD.OQ,5749000000.0,,-0.79454,-0.1376,0.33488,-36.23,4895083982.46,,,,,,,,,7582000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,16.4794,,United States of America,,,FY-6
EOG.N,7444797000.0,92.288340129,0.79244,2.00945,5.16104,-6.63,58279872762.2999,,,,,,,,,6986358000.0,243.048,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.51151,,United States of America,,,FY-6
1313.TW,1306822405.12963,0.338030162427942,0.033642721325212,,,5.981,451322703.76707,,,,,,,,,425173309.904744,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.57891,,Taiwan,,,FY-6
EPGRQ.PK,,1e-05,,,,-87.26,157.08591,,,,,,,,,46465650.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-6
CAMB.BR,179620479.394449,13.5618166526493,,,,,20342724.9789739,,,,,,,,,20421572.7502103,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.10033,,Belgium,,,FY-6
EQT.N,1636045000.0,35.5999668,0.98697,1.19286,2.78034,-0.99,11298373200.0,,,,,,,,,3289459000.0,-1.065,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.02326,,United States of America,,,FY-6
RECT.BR,1102105761.14382,6.97014297729184,0.591078930147136,0.672699260030814,0.705249224225854,8.56,376823494.112699,,,,,,,,,147139402.859546,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.32466,,Belgium,,,FY-6
NEU.N,2049451000.0,423.84,19.25265,18.84667,19.669,47.83,5021933511.36,,,,,,,,,507275000.0,5.8,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,21.20364,,United States of America,,,FY-6
FLOB.BR,323441968.04037,131.928090832632,,,,6.78,119734241.253153,,,,,,,,,81317283.431455,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,30.743206952005,,Belgium,,,FY-6
SOAC.BR,206055508.83095,120.164003364172,,,,,2568509537.32127,,,,,,,,,198696383.515559,11.0,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.32466,,Belgium,,,FY-6
SOLB.BR,10560344827.5862,117.062657695542,9.18363834123573,9.88167523786392,11.0427996663041,8.845,12394174644.2388,,,,,,,,,5703322119.42809,12.5184,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.32466,,Belgium,,,FY-6
SPMI.MI,10521446593.7763,14.1185026482338,0.532815435604062,0.723607270270841,1.20489383985528,5.42,5686760582.53784,,,,,,,,,3574432296.0471,-1.7,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,28.47653,,Italy,,,FY-6
TESB.BR,1671677880.57191,36.5853658536585,2.59748460880493,2.87097796128705,2.79929692077339,18.582,1575690878.04878,,,,,,,,,268923465.09672,,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,20.89424,,Belgium,,,FY-6
BOOM.OQ,158575000.0,15.85,0.29,0.8,,,229543836.85,,,,,,,,,15732000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,32.681847562298,,United States of America,,,FY-6
XOM.N,200628000000.0,90.26,4.16797,4.62266,5.15542,5.84,374280539604.76,,,,,,,,,42762000000.0,13.233,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,,28.006675,,United States of America,,,FY-6
XXFPL.PK,2785000.0,0.0051,,,,,11394.7362,,,,,,,,,20191000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,,,,United States of America,,,FY-6
NEE.N,15679000000.0,29.865,1.64644,1.76649,1.87304,12.29,55819832532.42,,,,,,,,,30840000000.0,7.28,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,15.103156811219,,United States of America,,,FY-6
EGAB.PA,784146000.0,164.055929352397,,,,,738251682.085786,,,,,,,,,293716000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,18.176775,,Gabon,,,FY-6
BTKW.KL,4106788722.16844,4.10302151856394,,,,,1788716334.03946,,,,,,,,,1219755566.31171,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.98788,,Malaysia,,,FY-6
0002.HK,9728401748.75227,9.18868727511897,0.650264775230954,0.673987605169237,0.604123020627988,12.907,23214764203.7761,,,,,,,,,6660476393.13396,-5.342,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,19.751060057425,,Hong Kong,,,FY-6
0135.HK,10139709059.4844,0.531235449633097,0.071503651330594,0.081229402285167,0.089356697977613,1.464,6038078404.63754,,,,,,,,,5208267319.60248,3.47,,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,,28.5309,,Hong Kong,,,FY-6
