Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EVNV.VI,2494379184.03436,12.155985607313,1.10658476658477,1.22203483720071,1.31238470205153,-9.5,2186599265.77846,,,,,,,,,2859163824.68107,16.7,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,12.720910168474,,Austria,,,FY-8
XL.V,286590.0,0.111895334825271,,,,,811570.485453607,,,,,,,,,9970390.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-8
ERF.TO,1381948826.0,9.63160612842142,0.18075,-0.09678,0.01601,14.39,1978659585.28145,,,,,,,,,978593170.0,0.25,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,24.28755,,Canada,,,FY-8
WFRD.OQ,14911000000.0,,0.52446,0.71501,1.40663,10.3,8860391800.25,,,,,,,,,7525000000.0,29.5975,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,16.4794,,United States of America,,,FY-8
EOG.N,17527750000.0,84.045375625,0.55724,2.70231,4.29657,16.4,50455226746.9799,,,,,,,,,5909933000.0,-7.1,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.51151,,United States of America,,,FY-8
1313.TW,1685075838.07717,0.3134941757432,0.020666773010049,,,,414591559.060721,,,,,,,,,644565812.776724,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,20.57891,,Taiwan,,,FY-8
EPGRQ.PK,,1e-05,,,,-87.26,157.08591,,,,,,,,,46465650.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-8
CAMB.BR,181693582.531906,13.00153102141,,,,,19415714.0264924,,,,,,,,,24167422.730297,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,24.10033,,Belgium,,,FY-8
EQT.N,2363354000.0,41.2066894,1.34729,2.55642,5.10853,12.04,11469004200.0,,,,,,,,,2959353000.0,5.40333,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.02326,,United States of America,,,FY-8
RECT.BR,1189580838.32335,5.18961868263473,0.363702219656582,0.598684731796213,0.843294541595192,4.306,184735486.467065,,,,,,,,,223977499.546362,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.32466,,Belgium,,,FY-8
NEU.N,2335405000.0,403.53,,18.84971,20.12343,50.35,5022481668.45,,,,,,,,,363526000.0,5.7,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,21.20364,,United States of America,,,FY-8
