Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,,11.0233463229666,FY-16
GE.N,5440101010,18.4,17.5169790817713,FY-16
MMM.N,5440101010,34.23,37.8402279650192,FY-16
TECK.N,5120108010,34.2,41.5443063969607,FY-16
WMT.N,5430102010,19.56,21.2455553231542,FY-16
CLB.N,5220304024,115.07,57.786803591839,FY-16
BN.N,5510202010,21.69,,FY-16
XOM.N,5010203010,34.336,33.9811574221374,FY-16
CU.TO,5910401010,13.84,15.8172463831846,FY-16
SAP.TO,5410202010,15.56,16.2467753182441,FY-16
IGM.TO,5510202010,,22.5036347590165,FY-16
L.TO,5430102010,13.68,-3.86686677849386,FY-16
WN.TO,5430102010,12.32,1.0840108401084,FY-16
MDLZ.OQ,5410202010,11.24,9.72690376281214,FY-16
TA.TO,5910102010,9.75,1.82744827306138,FY-16
CP.TO,5240503010,12.79,17.2348115923208,FY-16
TRP.TO,5010303010,12.06,14.1007580331388,FY-16
IMO.TO,5010203010,37.04,43.3649120307714,FY-16
ENB.TO,5010303010,12.86,13.8602042769789,FY-16
HKLD.SI,6010101010,2.947,23.1639106540097,FY-16
CNR.TO,5240503010,18.42,21.8843391181251,FY-16
SU.TO,5010201010,25.9,39.7243778431897,FY-16
HON.OQ,5440101010,21.43,20.2909872082804,FY-16
ADM.N,5410202010,,20.5287779417547,FY-16
CSX.OQ,5240503011,11.57,15.5066287878788,FY-16
CPB.N,5410202010,59.54,51.7140058765916,FY-16
FLR.N,5220102010,15.23,15.4934990430213,FY-16
PEG.N,5910401010,13.63,10.5411543582113,FY-16
ROK.N,5210203010,34.26,31.1007921332969,FY-16
UNP.N,5240503011,10.52,11.0686102208898,FY-16
AES.N,5910101010,23.01,8.2335003267262,FY-16
ATD.TO,5010203012,17.901,18.6037700104196,FY-16
APD.N,5110101015,17.76,19.570808860225,FY-16
AB.N,5510202011,69.58,22.1989225534949,FY-16
ABM.N,5220304010,8.63,16.5800704501594,FY-16
AEP.OQ,5910101010,11.61,10.7243243243243,FY-16
ARE.TO,5220102010,7.49,,FY-16
ARCH.N,5010101010,,21.1955223699139,FY-16
MERC.OQ,5130102013,31.65,37.3883407729855,FY-16
ACOx.TO,5910401010,14.28,15.0506512301013,FY-16
ATO.N,5910201010,8.57,9.32478695862476,FY-16
BKH.N,5910401010,,7.22889359809539,FY-16
BLX.TO,5910101023,8.18,8.47876421190863,FY-16
MTZ.N,5220102014,12.77,16.5388570225102,FY-16
CMS.N,5910401010,11.37,-6.32133450395083,FY-16
TFII.TO,5240503012,26.07,27.7164805793319,FY-16
CWT.N,5910301010,6.76,7.56393149500999,FY-16
CASY.OQ,5430102012,10.55,11.2996072861115,FY-16
CPSH.OQ,5210203010,,51.3419913419913,FY-16
CPK.N,5910201011,9.45,10.9714204043714,FY-16
CTAS.OQ,5220304010,15.43,15.7136448931758,FY-16
CLH.N,5220301010,26.79,32.1275991718656,FY-16
CLF.N,5120102010,38.64,39.2443108630313,FY-16
CMC.N,5120102010,22.95,25.8988518317994,FY-16
CAG.N,5410202010,15.82,10.4322585536505,FY-16
ED.N,5910101010,9.21,9.66435940969048,FY-16
CXT.N,5210203010,18.06,19.8707217011574,FY-16
VVI.N,5220304026,,12.4139549058402,FY-16
D.N,5910101010,,13.1274131274131,FY-16
DCI.N,5220301011,24.13,25.7306017925736,FY-16
DUK.N,5910101010,8.24,9.49201946357631,FY-16
DY.N,5220102023,,10.1193402119206,FY-16
EMR.N,5210203010,24.35,25.1565638662413,FY-16
EMPa.TO,5430102010,10.18,10.0285623611552,FY-16
ETR.N,5910101010,,14.2115486376091,FY-16
FMC.N,5110102010,21.22,14.6331556232546,FY-16
RUS.TO,5120102014,17.74,22.1504684653634,FY-16
ARG.TO,5120105012,,45.2423181462201,FY-16
FI.N,5220304027,18.55,15.9452464767138,FY-16
FLO.N,5410202012,13.27,13.8224795718885,FY-16
FTS.TO,5910101010,10.0,11.8100130432355,FY-16
FCX.N,5120105010,61.87,133.717721411077,FY-16
GIS.N,5410202010,21.51,20.6293391037778,FY-16
NVRI.N,5220301012,17.13,17.4096468812577,FY-16
HE.N,5910101010,9.86,9.34317241021338,FY-16
