Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,4.58,5.3112001599071,FY-5
GE.N,5440101010,13.0,-6.24511744673751,FY-5
MMM.N,5440101010,51.17,51.4157632313252,FY-5
TECK.N,5120108010,13.95,13.7344810017966,FY-5
WMT.N,5430102010,17.07,12.4136779150366,FY-5
CLB.N,5220304024,58.18,54.7025975867494,FY-5
BN.N,5510202010,14.22,5.65831024038152,FY-5
XOM.N,5010203010,8.61,7.75633568348201,FY-5
CU.TO,5910401010,12.64,9.65964343598055,FY-5
SAP.TO,5410202010,15.44,18.6939455737561,FY-5
IGM.TO,5510202010,15.54,12.9838291828826,FY-5
L.TO,5430102010,13.83,9.76394849785408,FY-5
WN.TO,5430102010,11.55,10.2673492605233,FY-5
MDLZ.OQ,5410202010,12.76,10.8845665135373,FY-5
TA.TO,5910102010,-5.56,-7.67211790833838,FY-5
CP.TO,5240503010,30.12,43.4782608695652,FY-5
TRP.TO,5010303010,10.91,10.6106057673698,FY-5
IMO.TO,5010203010,4.27,1.981559365901,FY-5
ENB.TO,5010303010,9.24,1.50033323517104,FY-5
HKLD.SI,6010101010,2.849,16.4784651917776,FY-5
CNR.TO,5240503010,23.99,46.0234308029336,FY-5
SU.TO,5010201010,7.08,9.9052359103685,FY-5
HON.OQ,5440101010,29.69,25.4523152407237,FY-5
ADM.N,5410202010,7.84,6.85340697739954,FY-5
CSX.OQ,5240503011,15.9,14.8878107944209,FY-5
CPB.N,5410202010,57.85,39.8533822059314,FY-5
FLR.N,5220102010,7.06,0.800896667816518,FY-5
PEG.N,5910401010,11.03,6.14597620194981,FY-5
ROK.N,5210203010,48.15,50.1413188199295,FY-5
UNP.N,5240503011,47.8,21.6575868536215,FY-5
AES.N,5910101010,38.91,-17.7980604677695,FY-5
ATD.TO,5010203012,21.73,20.3728813559322,FY-5
APD.N,5110101015,15.71,16.1614232442214,FY-5
AB.N,5510202011,14.2,15.1303787751274,FY-5
ABM.N,5220304010,8.67,6.64765714772099,FY-5
AEP.OQ,5910101010,10.13,10.5664796237103,FY-5
ARE.TO,5220102010,3.7,3.73297367336745,FY-5
ARCH.N,5010101010,34.06,80.8316376884856,FY-5
MERC.OQ,5130102013,17.46,21.8114980307466,FY-5
ACOx.TO,5910401010,9.39,6.25624910727039,FY-5
ATO.N,5910201010,10.25,10.2369732103749,FY-5
BKH.N,5910401010,11.16,30.276268626943,FY-5
BLX.TO,5910101023,3.54,3.72565622353937,FY-5
MTZ.N,5220102014,19.14,17.9725639311052,FY-5
CMS.N,5910401010,14.03,13.9866574649183,FY-5
TFII.TO,5240503012,13.4,5.70435844432235,FY-5
CWT.N,5910301010,9.93,26.487239197699,FY-5
CASY.OQ,5430102012,11.61,11.7723044600999,FY-5
CPSH.OQ,5210203010,17.55,-10.8578562553797,FY-5
CPK.N,5910201011,,9.40067354512109,FY-5
CTAS.OQ,5220304010,24.48,22.9612098841976,FY-5
CLH.N,5220301010,1.02,0.681117194138643,FY-5
CLF.N,5120102010,-13.14,,FY-5
CMC.N,5120102010,12.17,10.1056820058642,FY-5
CAG.N,5410202010,22.39,14.6289291769923,FY-5
ED.N,5910101010,8.51,8.52066226948445,FY-5
CXT.N,5210203010,21.94,20.8793868495361,FY-5
VVI.N,5220304026,,18.65894624952,FY-5
D.N,5910101010,14.42,13.5319872743881,FY-5
DCI.N,5220301011,,31.0492631084493,FY-5
DUK.N,5910101010,7.73,7.13526313246025,FY-5
DY.N,5220102023,26.3,17.7810379771773,FY-5
EMR.N,5210203010,24.24,22.8021511463346,FY-5
EMPa.TO,5430102010,9.37,4.3419082618756,FY-5
ETR.N,5910101010,15.78,12.0940949056396,FY-5
FMC.N,5110102010,15.67,9.91486151524949,FY-5
RUS.TO,5120102014,,14.9869862599116,FY-5
ARG.TO,5120105012,,8.58787549784201,FY-5
FI.N,5220304027,41.84,36.3050075872534,FY-5
FLO.N,5410202012,,8.28688082569713,FY-5
FTS.TO,5910101010,7.11,8.58313728466267,FY-5
FCX.N,5120105010,24.29,19.3612774451098,FY-5
GIS.N,5410202010,34.79,30.7097143948801,FY-5
NVRI.N,5220301012,45.59,32.2404330614203,FY-5
HE.N,5910101010,8.5,8.58362316915934,FY-5
HCSG.OQ,5220304016,23.88,23.8837889858337,FY-5
HTLD.OQ,5240503012,7.85,7.84343124433696,FY-5
HSY.N,5410202010,119.56,88.2299138134745,FY-5
DINO.N,5010203011,8.03,9.81368996688593,FY-5
HRL.N,5410202016,18.05,18.0465228098342,FY-5
HUBB.N,5210203010,18.89,22.0204524325999,FY-5
JBHT.OQ,5240503012,24.43,61.195505236698,FY-5
GCARSOA1.MX,5440101010,,14.7399158078217,FY-5
IDA.N,5910101010,,9.72053832539099,FY-5
ITW.N,5440101010,53.06,53.0603009390203,FY-5
IFF.N,5410202026,28.2,26.2118759828736,FY-5
WKC.N,5010203013,6.94,-1.45324924595558,FY-5
EME.N,5220102010,15.06,11.7563285816277,FY-5
J.N,5220304010,9.02,6.75729396288868,FY-5
K.N,5410202010,68.39,61.7416829745597,FY-5
KR.N,5430102010,27.32,14.2050040355125,FY-5
SR.N,5910201010,8.65,7.2338521675654,FY-5
MDU.N,5910401010,,10.346729490198,FY-5
MGEE.OQ,5910101010,,10.1054733653958,FY-5
MRTN.OQ,5240503012,,7.01758759002034,FY-5
MKC.N,5410202010,26.12,22.8066403917353,FY-5
MGRC.OQ,5220304018,11.2,11.1968695799867,FY-5
MRU.TO,5430102010,14.17,40.1337401653047,FY-5
NI.N,5910401010,9.47,6.90238699605544,FY-5
NFG.N,5910201010,,15.8207008114384,FY-5
NEN.A,6010101010,12.11,,FY-5
NJR.N,5910201011,12.43,10.9906068239714,FY-5
AGR.N,5910101010,4.51,0.351156165109653,FY-5
NSC.N,5240503011,13.36,14.3840378197998,FY-5
ES.N,5910101010,9.07,9.06502511976341,FY-5
XEL.OQ,5910101010,10.8,10.4200735642956,FY-5
NTRS.OQ,5510202010,10.91,11.8237792631128,FY-5
NWN.N,5910201011,8.09,8.62338092718574,FY-5
NWE.OQ,5910401010,9.24,9.36381880222448,FY-5
NUE.N,5120102010,13.85,13.7065501503379,FY-5
MX.TO,5110101010,26.41,20.411615577097,FY-5
OLN.N,5110101010,5.66,4.44028885750094,FY-5
PPG.N,5110101012,29.14,28.9483821263482,FY-5
PCG.N,5910101010,10.04,9.65016146393972,FY-5
