Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
OLN.N,5110101010,64.37,63.2074092127711,FY-1
PPG.N,5110101012,27.039,23.7160751565762,FY-1
PCG.N,5910101010,10.189,-0.486038311255122,FY-1
PAAS.TO,5120101011,6.18,3.72283688057083,FY-1
PKI.TO,5010203010,4.99,4.98842890203137,FY-1
EXC.OQ,5910101010,8.25,4.4581802980083,FY-1
WTRG.N,5910301010,8.75,8.50999363924604,FY-1
PPC.OQ,5410202016,21.679,1.20602835217039,FY-1
TROW.OQ,5510202010,35.81,35.8930524755375,FY-1
PNM.N,5910101010,9.96,9.28762204501838,FY-1
KWR.N,5110101010,9.07,8.92941427610134,FY-1
RPM.N,5110101012,25.469,26.1881518241071,FY-1
RRX.N,5210203010,5.8,5.15121601005115,FY-1
ROL.N,5220304020,34.659,34.7431545808026,FY-1
R.N,5240503010,20.379,20.5453524020862,FY-1
EIX.N,5910101010,10.939,5.42937873314496,FY-1
SEIC.OQ,5510202014,30.359,30.3606273276918,FY-1
SJW.N,5910301011,6.2,6.19753555784532,FY-1
ATRL.TO,5220102010,19.629,3.62279221070385,FY-1
FSZ.TO,5510202010,41.84,16.6496091874904,FY-1
SVT.A,5210203010,12.82,11.7361040765234,FY-1
SHW.N,5110101012,71.9,61.6534391534392,FY-1
CPLE6.SA,5910101010,18.03,18.0065262015256,FY-1
AOS.N,5210203015,26.469,26.4692297242223,FY-1
SJM.N,5410202010,11.83,6.97636313984889,FY-1
AWR.N,5910301010,14.21,14.176194995556,FY-1
SO.N,5910101010,12.82,8.56999606059521,FY-1
SWX.N,5910201011,7.679,7.13402370285673,FY-1
SYY.N,5430102010,94.18,92.5857433131323,FY-1
TRNS.OQ,5220304010,,14.1143785580513,FY-1
TSN.N,5410202016,16.17,17.3039412157649,FY-1
X.N,5120102010,59.08,65.2391372303845,FY-1
WM.N,5220301010,28.07,24.9176728869374,FY-1
UNF.N,5220304010,6.8,5.45837058104852,FY-1
UTL.N,5910401010,8.6,8.62295473545921,FY-1
URB.TO,5510202011,4.81,21.8038439948073,FY-1
VICR.OQ,5210203010,14.62,14.6238664082364,FY-1
LNT.OQ,5910101010,11.099,11.2861791402637,FY-1
AVA.N,5910401010,7.04,7.04194318515845,FY-1
WSO.N,5210203015,24.219,24.2206403932446,FY-1
WERN.OQ,5240503012,18.57,20.5385734503031,FY-1
WMB.N,5010303010,14.3,13.0957529625465,FY-1
WEC.N,5910101010,12.13,12.1620547259726,FY-1
WOR.N,5120102013,25.859,26.3559046803603,FY-1
FM.TO,5120105012,8.75,8.81029279398528,FY-1
CUPRUM.SN,5510202011,29.567,8.17777873198735,FY-1
ARCB.OQ,5240503010,25.9,24.2960527064392,FY-1
CMIG4.SA,5910101010,20.32,20.3163539668213,FY-1
CMPC.SN,5130102010,6.99,6.99329180750903,FY-1
COPEC.SN,5010203010,16.51,16.5053572555593,FY-1
GGBR4.SA,5120102010,37.78,42.1811890695095,FY-1
CSNA3.SA,5120102010,81.109,81.1065628937826,FY-1
VALE3.SA,5120102011,63.909,70.711924981624,FY-1
WEGE3.SA,5210203010,28.5,28.4959283436803,FY-1
ENAEX.SN,5110101014,14.92,13.853513824115,FY-1
GOAU4.SA,5120102010,,79.3532570311937,FY-1
PETR4.SA,5010201010,23.94,30.6632228464985,FY-1
CS.TO,5120105012,26.969,25.2665992754047,FY-1
AUTLANB.MX,5120105010,1.05,1.05460743868102,FY-1
BIMBOA.MX,5410202012,17.609,17.6057075320445,FY-1
ORBIA.MX,5110101011,25.13,25.1466584364312,FY-1
CEMEXCPO.MX,5120201010,8.439,8.87980419911357,FY-1
ALFAA.MX,5440101010,10.589,10.585016080947,FY-1
PEOLES.MX,5120108010,10.66,10.6639315706442,FY-1
FEMSAUBD.MX,5430102012,11.4,11.3967422638873,FY-1
WT.N,5510202011,15.32,16.5211531317612,FY-1
TKO.TO,5120105010,,10.7922886860288,FY-1
FVI.TO,5120108010,9.58,5.50968671790141,FY-1
NATR.OQ,5410202025,17.899,18.4018521116879,FY-1
COLBUN.SN,5910101010,17.65,17.6469617373761,FY-1
ODFL.OQ,5240503012,29.53,29.5278610980867,FY-1
MMS.N,5220304010,,13.4553256097964,FY-1
CASAGRC1.LM,5410202022,7.113,9.75576618183604,FY-1
AME.N,5210203010,17.609,15.4439628647173,FY-1
VLO.N,5010203010,6.19,4.96360559748597,FY-1
NRG.N,5910101010,82.84,82.8409090909091,FY-1
UGPA3.SA,5010203012,8.679,,FY-1
BACHOCOB.MX,5410202016,10.86,11.1179419777354,FY-1
CHRW.OQ,5240503010,43.27,43.2738993922653,FY-1
PPL.TO,5010303010,7.509,9.22882958604749,FY-1
CWST.OQ,5220301012,11.789,10.4766893661603,FY-1
ALS.TO,5120108010,,11.7325109455456,FY-1
FE.N,5910101010,17.85,15.5731523378582,FY-1
AMG.N,5510202010,28.019,20.3266200750975,FY-1
INGR.N,5410202010,14.939,3.86712940009916,FY-1
URI.N,5220304018,30.489,26.3097949886105,FY-1
AQN.TO,5910401010,8.13,4.78504863064508,FY-1
AAIC.N,5510202010,2.589,-6.23263975933818,FY-1
AEE.N,5910401010,10.619,10.6234574525164,FY-1
PWR.N,5220102010,15.109,10.2777333050494,FY-1
RBA.TO,5220304010,38.512,14.6173096173096,FY-1
FHI.N,5510202011,24.02,23.0505007965299,FY-1
EGIE3.SA,5910102012,19.96,19.9600639166248,FY-1
BTU.N,5010101010,26.76,24.9758490005202,FY-1
WCC.N,5210203020,14.599,11.449899428114,FY-1
SRE.N,5910401010,10.679,5.53422481133325,FY-1
RSG.N,5220301010,15.24,14.7788441716105,FY-1
RAIL3.SA,5240503010,1.011,1.01103370503005,FY-1
EPD.N,5010303010,18.649,18.5243688674874,FY-1
PAA.OQ,5010303010,6.98,5.24664575128496,FY-1
ALA.TO,5910201010,7.11,3.90558668704364,FY-1
TRPL4.SA,5910101010,21.44,,FY-1
CE.N,5110101010,52.649,49.5657809462087,FY-1
BLK.N,5510202010,16.579,16.1724402543302,FY-1
NEE.N,5910101010,13.6,9.69409211151055,FY-1
SAPR4.SA,5910301011,,15.946790362981,FY-1
PX.N,5510202014,27.61,4.03248315952572,FY-1
SPTN.OQ,5430102010,8.039,9.53305778045981,FY-1
BRAP4.SA,5120102011,86.14,86.143770577303,FY-1
NS.N,5010303010,11.439,-30.9400412446412,FY-1
RGP.OQ,5220304010,21.22,19.1383129509469,FY-1
CVERDEC1.LM,5120105012,20.26,20.2591424457085,FY-1
GPN.N,5220304027,9.05,3.64595766914975,FY-1
GDI.TO,5220304016,11.88,11.8782347406524,FY-1
GLNG.OQ,5010303011,12.16,-11.6407496362266,FY-1
XPO.N,5240503010,25.53,4.99219968798752,FY-1
CHE_u.TO,5110101010,-19.899,-47.7260483552695,FY-1
WCN.TO,5220301012,12.23,8.92601939701814,FY-1
HEES.OQ,5220304018,37.859,22.364225510741,FY-1
SAIA.OQ,5240503012,23.219,23.2153064166507,FY-1
CMP.N,5110101010,7.2,-13.6851683348499,FY-1
KEY.TO,5010303010,11.369,,FY-1
FA.OQ,5220304010,14.78,,FY-1
WLK.N,5110101010,28.789,28.6469495642235,FY-1
KUT.V,5220304010,,3.83791257348204,FY-1
BIP.N,5440101010,9.08,10.2234823215477,FY-1
KW.N,6010101010,18.3,22.1209873927323,FY-1
IVZ.N,5510202011,9.42,12.7583964536604,FY-1
VMC.N,5120201010,10.7,10.7235492545932,FY-1
EMA.TO,5910101010,7.48,6.03764650171659,FY-1
CENT.OQ,5410202031,11.91,13.2007453506924,FY-1
VTNR.OQ,5010203010,-73.03,-167.018352707664,FY-1
SUZB3.SA,5130102010,77.34,77.3414106931595,FY-1
USIM5.SA,5120102010,49.54,49.5429625324178,FY-1
SORIANAB.MX,5430102012,6.28,6.27248684328512,FY-1
HERDEZ.MX,5410202010,42.63,10.2912062675492,FY-1
ICHB.MX,5120102010,24.66,22.677193732406,FY-1
LSTR.OQ,5240503012,49.11,49.1070859706084,FY-1
USNA.N,5410202025,27.85,27.846228491803,FY-1
GCC.MX,5120201012,12.05,12.2221627510249,FY-1
PARR.N,5010203011,-39.169,-31.7582533488029,FY-1
SIMECB.MX,5120102010,27.01,24.8166543832101,FY-1
YPFD.BA,5010203010,0.49,0.033879938462431,FY-1
TTEK.OQ,5220301010,19.06,21.769931639312,FY-1
PNW.N,5910101010,10.72,10.0897224131332,FY-1
ENELAM.SN,5910101010,7.08,7.07651869884189,FY-1
RDUS.OQ,5120102013,18.59,18.8723185395892,FY-1
CEPU.BA,5910102010,,-0.772939169295323,FY-1
HAIN.OQ,5410202026,7.33,5.97632202900097,FY-1
MTL.TO,5240503010,8.119,8.11570560904205,FY-1
VBBR3.SA,5010203012,18.899,20.3712013053233,FY-1
MLM.N,5120201010,12.38,11.295670368582,FY-1
MED.N,5410202025,91.2,91.1992660958523,FY-1
CFV.CN,5510202011,12.95,13.1771934710339,FY-1
STN.TO,5220102010,13.73,10.2132207012366,FY-1
EXP.N,5120201012,30.929,30.0292953470066,FY-1
VET.TO,5010201010,76.799,76.7961191985284,FY-1
GRUMAB.MX,5410202010,21.46,21.4418910647301,FY-1
CIX.TO,5510202010,40.039,25.8172593570914,FY-1
GEO.N,5220304010,,7.4562552631565,FY-1
AGUASA.SN,5910301010,11.96,11.9584043034839,FY-1
PAMP.BA,5910101010,17.629,22.5409809074085,FY-1
