Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,7.39,9.5112285336856,FY-9
GE.N,5440101010,13.31,5.95681251774504,FY-9
MMM.N,5440101010,25.89,26.5644154289135,FY-9
TECK.N,5120108010,5.48,5.24105584642234,FY-9
WMT.N,5430102010,20.7,20.810233423767,FY-9
CLB.N,5220304024,137.059,140.534737073618,FY-9
BN.N,5510202010,5.74,10.993292699897,FY-9
XOM.N,5010203010,19.17,19.1722620091448,FY-9
CU.TO,5910401010,11.71,14.9641082274986,FY-9
SAP.TO,5410202010,22.28,20.9799101766714,FY-9
IGM.TO,5510202010,17.3,17.2228634515983,FY-9
L.TO,5430102010,10.79,9.34495864073329,FY-9
WN.TO,5430102010,,10.9911299652912,FY-9
MDLZ.OQ,5410202010,8.34,7.15246948908722,FY-9
TA.TO,5910102010,2.73,-3.25538743695552,FY-9
CP.TO,5240503010,15.95,14.3513203214696,FY-9
TRP.TO,5010303010,8.94,10.5682274144264,FY-9
IMO.TO,5010203010,15.09,15.7544358095875,FY-9
ENB.TO,5010303010,19.26,5.935275950047,FY-9
HKLD.SI,6010101010,3.522,4.48865855292078,FY-9
CNR.TO,5240503010,21.54,21.7929998748488,FY-9
SU.TO,5010201010,11.69,9.7294607873624,FY-9
HON.OQ,5440101010,25.71,25.780172130609,FY-9
ADM.N,5410202010,7.88,6.86866618896509,FY-9
CSX.OQ,5240503011,18.98,19.0155572558021,FY-9
CPB.N,5410202010,56.88,55.4378531073446,FY-9
FLR.N,5220102010,18.81,18.8133128551388,FY-9
PEG.N,5910401010,11.69,11.1041629444345,FY-9
ROK.N,5210203010,32.9,31.4936303303074,FY-9
UNP.N,5240503011,21.35,21.3517590384896,FY-9
AES.N,5910101010,21.71,6.3827396336667,FY-9
ATD.TO,5010203012,21.34,22.5989330138875,FY-9
APD.N,5110101015,17.25,13.7022050402904,FY-9
AB.N,5510202011,4.46,10.7018519476489,FY-9
ABM.N,5220304010,,8.24708212804132,FY-9
AEP.OQ,5910101010,10.04,9.4502266777345,FY-9
ARE.TO,5220102010,8.46,7.18697500190305,FY-9
ARCH.N,5010101010,,-29.1799078118711,FY-9
MERC.OQ,5130102013,,-7.05042356004288,FY-9
ACOx.TO,5910401010,14.914,15.9847036328872,FY-9
ATO.N,5910201010,10.02,10.2037873936253,FY-9
BKH.N,5910401010,8.56,9.40433837875779,FY-9
BLX.TO,5910101023,,-1.65957924993642,FY-9
MTZ.N,5220102014,17.17,15.7379030471461,FY-9
CMS.N,5910401010,13.6,13.5980746089049,FY-9
TFII.TO,5240503012,15.81,8.19538680634097,FY-9
CWT.N,5910301010,8.81,8.8121976599768,FY-9
CASY.OQ,5430102012,20.35,19.5611617929574,FY-9
CPSH.OQ,5210203010,17.55,11.7884294927916,FY-9
CPK.N,5910201011,,12.2483287290496,FY-9
CTAS.OQ,5220304010,15.61,16.8778090047447,FY-9
CLH.N,5220301010,7.9,6.57328049451957,FY-9
CLF.N,5120102010,6.82,17.6894763762549,FY-9
CMC.N,5120102010,8.0,8.98269567943833,FY-9
CAG.N,5410202010,17.53,11.6222714270781,FY-9
ED.N,5910101010,9.22,8.80816123413785,FY-9
CXT.N,5210203010,22.91,20.6813768489406,FY-9
VVI.N,5220304026,,5.08605007192367,FY-9
D.N,5910101010,16.94,16.1098604232328,FY-9
DCI.N,5220301011,24.93,24.9296105227359,FY-9
DUK.N,5910101010,7.48,6.27547358047522,FY-9
DY.N,5220102023,,8.75467401004057,FY-9
EMR.N,5210203010,25.42,20.7399536321484,FY-9
EMPa.TO,5430102010,8.13,3.20414204322409,FY-9
ETR.N,5910101010,10.17,7.56153823072292,FY-9
FMC.N,5110102010,35.23,30.1056631445619,FY-9
RUS.TO,5120102014,10.19,9.7366881217086,FY-9
ARG.TO,5120105012,,0.782083745180891,FY-9
FI.N,5220304027,22.71,18.5661239645816,FY-9
FLO.N,5410202012,19.88,23.8673688203849,FY-9
FTS.TO,5910101010,6.76,7.59926973984482,FY-9
