Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,8.49,4.34260869565217,FY-14
GE.N,5440101010,17.205,16.3034001743679,FY-14
MMM.N,5440101010,36.99,31.9970407361169,FY-14
TECK.N,5120108010,,8.0455448735163,FY-14
WMT.N,5430102010,20.01,20.3783113793661,FY-14
CLB.N,5220304024,95.1,105.663994844323,FY-14
BN.N,5510202010,5.36,45.5016873816775,FY-14
XOM.N,5010203010,39.0,38.5298666109992,FY-14
CU.TO,5910401010,11.99,16.9633031004516,FY-14
SAP.TO,5410202010,14.52,15.5337535096678,FY-14
IGM.TO,5510202010,15.65,19.2520611430282,FY-14
L.TO,5430102010,9.05,9.69333803313359,FY-14
WN.TO,5430102010,,12.2225370737697,FY-14
MDLZ.OQ,5410202010,12.82,6.73119580560597,FY-14
TA.TO,5910102010,9.73,10.2308172177168,FY-14
CP.TO,5240503010,10.54,,FY-14
TRP.TO,5010303010,9.119,12.8692077393985,FY-14
IMO.TO,5010203010,,45.6557570049447,FY-14
ENB.TO,5010303010,9.13,,FY-14
HKLD.SI,6010101010,3.211,-0.94529147207113,FY-14
CNR.TO,5240503010,16.84,18.2773919753086,FY-14
SU.TO,5010201010,20.75,15.7613838525304,FY-14
HON.OQ,5440101010,38.848,9.82387714059358,FY-14
ADM.N,5410202010,,12.4321730463992,FY-14
CSX.OQ,5240503011,14.75,17.727109943894,FY-14
CPB.N,5410202010,109.07,70.3812316715543,FY-14
FLR.N,5220102010,25.17,28.6958116422866,FY-14
PEG.N,5910401010,18.94,12.1742590013925,FY-14
ROK.N,5210203010,18.18,14.4749101557301,FY-14
UNP.N,5240503011,15.14,15.0489816963135,FY-14
AES.N,5910101010,,34.2455729547783,FY-14
ATD.TO,5010203012,19.15,19.6844594332674,FY-14
APD.N,5110101015,17.6,13.0291368884002,FY-14
AB.N,5510202011,,15.4712883837003,FY-14
ABM.N,5220304010,8.742,8.43856941340637,FY-14
AEP.OQ,5910101010,12.1,13.2103713002752,FY-14
ARE.TO,5220102010,,19.5308668792807,FY-14
ARCH.N,5010101010,,21.7352498974058,FY-14
MERC.OQ,5130102013,-43.59,-33.3446912872875,FY-14
ACOx.TO,5910401010,6.86,16.2833128944456,FY-14
ATO.N,5910201010,8.77,8.58719022011689,FY-14
BKH.N,5910401010,-4.72,-5.1640499289494,FY-14
BLX.TO,5910101023,5.6,6.30435420524519,FY-14
MTZ.N,5220102014,15.03,17.5810890180887,FY-14
CMS.N,5910401010,10.46,12.2883195831524,FY-14
TFII.TO,5240503012,19.17,16.3519349125109,FY-14
CWT.N,5910301010,9.88,10.001039740927,FY-14
CASY.OQ,5430102012,12.7,12.5263974769492,FY-14
CPSH.OQ,5210203010,,23.8152902236215,FY-14
CPK.N,5910201011,11.06,11.2152891117105,FY-14
CTAS.OQ,5220304010,11.85,9.77726039372157,FY-14
CLH.N,5220301010,14.01,18.1934418032035,FY-14
CLF.N,5120102010,,35.3235879486652,FY-14
CMC.N,5120102010,1.24,0.109656460261686,FY-14
CAG.N,5410202010,,12.220753009952,FY-14
ED.N,5910101010,8.27,9.82209438585278,FY-14
CXT.N,5210203010,23.694,16.6567151303405,FY-14
VVI.N,5220304026,10.0,9.03417884780739,FY-14
D.N,5910101010,17.75,16.8762510906945,FY-14
DCI.N,5220301011,19.16,18.4659255956485,FY-14
DUK.N,5910101010,7.27,6.38111266503899,FY-14
DY.N,5220102023,,-12.7214525659027,FY-14
EMR.N,5210203010,20.15,19.4136291600634,FY-14
EMPa.TO,5430102010,9.66,10.456224931339,FY-14
ETR.N,5910101010,15.7,15.4216402873589,FY-14
FMC.N,5110102010,36.33,33.3468889792599,FY-14
RUS.TO,5120102014,,24.5184827512206,FY-14
ARG.TO,5120105012,-19.98,-16.9252720979063,FY-14
