Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,5.049,9.79797339723834,FY-2
GE.N,5440101010,0.34,18.874011432151,FY-2
MMM.N,5440101010,44.13,47.5272568687309,FY-2
TECK.N,5120108010,2.71,-4.17966765837022,FY-2
WMT.N,5430102010,20.28,17.3657081892618,FY-2
CLB.N,5220304024,27.37,-77.9643753659104,FY-2
BN.N,5510202010,-0.58,-0.879141957449529,FY-2
XOM.N,5010203010,-0.81,-12.8813073394495,FY-2
CU.TO,5910401010,8.009,6.93040716142073,FY-2
SAP.TO,5410202010,9.88,9.62232083118641,FY-2
IGM.TO,5510202010,16.07,16.1047140979664,FY-2
L.TO,5430102010,13.74,10.0642791551882,FY-2
WN.TO,5430102010,13.68,13.3323661685768,FY-2
MDLZ.OQ,5410202010,13.59,12.9699556723034,FY-2
TA.TO,5910102010,-12.65,-19.5975503062117,FY-2
CP.TO,5240503010,33.4,33.9727550736725,FY-2
TRP.TO,5010303010,12.69,16.4461910296858,FY-2
IMO.TO,5010203010,-1.69,-8.12798179192017,FY-2
ENB.TO,5010303010,8.75,5.33078380213732,FY-2
HKLD.SI,6010101010,2.69,-7.15940175158439,FY-2
CNR.TO,5240503010,20.09,18.1523930807598,FY-2
SU.TO,5010201010,-5.76,-11.1029704751989,FY-2
HON.OQ,5440101010,27.85,26.5183253336293,FY-2
ADM.N,5410202010,10.29,8.99816364007346,FY-2
CSX.OQ,5240503011,22.44,22.1652170427672,FY-2
CPB.N,5410202010,31.559,35.2755905511811,FY-2
FLR.N,5220102010,-34.55,-6.28109860250143,FY-2
PEG.N,5910401010,11.21,12.2614488462652,FY-2
ROK.N,5210203010,64.719,79.3585766957336,FY-2
UNP.N,5240503011,31.68,30.4907940489084,FY-2
AES.N,5910101010,44.299,1.52753108348135,FY-2
ATD.TO,5010203012,24.42,24.3218339139229,FY-2
APD.N,5110101015,15.669,15.8379359472277,FY-2
AB.N,5510202011,17.84,17.7007914923678,FY-2
ABM.N,5220304010,10.75,0.013147947276731,FY-2
AEP.OQ,5910101010,10.919,10.6880351218737,FY-2
ARE.TO,5220102010,10.16,10.1645225486013,FY-2
ARCH.N,5010101010,,-74.5841616193971,FY-2
MERC.OQ,5130102013,-2.99,-2.99366874234647,FY-2
ACOx.TO,5910401010,8.74,6.25931445603577,FY-2
