Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
BRKa.N,5440101010,6.69,6.36562290481985,FY-11
GE.N,5440101010,12.55,11.1048798932762,FY-11
MMM.N,5440101010,26.87,27.5584724769166,FY-11
TECK.N,5120108010,14.7,15.9312115602795,FY-11
WMT.N,5430102010,22.3,22.5458861551442,FY-11
CLB.N,5220304024,78.48,79.0271163087245,FY-11
BN.N,5510202010,,12.5330083282551,FY-11
XOM.N,5010203010,27.26,27.2611084369346,FY-11
CU.TO,5910401010,16.5,14.8776834747878,FY-11
SAP.TO,5410202010,23.158,18.2293318296991,FY-11
IGM.TO,5510202010,19.21,19.69872003793,FY-11
L.TO,5430102010,15.24,13.2472006890612,FY-11
WN.TO,5430102010,13.15,13.0622168195381,FY-11
MDLZ.OQ,5410202010,11.46,9.92807982998128,FY-11
TA.TO,5910102010,7.2,9.61329960245754,FY-11
CP.TO,5240503010,11.25,12.0342024701784,FY-11
TRP.TO,5010303010,9.192,9.82203198918675,FY-11
IMO.TO,5010203010,26.27,27.5206139276676,FY-11
ENB.TO,5010303010,14.58,15.6155289363545,FY-11
HKLD.SI,6010101010,3.183,24.0135218610208,FY-11
CNR.TO,5240503010,19.98,22.3729739573848,FY-11
SU.TO,5010201010,15.38,11.6652211621856,FY-11
HON.OQ,5440101010,29.39,17.4739195230999,FY-11
ADM.N,5410202010,,6.65089594039753,FY-11
CSX.OQ,5240503011,21.26,21.6323435038796,FY-11
CPB.N,5410202010,78.54,73.4138972809668,FY-11
FLR.N,5220102010,17.23,17.2281735979447,FY-11
PEG.N,5910401010,13.96,14.1385720745616,FY-11
ROK.N,5210203010,41.5,40.8700725060422,FY-11
UNP.N,5240503011,17.72,18.1172780055585,FY-11
AES.N,5910101010,12.81,7.92334326435301,FY-11
ATD.TO,5010203012,21.68,22.0317766008666,FY-11
APD.N,5110101015,18.9,16.2828974170944,FY-11
AB.N,5510202011,2.82,-5.46500246243865,FY-11
ABM.N,5220304010,,8.95139848499359,FY-11
AEP.OQ,5910101010,10.63,11.0867566994273,FY-11
ARE.TO,5220102010,11.62,12.2717687270649,FY-11
ARCH.N,5010101010,,4.87255970934462,FY-11
MERC.OQ,5130102013,18.61,19.7202462262318,FY-11
ACOx.TO,5910401010,14.83,15.7932866457377,FY-11
ATO.N,5910201010,8.37,8.2954251923867,FY-11
BKH.N,5910401010,6.68,3.49540138014882,FY-11
BLX.TO,5910101023,-0.76,-0.765209118497301,FY-11
MTZ.N,5220102014,12.59,13.3154764669083,FY-11
CMS.N,5910401010,13.12,14.1900017179179,FY-11
TFII.TO,5240503012,15.7,15.9977284018703,FY-11
CWT.N,5910301010,8.16,8.5190686221911,FY-11
CASY.OQ,5430102012,25.67,25.2092177810112,FY-11
CPSH.OQ,5210203010,17.55,-0.529107813280184,FY-11
CPK.N,5910201011,11.6,11.8290690528651,FY-11
CTAS.OQ,5220304010,13.4,13.3170365780956,FY-11
CLH.N,5220301010,,15.132707897544,FY-11
CLF.N,5120102010,33.71,33.205619412516,FY-11
CMC.N,5120102010,7.93,17.4957297947933,FY-11
CAG.N,5410202010,16.67,10.2380011417029,FY-11
ED.N,5910101010,9.13,9.34346801795795,FY-11
CXT.N,5210203010,22.59,2.51487770065783,FY-11
VVI.N,5220304026,,2.24904968335991,FY-11
D.N,5910101010,14.96,12.2253977733225,FY-11
DCI.N,5220301011,28.65,28.6547859437043,FY-11
DUK.N,5910101010,8.58,7.45794144919857,FY-11
DY.N,5220102023,,10.5743694127946,FY-11
EMR.N,5210203010,23.95,19.0200057987823,FY-11
EMPa.TO,5430102010,9.78,10.3470358624055,FY-11
ETR.N,5910101010,15.57,15.4251856060975,FY-11
FMC.N,5110102010,32.89,33.3881370937144,FY-11
RUS.TO,5120102014,14.63,14.8599422183143,FY-11
ARG.TO,5120105012,,5.78125827787859,FY-11
FI.N,5220304027,20.38,14.5830121782026,FY-11
FLO.N,5410202012,17.16,,FY-11
FTS.TO,5910101010,7.92,8.72615039281706,FY-11
FCX.N,5120105010,32.83,32.4024728202942,FY-11
GIS.N,5410202010,26.7,24.5135760760761,FY-11
NVRI.N,5220301012,8.74,-0.724442912449153,FY-11
HE.N,5910101010,9.17,9.17757373579304,FY-11
HCSG.OQ,5220304016,,17.7138148350182,FY-11
HTLD.OQ,5240503012,20.72,20.7218819541364,FY-11
HSY.N,5410202010,71.47,71.4878613892783,FY-11
DINO.N,5010203011,34.68,34.6830233829806,FY-11
HRL.N,5410202016,18.719,18.7531180551285,FY-11
HUBB.N,5210203010,18.31,18.2371028356679,FY-11
JBHT.OQ,5240503012,45.07,45.066475883861,FY-11
GCARSOA1.MX,5440101010,14.273,11.8358789960139,FY-11
IDA.N,5910101010,10.45,10.6578944480898,FY-11
ITW.N,5440101010,19.1,18.1322264264584,FY-11
IFF.N,5410202026,29.11,25.2078823709475,FY-11
WKC.N,5010203013,15.77,15.7736318114731,FY-11
EME.N,5220102010,10.7,10.1976104808146,FY-11
J.N,5220304010,10.07,10.772684263334,FY-11
K.N,5410202010,62.84,43.8037430450177,FY-11
KR.N,5430102010,25.75,,FY-11
SR.N,5910201010,,10.6047787890807,FY-11
MDU.N,5910401010,8.28,8.28435878477536,FY-11
MGEE.OQ,5910101010,11.32,11.324570273003,FY-11
MRTN.OQ,5240503012,7.93,7.93416132631342,FY-11
MKC.N,5410202010,24.49,24.4877921057799,FY-11
MGRC.OQ,5220304018,15.79,15.7938225081553,FY-11
MRU.TO,5430102010,18.41,19.5793700691585,FY-11
NI.N,5910401010,7.62,5.95868537009338,FY-11
NFG.N,5910201010,10.97,11.4266948426524,FY-11
NEN.A,6010101010,12.11,,FY-11
NJR.N,5910201011,14.14,11.6819967272951,FY-11
AGR.N,5910101010,,,FY-11
NSC.N,5240503011,18.36,18.5325558794947,FY-11
ES.N,5910101010,10.1,10.3926153328785,FY-11
XEL.OQ,5910101010,10.07,10.140250706879,FY-11
NTRS.OQ,5510202010,8.59,8.55344288623132,FY-11
NWN.N,5910201011,10.13,9.0790706662243,FY-11
NWE.OQ,5910401010,11.02,11.022120813905,FY-11
NUE.N,5120102010,10.38,10.6274394131397,FY-11
MX.TO,5110101010,,15.1490479830967,FY-11
OLN.N,5110101010,14.61,26.6174770111778,FY-11
PPG.N,5110101012,31.42,31.7990416727167,FY-11
PCG.N,5910101010,12.3,7.21891972800753,FY-11
PAAS.TO,5120101011,,24.0184219321565,FY-11
PKI.TO,5010203010,18.36,18.8477203764823,FY-11
EXC.OQ,5910101010,19.77,17.7460080372702,FY-11
WTRG.N,5910301010,11.93,11.6824643475113,FY-11
PPC.OQ,5410202016,,-61.0181941011193,FY-11
TROW.OQ,5510202010,21.8,,FY-11
PNM.N,5910101010,6.21,11.7604106164381,FY-11
KWR.N,5110101010,,19.6831340653881,FY-11
RPM.N,5110101012,17.65,17.3214212733262,FY-11
RRX.N,5210203010,13.07,10.5104022200973,FY-11
ROL.N,5220304020,,32.3846763574273,FY-11
R.N,5240503010,11.9,12.3870784795843,FY-11
EIX.N,5910101010,10.16,10.0881868398101,FY-11
SEIC.OQ,5510202014,19.73,19.8326371168995,FY-11
SJW.N,5910301011,,8.04491403293799,FY-11
ATRL.TO,5220102010,20.48,20.4765279419738,FY-11
FSZ.TO,5510202010,,6.293471552922,FY-11
SVT.A,5210203010,12.82,16.4242750695754,FY-11
SHW.N,5110101012,33.064,31.7920746595629,FY-11
CPLE6.SA,5910101010,10.13,10.1259602667427,FY-11
AOS.N,5210203015,10.002,11.3054087027247,FY-11
SJM.N,5410202010,10.24,8.71247004877412,FY-11
AWR.N,5910301010,10.69,10.6076389551352,FY-11
