Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-1
000537.SZ,Operating Lease,FY-1
000537.SZ,Property Services,FY-1
000537.SZ,Hotel Service,FY-1
000537.SZ,Other Business,FY-1
000539.SZ,Electricity,FY-1
000629.SZ,Vanadium products,FY-1
000629.SZ,Titanium products,FY-1
000629.SZ,Other Products,FY-1
000629.SZ,Electricity,FY-1
000629.SZ,Other business,FY-1
000883.SZ,Hydroelectric Power,FY-1
000883.SZ,Other,FY-1
000883.SZ,Thermal Power,FY-1
000883.SZ,Coal,FY-1
000883.SZ,New energy,FY-1
000883.SZ,Eliminations,FY-1
002060.SZ,Other,FY-1
002060.SZ,Engineering Construction,FY-1
002060.SZ,Exploration design,FY-1
002060.SZ,Power,FY-1
002060.SZ,Product sales,FY-1
002545.SZ,Other,FY-1
002545.SZ,Construction/Installation,FY-1
002545.SZ,Tower Manufacturing,FY-1
002545.SZ,Potash Fertilizer,FY-1
002545.SZ,Photovoltaic Power Generation,FY-1
071320.KS,Cold Water,FY-1
071320.KS,Heat Segement,FY-1
071320.KS,Electricity Segment,FY-1
1811.HK,Management companies,FY-1
1811.HK,Power Plants in the Korea,FY-1
1811.HK,Power Plants in the Peoples Republic China,FY-1
2083.SE,Corporate,FY-1
2083.SE,Tawreed,FY-1
2083.SE,JWAP,FY-1
2083.SE,Gas,FY-1
2083.SE,Eliminations,FY-1
2083.SE,Power,FY-1
2083.SE,Water,FY-1
2380.HK,Hydropower Electricity,FY-1
2380.HK,Coal Fired Electricity,FY-1
2380.HK,Photovoltaic power electricity,FY-1
2380.HK,Wind Power Electricity,FY-1
2380.HK,Energy Storage,FY-1
300569.SZ,Elimination,FY-1
300569.SZ,Tower Manufacturing,FY-1
300569.SZ,New energy,FY-1
300772.SZ,Wind Industry,FY-1
300772.SZ,Unit sales,FY-1
300772.SZ,Eliminations,FY-1
3038.T,Super Business ,FY-1
3038.T,Eliminations and Corporate,FY-1
3038.T,Eco renewable energy,FY-1
3038.T,Other,FY-1
3038.T,Restaurant/takeout business,FY-1
5110.SE,Elimination Intercompany transactions,FY-1
5110.SE,Other subsidiares,FY-1
5110.SE,National Grid Company,FY-1
5110.SE,Saudi Electricity Company,FY-1
5110.SE,Joint Operations,FY-1
5711.T,Other Businesses,FY-1
5711.T,Eliminations and Corporate,FY-1
5711.T,Energy System,FY-1
5711.T,Cement Business,FY-1
5711.T,Processing Business,FY-1
5711.T,Metal business,FY-1
5711.T,High-performance products,FY-1
600011.SS,Other divisions,FY-1
600011.SS,Overseas Power Division,FY-1
600011.SS,China Power Division,FY-1
600025.SS,Others,FY-1
600025.SS,Electricity,FY-1
600116.SS,Electricity,FY-1
600116.SS,Eliminations,FY-1
600116.SS,Manganese Industry Sector,FY-1
600116.SS,Other plates,FY-1
600236.SS,Hydraulic power generation,FY-1
600236.SS,Other,FY-1
600236.SS,Thermal power generation,FY-1
600236.SS,Wind power generation,FY-1
600236.SS,Other division,FY-1
600236.SS,Solar Power Division,FY-1
600409.SS,Electricity & Steam,FY-1
600409.SS,Chemical Industry,FY-1
600409.SS,Intercompany Elimination,FY-1
600409.SS,Other,FY-1
600409.SS,Mining,FY-1
600459.SS,,FY-1
600674.SS,Electricity Industry,FY-1
600674.SS,Service Business,FY-1
600674.SS,Eliminations,FY-1
600674.SS,Manufacturing Business,FY-1
600674.SS,Investment Business,FY-1
600795.SS,Heat Energy Generation,FY-1
600795.SS,Others,FY-1
600795.SS,Coal Selling,FY-1
600795.SS,Hydroelectric Power Generation,FY-1
600795.SS,Intercompany Eliminations,FY-1
600795.SS,New energy power generation industry,FY-1
600886.SS,Others,FY-1
600886.SS,Thermal Power,FY-1
600886.SS,"Wind, Photovoltaic and waste to energy",FY-1
600886.SS,Hydropower,FY-1
