Instrument,year,has ren segment,number of segments
000537.SZ,-9,False,2
000537.SZ,-9,False,2
000539.SZ,-9,False,2
000539.SZ,-9,False,2
000629.SZ,-9,False,6
000629.SZ,-9,False,6
000629.SZ,-9,False,6
000629.SZ,-9,False,6
000629.SZ,-9,False,6
000629.SZ,-9,False,6
000883.SZ,-9,True,7
000883.SZ,-9,False,7
000883.SZ,-9,False,7
000883.SZ,-9,False,7
000883.SZ,-9,False,7
000883.SZ,-9,True,7
000883.SZ,-9,False,7
002060.SZ,-9,False,5
002060.SZ,-9,True,5
002060.SZ,-9,False,5
002060.SZ,-9,False,5
002060.SZ,-9,True,5
002545.SZ,-9,False,4
002545.SZ,-9,False,4
002545.SZ,-9,False,4
002545.SZ,-9,False,4
071320.KS,-9,True,3
071320.KS,-9,False,3
071320.KS,-9,False,3
1811.HK,-9,False,0
2083.SE,-9,False,0
2380.HK,-9,True,3
2380.HK,-9,False,3
2380.HK,-9,False,3
300569.SZ,-9,False,0
300772.SZ,-9,False,0
3038.T,-9,False,5
3038.T,-9,False,5
3038.T,-9,False,5
3038.T,-9,True,5
3038.T,-9,False,5
5110.SE,-9,False,0
5711.T,-9,False,7
5711.T,-9,False,7
5711.T,-9,False,7
5711.T,-9,False,7
5711.T,-9,False,7
5711.T,-9,False,7
5711.T,-9,False,7
600011.SS,-9,False,4
600011.SS,-9,False,4
600011.SS,-9,False,4
600011.SS,-9,False,4
600025.SS,-9,False,0
600116.SS,-9,False,6
600116.SS,-9,False,6
600116.SS,-9,False,6
600116.SS,-9,False,6
600116.SS,-9,False,6
600116.SS,-9,False,6
600236.SS,-9,False,3
600236.SS,-9,False,3
600236.SS,-9,False,3
600409.SS,-9,False,5
600409.SS,-9,False,5
600409.SS,-9,False,5
600409.SS,-9,False,5
600409.SS,-9,False,5
600459.SS,-9,False,0
600674.SS,-9,False,5
600674.SS,-9,False,5
600674.SS,-9,False,5
600674.SS,-9,False,5
600674.SS,-9,True,5
600795.SS,-9,False,7
600795.SS,-9,False,7
600795.SS,-9,False,7
600795.SS,-9,False,7
600795.SS,-9,True,7
600795.SS,-9,False,7
600795.SS,-9,False,7
600886.SS,-9,False,4
600886.SS,-9,False,4
600886.SS,-9,False,4
600886.SS,-9,False,4
600905.SS,-9,False,0
600995.SS,-9,False,2
600995.SS,-9,False,2
601088.SS,-9,False,7
601088.SS,-9,False,7
601088.SS,-9,False,7
601088.SS,-9,False,7
601088.SS,-9,False,7
601088.SS,-9,False,7
601088.SS,-9,False,7
6013.T,-9,False,5
6013.T,-9,False,5
6013.T,-9,False,5
6013.T,-9,False,5
6013.T,-9,False,5
601778.SS,-9,False,0
601991.SS,-9,False,0
603212.SS,-9,False,0
6504.T,-9,False,7
6504.T,-9,False,7
6504.T,-9,False,7
6504.T,-9,False,7
6504.T,-9,False,7
6504.T,-9,False,7
6504.T,-9,False,7
6806.TW,-9,False,0
688599.SS,-9,False,0
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
8031.T,-9,False,12
9505.T,-9,False,3
9505.T,-9,False,3
9505.T,-9,False,3
9513.T,-9,False,5
9513.T,-9,False,5
9513.T,-9,False,5
9513.T,-9,False,5
9513.T,-9,False,5
9531.T,-9,False,7
9531.T,-9,False,7
9531.T,-9,False,7
9531.T,-9,False,7
9531.T,-9,False,7
9531.T,-9,False,7
9531.T,-9,False,7
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
A2.MI,-9,False,8
ACOx.TO,-9,False,6
ACOx.TO,-9,False,6
ACOx.TO,-9,False,6
ACOx.TO,-9,False,6
ACOx.TO,-9,True,6
ACOx.TO,-9,False,6
ADAI.NS,-9,False,0
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AEP.OQ,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AES.N,-9,False,7
AEV.PS,-9,True,5
AEV.PS,-9,False,5
