Instrument,Segment Name,Segment Code,year,number of segments
ARCH.N,Thermal,212115,-4,4
ARCH.N,Metallurgical,212114,-4,4
MERC.OQ,Pulp,"221118, 561499, 325199, 322110",-4,3
MERC.OQ,Wood Products,"221118, 321999, 321114, 321113",-4,3
MERC.OQ,Corporate and other,,-4,3
ATO.N,Eliminations,,-4,3
ATO.N,Pipeline and Storage,486210,-4,3
ATO.N, Distribution,221210,-4,3
BLX.TO,Wind Power Stations,221115,-4,4
BLX.TO,Thermal Power Stations,"221118, 221122, 221112",-4,4
BLX.TO,Hydroelectric Power Stations,"221118, 221122, 221121, 221111",-4,4
BLX.TO,Solar Power Station,221114,-4,4
MTZ.N,Oil & Gas,"237120, 221210",-4,6
MTZ.N,Power Generation and Industrial,237130,-4,6
MTZ.N,Electrical Tramission,"237130, 221122",-4,6
MTZ.N,Other,,-4,6
MTZ.N,Eliminations,,-4,6
MTZ.N,Communications,"541330, 237130",-4,6
TFII.TO,Less than Truck Load,484122,-4,6
TFII.TO,Package & courier,492110,-4,6
TFII.TO,Truck Load,484121,-4,6
TFII.TO,Eliminations,,-4,6
TFII.TO,Corporate,,-4,6
TFII.TO,Logistics,"541614, 492110, 488510",-4,6
CWT.N,,,-4,0
CASY.OQ,Grocery & Other Merchandise,"445131, 445110",-4,4
CASY.OQ,Other,,-4,4
CASY.OQ,Prepared Food & Fountain,"445320, 445298",-4,4
CASY.OQ,Fuel,457110,-4,4
CPSH.OQ,,,-4,0
CPK.N,Unregulated Energy,"486210, 221330, 221112",-4,2
CPK.N,Regulated Energy,"486210, 221210, 221122",-4,2
CTAS.OQ,Corporate,,-4,4
CTAS.OQ,Uniform Rental and Facility Services,"812332, 812331, 561720",-4,4
CTAS.OQ,First Aid and Safety Services,339113,-4,4
CTAS.OQ,All other,,-4,4
CLH.N,Corporate Items,,-4,3
CLH.N,Safety-Kleen,"562910, 562112",-4,3
CLH.N,Environmental Services,"562211, 562111",-4,3
CLF.N,Steelmaking,331110,-4,1
CMC.N,Corporate and Other,,-4,4
CMC.N,Europe,"331110, 332312",-4,4
CMC.N,Corporate,,-4,4
CMC.N,North America,"331110, 332312",-4,4
CAG.N,Commercial,"311991, 311919, 311812, 311412",-4,6
CAG.N,Foodservice,"311999, 311991, 311941",-4,6
CAG.N,Refrigerated & Frozen,"311991, 311813, 311412",-4,6
CAG.N,International,"311999, 311991, 311941, 311919",-4,6
CAG.N,Grocery & Snacks,"311942, 311919",-4,6
CAG.N,Pinnacle Foods,"311919, 311412",-4,6
ED.N,CECONY Gas,"211120, 237120, 221210, 213112",-4,9
ED.N,O&R Gas,"211120, 237120, 221210, 213112",-4,9
ED.N,Clean Energy Businesses,"221118, 221210, 221121, 221112",-4,9
ED.N,CECONY Steam,"524126, 221330, 221210",-4,9
ED.N,Other,,-4,9
ED.N,CECONY Electric,"221118, 221122, 221121, 221112",-4,9
ED.N,Con Edison Transmission,"221118, 221210, 221121",-4,9
ED.N,Consolidation adjustments,,-4,9
ED.N,O&R Electric,"221118, 221121, 221112",-4,9
CXT.N,Payment & Merchandising Technologies,"333310, 335999, 334419",-4,4
CXT.N,Aerospace & Electronics,"336413, 334511, 334419, 332912",-4,4
CXT.N,Process Flow Technologies,"561499, 335999, 332912, 326122",-4,4
CXT.N,Engineered Materials,326199,-4,4
VVI.N,Pursuit,"721110, 561599, 561510",-4,3
VVI.N,Marketing & Events Group,"541990, 541890",-4,3
VVI.N,Corporate Activities,,-4,3
D.N,Corporate & Other,,-4,7
D.N,Eliminations,,-4,7
D.N,Dominion Energy Virginia,"221118, 221122, 221121, 221112",-4,7
D.N,Gas transmission & storage,486210,-4,7
D.N,contracted generation,"221118, 335999, 221121",-4,7
D.N,Gas distribution,"237120, 221210, 221122, 213112",-4,7
D.N,Dominion energy south carolina,"221210, 221122, 221121, 221112",-4,7
DCI.N,Industrial Products,"333413, 333998",-4,3
DCI.N,Engine Products,"336390, 333413",-4,3
DCI.N,Corporate & Unallocated,,-4,3
DY.N,,,-4,0
EMR.N,Automation Solutions,"334513, 333612",-4,4
EMR.N,Climate Technologies,"334512, 333912, 332911, 238220",-4,4
EMR.N,Sales Eliminations/Interest,,-4,4
EMR.N,Tools & Home Products,"335313, 335312",-4,4
EMPa.TO,Food retailing,445110,-4,1
FMC.N,FMC Agricultural Solutions,325320,-4,2
FMC.N,FMC Lithium,325180,-4,2
RUS.TO,Steel Distributors,423510,-4,4
RUS.TO,Metals Service Centers,423510,-4,4
RUS.TO,Energy Products,423720,-4,4
RUS.TO,Other,,-4,4
ARG.TO,,,-4,0
FI.N,Payments,"522320, 522110, 518210",-4,4
FI.N,All other and corporate,,-4,4
FI.N,Acceptance,"541511, 522320, 518210",-4,4
FI.N,Fintech,"513210, 541511, 522320",-4,4
FLO.N,Warehouse Delivery,311812,-4,4
FLO.N,Eliminations,,-4,4
FLO.N,Direct-Store-Delivery,311812,-4,4
FLO.N,Sales from DSD Segment to Warehouse Segment,,-4,4
FCX.N,Eliminations and Other,,-4,7
FCX.N,Atlantic Copper Smelting & Refining,"331410, 212230",-4,7
FCX.N,Rod & Refining,"331410, 212230",-4,7
FCX.N,South America Copper Mines,"212230, 212290",-4,7
FCX.N,Indonesia Mining,"212230, 212220, 213114",-4,7
FCX.N,Molybdenum Mines,212290,-4,7
FCX.N,North America Copper Mines,"212230, 212220",-4,7
GIS.N,Convenience Stores & Foodservice,"311824, 311230, 311211",-4,5
GIS.N,North America Retail,"311824, 311991, 311520, 311230",-4,5
GIS.N,Europe & Australia,"311824, 311991, 311919, 311520",-4,5
GIS.N,Asia & Latin America,"311824, 311991, 311919, 311520",-4,5
GIS.N,Pet,311111,-4,5
NVRI.N,Corporate,,-4,4
NVRI.N,Harsco Rail,"811310, 488210",-4,4
NVRI.N,Harsco Environmental,"541614, 332312, 327910",-4,4
NVRI.N,Harsco Clean Earth,"562219, 562211",-4,4
HCSG.OQ,Corporate Eliminations,,-4,3
HCSG.OQ,Dietary,"722511, 722310",-4,3
HCSG.OQ,Housekeeping,"812320, 561720",-4,3
HTLD.OQ,,,-4,0
HSY.N,International and Other,311351,-4,2
HSY.N,North America,"311351, 311919, 311340",-4,2
DINO.N,"Corporate, Other and Eliminations",,-4,4
DINO.N,HEP,"486110, 424710, 324121, 324110",-4,4
DINO.N,Refining,"486110, 424720, 324121, 324110",-4,4
DINO.N,Lubricants and Specialty Products,"486110, 424720, 424710, 324110",-4,4
HRL.N,Refrigerated Foods,"311615, 311612, 112111",-4,4
HRL.N,Jennie-O Turkey Store,"456191, 311999, 311615, 311612",-4,4
HRL.N,Grocery Products,"722310, 424490, 311615, 311611",-4,4
HRL.N,All Other,,-4,4
HUBB.N,Electrical Segment,"423610, 335931, 332919, 238210",-4,2
HUBB.N,Utility Segment,"457210, 492110, 335929",-4,2
JBHT.OQ,Intersegment Eliminations,,-4,5
JBHT.OQ,Integrated Capacity Solutions (ICS),"541614, 484122, 484121",-4,5
JBHT.OQ,Dedicated Contract Services® (DCS),"541420, 484122, 484121, 237310",-4,5
JBHT.OQ,Intermodal (JBI),"484121, 484110, 482112, 482111",-4,5
JBHT.OQ,Truckload (JBT),"532120, 484121, 484110, 482112",-4,5
GCARSOA1.MX,Retail,455110,-4,5
GCARSOA1.MX,Other and Eliminations,,-4,5
GCARSOA1.MX,Construction,455110,-4,5
GCARSOA1.MX,Industrial,"333998, 335931, 335929, 237130",-4,5
GCARSOA1.MX,Carso Energy,"211120, 486110",-4,5
ITW.N,Food Equipment,"333241, 449210, 333310, 334515",-4,8
ITW.N,Polymers & Fluids,"336611, 325998, 325520, 325510",-4,8
ITW.N,Intersegment Revenues,,-4,8
ITW.N,Construction Products,"444180, 333998, 339993, 333120",-4,8
ITW.N,Specialty Products,"513130, 445298, 333993, 323111",-4,8
ITW.N,Automotive OEM,"336390, 336110, 332999, 326199",-4,8
ITW.N,Test & Measurement and Electronics,"513210, 334515, 334418, 325520",-4,8
ITW.N,Welding,"221118, 336611, 333992, 332999",-4,8
IFF.N,Taste,325998,-4,3
IFF.N,Scent,"325180, 456191, 561499, 325998",-4,3
IFF.N,Frutarom,325199,-4,3
WKC.N,Land,"531390, 424720, 237210",-4,3
WKC.N,Aviation,"459999, 513210, 481111, 424720",-4,3
WKC.N,Marine,"541614, 488390, 424720",-4,3
EME.N,United States mechanical construction and facilities services,"811310, 238220, 238210, 221121",-4,6
EME.N,United Kingdom construction and facilities services,"811310, 238220, 238210, 236210",-4,6
EME.N,United States electrical construction and facilities services,"811310, 238220, 238210, 221121",-4,6
EME.N,Intersegment Revenue,,-4,6
EME.N,United States building services,"811310, 238220, 238210",-4,6
EME.N,United States industrial services,"811310, 541330, 238220, 221121",-4,6
J.N,People & Places Solutions,"561990, 541330",-4,2
J.N,Critical Mission Solutions,"541511, 541330, 518210",-4,2
K.N,Asia-Pacific,"311919, 311230",-4,8
K.N,North America,"311919, 311821, 311412, 311230",-4,8
K.N,Latin America,"311919, 311230",-4,8
K.N,Europe,"311919, 311230",-4,8
K.N,U.S. Morning Foods & Kashi,"311919, 311230",-4,8
K.N,U.S. Snacks,"311919, 311813, 311230",-4,8
K.N,U.S. Specialty,"311919, 311230",-4,8
K.N,Corporate and Other,,-4,8
KR.N,supermarkets and multi-department stores,,-4,1
SR.N,Eliminations,,-4,4
SR.N,Other,,-4,4
SR.N,Gas Marketing,221210,-4,4
SR.N,Gas Utility,221210,-4,4
MDU.N,Electric,221122,-4,6
MDU.N,Construction Materials and Contracting,211120,-4,6
MDU.N,Construction Services,"331420, 211120, 237130, 221210",-4,6
MDU.N,Other,,-4,6
MDU.N,Natural Gas Distribution,221210,-4,6
MDU.N,Pipeline and Midstream,"486210, 221210",-4,6
MRTN.OQ,Truckload,484121,-4,4
MRTN.OQ,Intermodal,"484230, 484122",-4,4
MRTN.OQ,Brokerage,484122,-4,4
MRTN.OQ,Dedicated,484122,-4,4
MKC.N,Corporate & other,,-4,3
MKC.N,Consumer,"311942, 311941",-4,3
MKC.N,Flavor Solutions,311942,-4,3
MGRC.OQ,Enviroplex,532210,-4,4
MGRC.OQ,TRS-RenTelco,532210,-4,4
MGRC.OQ,Adler Tanks,532210,-4,4
MGRC.OQ,Mobile Modular,532210,-4,4
MRU.TO,Food operations and Pharmaceutical operations,,-4,1
NI.N,Electric Operations,"221122, 221121, 221112",-4,4
NI.N,Gas Distribution Operations,221210,-4,4
NI.N,Adjustments / Eliminations,,-4,4
NI.N,Corporate and Other,,-4,4
NFG.N,Exploration and Production,"211130, 211120",-4,6
NFG.N,Pipeline and Storage,486210,-4,6
NFG.N,Utility,"221210, 213112",-4,6
NFG.N,Corporate and Intersegment Eliminations,,-4,6
NFG.N,All Other,,-4,6
NFG.N,Gathering,"211120, 486210, 213112",-4,6
NEN.A,,,-4,0
NJR.N,Home Services and Other,"811412, 238220, 237210",-4,5
NJR.N,Energy Services,"541611, 221210",-4,5
NJR.N,Clean Energy Ventures,237130,-4,5
NJR.N,Natural Gas Distribution,221210,-4,5
NJR.N,Storage and Transportation segment,"486210, 221210",-4,5
AGR.N,Other,,-4,3
AGR.N,Networks,"221210, 221122",-4,3
AGR.N,Renewables,"221118, 221112",-4,3
NSC.N,,,-4,0
ES.N,Natural Gas Distribution,221210,-4,6
ES.N,Electric Distribution,221122,-4,6
ES.N,Other,,-4,6
ES.N,Eliminations,,-4,6
ES.N,Electric Transmission,221121,-4,6
ES.N,Water Distribution,221310,-4,6
NTRS.OQ,Corporate and Institutional Services,"523940, 523150, 523991, 522110",-4,4
NTRS.OQ,Wealth Management,"523940, 523150, 523991, 522110",-4,4
