Instrument,Segment Name,Segment Code,year,number of segments
SIEGn.DE,Portfolio companies,"513210, 333248, 334513, 333612",-4,7
TSCO.L,Asia,"455110, 445131, 522110, 445110",-4,4
TSCO.L,Tesco Bank,"524114, 524113, 522110",-4,4
TSCO.L,UK & ROI,"455110, 445131, 522110, 445110",-4,4
TSCO.L,Central Europe,"455110, 445131, 522110, 445110",-4,4
AD.AS,The United States,445110,-4,4
AD.AS,The Netherlands,445110,-4,4
AD.AS,Belgium,445110,-4,4
AD.AS,Central and Southeastern Europe,445110,-4,4
AKZO.AS,other,561499,-4,3
AKZO.AS,Performance Coatings,325510,-4,3
AKZO.AS,Decorative Paints,325510,-4,3
KDSKF.PK,Performance Materials,"325220, 325510, 325211",-4,6
KDSKF.PK,Corporate,561499,-4,6
KDSKF.PK,Nutrition,"325411, 311999, 311119",-4,6
KDSKF.PK,Eliminations,,-4,6
KDSKF.PK,Innovation Center,541715,-4,6
KDSKF.PK,Health Nutrition & Bioscience,,-4,6
MT.AS,Europe,"331110, 331210",-4,7
MT.AS,ACIS,331110,-4,7
MT.AS,Other,,-4,7
MT.AS,Eliminations,,-4,7
MT.AS,Mining,,-4,7
MT.AS,Brazil,"331110, 331210",-4,7
MT.AS,NAFTA,"331110, 331210",-4,7
AAL.L,Corporate and Other,,-4,8
AAL.L,Platinum Group Metals,"331410, 212290",-4,8
AAL.L,Coal,"212115, 212114",-4,8
AAL.L,Iron Ore,212210,-4,8
AAL.L,Associates,,-4,8
AAL.L,Nickel and Manganese,212230,-4,8
AAL.L,Copper,212230,-4,8
AAL.L,De Beers,,-4,8
SBRY.L,Property Investments - UK,"531390, 531312, 531120",-4,3
SBRY.L,Retail,"445131, 445110",-4,3
SBRY.L,Financial Services - UK,"524114, 524113, 522210, 522110",-4,3
RIO.L,Aluminium,"331313, 212290",-4,8
RIO.L,Iron Ore,212210,-4,8
RIO.L,Energy & Mineral,212390,-4,8
RIO.L,Other operations,561499,-4,8
RIO.L,Intercompany Eliminations,,-4,8
RIO.L,Share of Equity Accounts Units,,-4,8
RIO.L,Items Excluded from Underlying Earnings,,-4,8
RIO.L,Copper & Diamond,"212230, 212390",-4,8
ENI.MI,Exploration and Production,211120,-4,4
ENI.MI,Power & Gas,"486210, 221210, 221122",-4,4
ENI.MI,Corporate and Other Assets,,-4,4
ENI.MI,Refining & Marketing and Chemicals,325110,-4,4
ALBON.PA,Property-Real Estate,"531311, 531120, 531110",-4,5
ALBON.PA,Hotel Sector,"721110, 523910",-4,5
ALBON.PA,Intercompany Eliminations,,-4,5
ALBON.PA,Financial Sector,523999,-4,5
ALBON.PA,Holding & Other,,-4,5
CAIV.VI,Income Producing,531110,-4,4
CAIV.VI,Other Properties,"551112, 531120",-4,4
CAIV.VI,Corporate,,-4,4
CAIV.VI,Holding,,-4,4
IMFI.VI,Offices,"531210, 531120, 531110",-4,5
IMFI.VI,Other,,-4,5
IMFI.VI,Operating Costs Charged on to Tenants,531120,-4,5
IMFI.VI,Retail,"531210, 531120, 531110",-4,5
IMFI.VI,Other Rental Income,531190,-4,5
ENAG.MC,Infrastructure,486210,-4,4
ENAG.MC,Technical Management,"561499, 237120",-4,4
ENAG.MC,Adjustment/Consolidation,,-4,4
ENAG.MC,Non-Regulated Activities,"541990, 486210, 237120, 213112",-4,4
SIBN.MM,Eliminations,,-4,4
SIBN.MM,UPSTREAM,211120,-4,4
SIBN.MM,DOWNSTREAM,211120,-4,4
SIBN.MM,Sale of Petroleum Products,211120,-4,4
CHMF.MM,Russian Steel (Iron & Steel),331110,-4,3
CHMF.MM,Intersegment Balances,,-4,3
CHMF.MM,Steel Resources (Mining),"212290, 212115, 212210",-4,3
TATN.MM,Exploration and Production,211120,-4,7
TATN.MM,Refining and Marketing,"457120, 324110",-4,7
TATN.MM,Petrochemical,"326211, 325120, 324110",-4,7
TATN.MM,Corporate and Other,"423830, 213111",-4,7
TATN.MM,Eliminations and Intersegment,,-4,7
TATN.MM,Banking- Fee and Commission Income,,-4,7
TATN.MM,Banking- Interest Income,,-4,7
EXMR.BR,Eliminations,,-4,6
EXMR.BR,LNG,483111,-4,6
EXMR.BR,Offshore,483111,-4,6
EXMR.BR,Shipping,483111,-4,6
EXMR.BR,supporting services,483111,-4,6
EXMR.BR,Reconciliation,,-4,6
SIAG.VI,Operating Segment,"531120, 531110",-4,2
SIAG.VI,Operating Segment -CEE,"531120, 531110",-4,2
HRA.MI,Water Services,"221320, 221310",-4,6
HRA.MI,Structure,,-4,6
HRA.MI,Other Services,,-4,6
HRA.MI,Gas Services,221210,-4,6
HRA.MI,Environmental Services,"562119, 562111",-4,6
HRA.MI,Electricity Services,"221122, 221121, 221113, 221112",-4,6
NG.L,UK Gas Transmission,221210,-4,6
NG.L,Sales Between Businesses,,-4,6
NG.L,Other Activities,,-4,6
NG.L,US Regulated,"221210, 221122",-4,6
NG.L,UK Electricity Transmission,221121,-4,6
NG.L,The National Grid Ventures,,-4,6
NLMK.MM,Mining and Processing of Raw Materials,"212290, 212210",-4,8
NLMK.MM,Foreign Rolled Products Segment USA,331221,-4,8
NLMK.MM,Sale of Metal products,332812,-4,8
NLMK.MM,Flat Rolled Steel Products - Russia,331221,-4,8
NLMK.MM,Investment in Assiociate Entity,331221,-4,8
NLMK.MM,Deconsolidation,331221,-4,8
NLMK.MM,Long Steel Product - Russia,331221,-4,8
NLMK.MM,Intersegment,331221,-4,8
TRN.MI,Non-regulated Activities,541330,-4,4
TRN.MI,Regulated activity in Italy,221121,-4,4
TRN.MI,International activities,221121,-4,4
TRN.MI,Cost of International Activities,,-4,4
EUAV.BR,Equity acoounted investees,,-4,3
EUAV.BR,Tankers,483111,-4,3
EUAV.BR,Floating Production Storage & Offloading Operations (FSO),483111,-4,3
NVTK.MM,,,-4,0
ELI.BR,Hertz Transmission- German,221121,-4,4
ELI.BR,Elia Transmission - Belgium,221121,-4,4
ELI.BR,Consolidation Entries- Cons,,-4,4
ELI.BR,Non-regulated activities,,-4,4
MAGN.MM,Steel/Turkey,331110,-4,4
MAGN.MM,Steel/Russia,"331110, 331222, 331221",-4,4
MAGN.MM,Coal Mining,212115,-4,4
MAGN.MM,Eliminations,,-4,4
LSRG.MM,Other Entities,,-4,3
LSRG.MM,LSR.Construction,"484110, 236117, 236116",-4,3
LSRG.MM,LSR.Building Materials,"327120, 327390, 212322",-4,3
ROSN.MM,Adjustment,,-4,4
ROSN.MM,"Refining, Marketing and Distribution","211120, 324110",-4,4
ROSN.MM,Exploration and Production,"211130, 211120",-4,4
ROSN.MM,Corporate and Other Unallocated Activities,"522110, 213112",-4,4
ZUMV.VI,Reconciliation,,-4,3
ZUMV.VI,Components,335139,-4,3
ZUMV.VI,Lighting,335132,-4,3
SRS.MI,Power Generation,221112,-4,5
SRS.MI,Refining,324110,-4,5
SRS.MI,Marketing,424710,-4,5
SRS.MI,Other,,-4,5
SRS.MI,Wind Energy,221118,-4,5
ABDN.L,Other,,-4,3
ABDN.L,"Asset Manangement ,Platforms and wealth",523940,-4,3
ABDN.L,Insurance associates and joint ventures,"525110, 524114, 524113",-4,3
MSRS.MM,Connection Services - Moscow Region,"238210, 237130",-4,6
MSRS.MM,Connection Services - Moscow,"238210, 237130",-4,6
MSRS.MM,Other - Moscow Region,"238210, 237130",-4,6
MSRS.MM,Power Transmission - Moscow Region,"221122, 221121",-4,6
MSRS.MM,Other - Moscow,"238210, 237130",-4,6
MSRS.MM,Power Transmission - Moscow,"221122, 221121",-4,6
STRV.VI,IFRS Reconciliation,,-4,5
STRV.VI,South-East,"236220, 236210, 236116, 236115",-4,5
STRV.VI,North-West,"237310, 236220, 236210, 236115",-4,5
STRV.VI,Others,,-4,5
STRV.VI,International-Special Divisions,"237110, 236220",-4,5
PRY.MI,Telecom,"331420, 331318, 335929, 335921",-4,6
PRY.MI,Other,,-4,6
PRY.MI,Industrial & NWC,517111,-4,6
PRY.MI,Corporate,,-4,6
PRY.MI,Energy Projects,"331420, 331318, 335929, 335921",-4,6
PRY.MI,E&I,"335311, 238990, 237130",-4,6
UBMV.VI,Eliminations,,-4,7
UBMV.VI,Other,"531312, 236220",-4,7
UBMV.VI,Hotel,,-4,7
UBMV.VI,Service,541310,-4,7
UBMV.VI,Office,"531312, 531120",-4,7
UBMV.VI,Residental,"531311, 531110",-4,7
UBMV.VI,Administration,"531312, 531311",-4,7
IMMO.BR,Belgium,"236220, 236117",-4,3
IMMO.BR,Poland,"236220, 236117",-4,3
IMMO.BR,Luxembourg,"531120, 236117",-4,3
LOTB.BR,,,-4,0
RECT.BR,Insulation,"327993, 326150",-4,6
RECT.BR,Flexible Foams,"337910, 336360, 326150",-4,6
RECT.BR,Eliminations,,-4,6
RECT.BR,Bedding,"337910, 336360, 326150",-4,6
RECT.BR,Automotive,"337910, 336360, 326150",-4,6
RECT.BR,CONTRIBUTION JOINT VENTURES PROPORTIONALLY CONSOLIDATED IN SEGMENT REPORTING,,-4,6
WHATS.BR,Ready Meals,"311824, 311612",-4,2
WHATS.BR,Processed Meats,311612,-4,2
BYWGnx.DE,Energy,"457110, 424710",-4,12
BYWGnx.DE,Global produce,111339,-4,12
BYWGnx.DE,Transition,,-4,12
BYWGnx.DE,Building Materials,"327120, 541330, 238310, 238220",-4,12
BYWGnx.DE,New Energies,"541330, 237130",-4,12
BYWGnx.DE,Other,,-4,12
BYWGnx.DE,Agriculture Equipment,"333111, 311211, 311119, 111120",-4,12
BYWGnx.DE,Agricultural Equipment,"333111, 311211, 311119, 111120",-4,12
BYWGnx.DE,Buidling Materials,"327120, 541330, 238310, 238220",-4,12
BYWGnx.DE,Innovation and Digitalisation,513210,-4,12
BYWGnx.DE,BayWa Agricultural Sales,424910,-4,12
BYWGnx.DE,BayWa Agri Supply & Trade,424910,-4,12
GBFG.DE,"Consolidation, Others",,-4,3
GBFG.DE,Engineering & Technologies,"541330, 236210",-4,3
GBFG.DE,"Maintenance, Modifications & Operations","541330, 237130, 236210",-4,3
BRNKn.DE,Commercial Portfolio,"531312, 531120",-4,3
BRNKn.DE,Co Investments,523910,-4,3
BRNKn.DE,Funds,525990,-4,3
EUKG_p.F,Holding,"488320, 488310",-4,4
EUKG_p.F,Eurogate,"488320, 488310",-4,4
EUKG_p.F,Contship Italia,"488320, 488310",-4,4
EUKG_p.F,IFRS 11 Adjustment,,-4,4
FHWG.F,,,-4,0
FPE3_p.DE,Holding/Consolidation,,-4,4
FPE3_p.DE,"Asia-Pacific, Africa","325998, 324191",-4,4
FPE3_p.DE,North & Latin America,"325998, 324191",-4,4
FPE3_p.DE,EMEA,"325998, 324191",-4,4
HNDG.F,Frosta,311710,-4,2
HNDG.F,Copack,"311991, 311421",-4,2
HOTG.DE,HOCHTIEF Americas,"237990, 237310, 236220",-4,5
HOTG.DE,HOCHTIEF Asia Pacific,"237990, 237310, 236220",-4,5
HOTG.DE,HOCHTIEF Corporate Headquarters/Consolidation,,-4,5
HOTG.DE,HOCHTIEF Europe,"237990, 237310, 236220",-4,5
HOTG.DE,Hochtief Investments,488490,-4,5
KWSG.DE,Elimination,,-4,5
KWSG.DE,Corn,"111150, 111120, 111110",-4,5
KWSG.DE,Cereals,"111199, 111140, 111120",-4,5
KWSG.DE,Sugar Beet,111991,-4,5
KWSG.DE,Corporate,,-4,5
SZUG.DE,Crop Energies,325193,-4,4
SZUG.DE,Fruit,"311930, 311411",-4,4
SZUG.DE,Special Products (Ice Cream/Frozen Food),"424430, 424420, 311812, 311520",-4,4
SZUG.DE,Sugar,"424590, 424490, 325199, 311313",-4,4
TEGG.DE,services,531311,-4,2
TEGG.DE,rental,531110,-4,2
2HR.DE,Plastics,"326199, 325211",-4,5
2HR.DE,Other Activities,,-4,5
2HR.DE,Reconciliation,,-4,5
2HR.DE,ChemPharm Refining,"325613, 325612, 325110, 324110",-4,5
2HR.DE,ChemPharm Sales,"325620, 325613, 325612, 324110",-4,5
ECR.MC,Pharmaceuticals,325412,-4,4
ECR.MC,Intermediate Chemical,325199,-4,4
ECR.MC,Business Related to Chlorine,325180,-4,4
ECR.MC,Others,,-4,4
ENOR.MC,Corporate,,-4,4
ENOR.MC,Infrastructure,"221118, 237990, 237130, 237110",-4,4
ENOR.MC,Intersegment,,-4,4
ENOR.MC,Concessions,"237990, 237130, 237120",-4,4
ENC.MC,Eliminations,,-4,3
ENC.MC,Electricity,221122,-4,3
ENC.MC,Cellulose,322110,-4,3
TUBA.MC,Stainless Pipe,331210,-4,2
TUBA.MC,Carbon Pipe,331210,-4,2
PSG.MC,Technology,561612,-4,3
PSG.MC,LVGE Logistics,"561613, 541614",-4,3
PSG.MC,Security,"561612, 541511, 334290",-4,3
BOUY.PA,Bouygues Telecom,517112,-4,6
BOUY.PA,Property Development,"236220, 236118",-4,6
BOUY.PA,Bouygues SA & Other,,-4,6
BOUY.PA,TF1,"516210, 516120",-4,6
BOUY.PA,Bouygues Construction,"237310, 236220, 236118",-4,6
BOUY.PA,Colas,"237310, 236220",-4,6
DANO.PA,Water,312112,-4,4
DANO.PA,Specialized Nutrition,"311511, 311230",-4,4
DANO.PA,EDP Noram,"311514, 311511, 311422",-4,4
DANO.PA,EDP International,"311514, 311511, 311422",-4,4
CBLP.PA,Electrical Components and technologies,"335999, 335991",-4,2
CBLP.PA,Advanced Materials and Technologies,"335991, 334413",-4,2
CRIP.PA,Protective Films,"313310, 326113",-4,5
CRIP.PA,Luxury Materials,313310,-4,5
CRIP.PA,Non-Operating,,-4,5
CRIP.PA,Fashion Technologies,313310,-4,5
CRIP.PA,Museum Solutions,"313310, 236220",-4,5
VCTP.PA,Other Products & Services,"327332, 327331",-4,3
VCTP.PA,Cement,"327320, 327310",-4,3
VCTP.PA,Concrete & Aggregates,"212319, 212312",-4,3
RXL.PA,,,-4,0
EDSP.PA,Eliminations,,-4,4
EDSP.PA,Sales of Energy,221121,-4,4
EDSP.PA,Other Activities,"221118, 541330, 221122",-4,4
EDSP.PA,Electric Power Distribution,221122,-4,4
EEPC.PA,,,-4,0
SGEF.PA,VINCI Construction,541330,-4,6
SGEF.PA,VINCI Immobilier and Holding Companies,531120,-4,6
SGEF.PA,Eurovia,237310,-4,6
SGEF.PA,VINCI Energies,"561499, 541519, 237130",-4,6
SGEF.PA,Concessions,"561499, 533110",-4,6
SGEF.PA,Eliminations,,-4,6
IMTP.PA,Holdings,,-4,5
IMTP.PA,Performance Minerals,"212323, 325998",-4,5
IMTP.PA,High Resistance Minerals,"212390, 424690",-4,5
IMTP.PA,Energy Solutions & Specialties,424690,-4,5
IMTP.PA,Ceramic Materials,327120,-4,5
RUBF.PA,Rubis Energie,"424720, 424710",-4,4
RUBF.PA,Inter-Group,,-4,4
RUBF.PA,Parent Company,424710,-4,4
RUBF.PA,Ruby Support and services,"493190, 486110, 324110, 213112",-4,4
JCQ.PA,Stainless Steel/Stappert,423510,-4,5
JCQ.PA,Mechanical/IMS,423510,-4,5
JCQ.PA,Other,,-4,5
JCQ.PA,Eliminations,,-4,5
JCQ.PA,Jacquet ,331110,-4,5
LEGD.PA,Italy,"423610, 335931, 238210",-4,5
LEGD.PA,France,"423610, 335931, 238210",-4,5
LEGD.PA,Rest of World,"423610, 335931, 238210",-4,5
LEGD.PA,Europe,"335931, 334419, 238210",-4,5
LEGD.PA,North and Central America,"423610, 335931, 238210",-4,5
LINP.PA,France Retail,"459110, 458210, 445110",-4,4
LINP.PA,Latam Retail,"459110, 458210, 445110",-4,4
LINP.PA,Holdings and Other Activities,445110,-4,4
LINP.PA,E-Commerce,459999,-4,4
LOEX.PA,France Retail,445110,-4,4
LOEX.PA,Latam Retail,445110,-4,4
LOEX.PA,Holdings Other,531120,-4,4
LOEX.PA,E-commerce,"459999, 445110",-4,4
MWDP.PA,Bureau Veritas,541380,-4,5
MWDP.PA,Stahl,"325411, 316110",-4,5
MWDP.PA,Constantia Flexibles,326199,-4,5
MWDP.PA,Cromology,325510,-4,5
MWDP.PA,Tsebo,"722320, 561720, 561621",-4,5
SABL.PA,Intersegment,,-4,3
SABL.PA,Company Management,551114,-4,3
SABL.PA,Agricultural/Alimentary,"311824, 424590, 311991, 311412",-4,3
SCHN.PA,Industrial Automation(Industry),"541511, 335999, 335931, 334290",-4,5
SCHN.PA,Secure Power (IT),"541511, 335999, 335931",-4,5
SCHN.PA,Medium Voltage(Infrastructure),"335311, 237990",-4,5
SCHN.PA,Low Voltage(Building),"335999, 335311, 237130",-4,5
SCHN.PA,Corporate costs,,-4,5
IMAF.PA,Housing,531120,-4,3
IMAF.PA,Other,,-4,3
IMAF.PA,Real Estate,531110,-4,3
TIPK.PA,Cold Foods,311412,-4,3
TIPK.PA,Dried Foods,424490,-4,3
TIPK.PA,Eliminations,,-4,3
JCI.N,Global Products,"334290, 333415",-4,4
JCI.N,Building Solutions EMEA/LA,,-4,4
JCI.N,Building Solutions Asia Pacific,"334290, 333415, 333414",-4,4
JCI.N,Building Solutions North America,"334290, 333415, 333414",-4,4
SDY.L,Uk and Ireland,532412,-4,3
SDY.L,International,532412,-4,3
SDY.L,Corporate Items,,-4,3
ALUG.L,Water Management,"332323, 327332, 326199, 237110",-4,3
ALUG.L,Housebuilding Products & Ancillaries,"335210, 332119, 332913, 332311",-4,3
ALUG.L,"Architectural Screening, Solar Shading & Balconies","333414, 238220",-4,3
AHT.L,Sunbelt US,"532490, 532412",-4,4
AHT.L,Corporate Costs,,-4,4
AHT.L,Sunbelt UK,"532490, 532412",-4,4
AHT.L,Sunbelt Canada,"532490, 532412",-4,4
GL9.I,All other segments and unallocated,,-4,4
GL9.I,Glanbia Ireland,"424430, 311513, 311512, 311511",-4,4
GL9.I,Glanbia Performance Nutrition,"311513, 311512, 311511, 311111",-4,4
GL9.I,GLanbia Nutritionals,"424430, 311513, 311512, 311511",-4,4
BALF.L,Corporate Costs,,-4,4
BALF.L,Support Services,"541330, 336510, 237130",-4,4
BALF.L,Infrastructure Investments,"541330, 541310, 237310, 236220",-4,4
BALF.L,Construction Services,"541330, 237990, 236220, 236210",-4,4
BOOT.L,Property Investment and Development,"541320, 532412, 531120, 236116",-4,5
BOOT.L,Land Promotion,237210,-4,5
BOOT.L,Group Overheads,,-4,5
BOOT.L,Eliminations,,-4,5
BOOT.L,Construction,"237990, 236220, 236116, 236115",-4,5
BNZL.L,UK & Ireland,"424410, 424210, 424130, 339999",-4,5
BNZL.L,Continental Europe,"424410, 424210, 424130, 339999",-4,5
BNZL.L,North America,"424410, 424210, 424130, 339999",-4,5
BNZL.L,Rest of the World,"424410, 424210, 424130, 339999",-4,5
BNZL.L,Corporate,,-4,5
CARRC.L,Agriculture,"423820, 325312, 311119",-4,2
CARRC.L,Engineering,541330,-4,2
COSG.L,Central Costs,,-4,4
COSG.L,Infrastructure,"541330, 237990, 237310",-4,4
COSG.L,Natural Resources,"237990, 237110",-4,4
COSG.L,Alcaidesa,713910,-4,4
CWK.L,,,-4,0
CRH.N,Europe Materials,"327310, 324122",-4,3
CRH.N,Americas Materials,"327320, 324122",-4,3
CRH.N,Building Products,"333112, 327320, 327310",-4,3
GFRD.L,PPP Investments,"525990, 237990, 236220",-4,4
GFRD.L,Infrastructure,"237990, 236220",-4,4
GFRD.L,Central,,-4,4
GFRD.L,Building,236220,-4,4
REDD.L,Corporate,,-4,3
REDD.L,Northgate Spain,532120,-4,3
REDD.L,Northgate Uk & Ireland,532120,-4,3
GRI.L,All Other Segments,,-4,3
GRI.L,Reversionary,"523940, 531110",-4,3
GRI.L,PRS,531110,-4,3
GHE.L,Investment,525990,-4,3
GHE.L,Central,,-4,3
GHE.L,Strategic equity,523940,-4,3
HILS.L,Infrastructure Products,"333519, 331110, 332812",-4,2
HILS.L,Galvanising Services,"333519, 332812",-4,2
IBST.L,Unallocated & elimination,,-4,3
IBST.L,UK Concrete,327390,-4,3
IBST.L,UK Clay,327120,-4,3
JSG.L,Other Segments,,-4,3
JSG.L,WorkWear,"812332, 812320",-4,3
JSG.L,HORECA,812331,-4,3
KMR.L,Moma Titanium Minerals Mine,212290,-4,1
KYGa.I,Unallocated & Group Eliminations,,-4,3
KYGa.I,Taste & Nutrition,"311999, 311930, 311514",-4,3
KYGa.I,Consumer Foods,"311514, 311513, 311411",-4,3
LISN.S,North America,311351,-4,3
LISN.S,Europe,311351,-4,3
LISN.S,Rest of the World,311351,-4,3
RNWH.L,Inter divisional turnover,,-4,4
RNWH.L,Specialist Building,236210,-4,4
RNWH.L,Central Activities,"531120, 531110",-4,4
RNWH.L,Engineering services,"562910, 541330, 238990",-4,4
MKS.L,UK Clothing & Home,"459999, 458110",-4,4
MKS.L,UK Food,"445298, 722330, 445291, 445110",-4,4
MKS.L,Franchised,"455110, 423990",-4,4
MKS.L,Owned,455110,-4,4
MSLH.L,Other,,-4,2
MSLH.L,Landscape,"327120, 333112, 327991, 327390",-4,2
RAT.L,Investment Management,523940,-4,4
RAT.L,Funds,523940,-4,4
RAT.L,Indirect Expenses,,-4,4
RAT.L,Unallocated,,-4,4
RTO.L,Asia,"561730, 561720, 561710",-4,13
RTO.L,Discontinued Operations,,-4,13
RTO.L,Unallocated,,-4,13
RTO.L,UK & Ireland,"561720, 561710",-4,13
RTO.L,France,812332,-4,13
RTO.L,Rest of World,561720,-4,13
RTO.L,Central and regional overheads,,-4,13
RTO.L,Benelux,"561720, 561710",-4,13
RTO.L,Germany,"562211, 561720, 561710",-4,13
RTO.L,Southern Europe,561710,-4,13
RTO.L,Latin America,"561730, 561720, 561710",-4,13
RTO.L,Pacific,"561730, 561720, 561710",-4,13
RTO.L,North America,"561730, 561720, 561710",-4,13
RCDO.L,Perfromance Products,541511,-4,6
RCDO.L,All other segments,,-4,6
RCDO.L,Defense,"513210, 541330",-4,6
RCDO.L,Automative & Industrial,"336320, 336310, 513210, 336110",-4,6
RCDO.L,Rail,"541690, 488210",-4,6
RCDO.L,Energy & Environmental,"336110, 541690, 541620",-4,6
SDR.L,Wealth Management,"523940, 522110",-4,2
SDR.L,Asset Management,523940,-4,2
SRP.L,AsPac,"561210, 541990, 541612, 488999",-4,5
SRP.L,Americas,561210,-4,5
SRP.L,Middle East,561210,-4,5
SRP.L,Corporate,,-4,5
SRP.L,UK & Europe,"561210, 541990, 541612",-4,5
SFR.L,,,-4,0
RWI.L,Intersegmental Turnover,,-4,5
RWI.L,Hazardous Waste,"562920, 562211",-4,5
RWI.L,Muncipal,"562213, 562211, 562111",-4,5
RWI.L,Commercial Waste,,-4,5
RWI.L,Monostreams,"562119, 562112, 562111",-4,5
MGNS.L,Group activities,,-4,8
MGNS.L,Urban Regeneration,"541310, 236220",-4,8
MGNS.L,Investments,236220,-4,8
MGNS.L,Fit Out,"541410, 236220",-4,8
MGNS.L,Eliminations,,-4,8
MGNS.L,Construction & Infrastructure,"541330, 237990, 237310, 236220",-4,8
MGNS.L,Partnership housing,"236116, 236115",-4,8
MGNS.L,Property Services,236220,-4,8
SMIN.L,Smiths Detection,334419,-4,4
SMIN.L,John Crane,"333248, 339991, 333613",-4,4
SMIN.L,Flex-Tek,"333248, 332919, 332911",-4,4
SMIN.L,Smiths Interconnect,334419,-4,4
PNN.L,Water,"562219, 221320, 221310",-4,5
PNN.L,Other,,-4,5
PNN.L,Intra-segment Trading,,-4,5
PNN.L,Non-household retail,"562219, 221320, 221310",-4,5
PNN.L,Discontinued Operations,,-4,5
TATE.L,Primary Products,"311314, 311999, 311221",-4,3
TATE.L,Sucralose,"311314, 311313",-4,3
TATE.L,Food & Beverage Solutions,"311999, 311930",-4,3
TET.L,,,-4,0
VLX.L,Integrated Manufacturing services,"334417, 334220",-4,2
VLX.L,Power Products,335931,-4,2
FERG.N,,,-4,0
NESN.S,Nestle Waters,312112,-4,6
NESN.S,Zone AMS,"312111, 311991, 311514, 311111",-4,6
NESN.S,Zone AOA,"312111, 311991, 311514, 311422",-4,6
NESN.S,Other businesses,"423440, 325411",-4,6
NESN.S,Zone EMENA,"311351, 312111, 311991, 311111",-4,6
NESN.S,Unallocated Items,,-4,6
BELL.S,,,-4,0
GAV.S,,,-4,0
SGSN.S,"Oil, Gas & Chemical Services","541380, 488999",-4,9
SGSN.S,Minerals,"541380, 488999",-4,9
SGSN.S,Consumer and Retail,"541690, 541380",-4,9
SGSN.S,Industrial,"541380, 541330",-4,9
SGSN.S,Agriculture Food and Life,"541380, 488999",-4,9
SGSN.S,"Environment, Health and Safety","541620, 541380, 541330",-4,9
SGSN.S,Transportation,541380,-4,9
SGSN.S,Certification and Business Enhancement,541380,-4,9
SGSN.S,Government & Institutions,"921190, 541620, 541618, 541611",-4,9
HOLN.S,Corporate/Eliminations,,-4,6
HOLN.S,North America,"327320, 327310, 212321, 212312",-4,6
HOLN.S,Middle East africa,"327320, 327310, 212321, 212312",-4,6
HOLN.S,Latin America,"327320, 327310, 212321, 212312",-4,6
HOLN.S,Europe,"327320, 327310, 212321, 212312",-4,6
HOLN.S,Asia pacific,"327320, 327310, 212321, 212312",-4,6
ISN.S,,,-4,0
LEHN.S,Industrial,334515,-4,2
LEHN.S,Automotive,"335999, 334515",-4,2
METG.S,,,-4,0
MIKN.S,Machining Solutions,"333517, 333248, 333511",-4,3
MIKN.S,Corporate/Eliminations,,-4,3
MIKN.S,Automation,326199,-4,3
STLN.S,Eliminations,,-4,4
STLN.S,Production,331110,-4,4
STLN.S,Sales and Services,423510,-4,4
STLN.S,Other,,-4,4
PMN.S,,,-4,0
VONN.S,Asset Management ,523940,-4,4
VONN.S,Investment Banking,523150,-4,4
VONN.S,Corporate Centre,523999,-4,4
VONN.S,Wealth Management,523940,-4,4
WARN.S,Commercial Property,"531312, 531120, 531110",-4,5
WARN.S,Development Property,531110,-4,5
WARN.S,Various-Use Property,"531120, 531110",-4,5
WARN.S,Housing Property,531110,-4,5
WARN.S,Adjustment,,-4,5
ZEHN.S,Radiators,"333415, 333414",-4,2
ZEHN.S,Ventilation,"333413, 333415, 333414",-4,2
ZWM.S,,,-4,0
TRMDa.CO,,,-4,0
SPGP.CO,,,-4,0
NKT.CO,NKT Cables Group,"331420, 332618",-4,3
NKT.CO,NKT Photonics,"541330, 334413",-4,3
NKT.CO,Intersegment Transactions,,-4,3
PAALb.CO,Pipe Technologies,237110,-4,3
PAALb.CO,Ground Engineering,"237130, 236210",-4,3
PAALb.CO,Construction,237310,-4,3
SCHO.CO,BioMar,311119,-4,6
SCHO.CO,Fibertex Personal Care,313230,-4,6
SCHO.CO,The Hydra-Grene Group,333996,-4,6
SCHO.CO,Fibertex Nonwovens,314999,-4,6
SCHO.CO,GPV,335139,-4,6
SCHO.CO,Borg,811111,-4,6
ARBN.AS,Food Ingredients,"445230, 311930",-4,5
ARBN.AS,Spices and Nuts,"424590, 311942",-4,5
ARBN.AS,Edible Seeds,424910,-4,5
ARBN.AS,Tea,"445298, 311920",-4,5
ARBN.AS,Other,,-4,5
SLIGR.AS,,,-4,0
TWKNc.AS,Industrial Solutions,"335929, 335921",-4,4
TWKNc.AS,Other,,-4,4
TWKNc.AS,Telecom Solutions,"335929, 335921",-4,4
TWKNc.AS,Building Solutions,"331420, 335921",-4,4
NHY.OL,Other Activities,,-4,7
NHY.OL,Energy,331313,-4,7
NHY.OL,Rolled Products,331318,-4,7
NHY.OL,Metal Markets,"331313, 331314",-4,7
NHY.OL,Primary Metal,"331313, 331314",-4,7
NHY.OL,Bauxite & Alumina,"331313, 212290, 331314",-4,7
NHY.OL,Extruded Solutions,331313,-4,7
ODF.OL,Tank Terminals,488310,-4,4
ODF.OL,Chemical Tankers,483111,-4,4
ODF.OL,Gas Carriers,483111,-4,4
ODF.OL,Adjustments,,-4,4
VEI.OL,Other,"237310, 237210",-4,8
VEI.OL,Group Eliminations,,-4,8
VEI.OL,Property Development Sweden,"237310, 237210",-4,8
