Instrument,year,has ren segment,number of segments
000537.SZ,-14,False,3
000537.SZ,-14,False,3
000537.SZ,-14,False,3
000539.SZ,-14,False,4
000539.SZ,-14,False,4
000539.SZ,-14,False,4
000539.SZ,-14,False,4
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000629.SZ,-14,False,12
000883.SZ,-14,False,2
000883.SZ,-14,False,2
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002060.SZ,-14,False,8
002545.SZ,-14,False,0
071320.KS,-14,False,3
071320.KS,-14,False,3
071320.KS,-14,False,3
1811.HK,-14,False,0
2083.SE,-14,False,0
2380.HK,-14,True,3
2380.HK,-14,False,3
2380.HK,-14,False,3
300569.SZ,-14,False,0
300772.SZ,-14,False,0
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
3038.T,-14,False,8
5110.SE,-14,False,0
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
5711.T,-14,False,14
600011.SS,-14,False,0
600025.SS,-14,False,0
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600116.SS,-14,False,12
600236.SS,-14,False,0
600409.SS,-14,False,4
600409.SS,-14,False,4
600409.SS,-14,False,4
600409.SS,-14,False,4
600459.SS,-14,False,0
600674.SS,-14,False,7
600674.SS,-14,False,7
600674.SS,-14,False,7
600674.SS,-14,False,7
600674.SS,-14,False,7
600674.SS,-14,False,7
600674.SS,-14,False,7
600795.SS,-14,False,10
600795.SS,-14,False,10
600795.SS,-14,True,10
600795.SS,-14,False,10
600795.SS,-14,False,10
600795.SS,-14,False,10
600795.SS,-14,False,10
600795.SS,-14,True,10
600795.SS,-14,False,10
600795.SS,-14,False,10
600886.SS,-14,False,0
600905.SS,-14,False,0
600995.SS,-14,False,0
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
601088.SS,-14,False,8
