Instrument,Segment Name,year
000537.SZ,New energy power,FY0
000539.SZ,Electricity and Related Produtcs,FY0
000629.SZ,Vanadium products,FY0
000629.SZ,Titanium products,FY0
000629.SZ,Other Products,FY0
000629.SZ,Electricity,FY0
000629.SZ,Other business,FY0
000883.SZ,Hydroelectric Power,FY0
000883.SZ,Other,FY0
000883.SZ,Thermal Power,FY0
000883.SZ,Coal,FY0
000883.SZ,New energy,FY0
000883.SZ,Eliminations,FY0
002060.SZ,Other,FY0
002060.SZ,Engineering Construction,FY0
002060.SZ,Exploration design,FY0
002060.SZ,Power,FY0
002060.SZ,Product sales,FY0
002545.SZ,Other,FY0
002545.SZ,Construction/Installation,FY0
002545.SZ,Tower Manufacturing,FY0
002545.SZ,Potash Fertilizer,FY0
002545.SZ,Photovoltaic Power Generation,FY0
071320.KS,Cold Water,FY0
071320.KS,Heat Segement,FY0
071320.KS,Electricity Segment,FY0
1811.HK,Management companies,FY0
1811.HK,Power Plants in the Korea,FY0
1811.HK,Power Plants in the Peoples Republic China,FY0
2083.SE,Corporate,FY0
2083.SE,Tawreed,FY0
2083.SE,JWAP,FY0
2083.SE,Gas,FY0
2083.SE,Eliminations,FY0
2083.SE,Power,FY0
2083.SE,Water,FY0
2380.HK,Hydropower Electricity,FY0
2380.HK,Coal Fired Electricity,FY0
2380.HK,Photovoltaic power electricity,FY0
2380.HK,Wind Power Electricity,FY0
2380.HK,Energy Storage,FY0
300569.SZ,Elimination,FY0
300569.SZ,Tower Manufacturing,FY0
300569.SZ,New energy,FY0
300772.SZ,Wind Industry,FY0
300772.SZ,Eliminations,FY0
300772.SZ,Wind power equipment and smart services,FY0
300772.SZ,New energy EPC general contracting business,FY0
3038.T,Super Business ,FY0
3038.T,Eliminations and Corporate,FY0
3038.T,Eco renewable energy,FY0
3038.T,Other,FY0
3038.T,Restaurant/takeout business,FY0
5110.SE,Elimination Intercompany transactions,FY0
5110.SE,Other subsidiares,FY0
5110.SE,National Grid Company,FY0
5110.SE,Saudi Electricity Company,FY0
5711.T,Other Businesses,FY0
5711.T,Eliminations and Corporate,FY0
5711.T,Energy System,FY0
5711.T,Processing Business,FY0
5711.T,Metal business,FY0
5711.T,High-performance products,FY0
600011.SS,Other divisions,FY0
600011.SS,Overseas Power Division,FY0
600011.SS,China Power Division,FY0
600025.SS,Others,FY0
600025.SS,Electricity,FY0
600116.SS,Electricity,FY0
600116.SS,Eliminations,FY0
600116.SS,Manganese Industry Sector,FY0
600116.SS,Other plates,FY0
600236.SS,Hydraulic power generation,FY0
600236.SS,Other,FY0
600236.SS,Thermal power generation,FY0
600236.SS,Wind power generation,FY0
