Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentCode,number of segments
BRKa.N,Reconciliation,,-3,,,,7.0
BRKa.N,Insurance Group,"524130, 524126",-3,,,,7.0
BRKa.N,Service and Retailing,"449110, 611512",-3,,,,7.0
BRKa.N,McLane Company,424410,-3,,,,7.0
BRKa.N,BNSF,482111,-3,,,,7.0
BRKa.N,Manufacturing businesses,333517,-3,,,,7.0
BRKa.N,Berkshire Hathway Energy Company,"531210, 221122",-3,,,,7.0
GE.N,Renewable Energy,"335311, 333611",-3,,,,5.0
GE.N,Healthcare,"423450, 334510",-3,,,,5.0
GE.N,Aviation,"336413, 336412",-3,,,,5.0
GE.N,Corporate items,,-3,,,,5.0
GE.N,Power,"335311, 213112",-3,,,,5.0
MMM.N,Corporate and Unallocated,,-3,,,,6.0
MMM.N,Health Care,"339114, 339113, 339112",-3,,,,6.0
MMM.N,Elimination of Dual Credit,,-3,,,,6.0
MMM.N,Consumer,"322230, 339113",-3,,,,6.0
MMM.N,Transportation and Electronics,"811210, 423860",-3,,,,6.0
MMM.N,Safety and Industrial,"334515, 327910, 325520",-3,,,,6.0
TECK.N,Corporate,,-3,,,,6.0
TECK.N,Steelmaking Coal,"212115, 212114",-3,,,,6.0
TECK.N,Base and Other Metal,212230,-3,,,,6.0
TECK.N,Copper,212230,-3,,,,6.0
TECK.N,Energy,211120,-3,,,,6.0
TECK.N,Zinc,212230,-3,,,,6.0
WMT.N,Walmart International,"458110, 455211, 455110, 445110",-3,,,,3.0
WMT.N,Wal-Mart U.S.,"459999, 455110, 445110",-3,,,,3.0
WMT.N,Sam's Club,"455211, 445110",-3,,,,3.0
CLB.N,Reservoir Description,213112,-3,,,,3.0
CLB.N,Production Enhancement,"541330, 213112",-3,,,,3.0
CLB.N,Corporate and Other,,-3,,,,3.0
XOM.N,Chemicals,"325211, 325110, 324110",-3,,,,4.0
XOM.N,Corporate and financing,,-3,,,,4.0
XOM.N,Downstream,"211130, 325110",-3,,,,4.0
XOM.N,Upstream,211120,-3,,,,4.0
SAP.TO,Operating Segment-International,311511,-3,,,,4.0
SAP.TO,Operating Segment-USA,311512,-3,,,,4.0
SAP.TO,Operating Segment- Canada,311511,-3,,,,4.0
SAP.TO,Operating segment-Europe,311512,-3,,,,4.0
IGM.TO,Mackenzie Investments,523940,-3,,,,4.0
IGM.TO,Wealth Management,"523940, 523150, 523999",-3,,,,4.0
IGM.TO,Corporate and Other,,-3,,,,4.0
IGM.TO,Adjustments,,-3,,,,4.0
L.TO,Retail,"458110, 456110, 445110",-3,,,,3.0
L.TO,Financial services,"517810, 524210, 522390, 522210",-3,,,,3.0
L.TO,Elimination,,-3,,,,3.0
WN.TO,Weston Foods,"311813, 311812",-3,,,,4.0
WN.TO,Other,,-3,,,,4.0
WN.TO,Loblaw,"456110, 522220, 445110",-3,,,,4.0
WN.TO,Choice Properties,"531120, 531110",-3,,,,4.0
MDLZ.OQ,North America,"311351, 311821, 311513, 311340",-3,,,,4.0
