Instrument,Segment Name,year
5110.SE,Other subsidiares,FY-5
5110.SE,National Grid Company,FY-5
5110.SE,Saudi Electricity Company,FY-5
5110.SE,Joint Operations,FY-5
5711.T,Other Businesses,FY-5
5711.T,Eliminations and Corporate,FY-5
5711.T,Cement Business,FY-5
5711.T,Aluminum Business,FY-5
5711.T,Processing Business,FY-5
5711.T,Electronic Materials Business,FY-5
5711.T,Metal business,FY-5
600011.SS,Other divisions,FY-5
600011.SS,Overseas Power Division,FY-5
600011.SS,China Power Division,FY-5
600025.SS,Others,FY-5
600025.SS,Electricity,FY-5
600116.SS,Design and Installation,FY-5
600116.SS,Electricity,FY-5
600116.SS,Irrigation Products,FY-5
600116.SS,Other Business,FY-5
600116.SS,Steam Sale,FY-5
600116.SS,Eliminations,FY-5
600236.SS,Hydraulic power generation,FY-5
600236.SS,Thermal power generation,FY-5
600236.SS,Wind power generation,FY-5
600236.SS,Elimination,FY-5
600409.SS,Electricity & Steam,FY-5
600409.SS,Chemical Industry,FY-5
600409.SS,Intercompany Elimination,FY-5
600409.SS,Other,FY-5
600409.SS,Mining,FY-5
600459.SS,Noble Metal Renewable Source,FY-5
600459.SS,Vehicle Catalyst Treater,FY-5
600459.SS,Noble Metal Trading,FY-5
600459.SS,Noble Metal Info. Feature Material,FY-5
600459.SS,Noble Metal Special Feature Material,FY-5
600459.SS,Noble Metal Industry Catalyst,FY-5
600459.SS,Noble Metal Precursor Material,FY-5
600674.SS,Other Operations,FY-5
600674.SS,Electricity Industry,FY-5
600674.SS,Other Main,FY-5
600795.SS,Heat Energy Generation,FY-5
600795.SS,Others,FY-5
600795.SS,Coal Selling,FY-5
600795.SS,Chemical Products,FY-5
600795.SS,Hydroelectric Power Generation,FY-5
600795.SS,Intercompany Eliminations,FY-5
600886.SS,Others,FY-5
600886.SS,Other Business,FY-5
600886.SS,Electric Power,FY-5
600905.SS,,FY-5
600995.SS,Power Industry,FY-5
600995.SS,Design,FY-5
600995.SS,Eliminations,FY-5
601088.SS,Undistributed,FY-5
601088.SS,Harbor,FY-5
601088.SS,Railroad,FY-5
601088.SS,Shipping,FY-5
601088.SS,Coal,FY-5
601088.SS,Electric Power Generation,FY-5
601088.SS,Coal chemical,FY-5
601088.SS,Eliminations,FY-5
6013.T,Eliminations and Corporate,FY-5
6013.T,Business Environment and Energy (Domestic),FY-5
6013.T,Business Environment and Energy (Overseas),FY-5
6013.T,Thermal energy consumer business,FY-5
6013.T,Business equipment and systems,FY-5
601778.SS,EPC business of photovoltaic power station,FY-5
601778.SS,Photovoltaic power generation operation business,FY-5
601991.SS,Power Generation,FY-5
601991.SS,Other,FY-5
601991.SS,Coal Sales,FY-5
603212.SS,Electronic and electrical materials,FY-5
603212.SS,Industrial tape material,FY-5
603212.SS,Photovoltaic materials,FY-5
603212.SS,others,FY-5
6504.T,Other,FY-5
6504.T,Eliminations and Corporate,FY-5
6504.T,Electronic Devices Business,FY-5
6504.T,Food Circulation,FY-5
6504.T,Generation,FY-5
6504.T,Power Electronics System· Industry Solution,FY-5
6504.T,Power Electronics System· Energy Solution,FY-5
6806.TW,Other,FY-5
6806.TW,Kunshan Jiuwei,FY-5
6806.TW,Xingwei,FY-5
688599.SS,Smart Energy,FY-5
688599.SS,Sales of Photovoltaic Power Plants,FY-5
688599.SS,Photovoltaic Power Station Construction Management,FY-5
688599.SS,System Products,FY-5
688599.SS,Photovoltaic Products,FY-5
8031.T,,FY-5
9505.T,Eliminations and Corporate,FY-5
9505.T,Other,FY-5
9505.T,Electric Power Industry,FY-5
9513.T,Eliminations and Corporate,FY-5
9513.T,Other Businesses,FY-5
9513.T,Electric Power Industry,FY-5
9513.T,Power-Related Businesses Peripheral,FY-5
9513.T,Overseas Business,FY-5
9531.T,Gas,FY-5
9531.T,Other Businesses,FY-5
9531.T,Eliminations and Corporate,FY-5
9531.T,Immovable property,FY-5
9531.T,Real Estate,FY-5
9531.T,Energy-related,FY-5
9531.T,Electricity,FY-5
9531.T,Overseas,FY-5
A2.MI,Other Services,FY-5
A2.MI,Eliminations,FY-5
A2.MI,Environment,FY-5
A2.MI,Commercial,FY-5
A2.MI,Generation and Trading,FY-5
A2.MI,International,FY-5
A2.MI,A2A Smart City,FY-5
A2.MI,Smart Infrastructures,FY-5
ACOx.TO,Corporate & Others,FY-5
ACOx.TO,Electricity,FY-5
ACOx.TO,Structures & Logistics,FY-5
ACOx.TO,Intersegment Eliminations,FY-5
ACOx.TO,pipelines and liquids,FY-5
ADAI.NS,Transmission,FY-5
ADAI.NS,Trading,FY-5
ADAI.NS,Eliminations,FY-5
ADAI.NS,Mumbai GTD Business,FY-5
AEP.OQ,General and Marketing,FY-5
AEP.OQ,Corporate & Other,FY-5
AEP.OQ,Transmission Operations,FY-5
AEP.OQ,Vertically integrated Utilities,FY-5
AEP.OQ,Reconciling Adjustments,FY-5
AEP.OQ,AEP Transmission Holdco,FY-5
AEP.OQ,Transmission & Distribution utilities,FY-5
AES.N,MCAC SBU,FY-5
AES.N,Corporate and Other,FY-5
AES.N,Elimination,FY-5
AES.N,Eurasia SBU,FY-5
AES.N,South America SBU,FY-5
AES.N,US and Utilities SBU,FY-5
AEV.PS,Parent Company and Others,FY-5
AEV.PS,Food Manufacturing,FY-5
AEV.PS,Financial Services,FY-5
AEV.PS,Power,FY-5
AEV.PS,Real Estate,FY-5
AEV.PS,Infrastracture,FY-5
ALS.TO,,FY-5
AP.PS,Eliminations,FY-5
AP.PS,Power Distribution,FY-5
AP.PS,Parent Company/Others,FY-5
AP.PS,Power Generation,FY-5
ARG.CN,Sale of Cement,FY-5
ARG.CN,Financial Activity,FY-5
ARG.CN,Sale of Energy and Gas,FY-5
ARG.CN,Real Estate,FY-5
ARG.CN,Concessions,FY-5
ARG.CN,Carbon,FY-5
AVA.N,Intersegment Eliminations,FY-5
AVA.N,Avista Utilities,FY-5
AVA.N,Other,FY-5
AVA.N,Alaska Electric Light and Power Company,FY-5
AVNT.NS,Power,FY-5
AVNT.NS,Shrimp Processing,FY-5
AVNT.NS,Shrimp Feed,FY-5
AWR.N,GSCW Electric,FY-5
AWR.N,GSCW Water,FY-5
AWR.N,AWR Parent,FY-5
AWR.N,ASUS Contracts,FY-5
AY.OQ,Efficient natural gas,FY-5
AY.OQ,Renewable energy,FY-5
AY.OQ,Electric transmission lines,FY-5
AY.OQ,Water,FY-5
BEPC.N,Hydroelectric,FY-5
BEPC.N,Wind,FY-5
BEPC.N,Storage and Other,FY-5
BEPC.N,Contribution from equity-accounted investments,FY-5
BEPC.N,Attributable to non-controlling interests,FY-5
BEP_u.TO,Hydroelectric,FY-5
BEP_u.TO,Wind,FY-5
BEP_u.TO,Corporate,FY-5
BEP_u.TO,Unallocated,FY-5
BEP_u.TO,Energy Transition,FY-5
BKH.N,Corporate,FY-5
BKH.N,Gas Utilities,FY-5
BKH.N,Coal Mining,FY-5
BKH.N,Electric utilities,FY-5
BKH.N,Power Generation,FY-5
BKH.N,Eliminations,FY-5
BKH.N,Mining,FY-5
BN.N,Corporate activities,FY-5
BN.N,Renewable/Power Generating Operations,FY-5
BN.N,Residential Development,FY-5
BN.N,Real Estate,FY-5
BN.N,Private Equity & Finance,FY-5
BN.N,Asset Management,FY-5
BN.N,Infrastructure,FY-5
BP.L,Other businesses & corporate,FY-5
BP.L,Upstream,FY-5
BP.L,Down Stream,FY-5
BP.L,Consolidated Adjustment,FY-5
BP.L,Rosneft,FY-5
CBAV3.SA,,FY-5
CMIG4.SA,Telecommunication,FY-5
CMIG4.SA,Distribution,FY-5
CMIG4.SA,Gas,FY-5
CMIG4.SA,Elimination,FY-5
CMIG4.SA,Generation,FY-5
CMIG4.SA,Transmission,FY-5
CMIG4.SA,Other,FY-5
CMS.N,Gas Utility,FY-5
CMS.N,Enterprises,FY-5
CMS.N,Electric Utility,FY-5
CMS.N,EnerBank,FY-5
CPFE3.SA,Power Generation,FY-5
CPFE3.SA,Other,FY-5
CPFE3.SA,Energy Trading,FY-5
CPFE3.SA,Energy Distribution,FY-5
CPFE3.SA,Power Generation (Renewable Sources),FY-5
CPFE3.SA,Services,FY-5
CRBR.NS,Power,FY-5
CRBR.NS,IT Services,FY-5
CRBR.NS,Electrominerals,FY-5
CRBR.NS,Ceramics,FY-5
CRBR.NS,Abrasives,FY-5
CSNA3.SA,Steel and New Businesses,FY-5
CSNA3.SA,Energy and Infrastructure,FY-5
CSNA3.SA,Eliminations,FY-5
CSNA3.SA,Mining,FY-5
CSNA3.SA,Railway Logistics,FY-5
CSNA3.SA,Port Logistics,FY-5
CSNA3.SA,Cement,FY-5
CU.TO,Corporate and other,FY-5
CU.TO,Intersegment Eliminations,FY-5
CU.TO,Utilities - Electricity,FY-5
CU.TO,Pipelines and liquids,FY-5
DEHr.AT,Generation,FY-5
DEHr.AT,Mines,FY-5
DEHr.AT,Eliminations,FY-5
DEHr.AT,Supply,FY-5
DEHr.AT,Distribution Network,FY-5
DEHr.AT,HEDNO,FY-5
DEHr.AT,IPTO,FY-5
DEHr.AT,Groups Other companies,FY-5
DUK.N,Eliminations And Minority Interest,FY-5
DUK.N,Other,FY-5
DUK.N,Commercial Renewables,FY-5
DUK.N,Gas Utilities and Infrastructure,FY-5
DUK.N,Electric Utilities and Infrastructure,FY-5
EDP.LS,EDP Renovaveis,FY-5
EDP.LS,EDP Energias do Brasil,FY-5
EDP.LS,Regulated Networks,FY-5
EDP.LS,Intragroup,FY-5
EDP.LS,Adjustments,FY-5
EDP.LS,Generation & Supply,FY-5
ELE.MC,Spanish & Portuguese Distribution,FY-5
ELE.MC,Spanish & Portuguese Generation,FY-5
ELE.MC,Spanish & Portuguese Structure,FY-5
ELE.MC,Spanish & Portuguese Other & Eliminations,FY-5
ELET6.SA,Transmission,FY-5
ELET6.SA,Generation,FY-5
ELET6.SA,Distribution,FY-5
ELET6.SA,Administration,FY-5
ELET6.SA,Eliminations,FY-5
EMA.TO,Caribbean Utility Operations,FY-5
EMA.TO,Maine Utility Operations,FY-5
EMA.TO,Other,FY-5
EMA.TO,Nova Scotia Power,FY-5
EMA.TO,Emera Energy,FY-5
EMA.TO,Inter-Segment Eliminations,FY-5
EMA.TO,NSPI,FY-5
EMA.TO,Emera Florida,FY-5
ENAE.WA,Trading,FY-5
ENAE.WA,Production,FY-5
ENAE.WA,Other,FY-5
ENAE.WA,Eliminations,FY-5
ENAE.WA,Distribution,FY-5
ENAE.WA,Extraction,FY-5
ENEI.MI,Italian Market,FY-5
ENEI.MI,"Other, Eliminations and Adjustments",FY-5
ENEI.MI,Latin America,FY-5
ENEI.MI,Iberia,FY-5
ENEI.MI,Europa and North Africa,FY-5
ENEI.MI,Africa Sub-Saharian and Asia,FY-5
ENEI.MI,North and Central America,FY-5
ENGIE.PA,Other,FY-5
ENGIE.PA,GEM & GNL,FY-5
ENGIE.PA,Latin America,FY-5
ENGIE.PA,Africa / Asia,FY-5
ENGIE.PA,France,FY-5
ENGIE.PA,North America,FY-5
ENGIE.PA,Benelux,FY-5
ENGIE.PA,Europe excluding France & Benelux,FY-5
ENGIE.PA,Infrastractures Europe,FY-5
ENJSA.IS,Elimination,FY-5
ENJSA.IS,Undistubuted,FY-5
ENJSA.IS,Retail,FY-5
ENJSA.IS,Distribution,FY-5
ENLT.TA,Adjustments,FY-5
ENLT.TA,Wind,FY-5
ENLT.TA,PV,FY-5
EONGn.DE,Renewable Energy Generation,FY-5
EONGn.DE,Customer Solutions - UK,FY-5
EONGn.DE,Consolidation,FY-5
EONGn.DE,Customer Solutions - Other,FY-5
EONGn.DE,PreussenElektra,FY-5
EONGn.DE,Corporate Functions/Other,FY-5
EONGn.DE,Energy Network Germany,FY-5
EONGn.DE,Energy Networks Sweden,FY-5
EONGn.DE,Customer Solutions - Germany,FY-5
EONGn.DE,Energy Networks CEE/Turkey,FY-5
EONGn.DE,Generation Turkey,FY-5
ETR.N,All Other,FY-5
ETR.N,Eliminations,FY-5
ETR.N,Entergy Wholsale commodoties,FY-5
ETR.N,Utility,FY-5
EXC.OQ,BGE,FY-5
EXC.OQ,ComEd,FY-5
EXC.OQ,Corporate/Other,FY-5
EXC.OQ,Generation,FY-5
EXC.OQ,PECO,FY-5
EXC.OQ,Intersegment Eliminations,FY-5
EXC.OQ,PHI,FY-5
FGEN.PS,Elimination,FY-5
FGEN.PS,FGP,FY-5
FGEN.PS,FG Hydro,FY-5
FGEN.PS,FGPC,FY-5
FGEN.PS,Others,FY-5
FGEN.PS,EDC,FY-5
FGEN.PS,Prime Meridian,FY-5
FGEN.PS,FNPC,FY-5
FORTUM.HE,Russia,FY-5
FORTUM.HE,Generation,FY-5
FORTUM.HE,Other Operations,FY-5
FORTUM.HE,Netting of Nord Pool Transactions,FY-5
FORTUM.HE,City Solutions,FY-5
FORTUM.HE,Elimination,FY-5
FORTUM.HE,Consumer Solutions,FY-5
FTEK.OQ,Other,FY-5
FTEK.OQ,Air Pollution Control,FY-5
FTEK.OQ,Fuel Chem,FY-5
FTS.TO,Other Electric,FY-5
FTS.TO,Corporate and other,FY-5
FTS.TO,Intersegment eliminations,FY-5
FTS.TO,Fortis Alberta,FY-5
FTS.TO,Electirc Caribbean,FY-5
FTS.TO,Energy infrastructure,FY-5
FTS.TO,FortisBC Energy,FY-5
FTS.TO,Fortis BC Electric,FY-5
FTS.TO,Central Hudson,FY-5
FTS.TO,UNS Energy,FY-5
FTS.TO,ITC,FY-5
GEG.HM,,FY-5
GPSC.BK,Others,FY-5
GPSC.BK,Independent Power,FY-5
GPSC.BK,Small Power,FY-5
GPSC.BK,Eliminations,FY-5
HARL.L,,FY-5
HDG.HM,Eliminations,FY-5
HDG.HM,Others,FY-5
HDG.HM,Real Estate,FY-5
HDG.HM,Construction,FY-5
HDG.HM,Hydroelectric,FY-5
HE.N,Electric Utility,FY-5
HE.N,Other,FY-5
HE.N,Bank,FY-5
HEGL.NS,Power generation,FY-5
HEGL.NS,Graphite ( including other carbon products ),FY-5
HEGL.NS,Unallocable items/Others,FY-5
HOLMb.ST,FOREST,FY-5
HOLMb.ST,WOOD PRODUCTS,FY-5
HOLMb.ST,GROUP-WIDE AND OTHER,FY-5
HOLMb.ST,PAPER BOARD,FY-5
HOLMb.ST,PAPER,FY-5
HOLMb.ST,RENEWABLE ENERGY,FY-5
IBE.MC,Other Business,FY-5
IBE.MC,Renewable Energy,FY-5
IBE.MC,Networks,FY-5
IBE.MC,Electricity Generation/Liberalized,FY-5
IDA.N,All Other,FY-5
IDA.N,Eliminations,FY-5
IDA.N,Utility Operations,FY-5
IDC.HN,,FY-5
LIGT3.SA,Eliminations,FY-5
LIGT3.SA,Other,FY-5
LIGT3.SA,Distribution,FY-5
LIGT3.SA,Generation,FY-5
LIGT3.SA,Commercialization,FY-5
LIGT3.SA,Services,FY-5
MGEE.OQ,Transmission Investment,FY-5
MGEE.OQ,All Others,FY-5
MGEE.OQ,Non Regulated Energy,FY-5
MGEE.OQ,Gas,FY-5
MGEE.OQ,Eliminations,FY-5
MGEE.OQ,Electric,FY-5
MPLF.PSX,,FY-5
NCLI.NS,Prefab Division,FY-5
NCLI.NS,Ready Mix Concrete Division,FY-5
NCLI.NS,Energy Division,FY-5
NCLI.NS,Cement Division,FY-5
NCLI.NS,Boards Division,FY-5
NCLI.NS,Unallocated,FY-5
NEOE3.SA,,FY-5
NLCI.NS,Lignite Mining,FY-5
NLCI.NS,Power Generation,FY-5
NRG.N,Corporate,FY-5
NRG.N,Elimination,FY-5
NRG.N,Generation,FY-5
NRG.N,Retail,FY-5
NTPC.NS,Others,FY-5
NTPC.NS,Generation of energy,FY-5
NTPC.NS,Inter-Segment Eliminations,FY-5
ODAS.IS,Energy Production,FY-5
ODAS.IS,Energy Trading,FY-5
ODAS.IS,Eliminations,FY-5
ODAS.IS,Other,FY-5
ODAS.IS,Mining,FY-5
ORK.OL,Financial Investments,FY-5
ORK.OL,Orkla Foods Ingredients,FY-5
ORK.OL,H.O./Unallocated/Eliminations,FY-5
ORK.OL,Orkla Confectionery & Snacks,FY-5
ORK.OL,Hydro Power,FY-5
ORK.OL,Orkla Care,FY-5
ORK.OL,Elimination,FY-5
ORK.OL,Orkla Foods,FY-5
ORK.OL,Eliminations Group,FY-5
PAFO.NS,,FY-5
PC1.HM,Construction,FY-5
PC1.HM,Hydroelectricity,FY-5
PC1.HM,Other Activities,FY-5
PC1.HM,Manufacturing,FY-5
PC1.HM,Real Estate,FY-5
PEG.N,Other,FY-5
PEG.N,PSE&G,FY-5
PEG.N,PSEG Power & Other,FY-5
PEG.N,Eliminations,FY-5
PGRD.NS,Consultancy Services,FY-5
PGRD.NS,Transmission Services,FY-5
PGRD.NS,Telecom Services,FY-5
PGRD.NS,Eliminations,FY-5
PIF.TO,Geothermal Project,FY-5
PIF.TO,Others,FY-5
PIF.TO,Hydroelectric Project,FY-5
PTCI.NS,Unallocated,FY-5
PTCI.NS,Power Trading,FY-5
PTCI.NS,Investments,FY-5
RATCH.BK,Domestic Electricity Generating,FY-5
RATCH.BK,Others,FY-5
RATCH.BK,Renewable Energy,FY-5
RATCH.BK,International Power Projects,FY-5
RITS.NS,,FY-5
ROH2O.BX,,FY-5
RWEG.DE,Other/Consolidation,FY-5
RWEG.DE,European Power,FY-5
RWEG.DE,Innogy,FY-5
RWEG.DE,Lignite & Nuclear,FY-5
RWEG.DE,Supply & Trading,FY-5
SHEL.L,Corporate and Other,FY-5
SHEL.L,Upstream,FY-5
SHEL.L,Downstream,FY-5
SHEL.L,Integrated Gas,FY-5
SO.N,Reconciling Eliminations,FY-5
SO.N,All Other,FY-5
SO.N,Eliminations,FY-5
SO.N,Traditional Electric Operating Companies,FY-5
SO.N,Southern Power,FY-5
SO.N,Southern Company Gas,FY-5
SPI.OQ,,FY-5
SRG.MI,Natural gas-Tansportation,FY-5
SRG.MI,Re-Gasification (Regulated),FY-5
SRG.MI,Storage of natural gas,FY-5
SRG.MI,Corporate,FY-5
SSE.L,Retail,FY-5
SSE.L,Corporate unallocated,FY-5
SSE.L,Networks,FY-5
SSE.L,Wholesale,FY-5
SVT.L,Business Services,FY-5
SVT.L,Regulated Water and Waste Water,FY-5
SXC.N,Domestic Coke,FY-5
SXC.N,Corporate & Other,FY-5
SXC.N,Logistics,FY-5
SXC.N,Brazil Coke,FY-5
SXC.N,Elimination,FY-5
SXC.N,Logistics intersegment sales,FY-5
SXC.N,Corporate and other intersegment sales,FY-5
TA.TO,Corporate/Other,FY-5
TA.TO,Canadian Coal,FY-5
TA.TO,U.S. Coal,FY-5
TA.TO,Hydro,FY-5
TA.TO,Gas,FY-5
TA.TO,Energy Marketing,FY-5
TA.TO,Wind and solar,FY-5
TA.TO,Australian gas,FY-5
TCIL.NS,Frieght Division,FY-5
TCIL.NS,Energy Division,FY-5
TCIL.NS,Supply Chain Solution Division,FY-5
TCIL.NS,Seaways Division,FY-5
TCIL.NS,Unallocated income/expenditure,FY-5
TCIL.NS,Inter Company Revenue,FY-5
TTPW.NS,Power,FY-5
TTPW.NS,Others,FY-5
TTPW.NS,Inter-Segment Revenue,FY-5
UN01.DE,Administration/Consolidation,FY-5
UN01.DE,European Generation,FY-5
UN01.DE,International Power Generation,FY-5
UN01.DE,Global Commodities,FY-5
UNACEMC1.LM,Adjustment,FY-5
UNACEMC1.LM,Cement,FY-5
UNACEMC1.LM,Concrete,FY-5
UNACEMC1.LM,Electric Energy,FY-5
UNACEMC1.LM,Other,FY-5
VERB.VI,Reconciliation/Consolidation,FY-5
VERB.VI,All other segments,FY-5
VERB.VI,Renewable Generation,FY-5
VERB.VI,Grid,FY-5
VERB.VI,Sales,FY-5
XEL.OQ,Regulated Electric,FY-5
XEL.OQ,All Other,FY-5
XEL.OQ,Gas Utility,FY-5
XEL.OQ,Reconciling Eliminations,FY-5
