Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-5
000537.SZ,Operating Lease,FY-5
000537.SZ,Other,FY-5
000537.SZ,Property Services,FY-5
000537.SZ,Hotel Service,FY-5
000539.SZ,Electricity,FY-5
000539.SZ,Other Operation,FY-5
000629.SZ,Vanadium products,FY-5
000629.SZ,Titanium products,FY-5
000629.SZ,Other Products,FY-5
000629.SZ,Electricity,FY-5
000883.SZ,Hydroelectric Power,FY-5
000883.SZ,Natural Gas,FY-5
000883.SZ,Other,FY-5
000883.SZ,Thermal Power,FY-5
000883.SZ,Coal,FY-5
000883.SZ,Heat Supply,FY-5
000883.SZ,New energy,FY-5
000883.SZ,Eliminations,FY-5
002060.SZ,Other,FY-5
002060.SZ,Engineering Construction,FY-5
002060.SZ,Exploration design,FY-5
002060.SZ,Power,FY-5
002060.SZ,Product sales,FY-5
002545.SZ,Other,FY-5
002545.SZ,Construction/Installation,FY-5
002545.SZ,Intercompany Elimination,FY-5
002545.SZ,Tower Manufacturing,FY-5
002545.SZ,Potash Fertilizer,FY-5
002545.SZ,Photovoltaic Power Generation,FY-5
071320.KS,Cold Water,FY-5
071320.KS,Heat Segement,FY-5
071320.KS,Electricity Segment,FY-5
1811.HK,Management companies,FY-5
1811.HK,Power Plants in the Korea,FY-5
1811.HK,Power Plants in the Peoples Republic China,FY-5
2083.SE,,FY-5
2380.HK,Hydropower Electricity,FY-5
2380.HK,Coal Fired Electricity,FY-5
2380.HK,Photovoltaic power electricity,FY-5
2380.HK,Wind Power Electricity,FY-5
300569.SZ,Elimination,FY-5
300569.SZ,Hami Red Star,FY-5
300569.SZ,Blue sky in Yunnan,FY-5
300569.SZ,Hunan Xiang energy,FY-5
300569.SZ,Qingyun Tian energy,FY-5
300569.SZ,Jilin Tian energy,FY-5
300569.SZ,Qingdao Tian energy,FY-5
300772.SZ,,FY-5
3038.T,Super Business ,FY-5
3038.T,Kobe Cook Business,FY-5
3038.T,Eliminations and Corporate,FY-5
3038.T,Eco renewable energy,FY-5
3038.T,Cook Innoventure,FY-5
3038.T,Other,FY-5
5110.SE,Elimination Intercompany transactions,FY-5
