Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentCode,number of segments
GDI.TO,Janitorial Canada,"561790, 561720",-2,,,,5.0
GDI.TO,Technical Services,541990,-2,,,,5.0
GDI.TO,Janitorial USA,"561790, 561720",-2,,,,5.0
GDI.TO,Complementary Services,"561720, 424690",-2,,,,5.0
GDI.TO,Corporate and eliminations,,-2,,,,5.0
GLNG.OQ,FLNG,"211120, 486210, 221210",-2,,,,4.0
GLNG.OQ,Power,483111,-2,,,,4.0
GLNG.OQ,Shipping,"486210, 483111",-2,,,,4.0
GLNG.OQ,Corporate and Other,,-2,,,,4.0
XPO.N,North American LTL,"484122, 484121, 484110",-2,,,,2.0
XPO.N,European Transportation,"484122, 484121, 484110",-2,,,,2.0
CHE_u.TO,SPPC,"212390, 424690, 325998, 325199",-2,,,,4.0
CHE_u.TO,Corporate,,-2,,,,4.0
CHE_u.TO,WSSC,"325180, 212390, 424690",-2,,,,4.0
CHE_u.TO,EC,"325180, 424690, 322110, 236210",-2,,,,4.0
WCN.TO,Intermodal and other,"562219, 562111",-2,,,,9.0
WCN.TO,Industrial and Construction roll off,"562920, 562219, 562212, 562111",-2,,,,9.0
WCN.TO,E&P,"562920, 562219, 562212, 562111",-2,,,,9.0
WCN.TO,Residential,"562920, 562219, 562212, 562111",-2,,,,9.0
WCN.TO,Commercial,"562920, 562219, 562212, 562111",-2,,,,9.0
WCN.TO,Landfill,"562219, 562111",-2,,,,9.0
WCN.TO,Recycling,"562219, 562111",-2,,,,9.0
WCN.TO,Transfer,"562219, 562111",-2,,,,9.0
WCN.TO,Intercompany,"562219, 562212",-2,,,,9.0
HEES.OQ,Used Equipment Sales,"532490, 423830",-2,,,,6.0
HEES.OQ,Service Revenues,811310,-2,,,,6.0
HEES.OQ,Parts sales,"532490, 423830",-2,,,,6.0
HEES.OQ,Non Segmental Revenue,,-2,,,,6.0
HEES.OQ,Equipment Sales,"423830, 423810",-2,,,,6.0
HEES.OQ,Equipment Rental,532412,-2,,,,6.0
SAIA.OQ,,,-2,,,,0.0
CMP.N,,,-2,,,,0.0
KEY.TO,Liquid Infrastructure,211130,-2,,,,4.0
KEY.TO,Marketing,424720,-2,,,,4.0
KEY.TO,Gathering & Processing,"486210, 221210",-2,,,,4.0
KEY.TO,Corporate & Other,,-2,,,,4.0
FA.OQ,SERVICES-BUSINESS SERVICES,,-2,,,,1.0
WLK.N,Housing and Infrastructure Products,326122,-2,,,,2.0
WLK.N,Performance and Essential Materials,325110,-2,,,,2.0
KUT.V,Corporate,,-2,,,,3.0
KUT.V,Corporate Locations,,-2,,,,3.0
KUT.V,Franchising and Licensing,533110,-2,,,,3.0
BIP.N,Transport,"486210, 482112, 482111",-2,,,,6.0
BIP.N,Utilities,"486210, 221122",-2,,,,6.0
BIP.N,Midstream,"221210, 221122",-2,,,,6.0
BIP.N,Corporate/Other,,-2,,,,6.0
BIP.N,Unconsolidated,,-2,,,,6.0
BIP.N,Data,"518210, 221121",-2,,,,6.0
KW.N,Corporate,,-2,,,,3.0
KW.N,Consolidated Portfolio,"721110, 531390, 531120, 531110",-2,,,,3.0
KW.N,Co-Investment Portfolio,"523940, 531390, 531312, 522292",-2,,,,3.0
IVZ.N,investment management,,-2,,,,1.0
VMC.N,Concrete,327320,-2,,,,5.0
VMC.N,Aggregates,"212321, 212319",-2,,,,5.0
VMC.N,Aggregates Intersegment Sales,,-2,,,,5.0
VMC.N,Asphalt mix,324121,-2,,,,5.0
VMC.N,calcium,"325180, 325199",-2,,,,5.0
VTNR.OQ,Refining & Marketing,324110,-2,,,,3.0
VTNR.OQ,Black Oil,324110,-2,,,,3.0
VTNR.OQ,Recovery,211130,-2,,,,3.0
SUZB3.SA,Cellulose,322120,-2,,,,2.0
SUZB3.SA,Paper,322120,-2,,,,2.0
USIM5.SA,Eliminations and Adjustments,,-2,,,,5.0
USIM5.SA,Steel Processing,"331110, 332313, 332312, 332311",-2,,,,5.0
USIM5.SA,Steel,331110,-2,,,,5.0
USIM5.SA,Capital Goods,"331110, 332322",-2,,,,5.0
USIM5.SA,Mining and Logistics,331110,-2,,,,5.0
SORIANAB.MX,Self-service stores,,-2,,,,1.0
HERDEZ.MX,Preserved Products,424410,-2,,,,3.0
HERDEZ.MX,Frozen Products,424420,-2,,,,3.0
HERDEZ.MX,Export,"311824, 312111, 311941, 311421",-2,,,,3.0
ICHB.MX,,,-2,,,,0.0
LSTR.OQ,Insurance,524126,-2,,,,2.0
LSTR.OQ,Transportation Logistics,"484121, 483111, 482111, 481112",-2,,,,2.0
USNA.N,Health service,,-2,,,,1.0
GCC.MX,,,-2,,,,0.0
PARR.N,Eliminations,,-2,,,,4.0
PARR.N,Refining,324110,-2,,,,4.0
PARR.N,Retail,457120,-2,,,,4.0
PARR.N,Logistics,486110,-2,,,,4.0
SIMECB.MX,,,-2,,,,0.0
YPFD.BA,Natural Gas and Electricity,"211120, 486110, 324110, 213112",-2,,,,5.0
YPFD.BA,Exploration & Production,"211120, 324110",-2,,,,5.0
YPFD.BA,Consolidation Adjustments,,-2,,,,5.0
YPFD.BA,Corporate & Others,,-2,,,,5.0
YPFD.BA,Downstream,"457210, 486110, 424720, 324110",-2,,,,5.0
TTEK.OQ,,,-2,,,,0.0
PNW.N,Regulated electricity,,-2,,,,1.0
ENELAM.SN,Generation,"221118, 221112, 221111",-2,,,,3.0
ENELAM.SN,Distribution,"221122, 221121",-2,,,,3.0
ENELAM.SN,Eliminations,,-2,,,,3.0
RDUS.OQ,Wholesale Misc Durable Goods,,-2,,,,1.0
CEPU.BA,Eliminations,,-2,,,,4.0
CEPU.BA,Others,"221118, 237130",-2,,,,4.0
CEPU.BA,GAs Distribution,221210,-2,,,,4.0
CEPU.BA,Energy Generation,"221118, 221112, 221111",-2,,,,4.0
HAIN.OQ,International,"424490, 424410, 325620, 311422",-2,,,,2.0
HAIN.OQ,North America,"424490, 424410, 325620, 311422",-2,,,,2.0
MTL.TO,Other/Corporate,,-2,,,,5.0
MTL.TO,Logistics & Warehousing,"493110, 484121, 484110",-2,,,,5.0
MTL.TO,Intersegment eliminations,,-2,,,,5.0
MTL.TO,Specialized & Industrial Service,"213112, 213111",-2,,,,5.0
MTL.TO,Less-thanTruckload,484122,-2,,,,5.0
VBBR3.SA,Eliminations,,-2,,,,5.0
VBBR3.SA,Corporativo,,-2,,,,5.0
VBBR3.SA,Aviation,"424720, 424710",-2,,,,5.0
VBBR3.SA,Network of Petrol Stations,457110,-2,,,,5.0
VBBR3.SA,B2B - large markets,,-2,,,,5.0
MLM.N,Magnesia Specialties,"325180, 327410",-2,,,,3.0
MLM.N,West Group,"327320, 327310, 212321, 212313",-2,,,,3.0
MLM.N,East Group,"324121, 212321, 212313",-2,,,,3.0
MED.N,OPTAVIA,,-2,,,,1.0
CFV.CN,Gas & Energy,"486210, 221210",-2,,,,7.0
CFV.CN,AgroIndustry,"114119, 112990, 111998",-2,,,,7.0
CFV.CN,Hotel,721110,-2,,,,7.0
CFV.CN,Financial,523150,-2,,,,7.0
CFV.CN,Adjustments & Eliminations,,-2,,,,7.0
CFV.CN,Others,,-2,,,,7.0
CFV.CN,Infrastructure,"237990, 237310",-2,,,,7.0
STN.TO,,,-2,,,,0.0
EXP.N,Gypsum Wallboard,327420,-2,,,,6.0
EXP.N,Intersegment Sales,,-2,,,,6.0
EXP.N,Paperboard,322130,-2,,,,6.0
EXP.N,Joint Venture,,-2,,,,6.0
EXP.N,Cement,327310,-2,,,,6.0
EXP.N,Concrete and Aggregates,327320,-2,,,,6.0
VET.TO,,,-2,,,,0.0
GRUMAB.MX,Corn Flour (Mexico),311211,-2,,,,5.0
GRUMAB.MX,Other Reconciling Item,,-2,,,,5.0
GRUMAB.MX,Other,,-2,,,,5.0
GRUMAB.MX,Corn Flour Package Tortilla ( Europe),"311830, 311211",-2,,,,5.0
GRUMAB.MX,Corn Flour and Packaged Tortilla (United States),"311830, 311211",-2,,,,5.0
CIX.TO,Eliminations,,-2,,,,3.0
CIX.TO,Asset Administration,523940,-2,,,,3.0
CIX.TO,Asset Management,523940,-2,,,,3.0
GEO.N,US Secure Services,"623220, 561210, 531120, 485991",-2,,,,4.0
GEO.N,International Services,"922140, 561210, 236220",-2,,,,4.0
GEO.N,Electronic monitoring and supervision services,531120,-2,,,,4.0
GEO.N,Reentry services,531120,-2,,,,4.0
