Instrument,year,has ren segment,number of segments
BN.N,0,False,6
BN.N,0,False,6
BN.N,0,False,6
BP.L,0,False,5
BP.L,0,False,5
BP.L,0,False,5
BP.L,0,False,5
BP.L,0,False,5
CBAV3.SA,0,False,4
CBAV3.SA,0,False,4
CBAV3.SA,0,False,4
CBAV3.SA,0,True,4
CMIG4.SA,0,False,6
CMIG4.SA,0,False,6
CMIG4.SA,0,False,6
CMIG4.SA,0,False,6
CMIG4.SA,0,False,6
CMIG4.SA,0,False,6
CMS.N,0,False,3
CMS.N,0,False,3
CMS.N,0,False,3
CPFE3.SA,0,True,6
CPFE3.SA,0,False,6
CPFE3.SA,0,False,6
CPFE3.SA,0,False,6
CPFE3.SA,0,False,6
CPFE3.SA,0,False,6
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CRBR.NS,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CSNA3.SA,0,False,7
CU.TO,0,False,6
CU.TO,0,False,6
CU.TO,0,False,6
CU.TO,0,False,6
CU.TO,0,False,6
CU.TO,0,False,6
DEHr.AT,0,True,9
DEHr.AT,0,False,9
DEHr.AT,0,False,9
DEHr.AT,0,False,9
DEHr.AT,0,False,9
DEHr.AT,0,False,9
DEHr.AT,0,True,9
DEHr.AT,0,False,9
DEHr.AT,0,False,9
DUK.N,0,False,5
DUK.N,0,False,5
DUK.N,0,False,5
DUK.N,0,False,5
DUK.N,0,False,5
EDP.LS,0,False,6
EDP.LS,0,False,6
EDP.LS,0,False,6
EDP.LS,0,False,6
EDP.LS,0,False,6
EDP.LS,0,False,6
ELE.MC,0,False,4
ELE.MC,0,False,4
ELE.MC,0,False,4
ELE.MC,0,False,4
ELET6.SA,0,False,4
ELET6.SA,0,True,4
ELET6.SA,0,False,4
ELET6.SA,0,False,4
EMA.TO,0,False,6
EMA.TO,0,False,6
EMA.TO,0,False,6
EMA.TO,0,False,6
EMA.TO,0,False,6
EMA.TO,0,False,6
ENAE.WA,0,False,6
ENAE.WA,0,False,6
ENAE.WA,0,False,6
ENAE.WA,0,False,6
ENAE.WA,0,False,6
ENAE.WA,0,False,6
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENEI.MI,0,False,9
ENGIE.PA,0,False,7
ENGIE.PA,0,False,7
ENGIE.PA,0,True,7
ENGIE.PA,0,False,7
ENGIE.PA,0,False,7
ENGIE.PA,0,True,7
ENGIE.PA,0,False,7
ENJSA.IS,0,False,5
ENJSA.IS,0,True,5
ENJSA.IS,0,False,5
ENJSA.IS,0,False,5
ENJSA.IS,0,False,5
ENLT.TA,0,False,5
ENLT.TA,0,False,5
ENLT.TA,0,False,5
ENLT.TA,0,False,5
ENLT.TA,0,False,5
EONGn.DE,0,False,11
EONGn.DE,0,False,11
EONGn.DE,0,False,11
EONGn.DE,0,True,11
EONGn.DE,0,False,11
EONGn.DE,0,False,11
