Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-2
000537.SZ,Operating Lease,FY-2
000537.SZ,Property Services,FY-2
000537.SZ,Hotel Service,FY-2
000537.SZ,Other Business,FY-2
000539.SZ,Electricity,FY-2
000629.SZ,Vanadium products,FY-2
000629.SZ,Titanium products,FY-2
000629.SZ,Other Products,FY-2
000629.SZ,Electricity,FY-2
000629.SZ,Other business,FY-2
000883.SZ,Hydroelectric Power,FY-2
000883.SZ,Other,FY-2
000883.SZ,Thermal Power,FY-2
000883.SZ,Coal,FY-2
000883.SZ,New energy,FY-2
000883.SZ,Eliminations,FY-2
002060.SZ,Other,FY-2
002060.SZ,Engineering Construction,FY-2
002060.SZ,Exploration design,FY-2
002060.SZ,Power,FY-2
002060.SZ,Product sales,FY-2
002545.SZ,Other,FY-2
002545.SZ,Construction/Installation,FY-2
002545.SZ,Tower Manufacturing,FY-2
002545.SZ,Potash Fertilizer,FY-2
002545.SZ,Photovoltaic Power Generation,FY-2
071320.KS,Cold Water,FY-2
071320.KS,Heat Segement,FY-2
071320.KS,Electricity Segment,FY-2
1811.HK,Management companies,FY-2
1811.HK,Power Plants in the Korea,FY-2
1811.HK,Power Plants in the Peoples Republic China,FY-2
2083.SE,Corporate,FY-2
2083.SE,Tawreed,FY-2
2083.SE,JWAP,FY-2
2083.SE,Eliminations,FY-2
2083.SE,Power,FY-2
2083.SE,Water,FY-2
2083.SE,Others,FY-2
2380.HK,Hydropower Electricity,FY-2
2380.HK,Coal Fired Electricity,FY-2
2380.HK,Photovoltaic power electricity,FY-2
2380.HK,Wind Power Electricity,FY-2
300569.SZ,Elimination,FY-2
300569.SZ,Tower Manufacturing,FY-2
300569.SZ,New energy,FY-2
300772.SZ,Wind Industry,FY-2
300772.SZ,Other Business,FY-2
300772.SZ,Unit sales,FY-2
3038.T,Super Business ,FY-2
3038.T,Kobe Cook Business,FY-2
3038.T,Eliminations and Corporate,FY-2
3038.T,Eco renewable energy,FY-2
3038.T,Cook Innoventure,FY-2
3038.T,Other,FY-2
5110.SE,Elimination Intercompany transactions,FY-2
5110.SE,Other subsidiares,FY-2
5110.SE,National Grid Company,FY-2
5110.SE,Saudi Electricity Company,FY-2
5110.SE,Joint Operations,FY-2
5110.SE,Saudi Power Production Company,FY-2
5711.T,Other Businesses,FY-2
5711.T,Eliminations and Corporate,FY-2
5711.T,Energy System,FY-2
5711.T,Cement Business,FY-2
5711.T,Processing Business,FY-2
5711.T,Metal business,FY-2
