Instrument,Segment Name,year
AP.PS,Power Distribution,FY-7
AP.PS,Parent Company/Others,FY-7
AP.PS,Power Generation,FY-7
ARG.CN,Sale of Cement,FY-7
ARG.CN,Financial Activity,FY-7
ARG.CN,Sale of Energy and Gas,FY-7
ARG.CN,Real Estate,FY-7
ARG.CN,Concessions,FY-7
ARG.CN,Carbon,FY-7
AVA.N,Intersegment Eliminations,FY-7
AVA.N,Avista Utilities,FY-7
AVA.N,Other,FY-7
AVA.N,Alaska Electric Light and Power Company,FY-7
AVNT.NS,Power,FY-7
AVNT.NS,Shrimp Processing,FY-7
AVNT.NS,Shrimp Feed,FY-7
AWR.N,GSCW Electric,FY-7
AWR.N,GSCW Water,FY-7
AWR.N,AWR Parent,FY-7
AWR.N,ASUS Contracts,FY-7
AY.OQ,Efficient natural gas,FY-7
AY.OQ,Renewable energy,FY-7
AY.OQ,Electric transmission lines,FY-7
AY.OQ,Water,FY-7
BEPC.N,,FY-7
BEP_u.TO,Hydroelectric,FY-7
BEP_u.TO,Other,FY-7
BEP_u.TO,Wind,FY-7
BEP_u.TO,Corporate,FY-7
BKH.N,Corporate,FY-7
BKH.N,Gas Utilities,FY-7
BKH.N,Coal Mining,FY-7
BKH.N,Electric utilities,FY-7
BKH.N,Power Generation,FY-7
BKH.N,Eliminations,FY-7
BKH.N,Mining,FY-7
BN.N,Corporate activities,FY-7
BN.N,Renewable/Power Generating Operations,FY-7
BN.N,Residential Development,FY-7
BN.N,Real Estate,FY-7
BN.N,Private Equity & Finance,FY-7
BN.N,Asset Management,FY-7
BN.N,Infrastructure,FY-7
BN.N,Services,FY-7
BP.L,Other businesses & corporate,FY-7
BP.L,Upstream,FY-7
BP.L,Down Stream,FY-7
BP.L,Consolidated Adjustment,FY-7
BP.L,Rosneft,FY-7
BP.L,Corporate,FY-7
CBAV3.SA,,FY-7
CMIG4.SA,Telecommunication,FY-7
CMIG4.SA,Distribution,FY-7
CMIG4.SA,Gas,FY-7
CMIG4.SA,Elimination,FY-7
CMIG4.SA,Generation,FY-7
CMIG4.SA,Transmission,FY-7
CMIG4.SA,Other,FY-7
CMS.N,Other,FY-7
CMS.N,Gas Utility,FY-7
CMS.N,Enterprises,FY-7
CMS.N,Electric Utility,FY-7
CPFE3.SA,Power Generation,FY-7
CPFE3.SA,Other,FY-7
CPFE3.SA,Energy Trading,FY-7
CPFE3.SA,Energy Distribution,FY-7
CPFE3.SA,Power Generation (Renewable Sources),FY-7
CPFE3.SA,Services,FY-7
CRBR.NS,Power,FY-7
CRBR.NS,IT Services,FY-7
CRBR.NS,Electrominerals,FY-7
CRBR.NS,Ceramics,FY-7
CRBR.NS,Abrasives,FY-7
CSNA3.SA,Steel and New Businesses,FY-7
CSNA3.SA,Energy and Infrastructure,FY-7
CSNA3.SA,Eliminations,FY-7
CSNA3.SA,Mining,FY-7
CSNA3.SA,Railway Logistics,FY-7
CSNA3.SA,Port Logistics,FY-7
CSNA3.SA,Cement,FY-7
CU.TO,Corporate and other,FY-7
CU.TO,Intersegment Eliminations,FY-7
CU.TO,Utilities - Electricity,FY-7
CU.TO,Pipelines and liquids,FY-7
DEHr.AT,Generation,FY-7
DEHr.AT,Mines,FY-7
DEHr.AT,Eliminations,FY-7
DEHr.AT,Supply,FY-7
DEHr.AT,Distribution Network,FY-7
DEHr.AT,Other Companies,FY-7
DEHr.AT,HEDNO,FY-7
DEHr.AT,IPTO,FY-7
DUK.N,Eliminations And Minority Interest,FY-7
DUK.N,Other,FY-7
DUK.N,Commercial Renewables,FY-7
DUK.N,Gas Utilities and Infrastructure,FY-7
DUK.N,Electric Utilities and Infrastructure,FY-7
EDP.LS,EDP Renovaveis,FY-7
EDP.LS,Liberalised Activities,FY-7
EDP.LS,EDP Energias do Brasil,FY-7
EDP.LS,Regulated Networks,FY-7
EDP.LS,Contracted Production,FY-7
EDP.LS,Intragroup,FY-7
EDP.LS,Adjustments,FY-7
ELE.MC,Spanish & Portuguese Distribution,FY-7
ELE.MC,Spanish & Portuguese Generation,FY-7
ELE.MC,Spanish & Portuguese Structure,FY-7
ELE.MC,Spanish & Portuguese Other & Eliminations,FY-7
ELET6.SA,Transmission,FY-7
ELET6.SA,Generation,FY-7
ELET6.SA,Distribution,FY-7
ELET6.SA,Administration,FY-7
ELET6.SA,Eliminations,FY-7
EMA.TO,Caribbean Utility Operations,FY-7
EMA.TO,Maine Utility Operations,FY-7
EMA.TO,Pipeline,FY-7
EMA.TO,Other,FY-7
EMA.TO,Nova Scotia Power,FY-7
EMA.TO,Emera Energy,FY-7
EMA.TO,Inter-Segment Eliminations,FY-7
ENAE.WA,Trading,FY-7
ENAE.WA,Production,FY-7
ENAE.WA,Other,FY-7
ENAE.WA,Eliminations,FY-7
ENAE.WA,Distribution,FY-7
ENAE.WA,Extraction,FY-7
ENEI.MI,Italian Market,FY-7
ENEI.MI,"Other, Eliminations and Adjustments",FY-7
ENEI.MI,Latin America,FY-7
ENEI.MI,Iberia,FY-7
ENEI.MI,Europa and North Africa,FY-7
ENEI.MI,Africa Sub-Saharian and Asia,FY-7
ENEI.MI,North and Central America,FY-7
ENGIE.PA,Other,FY-7
ENGIE.PA,GEM & GNL,FY-7
ENGIE.PA,E&P,FY-7
ENGIE.PA,Latin America,FY-7
ENGIE.PA,Africa / Asia,FY-7
ENGIE.PA,France,FY-7
ENGIE.PA,North America,FY-7
ENGIE.PA,Benelux,FY-7
ENGIE.PA,Europe excluding France & Benelux,FY-7
ENGIE.PA,Infrastractures Europe,FY-7
ENJSA.IS,,FY-7
ENLT.TA,,FY-7
EONGn.DE,Renewable Energy Generation,FY-7
EONGn.DE,Customer Solutions - UK,FY-7
EONGn.DE,Consolidation,FY-7
EONGn.DE,Customer Solutions - Other,FY-7
EONGn.DE,PreussenElektra,FY-7
EONGn.DE,Corporate Functions/Other,FY-7
EONGn.DE,Energy Network Germany,FY-7
EONGn.DE,Energy Networks Sweden,FY-7
EONGn.DE,Customer Solutions - Germany,FY-7
EONGn.DE,Energy Networks CEE/Turkey,FY-7
ETR.N,All Other,FY-7
ETR.N,Eliminations,FY-7
