Instrument,year,has ren segment,number of segments
000537.SZ,-1,False,5
000537.SZ,-1,False,5
000537.SZ,-1,False,5
000537.SZ,-1,False,5
000537.SZ,-1,False,5
000539.SZ,-1,False,1
000629.SZ,-1,False,5
000629.SZ,-1,False,5
000629.SZ,-1,False,5
000629.SZ,-1,True,5
000629.SZ,-1,False,5
000883.SZ,-1,True,6
000883.SZ,-1,False,6
000883.SZ,-1,False,6
000883.SZ,-1,False,6
000883.SZ,-1,True,6
000883.SZ,-1,False,6
002060.SZ,-1,False,5
002060.SZ,-1,False,5
002060.SZ,-1,False,5
002060.SZ,-1,False,5
002060.SZ,-1,False,5
002545.SZ,-1,False,5
002545.SZ,-1,False,5
002545.SZ,-1,False,5
002545.SZ,-1,False,5
002545.SZ,-1,False,5
071320.KS,-1,True,3
071320.KS,-1,False,3
071320.KS,-1,False,3
1811.HK,-1,True,3
1811.HK,-1,False,3
1811.HK,-1,False,3
2083.SE,-1,False,7
2083.SE,-1,False,7
2083.SE,-1,False,7
2083.SE,-1,False,7
2083.SE,-1,False,7
2083.SE,-1,False,7
2083.SE,-1,False,7
2380.HK,-1,True,5
2380.HK,-1,False,5
2380.HK,-1,False,5
2380.HK,-1,True,5
2380.HK,-1,True,5
300569.SZ,-1,False,3
300569.SZ,-1,False,3
300569.SZ,-1,False,3
300772.SZ,-1,True,3
300772.SZ,-1,False,3
300772.SZ,-1,False,3
3038.T,-1,False,5
3038.T,-1,False,5
3038.T,-1,True,5
3038.T,-1,False,5
3038.T,-1,False,5
5110.SE,-1,False,5
5110.SE,-1,False,5
5110.SE,-1,False,5
5110.SE,-1,True,5
5110.SE,-1,False,5
5711.T,-1,False,7
5711.T,-1,False,7
5711.T,-1,False,7
5711.T,-1,False,7
5711.T,-1,False,7
5711.T,-1,False,7
5711.T,-1,False,7
600011.SS,-1,False,3
600011.SS,-1,False,3
600011.SS,-1,False,3
600025.SS,-1,False,2
600025.SS,-1,False,2
600116.SS,-1,False,4
600116.SS,-1,False,4
600116.SS,-1,False,4
600116.SS,-1,False,4
600236.SS,-1,True,6
600236.SS,-1,False,6
600236.SS,-1,False,6
600236.SS,-1,True,6
600236.SS,-1,False,6
600236.SS,-1,True,6
600409.SS,-1,False,5
600409.SS,-1,False,5
600409.SS,-1,False,5
600409.SS,-1,False,5
600409.SS,-1,False,5
600459.SS,-1,False,0
600674.SS,-1,True,5
600674.SS,-1,False,5
600674.SS,-1,False,5
600674.SS,-1,False,5
600674.SS,-1,False,5
600795.SS,-1,False,6
600795.SS,-1,False,6
600795.SS,-1,False,6
600795.SS,-1,True,6
600795.SS,-1,False,6
600795.SS,-1,True,6
600886.SS,-1,False,4
600886.SS,-1,False,4
600886.SS,-1,True,4
600886.SS,-1,True,4
600905.SS,-1,True,4
600905.SS,-1,False,4
600905.SS,-1,True,4
600905.SS,-1,False,4
600995.SS,-1,False,3
600995.SS,-1,False,3
600995.SS,-1,False,3
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
601088.SS,-1,False,8
6013.T,-1,False,5
6013.T,-1,False,5
6013.T,-1,False,5
6013.T,-1,False,5
6013.T,-1,False,5
601778.SS,-1,False,4
601778.SS,-1,True,4
601778.SS,-1,False,4
601778.SS,-1,False,4
601991.SS,-1,False,3
601991.SS,-1,False,3
601991.SS,-1,False,3
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
603212.SS,-1,False,8
6504.T,-1,False,7
6504.T,-1,False,7
6504.T,-1,False,7
6504.T,-1,False,7
6504.T,-1,False,7
6504.T,-1,False,7
6504.T,-1,False,7
6806.TW,-1,False,5
6806.TW,-1,False,5
6806.TW,-1,False,5
6806.TW,-1,False,5
6806.TW,-1,False,5
688599.SS,-1,False,5
688599.SS,-1,True,5
688599.SS,-1,False,5
688599.SS,-1,False,5
688599.SS,-1,False,5
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
8031.T,-1,False,9
9505.T,-1,False,4
9505.T,-1,False,4
9505.T,-1,False,4
9505.T,-1,False,4
9513.T,-1,False,5
9513.T,-1,False,5
9513.T,-1,False,5
9513.T,-1,False,5
9513.T,-1,False,5
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
9531.T,-1,False,8
A2.MI,-1,False,6
A2.MI,-1,False,6
A2.MI,-1,False,6
A2.MI,-1,False,6
A2.MI,-1,False,6
A2.MI,-1,True,6
ACOx.TO,-1,False,6
ACOx.TO,-1,False,6
ACOx.TO,-1,False,6
ACOx.TO,-1,False,6
ACOx.TO,-1,False,6
ACOx.TO,-1,False,6
ADAI.NS,-1,False,3
ADAI.NS,-1,False,3
ADAI.NS,-1,False,3
AEP.OQ,-1,False,6
AEP.OQ,-1,False,6
AEP.OQ,-1,False,6
AEP.OQ,-1,False,6
AEP.OQ,-1,False,6
AEP.OQ,-1,False,6
AES.N,-1,False,6
AES.N,-1,False,6
AES.N,-1,False,6
AES.N,-1,False,6
AES.N,-1,False,6
AES.N,-1,False,6
AEV.PS,-1,True,7
AEV.PS,-1,False,7
AEV.PS,-1,False,7
AEV.PS,-1,False,7
AEV.PS,-1,False,7
AEV.PS,-1,False,7
AEV.PS,-1,False,7
ALS.TO,-1,False,4
ALS.TO,-1,False,4
ALS.TO,-1,False,4
ALS.TO,-1,False,4
AP.PS,-1,False,4
AP.PS,-1,False,4
AP.PS,-1,False,4
AP.PS,-1,True,4
ARG.CN,-1,False,7
ARG.CN,-1,False,7
ARG.CN,-1,False,7
ARG.CN,-1,False,7
ARG.CN,-1,False,7
ARG.CN,-1,False,7
ARG.CN,-1,False,7
AVA.N,-1,False,4
AVA.N,-1,False,4
AVA.N,-1,False,4
AVA.N,-1,False,4
AVNT.NS,-1,False,6
AVNT.NS,-1,False,6
AVNT.NS,-1,False,6
AVNT.NS,-1,False,6
AVNT.NS,-1,False,6
AVNT.NS,-1,False,6
AWR.N,-1,False,4
AWR.N,-1,False,4
AWR.N,-1,False,4
AWR.N,-1,False,4
AY.OQ,-1,False,4
AY.OQ,-1,False,4
AY.OQ,-1,False,4
AY.OQ,-1,False,4
BEPC.N,-1,True,6
BEPC.N,-1,True,6
BEPC.N,-1,False,6
BEPC.N,-1,False,6
BEPC.N,-1,True,6
BEPC.N,-1,True,6
BEP_u.TO,-1,False,6
BEP_u.TO,-1,False,6
BEP_u.TO,-1,False,6
BEP_u.TO,-1,False,6
BEP_u.TO,-1,False,6
BEP_u.TO,-1,False,6
BKH.N,-1,False,4
BKH.N,-1,False,4
BKH.N,-1,False,4
BKH.N,-1,False,4
BN.N,-1,False,7
BN.N,-1,True,7
BN.N,-1,False,7
BN.N,-1,False,7
BN.N,-1,False,7
BN.N,-1,False,7
BN.N,-1,False,7
BP.L,-1,False,6
BP.L,-1,False,6
BP.L,-1,False,6
BP.L,-1,False,6
BP.L,-1,False,6
BP.L,-1,False,6
CBAV3.SA,-1,False,4
CBAV3.SA,-1,False,4
CBAV3.SA,-1,False,4
CBAV3.SA,-1,True,4
CMIG4.SA,-1,False,6
CMIG4.SA,-1,False,6
CMIG4.SA,-1,False,6
CMIG4.SA,-1,False,6
CMIG4.SA,-1,False,6
CMIG4.SA,-1,False,6
CMS.N,-1,False,3
CMS.N,-1,False,3
CMS.N,-1,False,3
CPFE3.SA,-1,True,6
CPFE3.SA,-1,False,6
CPFE3.SA,-1,False,6
CPFE3.SA,-1,False,6
CPFE3.SA,-1,False,6
CPFE3.SA,-1,False,6
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CRBR.NS,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CSNA3.SA,-1,False,7
CU.TO,-1,False,6
CU.TO,-1,False,6
CU.TO,-1,False,6
CU.TO,-1,False,6
CU.TO,-1,False,6
CU.TO,-1,False,6
DEHr.AT,-1,True,7
DEHr.AT,-1,False,7
DEHr.AT,-1,False,7
DEHr.AT,-1,False,7
DEHr.AT,-1,False,7
DEHr.AT,-1,False,7
DEHr.AT,-1,False,7
DUK.N,-1,False,4
DUK.N,-1,False,4
DUK.N,-1,False,4
DUK.N,-1,False,4
EDP.LS,-1,False,6
EDP.LS,-1,False,6
EDP.LS,-1,False,6
EDP.LS,-1,False,6
EDP.LS,-1,False,6
EDP.LS,-1,False,6
ELE.MC,-1,False,4
ELE.MC,-1,False,4
ELE.MC,-1,False,4
ELE.MC,-1,False,4
ELET6.SA,-1,False,4
ELET6.SA,-1,True,4
ELET6.SA,-1,False,4
ELET6.SA,-1,False,4
EMA.TO,-1,False,6
EMA.TO,-1,False,6
EMA.TO,-1,False,6
EMA.TO,-1,False,6
EMA.TO,-1,False,6
EMA.TO,-1,False,6
ENAE.WA,-1,False,6
ENAE.WA,-1,False,6
ENAE.WA,-1,False,6
ENAE.WA,-1,False,6
ENAE.WA,-1,False,6
