Instrument,year,has ren segment,number of segments
000537.SZ,-12,False,6
000537.SZ,-12,False,6
000537.SZ,-12,False,6
000537.SZ,-12,False,6
000537.SZ,-12,False,6
000537.SZ,-12,False,6
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000539.SZ,-12,False,7
000629.SZ,-12,False,0
000883.SZ,-12,True,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,True,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
000883.SZ,-12,False,14
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002060.SZ,-12,False,15
002545.SZ,-12,False,0
071320.KS,-12,True,3
071320.KS,-12,False,3
071320.KS,-12,False,3
1811.HK,-12,False,0
2083.SE,-12,False,0
2380.HK,-12,True,3
2380.HK,-12,False,3
2380.HK,-12,False,3
300569.SZ,-12,False,0
300772.SZ,-12,False,0
3038.T,-12,False,0
5110.SE,-12,False,0
5711.T,-12,False,7
5711.T,-12,False,7
5711.T,-12,False,7
5711.T,-12,False,7
5711.T,-12,False,7
5711.T,-12,False,7
5711.T,-12,False,7
600011.SS,-12,False,4
600011.SS,-12,False,4
600011.SS,-12,False,4
600011.SS,-12,False,4
600025.SS,-12,False,0
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600116.SS,-12,False,10
600236.SS,-12,True,4
600236.SS,-12,False,4
600236.SS,-12,False,4
600236.SS,-12,True,4
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600409.SS,-12,False,8
600459.SS,-12,False,0
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600674.SS,-12,False,9
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,True,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600795.SS,-12,True,13
600795.SS,-12,False,13
600795.SS,-12,False,13
600886.SS,-12,False,4
600886.SS,-12,False,4
600886.SS,-12,False,4
600886.SS,-12,False,4
600905.SS,-12,False,0
600995.SS,-12,False,0
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
601088.SS,-12,False,11
6013.T,-12,False,5
6013.T,-12,False,5
6013.T,-12,False,5
6013.T,-12,False,5
6013.T,-12,False,5
601778.SS,-12,False,0
601991.SS,-12,False,4
601991.SS,-12,False,4
601991.SS,-12,False,4
601991.SS,-12,False,4
603212.SS,-12,False,0
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6504.T,-12,False,8
6806.TW,-12,False,0
688599.SS,-12,False,0
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
8031.T,-12,False,13
9505.T,-12,False,3
9505.T,-12,False,3
9505.T,-12,False,3
9513.T,-12,False,5
9513.T,-12,False,5
9513.T,-12,False,5
9513.T,-12,False,5
9513.T,-12,False,5
9531.T,-12,False,7
9531.T,-12,False,7
9531.T,-12,False,7
9531.T,-12,False,7
9531.T,-12,False,7
9531.T,-12,False,7
9531.T,-12,False,7
A2.MI,-12,False,6
A2.MI,-12,False,6
A2.MI,-12,False,6
A2.MI,-12,False,6
A2.MI,-12,False,6
A2.MI,-12,False,6
ACOx.TO,-12,False,6
ACOx.TO,-12,False,6
ACOx.TO,-12,False,6
ACOx.TO,-12,False,6
ACOx.TO,-12,True,6
ACOx.TO,-12,False,6
ADAI.NS,-12,False,0
AEP.OQ,-12,False,6
AEP.OQ,-12,False,6
AEP.OQ,-12,False,6
AEP.OQ,-12,False,6
AEP.OQ,-12,False,6
AEP.OQ,-12,False,6
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AES.N,-12,False,9
AEV.PS,-12,True,6
AEV.PS,-12,False,6
AEV.PS,-12,False,6
AEV.PS,-12,False,6
AEV.PS,-12,False,6
AEV.PS,-12,False,6
ALS.TO,-12,False,3
ALS.TO,-12,False,3
ALS.TO,-12,False,3
AP.PS,-12,False,4
AP.PS,-12,False,4
AP.PS,-12,False,4
AP.PS,-12,True,4
ARG.CN,-12,False,3
ARG.CN,-12,False,3
ARG.CN,-12,False,3
AVA.N,-12,False,4
AVA.N,-12,False,4
AVA.N,-12,False,4
AVA.N,-12,False,4
AVNT.NS,-12,False,3
AVNT.NS,-12,False,3
AVNT.NS,-12,False,3
AWR.N,-12,False,5
AWR.N,-12,False,5
AWR.N,-12,False,5
AWR.N,-12,False,5
AWR.N,-12,False,5
AY.OQ,-12,False,0
BEPC.N,-12,False,0
BEP_u.TO,-12,False,3
BEP_u.TO,-12,False,3
BEP_u.TO,-12,False,3
BKH.N,-12,False,7
BKH.N,-12,False,7
BKH.N,-12,False,7
BKH.N,-12,False,7
BKH.N,-12,False,7
BKH.N,-12,False,7
BKH.N,-12,False,7
BN.N,-12,True,5
BN.N,-12,False,5
BN.N,-12,False,5
BN.N,-12,False,5
BN.N,-12,False,5
BP.L,-12,False,6
BP.L,-12,False,6
BP.L,-12,False,6
BP.L,-12,False,6
BP.L,-12,False,6
BP.L,-12,False,6
CBAV3.SA,-12,False,0
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMIG4.SA,-12,False,7
CMS.N,-12,False,4
CMS.N,-12,False,4
CMS.N,-12,False,4
CMS.N,-12,False,4
CPFE3.SA,-12,True,5
CPFE3.SA,-12,False,5
CPFE3.SA,-12,False,5
CPFE3.SA,-12,False,5
CPFE3.SA,-12,False,5
CRBR.NS,-12,False,6
CRBR.NS,-12,False,6
CRBR.NS,-12,False,6
CRBR.NS,-12,False,6
CRBR.NS,-12,False,6
CRBR.NS,-12,False,6
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CSNA3.SA,-12,False,7
CU.TO,-12,False,5
CU.TO,-12,False,5
CU.TO,-12,False,5
CU.TO,-12,False,5
CU.TO,-12,False,5
DEHr.AT,-12,False,8
DEHr.AT,-12,True,8
DEHr.AT,-12,False,8
DEHr.AT,-12,False,8
DEHr.AT,-12,False,8
DEHr.AT,-12,False,8
DEHr.AT,-12,False,8
DEHr.AT,-12,False,8
DUK.N,-12,False,5
DUK.N,-12,False,5
DUK.N,-12,False,5
DUK.N,-12,False,5
DUK.N,-12,False,5
EDP.LS,-12,False,8
EDP.LS,-12,False,8
EDP.LS,-12,True,8
EDP.LS,-12,True,8
EDP.LS,-12,False,8
EDP.LS,-12,True,8
EDP.LS,-12,True,8
EDP.LS,-12,False,8
ELE.MC,-12,False,3
ELE.MC,-12,False,3
ELE.MC,-12,False,3
ELET6.SA,-12,False,4
ELET6.SA,-12,True,4
ELET6.SA,-12,False,4
ELET6.SA,-12,False,4
EMA.TO,-12,False,5
EMA.TO,-12,False,5
EMA.TO,-12,False,5
EMA.TO,-12,False,5
EMA.TO,-12,False,5
ENAE.WA,-12,False,5
ENAE.WA,-12,False,5
ENAE.WA,-12,False,5
ENAE.WA,-12,False,5
ENAE.WA,-12,False,5
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENEI.MI,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENGIE.PA,-12,False,10
ENJSA.IS,-12,False,0
ENLT.TA,-12,False,0
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
EONGn.DE,-12,False,8
ETR.N,-12,False,4
ETR.N,-12,False,4
ETR.N,-12,False,4
ETR.N,-12,False,4
EXC.OQ,-12,False,6
EXC.OQ,-12,False,6
EXC.OQ,-12,False,6
EXC.OQ,-12,False,6
EXC.OQ,-12,False,6
EXC.OQ,-12,False,6
FGEN.PS,-12,False,6
FGEN.PS,-12,False,6
FGEN.PS,-12,True,6
FGEN.PS,-12,False,6
FGEN.PS,-12,False,6
FGEN.PS,-12,True,6
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FORTUM.HE,-12,False,7
FTEK.OQ,-12,False,3
FTEK.OQ,-12,False,3
FTEK.OQ,-12,False,3
FTS.TO,-12,False,10
FTS.TO,-12,False,10
FTS.TO,-12,True,10
FTS.TO,-12,False,10
FTS.TO,-12,False,10
FTS.TO,-12,False,10
FTS.TO,-12,False,10
FTS.TO,-12,True,10
FTS.TO,-12,False,10
FTS.TO,-12,False,10
GEG.HM,-12,False,0
GPSC.BK,-12,False,0
HARL.L,-12,False,0
HDG.HM,-12,False,0
HE.N,-12,False,3
HE.N,-12,False,3
HE.N,-12,False,3
HEGL.NS,-12,True,3
HEGL.NS,-12,False,3
HEGL.NS,-12,False,3
HOLMb.ST,-12,False,6
HOLMb.ST,-12,False,6
HOLMb.ST,-12,False,6
HOLMb.ST,-12,False,6
HOLMb.ST,-12,False,6
HOLMb.ST,-12,True,6
IBE.MC,-12,False,6
IBE.MC,-12,False,6
IBE.MC,-12,True,6
IBE.MC,-12,True,6
IBE.MC,-12,True,6
IBE.MC,-12,False,6
