Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-3
000537.SZ,Operating Lease,FY-3
000537.SZ,Property Services,FY-3
000537.SZ,Hotel Service,FY-3
000537.SZ,Other Business,FY-3
000539.SZ,Electricity,FY-3
000539.SZ,Other Operation,FY-3
000539.SZ,Steam Supply,FY-3
000539.SZ,Service Revenues,FY-3
000629.SZ,Vanadium products,FY-3
000629.SZ,Titanium products,FY-3
000629.SZ,Other Products,FY-3
000629.SZ,Electricity,FY-3
000883.SZ,Hydroelectric Power,FY-3
000883.SZ,Other,FY-3
000883.SZ,Thermal Power,FY-3
000883.SZ,Coal,FY-3
000883.SZ,New energy,FY-3
000883.SZ,Eliminations,FY-3
002060.SZ,Other,FY-3
002060.SZ,Engineering Construction,FY-3
002060.SZ,Exploration design,FY-3
002060.SZ,Power,FY-3
002060.SZ,Product sales,FY-3
002545.SZ,Other,FY-3
002545.SZ,Construction/Installation,FY-3
002545.SZ,Intercompany Elimination,FY-3
002545.SZ,Tower Manufacturing,FY-3
002545.SZ,Potash Fertilizer,FY-3
002545.SZ,Photovoltaic Power Generation,FY-3
071320.KS,Cold Water,FY-3
071320.KS,Heat Segement,FY-3
071320.KS,Electricity Segment,FY-3
1811.HK,Management companies,FY-3
1811.HK,Power Plants in the Korea,FY-3
1811.HK,Power Plants in the Peoples Republic China,FY-3
2083.SE,,FY-3
2380.HK,Hydropower Electricity,FY-3
2380.HK,Coal Fired Electricity,FY-3
2380.HK,Photovoltaic power electricity,FY-3
2380.HK,Wind Power Electricity,FY-3
300569.SZ,Elimination,FY-3
300569.SZ,Tower Manufacturing,FY-3
300569.SZ,New energy,FY-3
300772.SZ,,FY-3
3038.T,Super Business ,FY-3
3038.T,Kobe Cook Business,FY-3
3038.T,Eliminations and Corporate,FY-3
3038.T,Eco renewable energy,FY-3
3038.T,Cook Innoventure,FY-3
3038.T,Other,FY-3
5110.SE,Elimination Intercompany transactions,FY-3
5110.SE,Other subsidiares,FY-3
5110.SE,National Grid Company,FY-3
5110.SE,Saudi Electricity Company,FY-3
5110.SE,Joint Operations,FY-3
5711.T,Other Businesses,FY-3
5711.T,Eliminations and Corporate,FY-3
5711.T,Cement Business,FY-3
5711.T,Processing Business,FY-3
5711.T,Metal business,FY-3
5711.T,High-performance products,FY-3
600011.SS,Other divisions,FY-3
600011.SS,Overseas Power Division,FY-3
600011.SS,China Power Division,FY-3
600025.SS,Others,FY-3
600025.SS,Electricity,FY-3
600116.SS,Design and Installation,FY-3
600116.SS,Electricity,FY-3
600116.SS,Other Business,FY-3
600116.SS,Steam Sale,FY-3
600116.SS,Eliminations,FY-3
600116.SS,Water saving installation and sales,FY-3
600236.SS,Hydraulic power generation,FY-3
600236.SS,Other,FY-3
600236.SS,Thermal power generation,FY-3
600236.SS,Wind power generation,FY-3
600409.SS,Electricity & Steam,FY-3
600409.SS,Chemical Industry,FY-3
600409.SS,Intercompany Elimination,FY-3
600409.SS,Other,FY-3
600409.SS,Mining,FY-3
600459.SS,,FY-3
600674.SS,Other Operations,FY-3
600674.SS,Electricity Industry,FY-3
600674.SS,Service Business,FY-3
600674.SS,Software,FY-3
600674.SS,Hardware,FY-3
600795.SS,Heat Energy Generation,FY-3
600795.SS,Others,FY-3
600795.SS,Coal Selling,FY-3
600795.SS,Chemical Products,FY-3
600795.SS,Hydroelectric Power Generation,FY-3
600795.SS,Intercompany Eliminations,FY-3
600795.SS,Other Operation,FY-3
600886.SS,Others,FY-3
600886.SS,Other Business,FY-3
600886.SS,Electric Power,FY-3
600905.SS,,FY-3
600995.SS,Power Industry,FY-3
600995.SS,Design,FY-3
600995.SS,Service,FY-3
601088.SS,Undistributed,FY-3
601088.SS,Harbor,FY-3
601088.SS,Railroad,FY-3
601088.SS,Shipping,FY-3
601088.SS,Coal,FY-3
601088.SS,Electric Power Generation,FY-3
601088.SS,Coal chemical,FY-3
601088.SS,Eliminations,FY-3
6013.T,Eliminations and Corporate,FY-3
6013.T,Business Environment and Energy (Domestic),FY-3
6013.T,Business Environment and Energy (Overseas),FY-3
6013.T,Thermal energy consumer business,FY-3
6013.T,Business equipment and systems,FY-3
601778.SS,EPC business of photovoltaic power station,FY-3
601778.SS,Photovoltaic power generation operation business,FY-3
601991.SS,Power Generation,FY-3
601991.SS,Other,FY-3
601991.SS,Coal Sales,FY-3
603212.SS,Photovoltaic power generation,FY-3
603212.SS,Electronic and electrical materials,FY-3
603212.SS,Industrial tape material,FY-3
603212.SS,Photovoltaic materials,FY-3
6504.T,Other,FY-3
6504.T,Eliminations and Corporate,FY-3
6504.T,Electronic Devices Business,FY-3
6504.T,Food Circulation,FY-3
6504.T,Generation,FY-3
6504.T,Power Electronics System· Industry Solution,FY-3
6504.T,Power Electronics System· Energy Solution,FY-3
6806.TW,Other,FY-3
6806.TW,Xingwei,FY-3
6806.TW,Elimination,FY-3
6806.TW,Fuwei Energy,FY-3
688599.SS,Smart Energy,FY-3
688599.SS,Sales of Photovoltaic Power Plants,FY-3
688599.SS,Photovoltaic Power Station Construction Management,FY-3
688599.SS,System Products,FY-3
688599.SS,Photovoltaic Products,FY-3
8031.T,Consumer Industries,FY-3
8031.T,Other,FY-3
8031.T,Metal Resources,FY-3
8031.T,Energy,FY-3
8031.T,Machinery & Infrastructure Projects,FY-3
8031.T,Chemicals,FY-3
8031.T,Steel Products Business,FY-3
8031.T,Capacity Driving of nest genetation business,FY-3
8031.T,Eliminations and Corporate Elimination,FY-3
9505.T,Eliminations and Corporate,FY-3
9505.T,Other,FY-3
9505.T,Electric Power Industry,FY-3
9513.T,Eliminations and Corporate,FY-3
9513.T,Other Businesses,FY-3
9513.T,Electric Power Industry,FY-3
9513.T,Power-Related Businesses Peripheral,FY-3
9513.T,Overseas Business,FY-3
9531.T,Gas,FY-3
9531.T,Other Businesses,FY-3
9531.T,Eliminations and Corporate,FY-3
9531.T,Immovable property,FY-3
9531.T,Real Estate,FY-3
9531.T,Energy-related,FY-3
9531.T,Electricity,FY-3
9531.T,Overseas,FY-3
A2.MI,Other Services,FY-3
A2.MI,Eliminations,FY-3
A2.MI,Environment,FY-3
A2.MI,Commercial,FY-3
A2.MI,Generation and Trading,FY-3
A2.MI,International,FY-3
A2.MI,A2A Smart City,FY-3
A2.MI,Smart Infrastructures,FY-3
ACOx.TO,Corporate & Others,FY-3
ACOx.TO,Electricity,FY-3
ACOx.TO,Structures & Logistics,FY-3
ACOx.TO,pipelines and liquids,FY-3
ACOx.TO,Canadian Utilities Limited - Corporate & Other,FY-3
ADAI.NS,Transmission,FY-3
ADAI.NS,Trading,FY-3
ADAI.NS,Mumbai GTD Business,FY-3
AEP.OQ,General and Marketing,FY-3
AEP.OQ,Corporate & Other,FY-3
AEP.OQ,Vertically integrated Utilities,FY-3
AEP.OQ,Reconciling Adjustments,FY-3
AEP.OQ,AEP Transmission Holdco,FY-3
AEP.OQ,Transmission & Distribution utilities,FY-3
AES.N,MCAC SBU,FY-3
AES.N,Corporate and Other,FY-3
AES.N,Elimination,FY-3
AES.N,Eurasia SBU,FY-3
AES.N,South America SBU,FY-3
AES.N,US and Utilities SBU,FY-3
AEV.PS,Parent Company and Others,FY-3
AEV.PS,Food Manufacturing,FY-3
AEV.PS,Financial Services,FY-3
AEV.PS,Power,FY-3
AEV.PS,Eliminations,FY-3
AEV.PS,Real Estate,FY-3
AEV.PS,Infrastracture,FY-3
ALS.TO,Project Generation,FY-3
ALS.TO,Royalties,FY-3
ALS.TO,Joint Ventures,FY-3
AP.PS,Eliminations,FY-3
AP.PS,Power Distribution,FY-3
AP.PS,Parent Company/Others,FY-3
AP.PS,Power Generation,FY-3
ARG.CN,Sale of Cement,FY-3
ARG.CN,Financial Activity,FY-3
ARG.CN,Sale of Energy and Gas,FY-3
ARG.CN,Real Estate,FY-3
ARG.CN,Concessions,FY-3
ARG.CN,Carbon,FY-3
ARG.CN,Adjustments,FY-3
AVA.N,Intersegment Eliminations,FY-3
AVA.N,Avista Utilities,FY-3
AVA.N,Other,FY-3
AVA.N,Alaska Electric Light and Power Company,FY-3
AVNT.NS,Power,FY-3
AVNT.NS,Shrimp Processing,FY-3
AVNT.NS,Shrimp Feed,FY-3
AWR.N,GSCW Electric,FY-3
AWR.N,GSCW Water,FY-3
AWR.N,AWR Parent,FY-3
AWR.N,ASUS Contracts,FY-3
AY.OQ,Efficient natural gas,FY-3
AY.OQ,Renewable energy,FY-3
AY.OQ,Electric transmission lines,FY-3
AY.OQ,Water,FY-3
BEPC.N,Hydroelectric,FY-3
BEPC.N,Wind,FY-3
BEPC.N,Contribution from equity-accounted investments,FY-3
BEPC.N,Attributable to non-controlling interests,FY-3
BEPC.N,Energy transition,FY-3
BEP_u.TO,,FY-3
BKH.N,Corporate,FY-3
BKH.N,Gas Utilities,FY-3
BKH.N,Coal Mining,FY-3
BKH.N,Electric utilities,FY-3
BKH.N,Power Generation,FY-3
BKH.N,Eliminations,FY-3
BKH.N,Mining,FY-3
BN.N,Corporate activities,FY-3
BN.N,Renewable/Power Generating Operations,FY-3
BN.N,Residential Development,FY-3
BN.N,Real Estate,FY-3
BN.N,Private Equity & Finance,FY-3
BN.N,Asset Management,FY-3
BN.N,Infrastructure,FY-3
BP.L,Other businesses & corporate,FY-3
BP.L,Consolidated Adjustment,FY-3
BP.L,Oil production & operations,FY-3
BP.L,Gas & low carbon energy,FY-3
BP.L,Customers & products,FY-3
CBAV3.SA,Nickel,FY-3
CBAV3.SA,Aluminum,FY-3
CBAV3.SA,Eliminations,FY-3
CBAV3.SA,Energy,FY-3
CMIG4.SA,Distribution,FY-3
CMIG4.SA,Gas,FY-3
CMIG4.SA,Elimination,FY-3
CMIG4.SA,Generation,FY-3
CMIG4.SA,Transmission,FY-3
CMIG4.SA,Other,FY-3
CMS.N,Gas Utility,FY-3
CMS.N,Enterprises,FY-3
CMS.N,Electric Utility,FY-3
CPFE3.SA,Power Generation,FY-3
CPFE3.SA,Other,FY-3
CPFE3.SA,Energy Trading,FY-3
CPFE3.SA,Energy Distribution,FY-3
CPFE3.SA,Power Generation (Renewable Sources),FY-3
CPFE3.SA,Services,FY-3
CRBR.NS,Power,FY-3
CRBR.NS,IT Services,FY-3
CRBR.NS,Electrominerals,FY-3
CRBR.NS,Ceramics,FY-3
CRBR.NS,Abrasives,FY-3
CSNA3.SA,Steel and New Businesses,FY-3
CSNA3.SA,Energy and Infrastructure,FY-3
CSNA3.SA,Eliminations,FY-3
CSNA3.SA,Mining,FY-3
CSNA3.SA,Railway Logistics,FY-3
CSNA3.SA,Port Logistics,FY-3
CSNA3.SA,Cement,FY-3
CU.TO,Corporate and other,FY-3
CU.TO,Intersegment Eliminations,FY-3
CU.TO,Utilities - Electricity,FY-3
CU.TO,Pipelines and liquids,FY-3
DEHr.AT,Generation,FY-3
DEHr.AT,Mines,FY-3
DEHr.AT,Eliminations,FY-3
DEHr.AT,Supply,FY-3
DEHr.AT,Distribution Network,FY-3
DEHr.AT,HEDNO,FY-3
DEHr.AT,Groups Other companies,FY-3
DUK.N,Eliminations And Minority Interest,FY-3
DUK.N,Other,FY-3
DUK.N,Commercial Renewables,FY-3
DUK.N,Gas Utilities and Infrastructure,FY-3
DUK.N,Electric Utilities and Infrastructure,FY-3
EDP.LS,Other,FY-3
EDP.LS,Intragroup,FY-3
EDP.LS,Adjustments,FY-3
EDP.LS,Networks,FY-3
EDP.LS,Renewables,FY-3
EDP.LS,Client Solutions & Energy Management,FY-3
ELE.MC,Spanish & Portuguese Distribution,FY-3
ELE.MC,Spanish & Portuguese Generation,FY-3
ELE.MC,Spanish & Portuguese Structure,FY-3
ELE.MC,Spanish & Portuguese Other & Eliminations,FY-3
ELET6.SA,Transmission,FY-3
ELET6.SA,Generation,FY-3
ELET6.SA,Administration,FY-3
ELET6.SA,Eliminations,FY-3
EMA.TO,Other,FY-3
EMA.TO,Inter-Segment Eliminations,FY-3
EMA.TO,Other Electric Utilities,FY-3
EMA.TO,Gas Utilities and Infrastructure,FY-3
EMA.TO,Canadian Electric Utilities,FY-3
EMA.TO,Florida Electric Utility,FY-3
ENAE.WA,Trading,FY-3
ENAE.WA,Production,FY-3
ENAE.WA,Other,FY-3
ENAE.WA,Eliminations,FY-3
ENAE.WA,Distribution,FY-3
ENAE.WA,Extraction,FY-3
ENEI.MI,Renewable Energy,FY-3
ENEI.MI,Generation and Energy Management,FY-3
ENEI.MI,Adjustments/Eliminations,FY-3
ENEI.MI,"Other, Eliminations and Adjustments",FY-3
ENEI.MI,Other Sales and Services,FY-3
ENEI.MI,Service & Other Activities,FY-3
ENEI.MI,Enel X,FY-3
ENEI.MI,Final markets,FY-3
