Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
ATD.TO,Road Transport Fuel,457110,-5,,,,3.0
ATD.TO,Merchandise and Services,445131,-5,,,,3.0
ATD.TO,Other,424720,-5,,,,3.0
APD.N,Corporate and Other,,-5,,,,5.0
APD.N,Industrial Gases- Americas,"333413, 325120",-5,,,,5.0
APD.N,Industrial Gases- EMEA,"333413, 325120",-5,,,,5.0
APD.N,Industrial Gases- Global,"333413, 325120",-5,,,,5.0
APD.N,Industrial Gases- Asia,"333413, 325120",-5,,,,5.0
AB.N,,,-5,,,,0.0
ABM.N,Business & Industry,"812930, 811111, 561720, 541330",-5,,,,7.0
ABM.N,Government Services,"921190, 541330",-5,,,,7.0
ABM.N,Technical Solutions,541330,-5,,,,7.0
ABM.N,Aviation,"812930, 561720, 488119",-5,,,,7.0
ABM.N,Education,"812930, 561720, 541330",-5,,,,7.0
ABM.N,Healthcare,"812930, 561720, 541330",-5,,,,7.0
ABM.N,Technology & Manufacturing,,-5,,,,7.0
ARE.TO,Other and eliminations,,-5,,,,5.0
ARE.TO,Concessions,"561990, 561210",-5,,,,5.0
ARE.TO,Infrastructure,"237310, 237130, 237110, 236210",-5,,,,5.0
ARE.TO,Energy,237130,-5,,,,5.0
ARE.TO,Mining,237990,-5,,,,5.0
ARCH.N,PRB,212115,-5,,,,4.0
ARCH.N,"Corporate, Other and Eliminations",,-5,,,,4.0
ARCH.N,Thermal,212115,-5,,,,4.0
ARCH.N,Metallurgical,212114,-5,,,,4.0
MERC.OQ,Pulp,"221118, 561499, 325199, 322110",-5,,,,3.0
MERC.OQ,Wood Products,"221118, 321999, 321114, 321113",-5,,,,3.0
MERC.OQ,Corporate and other,,-5,,,,3.0
ATO.N,Eliminations,,-5,,,,3.0
ATO.N,Pipeline and Storage,486210,-5,,,,3.0
ATO.N, Distribution,221210,-5,,,,3.0
BLX.TO,Wind Power Stations,221115,-5,,,,4.0
BLX.TO,Thermal Power Stations,"221118, 221122, 221112",-5,,,,4.0
BLX.TO,Hydroelectric Power Stations,"221118, 221122, 221121, 221111",-5,,,,4.0
BLX.TO,Solar Power Station,221114,-5,,,,4.0
MTZ.N,Oil & Gas,"237120, 221210",-5,,,,6.0
MTZ.N,Power Generation and Industrial,237130,-5,,,,6.0
MTZ.N,Electrical Tramission,"237130, 221122",-5,,,,6.0
MTZ.N,Other,,-5,,,,6.0
MTZ.N,Eliminations,,-5,,,,6.0
MTZ.N,Communications,"541330, 237130",-5,,,,6.0
TFII.TO,Less than Truck Load,484122,-5,,,,6.0
TFII.TO,Package & courier,492110,-5,,,,6.0
TFII.TO,Truck Load,484121,-5,,,,6.0
TFII.TO,Eliminations,,-5,,,,6.0
TFII.TO,Corporate,,-5,,,,6.0
TFII.TO,Logistics,"541614, 492110, 488510",-5,,,,6.0
CWT.N,,,-5,,,,0.0
CASY.OQ,Grocery & Other Merchandise,"445131, 445110",-5,,,,4.0
CASY.OQ,Other,,-5,,,,4.0
CASY.OQ,Prepared Food & Fountain,"445320, 445298",-5,,,,4.0
CASY.OQ,Fuel,457110,-5,,,,4.0
CPSH.OQ,,,-5,,,,0.0
CPK.N,Unregulated Energy,"486210, 221330, 221112",-5,,,,2.0
CPK.N,Regulated Energy,"486210, 221210, 221122",-5,,,,2.0
CTAS.OQ,Corporate,,-5,,,,4.0
CTAS.OQ,Uniform Rental and Facility Services,"812332, 812331, 561720",-5,,,,4.0
CTAS.OQ,First Aid and Safety Services,339113,-5,,,,4.0
CTAS.OQ,All other,,-5,,,,4.0
CLH.N,Corporate Items,,-5,,,,3.0
CLH.N,Safety-Kleen,"562910, 562112",-5,,,,3.0
CLH.N,Environmental Services,"562211, 562111",-5,,,,3.0
CLF.N,,,-5,,,,0.0
CMC.N,Americas Recycling,423510,-5,,,,6.0
CMC.N,Corporate and Other,,-5,,,,6.0
CMC.N,Americas Mill,"331492, 331314, 331222",-5,,,,6.0
CMC.N,International Mills,331314,-5,,,,6.0
CMC.N,Americas Fabrication,"331110, 332312",-5,,,,6.0
CMC.N,Corporate,,-5,,,,6.0
CAG.N,Commercial,"311991, 311919, 311812, 311412",-5,,,,5.0
CAG.N,Foodservice,"311999, 311991, 311941",-5,,,,5.0
CAG.N,Refrigerated & Frozen,"311991, 311813, 311412",-5,,,,5.0
CAG.N,International,"311999, 311991, 311941, 311919",-5,,,,5.0
CAG.N,Grocery & Snacks,"311942, 311919",-5,,,,5.0
ED.N,CECONY Gas,"211120, 237120, 221210, 213112",-5,,,,9.0
ED.N,O&R Gas,"211120, 237120, 221210, 213112",-5,,,,9.0
ED.N,Clean Energy Businesses,"221118, 221210, 221121, 221112",-5,,,,9.0
ED.N,CECONY Steam,"524126, 221330, 221210",-5,,,,9.0
ED.N,Other,,-5,,,,9.0
ED.N,CECONY Electric,"221118, 221122, 221121, 221112",-5,,,,9.0
ED.N,Con Edison Transmission,"221118, 221210, 221121",-5,,,,9.0
ED.N,Consolidation adjustments,,-5,,,,9.0
ED.N,O&R Electric,"221118, 221121, 221112",-5,,,,9.0
CXT.N,Payment & Merchandising Technologies,"333310, 335999, 334419",-5,,,,4.0
CXT.N,Aerospace & Electronics,"336413, 334511, 334419, 332912",-5,,,,4.0
CXT.N,Process Flow Technologies,"561499, 335999, 332912, 326122",-5,,,,4.0
CXT.N,Engineered Materials,326199,-5,,,,4.0
VVI.N,Pursuit,"721110, 561599, 561510",-5,,,,3.0
VVI.N,Marketing & Events Group,"541990, 541890",-5,,,,3.0
VVI.N,Corporate Activities,,-5,,,,3.0
D.N,Corporate & Other,,-5,,,,5.0
D.N,Eliminations,,-5,,,,5.0
D.N,Power Delivery,"221122, 221121",-5,,,,5.0
D.N,Gas infrastructure,211120,-5,,,,5.0
D.N,Power genaration,221121,-5,,,,5.0
DCI.N,Industrial Products,"333413, 333998",-5,,,,3.0
DCI.N,Engine Products,"336390, 333413",-5,,,,3.0
DCI.N,Corporate & Unallocated,,-5,,,,3.0
DY.N,,,-5,,,,0.0
EMR.N,Automation Solutions,"334513, 333612",-5,,,,4.0
EMR.N,Climate Technologies,"334512, 333912, 332911, 238220",-5,,,,4.0
EMR.N,Sales Eliminations/Interest,,-5,,,,4.0
EMR.N,Tools & Home Products,"335313, 335312",-5,,,,4.0
EMPa.TO,Food retailing,445110,-5,,,,1.0
FMC.N,FMC Agricultural Solutions,325320,-5,,,,2.0
FMC.N,FMC Lithium,325180,-5,,,,2.0
RUS.TO,Steel Distributors,423510,-5,,,,4.0
RUS.TO,Metals Service Centers,423510,-5,,,,4.0
RUS.TO,Energy Products,423720,-5,,,,4.0
RUS.TO,Other,,-5,,,,4.0
ARG.TO,,,-5,,,,0.0
FI.N,Payments,"522320, 522110, 518210",-5,,,,3.0
FI.N,All other and corporate,,-5,,,,3.0
FI.N,Financials,518210,-5,,,,3.0
FLO.N,Warehouse Delivery,311812,-5,,,,4.0
FLO.N,Eliminations,,-5,,,,4.0
FLO.N,Direct-Store-Delivery,311812,-5,,,,4.0
FLO.N,Sales from DSD Segment to Warehouse Segment,,-5,,,,4.0
FCX.N,Eliminations and Other,,-5,,,,7.0
FCX.N,Atlantic Copper Smelting & Refining,"331410, 212230",-5,,,,7.0
FCX.N,Rod & Refining,"331410, 212230",-5,,,,7.0
FCX.N,South America Copper Mines,"212230, 212290",-5,,,,7.0
FCX.N,Indonesia Mining,"212230, 212220, 213114",-5,,,,7.0
FCX.N,Molybdenum Mines,212290,-5,,,,7.0
FCX.N,North America Copper Mines,"212230, 212220",-5,,,,7.0
GIS.N,Convenience Stores & Foodservice,"311824, 311230, 311211",-5,,,,5.0
GIS.N,North America Retail,"311824, 311991, 311520, 311230",-5,,,,5.0
