Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-6
000537.SZ,Other,FY-6
000537.SZ,Property Services,FY-6
000539.SZ,Other Operation,FY-6
000539.SZ,Steam Supply,FY-6
000539.SZ,Service Revenues,FY-6
000539.SZ,Electric Power Generation,FY-6
000629.SZ,Mineral Products,FY-6
000629.SZ,Eliminations,FY-6
000629.SZ,Vanadium products,FY-6
000629.SZ,Titanium products,FY-6
000629.SZ,Other Products,FY-6
000883.SZ,Hydroelectric Power,FY-6
000883.SZ,Natural Gas,FY-6
000883.SZ,Other,FY-6
000883.SZ,Thermal Power,FY-6
000883.SZ,Coal,FY-6
000883.SZ,Heat Supply,FY-6
000883.SZ,New energy,FY-6
000883.SZ,Eliminations,FY-6
002060.SZ,Other,FY-6
002060.SZ,Engineering Construction,FY-6
002060.SZ,Exploration design,FY-6
002060.SZ,Power,FY-6
002060.SZ,Product sales,FY-6
002545.SZ,Construction/Installation,FY-6
002545.SZ,Intercompany Elimination,FY-6
002545.SZ,Tower Manufacturing,FY-6
002545.SZ,Potash Fertilizer,FY-6
002545.SZ,Photovoltaic Power Generation,FY-6
071320.KS,Cold Water,FY-6
071320.KS,Heat Segement,FY-6
071320.KS,Electricity Segment,FY-6
1811.HK,Management companies,FY-6
1811.HK,Power Plants in the Korea,FY-6
1811.HK,Power Plants in the Peoples Republic China,FY-6
2083.SE,,FY-6
2380.HK,Hydropower Electricity,FY-6
2380.HK,Coal Fired Electricity,FY-6
2380.HK,Wind Power Electricity,FY-6
300569.SZ,Manufacturing,FY-6
300772.SZ,,FY-6
3038.T,Super Business ,FY-6
3038.T,Kobe Cook Business,FY-6
3038.T,Eliminations and Corporate,FY-6
3038.T,Eco renewable energy,FY-6
3038.T,Cook Innoventure,FY-6
5110.SE,Elimination Intercompany transactions,FY-6
5110.SE,Other subsidiares,FY-6
5110.SE,National Grid Company,FY-6
5110.SE,Saudi Electricity Company,FY-6
5110.SE,Joint Operations,FY-6
5711.T,Other Businesses,FY-6
5711.T,Eliminations and Corporate,FY-6
5711.T,Cement Business,FY-6
5711.T,Aluminum Business,FY-6
5711.T,Processing Business,FY-6
5711.T,Electronic Materials Business,FY-6
5711.T,Metal business,FY-6
600011.SS,Other divisions,FY-6
600011.SS,Overseas Power Division,FY-6
600011.SS,China Power Division,FY-6
600025.SS,Others,FY-6
600025.SS,Electricity,FY-6
600116.SS,Design and Installation,FY-6
600116.SS,Electricity,FY-6
600116.SS,Irrigation Products,FY-6
600116.SS,Other Business,FY-6
600116.SS,Steam Sale,FY-6
600116.SS,Eliminations,FY-6
600236.SS,Hydraulic power generation,FY-6
600236.SS,Thermal power generation,FY-6
600236.SS,Wind power generation,FY-6
600409.SS,Electricity & Steam,FY-6
600409.SS,Chemical Industry,FY-6
600409.SS,Intercompany Elimination,FY-6
600409.SS,Other,FY-6
600409.SS,Mining,FY-6
600459.SS,,FY-6
600674.SS,Other Operations,FY-6
600674.SS,Electricity Industry,FY-6
600674.SS,Other Main,FY-6
600795.SS,Heat Energy Generation,FY-6
600795.SS,Others,FY-6
600795.SS,Coal Selling,FY-6
600795.SS,Chemical Products,FY-6
600795.SS,Hydroelectric Power Generation,FY-6
600795.SS,Intercompany Eliminations,FY-6
600886.SS,Others,FY-6
600886.SS,Other Business,FY-6
600886.SS,Electric Power,FY-6
600905.SS,,FY-6
600995.SS,Power Industry,FY-6
600995.SS,Design,FY-6
600995.SS,Eliminations,FY-6
601088.SS,Undistributed,FY-6
601088.SS,Harbor,FY-6
601088.SS,Railroad,FY-6
601088.SS,Shipping,FY-6
601088.SS,Coal,FY-6
601088.SS,Electric Power Generation,FY-6
601088.SS,Coal chemical,FY-6
601088.SS,Eliminations,FY-6
6013.T,Eliminations and Corporate,FY-6
6013.T,Business Environment and Energy (Domestic),FY-6
6013.T,Business Environment and Energy (Overseas),FY-6
6013.T,Thermal energy consumer business,FY-6
6013.T,Business equipment and systems,FY-6
601778.SS,EPC business of photovoltaic power station,FY-6
601778.SS,Photovoltaic power generation operation business,FY-6
601991.SS,Power Generation,FY-6
601991.SS,Other,FY-6
601991.SS,Coal Sales,FY-6
603212.SS,,FY-6
6504.T,Other,FY-6
6504.T,Eliminations and Corporate,FY-6
6504.T,Electronic Devices Business,FY-6
6504.T,Food Circulation,FY-6
6504.T,Generation,FY-6
6504.T,Power Electronics System· Industry Solution,FY-6
6504.T,Power Electronics System· Energy Solution,FY-6
6806.TW,,FY-6
688599.SS,,FY-6
8031.T,Consumer Industries,FY-6
8031.T,Other,FY-6
8031.T,Metal Resources,FY-6
8031.T,Energy,FY-6
8031.T,Machinery & Infrastructure Projects,FY-6
8031.T,Chemicals,FY-6
8031.T,Steel Products Business,FY-6
8031.T,Capacity Driving of nest genetation business,FY-6
8031.T,Eliminations and Corporate Elimination,FY-6
9505.T,Eliminations and Corporate,FY-6
9505.T,Other,FY-6
9505.T,Electric Power Industry,FY-6
9513.T,Eliminations and Corporate,FY-6
9513.T,Other Businesses,FY-6
9513.T,Electric Power Industry,FY-6
9513.T,Power-Related Businesses Peripheral,FY-6
9513.T,Overseas Business,FY-6
9531.T,Gas,FY-6
