Instrument,year,has ren segment,number of segments
000537.SZ,-11,False,0
000539.SZ,-11,False,0
000629.SZ,-11,False,0
000883.SZ,-11,True,7
000883.SZ,-11,False,7
000883.SZ,-11,False,7
000883.SZ,-11,False,7
000883.SZ,-11,False,7
000883.SZ,-11,False,7
000883.SZ,-11,True,7
002060.SZ,-11,False,4
002060.SZ,-11,True,4
002060.SZ,-11,False,4
002060.SZ,-11,False,4
002545.SZ,-11,False,4
002545.SZ,-11,False,4
002545.SZ,-11,False,4
002545.SZ,-11,False,4
071320.KS,-11,True,3
071320.KS,-11,False,3
071320.KS,-11,False,3
1811.HK,-11,False,0
2083.SE,-11,False,0
2380.HK,-11,True,3
2380.HK,-11,False,3
2380.HK,-11,False,3
300569.SZ,-11,False,0
300772.SZ,-11,False,0
3038.T,-11,False,3
3038.T,-11,False,3
3038.T,-11,False,3
5110.SE,-11,False,0
5711.T,-11,False,7
5711.T,-11,False,7
5711.T,-11,False,7
5711.T,-11,False,7
5711.T,-11,False,7
5711.T,-11,False,7
5711.T,-11,False,7
600011.SS,-11,False,4
600011.SS,-11,False,4
600011.SS,-11,False,4
600011.SS,-11,False,4
600025.SS,-11,False,0
600116.SS,-11,False,5
600116.SS,-11,False,5
600116.SS,-11,False,5
600116.SS,-11,False,5
600116.SS,-11,False,5
600236.SS,-11,True,4
600236.SS,-11,False,4
600236.SS,-11,False,4
600236.SS,-11,True,4
600409.SS,-11,False,5
600409.SS,-11,False,5
600409.SS,-11,False,5
600409.SS,-11,False,5
600409.SS,-11,False,5
600459.SS,-11,False,0
600674.SS,-11,False,5
600674.SS,-11,False,5
600674.SS,-11,False,5
600674.SS,-11,False,5
600674.SS,-11,False,5
600795.SS,-11,False,7
600795.SS,-11,False,7
600795.SS,-11,False,7
600795.SS,-11,False,7
600795.SS,-11,True,7
600795.SS,-11,False,7
600795.SS,-11,False,7
600886.SS,-11,False,4
600886.SS,-11,False,4
600886.SS,-11,False,4
600886.SS,-11,False,4
600905.SS,-11,False,0
600995.SS,-11,False,0
601088.SS,-11,False,6
601088.SS,-11,False,6
601088.SS,-11,False,6
601088.SS,-11,False,6
601088.SS,-11,False,6
601088.SS,-11,False,6
6013.T,-11,False,0
601778.SS,-11,False,0
601991.SS,-11,False,4
601991.SS,-11,False,4
601991.SS,-11,False,4
601991.SS,-11,False,4
603212.SS,-11,False,0
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6504.T,-11,False,9
6806.TW,-11,False,0
688599.SS,-11,False,0
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
8031.T,-11,False,12
9505.T,-11,False,0
9513.T,-11,False,0
9531.T,-11,False,0
A2.MI,-11,False,5
A2.MI,-11,False,5
A2.MI,-11,False,5
A2.MI,-11,False,5
A2.MI,-11,False,5
ACOx.TO,-11,False,6
ACOx.TO,-11,False,6
ACOx.TO,-11,False,6
ACOx.TO,-11,False,6
ACOx.TO,-11,True,6
ACOx.TO,-11,False,6
ADAI.NS,-11,False,0
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AEP.OQ,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AES.N,-11,False,7
AEV.PS,-11,True,4
AEV.PS,-11,False,4
AEV.PS,-11,False,4
AEV.PS,-11,False,4
ALS.TO,-11,False,3
ALS.TO,-11,False,3
ALS.TO,-11,False,3
AP.PS,-11,False,4
AP.PS,-11,False,4
AP.PS,-11,False,4
AP.PS,-11,True,4
ARG.CN,-11,False,3
ARG.CN,-11,False,3
ARG.CN,-11,False,3
AVA.N,-11,False,4
AVA.N,-11,False,4
AVA.N,-11,False,4
AVA.N,-11,False,4
AVNT.NS,-11,False,3
AVNT.NS,-11,False,3
AVNT.NS,-11,False,3
AWR.N,-11,False,5
AWR.N,-11,False,5
AWR.N,-11,False,5
AWR.N,-11,False,5
AWR.N,-11,False,5
AY.OQ,-11,False,0
BEPC.N,-11,False,0
BEP_u.TO,-11,False,3
BEP_u.TO,-11,False,3
BEP_u.TO,-11,False,3
BKH.N,-11,False,7
BKH.N,-11,False,7
BKH.N,-11,False,7
BKH.N,-11,False,7
BKH.N,-11,False,7
BKH.N,-11,False,7
BKH.N,-11,False,7
BN.N,-11,False,0
BP.L,-11,False,6
BP.L,-11,False,6
BP.L,-11,False,6
BP.L,-11,False,6
BP.L,-11,False,6
BP.L,-11,False,6
CBAV3.SA,-11,False,0
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMIG4.SA,-11,False,7
CMS.N,-11,False,4
CMS.N,-11,False,4
CMS.N,-11,False,4
CMS.N,-11,False,4
CPFE3.SA,-11,True,7
CPFE3.SA,-11,False,7
CPFE3.SA,-11,False,7
CPFE3.SA,-11,False,7
CPFE3.SA,-11,False,7
CPFE3.SA,-11,True,7
CPFE3.SA,-11,False,7
CRBR.NS,-11,False,6
CRBR.NS,-11,False,6
CRBR.NS,-11,False,6
CRBR.NS,-11,False,6
CRBR.NS,-11,False,6
CRBR.NS,-11,False,6
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CSNA3.SA,-11,False,7
CU.TO,-11,False,5
CU.TO,-11,False,5
CU.TO,-11,False,5
CU.TO,-11,False,5
CU.TO,-11,False,5
DEHr.AT,-11,False,7
DEHr.AT,-11,True,7
DEHr.AT,-11,False,7
DEHr.AT,-11,False,7
DEHr.AT,-11,False,7
DEHr.AT,-11,False,7
DEHr.AT,-11,False,7
DUK.N,-11,False,5
DUK.N,-11,False,5
DUK.N,-11,False,5
DUK.N,-11,False,5
DUK.N,-11,False,5
EDP.LS,-11,False,8
EDP.LS,-11,True,8
EDP.LS,-11,True,8
EDP.LS,-11,False,8
EDP.LS,-11,True,8
EDP.LS,-11,True,8
EDP.LS,-11,False,8
EDP.LS,-11,False,8
ELE.MC,-11,False,4
ELE.MC,-11,False,4
ELE.MC,-11,False,4
ELE.MC,-11,False,4
ELET6.SA,-11,False,4
ELET6.SA,-11,True,4
ELET6.SA,-11,False,4
ELET6.SA,-11,False,4
EMA.TO,-11,False,5
EMA.TO,-11,False,5
EMA.TO,-11,False,5
EMA.TO,-11,False,5
EMA.TO,-11,False,5
ENAE.WA,-11,False,5
ENAE.WA,-11,False,5
ENAE.WA,-11,False,5
ENAE.WA,-11,False,5
ENAE.WA,-11,False,5
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENEI.MI,-11,False,7
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENGIE.PA,-11,False,10
ENJSA.IS,-11,False,0
ENLT.TA,-11,False,0
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
EONGn.DE,-11,False,12
ETR.N,-11,False,4
ETR.N,-11,False,4
ETR.N,-11,False,4
ETR.N,-11,False,4
EXC.OQ,-11,False,6
EXC.OQ,-11,False,6
EXC.OQ,-11,False,6
EXC.OQ,-11,False,6
EXC.OQ,-11,False,6
