Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-4
000537.SZ,Operating Lease,FY-4
000537.SZ,Property Services,FY-4
000537.SZ,Hotel Service,FY-4
000537.SZ,Other Business,FY-4
000539.SZ,Electricity,FY-4
000539.SZ,Other Operation,FY-4
000629.SZ,Vanadium products,FY-4
000629.SZ,Titanium products,FY-4
000629.SZ,Other Products,FY-4
000629.SZ,Electricity,FY-4
000883.SZ,Hydroelectric Power,FY-4
000883.SZ,Natural Gas,FY-4
000883.SZ,Other,FY-4
000883.SZ,Thermal Power,FY-4
000883.SZ,Coal,FY-4
000883.SZ,Heat Supply,FY-4
000883.SZ,New energy,FY-4
000883.SZ,Eliminations,FY-4
002060.SZ,Other,FY-4
002060.SZ,Engineering Construction,FY-4
002060.SZ,Exploration design,FY-4
002060.SZ,Power,FY-4
002060.SZ,Product sales,FY-4
002545.SZ,Other,FY-4
002545.SZ,Construction/Installation,FY-4
002545.SZ,Intercompany Elimination,FY-4
002545.SZ,Tower Manufacturing,FY-4
002545.SZ,Potash Fertilizer,FY-4
002545.SZ,Photovoltaic Power Generation,FY-4
071320.KS,Cold Water,FY-4
071320.KS,Heat Segement,FY-4
071320.KS,Electricity Segment,FY-4
1811.HK,Management companies,FY-4
1811.HK,Power Plants in the Korea,FY-4
1811.HK,Power Plants in the Peoples Republic China,FY-4
2083.SE,,FY-4
2380.HK,Hydropower Electricity,FY-4
2380.HK,Coal Fired Electricity,FY-4
2380.HK,Photovoltaic power electricity,FY-4
2380.HK,Wind Power Electricity,FY-4
300569.SZ,Tower Manufacturing,FY-4
300569.SZ,New energy,FY-4
300772.SZ,,FY-4
3038.T,Super Business ,FY-4
3038.T,Kobe Cook Business,FY-4
3038.T,Eliminations and Corporate,FY-4
3038.T,Eco renewable energy,FY-4
3038.T,Cook Innoventure,FY-4
3038.T,Other,FY-4
5110.SE,Elimination Intercompany transactions,FY-4
5110.SE,Other subsidiares,FY-4
5110.SE,National Grid Company,FY-4
5110.SE,Saudi Electricity Company,FY-4
5110.SE,Joint Operations,FY-4
5711.T,Other Businesses,FY-4
5711.T,Eliminations and Corporate,FY-4
5711.T,Cement Business,FY-4
5711.T,Processing Business,FY-4
5711.T,Metal business,FY-4
5711.T,High-performance products,FY-4
600011.SS,Other divisions,FY-4
600011.SS,Overseas Power Division,FY-4
600011.SS,China Power Division,FY-4
600025.SS,Others,FY-4
600025.SS,Electricity,FY-4
600116.SS,Design and Installation,FY-4
600116.SS,Electricity,FY-4
600116.SS,Other Business,FY-4
600116.SS,Steam Sale,FY-4
600116.SS,Eliminations,FY-4
600236.SS,Hydraulic power generation,FY-4
600236.SS,Other,FY-4
600236.SS,Thermal power generation,FY-4
600236.SS,Wind power generation,FY-4
600236.SS,Elimination,FY-4
600409.SS,Electricity & Steam,FY-4
600409.SS,Chemical Industry,FY-4
600409.SS,Intercompany Elimination,FY-4
600409.SS,Other,FY-4
600409.SS,Mining,FY-4
600459.SS,,FY-4
600674.SS,Other Operations,FY-4
600674.SS,Electricity Industry,FY-4
600674.SS,Other Main,FY-4
600795.SS,Heat Energy Generation,FY-4
600795.SS,Others,FY-4
600795.SS,Coal Selling,FY-4
600795.SS,Chemical Products,FY-4
600795.SS,Hydroelectric Power Generation,FY-4
600795.SS,Intercompany Eliminations,FY-4
600795.SS,Other Operation,FY-4
600886.SS,Others,FY-4
600886.SS,Other Business,FY-4
600886.SS,Electric Power,FY-4
600905.SS,,FY-4
600995.SS,Power Industry,FY-4
600995.SS,Design,FY-4
600995.SS,Eliminations,FY-4
600995.SS,Service,FY-4
601088.SS,Undistributed,FY-4
601088.SS,Harbor,FY-4
601088.SS,Railroad,FY-4
601088.SS,Shipping,FY-4
601088.SS,Coal,FY-4
601088.SS,Electric Power Generation,FY-4
601088.SS,Coal chemical,FY-4
601088.SS,Eliminations,FY-4
6013.T,Eliminations and Corporate,FY-4
6013.T,Business Environment and Energy (Domestic),FY-4
6013.T,Business Environment and Energy (Overseas),FY-4
6013.T,Thermal energy consumer business,FY-4
6013.T,Business equipment and systems,FY-4
601778.SS,EPC business of photovoltaic power station,FY-4
601778.SS,Photovoltaic power generation operation business,FY-4
601991.SS,Power Generation,FY-4
601991.SS,Other,FY-4
601991.SS,Coal Sales,FY-4
603212.SS,Photovoltaic power generation,FY-4
603212.SS,Electronic and electrical materials,FY-4
603212.SS,Industrial tape material,FY-4
603212.SS,Photovoltaic materials,FY-4
603212.SS,others,FY-4
6504.T,Other,FY-4
6504.T,Eliminations and Corporate,FY-4
6504.T,Electronic Devices Business,FY-4
6504.T,Food Circulation,FY-4
6504.T,Generation,FY-4
6504.T,Power Electronics System· Industry Solution,FY-4
6504.T,Power Electronics System· Energy Solution,FY-4
6806.TW,Kunshan Jiuwei,FY-4
6806.TW,Xingwei,FY-4
6806.TW,Elimination,FY-4
6806.TW,Fuwei Energy,FY-4
688599.SS,Smart Energy,FY-4
688599.SS,Sales of Photovoltaic Power Plants,FY-4
688599.SS,Photovoltaic Power Station Construction Management,FY-4
688599.SS,System Products,FY-4
688599.SS,Photovoltaic Products,FY-4
8031.T,Consumer Industries,FY-4
8031.T,Other,FY-4
8031.T,Metal Resources,FY-4
8031.T,Energy,FY-4
8031.T,Machinery & Infrastructure Projects,FY-4
8031.T,Chemicals,FY-4
8031.T,Steel Products Business,FY-4
8031.T,Capacity Driving of nest genetation business,FY-4
8031.T,Eliminations and Corporate Elimination,FY-4
9505.T,Eliminations and Corporate,FY-4
9505.T,Other,FY-4
9505.T,Electric Power Industry,FY-4
9513.T,Eliminations and Corporate,FY-4
9513.T,Other Businesses,FY-4
9513.T,Electric Power Industry,FY-4
9513.T,Power-Related Businesses Peripheral,FY-4
9513.T,Overseas Business,FY-4
9531.T,Gas,FY-4
9531.T,Other Businesses,FY-4
9531.T,Eliminations and Corporate,FY-4
9531.T,Immovable property,FY-4
9531.T,Real Estate,FY-4
9531.T,Energy-related,FY-4
9531.T,Electricity,FY-4
9531.T,Overseas,FY-4
A2.MI,Other Services,FY-4
A2.MI,Eliminations,FY-4
A2.MI,Environment,FY-4
A2.MI,Commercial,FY-4
A2.MI,Generation and Trading,FY-4
A2.MI,International,FY-4
A2.MI,A2A Smart City,FY-4
A2.MI,Smart Infrastructures,FY-4
ACOx.TO,Corporate & Others,FY-4
ACOx.TO,Electricity,FY-4
ACOx.TO,Structures & Logistics,FY-4
ACOx.TO,pipelines and liquids,FY-4
ADAI.NS,Transmission,FY-4
ADAI.NS,Trading,FY-4
ADAI.NS,Mumbai GTD Business,FY-4
AEP.OQ,General and Marketing,FY-4
AEP.OQ,Corporate & Other,FY-4
AEP.OQ,Transmission Operations,FY-4
AEP.OQ,Vertically integrated Utilities,FY-4
AEP.OQ,Reconciling Adjustments,FY-4
AEP.OQ,AEP Transmission Holdco,FY-4
AEP.OQ,Transmission & Distribution utilities,FY-4
AES.N,MCAC SBU,FY-4
AES.N,Corporate and Other,FY-4
AES.N,Elimination,FY-4
AES.N,Eurasia SBU,FY-4
AES.N,South America SBU,FY-4
AES.N,US and Utilities SBU,FY-4
AEV.PS,Parent Company and Others,FY-4
AEV.PS,Food Manufacturing,FY-4
AEV.PS,Financial Services,FY-4
AEV.PS,Power,FY-4
AEV.PS,Real Estate,FY-4
AEV.PS,Infrastracture,FY-4
ALS.TO,Project Generation,FY-4
ALS.TO,Royalties,FY-4
ALS.TO,Joint Ventures,FY-4
AP.PS,Eliminations,FY-4
AP.PS,Power Distribution,FY-4
AP.PS,Parent Company/Others,FY-4
AP.PS,Power Generation,FY-4
ARG.CN,Sale of Cement,FY-4
ARG.CN,Financial Activity,FY-4
ARG.CN,Sale of Energy and Gas,FY-4
ARG.CN,Real Estate,FY-4
ARG.CN,Concessions,FY-4
ARG.CN,Carbon,FY-4
ARG.CN,Adjustments,FY-4
AVA.N,Intersegment Eliminations,FY-4
AVA.N,Avista Utilities,FY-4
AVA.N,Other,FY-4
AVA.N,Alaska Electric Light and Power Company,FY-4
AVNT.NS,Power,FY-4
AVNT.NS,Shrimp Processing,FY-4
AVNT.NS,Shrimp Feed,FY-4
AWR.N,GSCW Electric,FY-4
AWR.N,GSCW Water,FY-4
AWR.N,AWR Parent,FY-4
AWR.N,ASUS Contracts,FY-4
AY.OQ,Efficient natural gas,FY-4
AY.OQ,Renewable energy,FY-4
AY.OQ,Electric transmission lines,FY-4
AY.OQ,Water,FY-4
BEPC.N,Hydroelectric,FY-4
BEPC.N,Wind,FY-4
BEPC.N,Storage and Other,FY-4
BEPC.N,Contribution from equity-accounted investments,FY-4
BEPC.N,Attributable to non-controlling interests,FY-4
BEP_u.TO,Hydroelectric,FY-4
BEP_u.TO,Wind,FY-4
BEP_u.TO,Corporate,FY-4
BEP_u.TO,Unallocated,FY-4
BEP_u.TO,Energy Transition,FY-4
BEP_u.TO,Solar,FY-4
BKH.N,Corporate,FY-4
BKH.N,Gas Utilities,FY-4
BKH.N,Coal Mining,FY-4
BKH.N,Electric utilities,FY-4
BKH.N,Power Generation,FY-4
BKH.N,Eliminations,FY-4
BKH.N,Mining,FY-4
BN.N,Corporate activities,FY-4
BN.N,Renewable/Power Generating Operations,FY-4
BN.N,Residential Development,FY-4
BN.N,Real Estate,FY-4
BN.N,Private Equity & Finance,FY-4
BN.N,Asset Management,FY-4
BN.N,Infrastructure,FY-4
BP.L,Other businesses & corporate,FY-4
BP.L,Upstream,FY-4
BP.L,Down Stream,FY-4
BP.L,Consolidated Adjustment,FY-4
BP.L,Rosneft,FY-4
CBAV3.SA,Nickel,FY-4
CBAV3.SA,Aluminum,FY-4
CBAV3.SA,Eliminations,FY-4
CBAV3.SA,Energy,FY-4
CMIG4.SA,Telecommunication,FY-4
CMIG4.SA,Distribution,FY-4
CMIG4.SA,Gas,FY-4
CMIG4.SA,Elimination,FY-4
CMIG4.SA,Generation,FY-4
CMIG4.SA,Transmission,FY-4
CMIG4.SA,Other,FY-4
CMS.N,Gas Utility,FY-4
CMS.N,Enterprises,FY-4
CMS.N,Electric Utility,FY-4
CMS.N,EnerBank,FY-4
CPFE3.SA,Power Generation,FY-4
CPFE3.SA,Energy Trading,FY-4
CPFE3.SA,Energy Distribution,FY-4
CPFE3.SA,Power Generation (Renewable Sources),FY-4
CPFE3.SA,Services,FY-4
CRBR.NS,Power,FY-4
CRBR.NS,IT Services,FY-4
CRBR.NS,Electrominerals,FY-4
CRBR.NS,Ceramics,FY-4
CRBR.NS,Abrasives,FY-4
CSNA3.SA,Steel and New Businesses,FY-4
CSNA3.SA,Energy and Infrastructure,FY-4
CSNA3.SA,Eliminations,FY-4
CSNA3.SA,Mining,FY-4
CSNA3.SA,Railway Logistics,FY-4
CSNA3.SA,Port Logistics,FY-4
CSNA3.SA,Cement,FY-4
CU.TO,Corporate and other,FY-4
CU.TO,Intersegment Eliminations,FY-4
CU.TO,Utilities - Electricity,FY-4
CU.TO,Pipelines and liquids,FY-4
DEHr.AT,Generation,FY-4
DEHr.AT,Mines,FY-4
DEHr.AT,Eliminations,FY-4
DEHr.AT,Supply,FY-4
DEHr.AT,Distribution Network,FY-4
DEHr.AT,HEDNO,FY-4
DEHr.AT,Groups Other companies,FY-4
DUK.N,Eliminations And Minority Interest,FY-4
DUK.N,Other,FY-4
DUK.N,Commercial Renewables,FY-4
DUK.N,Gas Utilities and Infrastructure,FY-4
DUK.N,Electric Utilities and Infrastructure,FY-4
EDP.LS,EDP Renovaveis,FY-4
EDP.LS,EDP Energias do Brasil,FY-4
EDP.LS,Regulated Networks,FY-4
EDP.LS,Intragroup,FY-4
EDP.LS,Adjustments,FY-4
EDP.LS,Generation & Supply,FY-4
ELE.MC,Spanish & Portuguese Distribution,FY-4
ELE.MC,Spanish & Portuguese Generation,FY-4
ELE.MC,Spanish & Portuguese Structure,FY-4
ELE.MC,Spanish & Portuguese Other & Eliminations,FY-4
ELET6.SA,Transmission,FY-4
ELET6.SA,Generation,FY-4
ELET6.SA,Administration,FY-4
ELET6.SA,Eliminations,FY-4
EMA.TO,Caribbean Utility Operations,FY-4
EMA.TO,Maine Utility Operations,FY-4
EMA.TO,Other,FY-4
EMA.TO,Nova Scotia Power,FY-4
EMA.TO,Emera Energy,FY-4
EMA.TO,Inter-Segment Eliminations,FY-4
EMA.TO,NSPI,FY-4
EMA.TO,Emera Florida,FY-4
ENAE.WA,Trading,FY-4
ENAE.WA,Production,FY-4
ENAE.WA,Other,FY-4
ENAE.WA,Eliminations,FY-4
ENAE.WA,Distribution,FY-4
ENAE.WA,Extraction,FY-4
ENEI.MI,Italian Market,FY-4
ENEI.MI,"Other, Eliminations and Adjustments",FY-4
ENEI.MI,Latin America,FY-4
ENEI.MI,Iberia,FY-4
ENEI.MI,Europa and North Africa,FY-4
ENEI.MI,Africa Sub-Saharian and Asia,FY-4
ENEI.MI,North and Central America,FY-4
ENGIE.PA,Eliminations,FY-4
ENGIE.PA,Other,FY-4
ENGIE.PA,Latin America,FY-4
ENGIE.PA,France,FY-4
ENGIE.PA,Europe excluding France & Benelux,FY-4
ENGIE.PA,USA & Canada,FY-4
ENGIE.PA,"Middle East, Africa & Asia",FY-4
ENJSA.IS,Elimination,FY-4
ENJSA.IS,Undistubuted,FY-4
ENJSA.IS,Retail,FY-4
ENJSA.IS,Distribution,FY-4
ENLT.TA,Adjustments,FY-4
ENLT.TA,Wind,FY-4
ENLT.TA,PV,FY-4
EONGn.DE,Renewable Energy Generation,FY-4
EONGn.DE,Customer Solutions - UK,FY-4
EONGn.DE,Consolidation,FY-4
EONGn.DE,Customer Solutions - Other,FY-4
EONGn.DE,PreussenElektra,FY-4
EONGn.DE,Corporate Functions/Other,FY-4
EONGn.DE,Energy Network Germany,FY-4
EONGn.DE,Energy Networks Sweden,FY-4
EONGn.DE,Customer Solutions - Germany,FY-4
EONGn.DE,Energy Networks CEE/Turkey,FY-4
EONGn.DE,Generation Turkey,FY-4
ETR.N,All Other,FY-4
ETR.N,Eliminations,FY-4
ETR.N,Entergy Wholsale commodoties,FY-4
ETR.N,Utility,FY-4
EXC.OQ,BGE,FY-4
EXC.OQ,ComEd,FY-4
EXC.OQ,Corporate/Other,FY-4
EXC.OQ,Generation,FY-4
EXC.OQ,PECO,FY-4
EXC.OQ,Intersegment Eliminations,FY-4
EXC.OQ,PHI,FY-4
FGEN.PS,Elimination,FY-4
FGEN.PS,FGP,FY-4
FGEN.PS,FG Hydro,FY-4
FGEN.PS,FGPC,FY-4
FGEN.PS,Others,FY-4
FGEN.PS,EDC,FY-4
FGEN.PS,Prime Meridian,FY-4
FGEN.PS,FNPC,FY-4
FORTUM.HE,Russia,FY-4
FORTUM.HE,Generation,FY-4
FORTUM.HE,Other Operations,FY-4
FORTUM.HE,Netting of Nord Pool Transactions,FY-4
FORTUM.HE,City Solutions,FY-4
FORTUM.HE,Elimination,FY-4
FORTUM.HE,Consumer Solutions,FY-4
FTEK.OQ,,FY-4
FTS.TO,Other Electric,FY-4
FTS.TO,Corporate and other,FY-4
FTS.TO,Intersegment eliminations,FY-4
FTS.TO,Fortis Alberta,FY-4
FTS.TO,Energy infrastructure,FY-4
FTS.TO,FortisBC Energy,FY-4
FTS.TO,Fortis BC Electric,FY-4
FTS.TO,Central Hudson,FY-4
FTS.TO,UNS Energy,FY-4
FTS.TO,ITC,FY-4
GEG.HM,,FY-4
GPSC.BK,Others,FY-4
GPSC.BK,Independent Power,FY-4
GPSC.BK,Small Power,FY-4
GPSC.BK,Eliminations,FY-4
HARL.L,,FY-4
HDG.HM,Eliminations,FY-4
HDG.HM,Others,FY-4
HDG.HM,Real Estate,FY-4
HDG.HM,Construction,FY-4
HDG.HM,Hydroelectric,FY-4
HE.N,Electric Utility,FY-4
HE.N,Other,FY-4
HE.N,Bank,FY-4
HEGL.NS,Power generation,FY-4
HEGL.NS,Graphite ( including other carbon products ),FY-4
HEGL.NS,Unallocable items/Others,FY-4
HOLMb.ST,FOREST,FY-4
HOLMb.ST,WOOD PRODUCTS,FY-4
HOLMb.ST,GROUP-WIDE AND OTHER,FY-4
HOLMb.ST,PAPER BOARD,FY-4
HOLMb.ST,PAPER,FY-4
HOLMb.ST,RENEWABLE ENERGY,FY-4
IBE.MC,Other Business,FY-4
IBE.MC,Renewable Energy,FY-4
IBE.MC,Networks,FY-4
IBE.MC,Electricity Generation/Liberalized,FY-4
IDA.N,All Other,FY-4
IDA.N,Eliminations,FY-4
IDA.N,Utility Operations,FY-4
IDC.HN,,FY-4
LIGT3.SA,Eliminations,FY-4
LIGT3.SA,Other,FY-4
LIGT3.SA,Distribution,FY-4
