Instrument,Segment Name,year
LIGT3.SA,Generation,FY-4
LIGT3.SA,Commercialization,FY-4
LIGT3.SA,Services,FY-4
MGEE.OQ,Transmission Investment,FY-4
MGEE.OQ,All Others,FY-4
MGEE.OQ,Non Regulated Energy,FY-4
MGEE.OQ,Gas,FY-4
MGEE.OQ,Eliminations,FY-4
MGEE.OQ,Electric,FY-4
MPLF.PSX,,FY-4
NCLI.NS,Prefab Division,FY-4
NCLI.NS,Ready Mix Concrete Division,FY-4
NCLI.NS,Energy Division,FY-4
NCLI.NS,Intersegment Revenue,FY-4
NCLI.NS,Cement Division,FY-4
NCLI.NS,Boards Division,FY-4
NCLI.NS,Unallocated,FY-4
NCLI.NS,Taxes & Duties,FY-4
NEOE3.SA,,FY-4
NLCI.NS,Lignite Mining,FY-4
NLCI.NS,Power Generation,FY-4
NRG.N,Corporate,FY-4
NRG.N,Elimination,FY-4
NRG.N,Generation,FY-4
NRG.N,Retail,FY-4
NTPC.NS,Others,FY-4
NTPC.NS,Generation of energy,FY-4
NTPC.NS,Inter-Segment Eliminations,FY-4
ODAS.IS,Energy Production,FY-4
ODAS.IS,Energy Trading,FY-4
ODAS.IS,Eliminations,FY-4
ODAS.IS,Mining,FY-4
ORK.OL,Financial Investments,FY-4
ORK.OL,Orkla Foods Ingredients,FY-4
ORK.OL,H.O./Unallocated/Eliminations,FY-4
ORK.OL,Orkla Confectionery & Snacks,FY-4
ORK.OL,Hydro Power,FY-4
ORK.OL,Orkla Care,FY-4
ORK.OL,Elimination,FY-4
ORK.OL,Orkla Foods,FY-4
ORK.OL,HK,FY-4
PAFO.NS,Food Products,FY-4
PAFO.NS,Wind Turbine Power Generation,FY-4
PAFO.NS,Oil,FY-4
PAFO.NS,Vanaspati,FY-4
PAFO.NS,Others,FY-4
PAFO.NS,Extractions,FY-4
PAFO.NS,Inter Segment Revenue,FY-4
PC1.HM,Construction,FY-4
PC1.HM,Hydroelectricity,FY-4
PC1.HM,Other Activities,FY-4
PC1.HM,Manufacturing,FY-4
PC1.HM,Real Estate,FY-4
PC1.HM,Selling,FY-4
PEG.N,Other,FY-4
PEG.N,PSE&G,FY-4
PEG.N,PSEG Power & Other,FY-4
PEG.N,Eliminations,FY-4
PGRD.NS,Consultancy Services,FY-4
PGRD.NS,Transmission Services,FY-4
PGRD.NS,Telecom Services,FY-4
PGRD.NS,Eliminations,FY-4
PIF.TO,Geothermal Project,FY-4
PIF.TO,Others,FY-4
PIF.TO,Hydroelectric Project,FY-4
PTCI.NS,Unallocated,FY-4
PTCI.NS,Power Trading,FY-4
PTCI.NS,Investments,FY-4
RATCH.BK,Domestic Electricity Generating,FY-4
RATCH.BK,Others,FY-4
RATCH.BK,Renewable Energy,FY-4
RATCH.BK,International Power Projects,FY-4
RITS.NS,Consultancy - Abroad,FY-4
RITS.NS,Consultancy - Domestic,FY-4
RITS.NS,Export Sale,FY-4
RITS.NS,Leasing -Domestic,FY-4
RITS.NS,Turnkey Construction Projects -Domestic,FY-4
RITS.NS,Power Generation,FY-4
ROH2O.BX,,FY-4
RWEG.DE,Other/Consolidation,FY-4
RWEG.DE,European Power,FY-4
RWEG.DE,Innogy,FY-4
RWEG.DE,Lignite & Nuclear,FY-4
RWEG.DE,Supply & Trading,FY-4
SHEL.L,Corporate and Other,FY-4
SHEL.L,Upstream,FY-4
SHEL.L,Downstream,FY-4
SHEL.L,Integrated Gas,FY-4
SO.N,Reconciling Eliminations,FY-4
SO.N,All Other,FY-4
SO.N,Eliminations,FY-4
SO.N,Traditional Electric Operating Companies,FY-4
SO.N,Southern Power,FY-4
SO.N,Southern Company Gas,FY-4
SPI.OQ,Solar energy products and services,FY-4
SRG.MI,Natural gas-Tansportation,FY-4
SRG.MI,Re-Gasification (Regulated),FY-4
SRG.MI,Storage of natural gas,FY-4
SRG.MI,Corporate,FY-4
SSE.L,Corporate unallocated,FY-4
SSE.L,Gas Storage,FY-4
SSE.L,Electricity Transmission,FY-4
SSE.L,Thermal Generation,FY-4
SSE.L,Enterprise,FY-4
SSE.L,Airtricity,FY-4
SSE.L,Business Energy,FY-4
SSE.L,Electricity Distribution,FY-4
SSE.L,Renewables,FY-4
SSE.L,EPM,FY-4
SVT.L,Corporate and other,FY-4
SVT.L,Business Services,FY-4
SVT.L,Regulated Water and Waste Water,FY-4
SXC.N,Domestic Coke,FY-4
SXC.N,Corporate & Other,FY-4
SXC.N,Logistics,FY-4
SXC.N,Brazil Coke,FY-4
SXC.N,Elimination,FY-4
SXC.N,Logistics intersegment sales,FY-4
SXC.N,Corporate and other intersegment sales,FY-4
TA.TO,Corporate/Other,FY-4
TA.TO,Canadian Coal,FY-4
TA.TO,U.S. Coal,FY-4
TA.TO,Hydro,FY-4
TA.TO,Gas,FY-4
TA.TO,Energy Marketing,FY-4
TA.TO,Wind and solar,FY-4
TA.TO,Australian gas,FY-4
TCIL.NS,Frieght Division,FY-4
TCIL.NS,Energy Division,FY-4
TCIL.NS,Supply Chain Solution Division,FY-4
TCIL.NS,Seaways Division,FY-4
TCIL.NS,Unallocated income/expenditure,FY-4
TCIL.NS,Inter Company Revenue,FY-4
TTPW.NS,Others,FY-4
TTPW.NS,Inter-Segment Revenue,FY-4
TTPW.NS,Transmission and Distribution,FY-4
TTPW.NS,Renewables,FY-4
TTPW.NS,Generation,FY-4
UN01.DE,Administration/Consolidation,FY-4
UN01.DE,European Generation,FY-4
UN01.DE,International Power Generation,FY-4
UN01.DE,Global Commodities,FY-4
UNACEMC1.LM,Adjustment,FY-4
UNACEMC1.LM,Cement,FY-4
UNACEMC1.LM,Concrete,FY-4
UNACEMC1.LM,Electric Energy,FY-4
UNACEMC1.LM,Other,FY-4
VERB.VI,Reconciliation/Consolidation,FY-4
VERB.VI,All other segments,FY-4
VERB.VI,Renewable Generation,FY-4
VERB.VI,Grid,FY-4
VERB.VI,Sales,FY-4
XEL.OQ,Regulated Electric,FY-4
XEL.OQ,All Other,FY-4
XEL.OQ,Reconciling Eliminations,FY-4
XEL.OQ,Regulated Natural Gas,FY-4
