Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
SLIGR.AS,Netherlands,"424490, 424480, 424470, 424410",0,,,,2.0
SLIGR.AS,Belgium,"424490, 424480, 424470, 424410",0,,,,2.0
TWKNc.AS,Other,,0,,,,4.0
TWKNc.AS,Smart Connectivity systems,"513210, 335921",0,,,,4.0
TWKNc.AS,Smart Vision systems,334290,0,,,,4.0
TWKNc.AS,Smart Manufacturing systems,333248,0,,,,4.0
NHY.OL,Other Activities,,0,,,,6.0
NHY.OL,Energy,331313,0,,,,6.0
NHY.OL,Metal Markets,"331313, 331314",0,,,,6.0
NHY.OL,Primary Metal,"331313, 331314",0,,,,6.0
NHY.OL,Bauxite & Alumina,"331313, 212290, 331314",0,,,,6.0
NHY.OL,Extruded Solutions,331313,0,,,,6.0
ODF.OL,Tank Terminals,488310,0,,,,3.0
ODF.OL,Chemical Tankers,483111,0,,,,3.0
ODF.OL,Adjustments,,0,,,,3.0
VEI.OL,Other,"237310, 237210",0,,,,7.0
VEI.OL,Group Eliminations,,0,,,,7.0
VEI.OL,Construction Sweden,"237210, 236116, 236115",0,,,,7.0
VEI.OL,Construction Norway,"324122, 237990, 236116, 236115",0,,,,7.0
VEI.OL,Construction Denmark,237210,0,,,,7.0
VEI.OL,Infrastructure Norway,237310,0,,,,7.0
VEI.OL,Infrastructure Sweden,237310,0,,,,7.0
CEMI.MI,Unallocated,,0,,,,11.0
CEMI.MI,Egypt,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Turkey,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Denmark,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Other,,0,,,,11.0
CEMI.MI,Belgium,"327390, 327320, 327310",0,,,,11.0
CEMI.MI,Belgium and France,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Asia Pacific,"327320, 327310, 212319, 212312",0,,,,11.0
CEMI.MI,North America,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Nordic & Baltic,"327390, 327332, 327320, 327310",0,,,,11.0
CEMI.MI,Holdings and services,551114,0,,,,11.0
WBD.MI,Rest of the World,"237990, 237310, 237110",0,,,,3.0
WBD.MI,Italy,"237990, 237310, 237110",0,,,,3.0
WBD.MI,LANE Group,"237990, 237310, 237110, 236210",0,,,,3.0
ITMI.MI,Italmobiliare,523910,0,,,,10.0
ITMI.MI,Italgen,"221118, 221122",0,,,,10.0
ITMI.MI,Not Allocated and Adjustments,,0,,,,10.0
ITMI.MI,Other Subsidiaries,,0,,,,10.0
ITMI.MI,Caffe Borbone,311920,0,,,,10.0
ITMI.MI,Officina Santa Maria Novella,325620,0,,,,10.0
ITMI.MI,Capitelli,311612,0,,,,10.0
ITMI.MI,Casa della Salute,"622110, 621999",0,,,,10.0
ITMI.MI,Call me wine,424820,0,,,,10.0
ITMI.MI,Clessidra Group,551112,0,,,,10.0
BOL.ST,Mining,212230,0,,,,5.0
BOL.ST,Other,,0,,,,5.0
BOL.ST,Smelting/Copper,331410,0,,,,5.0
BOL.ST,Eliminations,,0,,,,5.0
BOL.ST,Accounting Principles,,0,,,,5.0
SCAb.ST,Other Activities,561499,0,,,,6.0
SCAb.ST,Intra-group,,0,,,,6.0
SCAb.ST,Forest,"322120, 321999, 321113",0,,,,6.0
SCAb.ST,Pulp,322130,0,,,,6.0
SCAb.ST,Wood,"321212, 321211",0,,,,6.0
SCAb.ST,Containerboard/Paper,322120,0,,,,6.0
HUFVa.ST,Gothenburg,531120,0,,,,4.0
HUFVa.ST,Stockholm City East,531120,0,,,,4.0
HUFVa.ST,NK,531120,0,,,,4.0
HUFVa.ST,Eliminations,,0,,,,4.0
NCCb.ST,NCC Property Development,531120,0,,,,6.0
NCCb.ST,Other and Eliminations,,0,,,,6.0
NCCb.ST,NCC Industry,"324122, 324121, 212321, 212319",0,,,,6.0
NCCb.ST,NCC Infrastructure,237310,0,,,,6.0
NCCb.ST,NCC Building Nordics,"236220, 236118, 236116",0,,,,6.0
NCCb.ST,NCC Building Sweden,"236220, 236118, 236116",0,,,,6.0
RATOb.ST,Eliminations,,0,,,,4.0
RATOb.ST,Construction & Services,236220,0,,,,4.0
RATOb.ST,Consumer,812990,0,,,,4.0
RATOb.ST,Industry,561499,0,,,,4.0
SKAb.ST,Commercial Property Development,"541330, 531110, 236220",0,,,,7.0
SKAb.ST,Construction,"541330, 541320, 237310, 236220",0,,,,7.0
SKAb.ST,Residential Development,"541330, 236115",0,,,,7.0
SKAb.ST,Reconciliation with IFRS,,0,,,,7.0
SKAb.ST,Eliminations,,0,,,,7.0
SKAb.ST,Central,236220,0,,,,7.0
SKAb.ST,Investment Properties,"531120, 531110",0,,,,7.0
KESKOB.HE,Car trade,"441330, 441110, 423110",0,,,,4.0
KESKOB.HE,Grocery trade,445110,0,,,,4.0
KESKOB.HE,Common functions,,0,,,,4.0
KESKOB.HE,Building and technical trade,444180,0,,,,4.0
METSB.HE,,,0,,,,0.0
OUT1V.HE,Ferrochrome,331110,0,,,,5.0
OUT1V.HE,Other Operations,,0,,,,5.0
OUT1V.HE,Eliminations,,0,,,,5.0
OUT1V.HE,Europe,331110,0,,,,5.0
OUT1V.HE,Americas,331110,0,,,,5.0
BILN.L,Structural Steelwork,"541330, 238120",0,,,,3.0
BILN.L,Others,,0,,,,3.0
BILN.L,Safety solutions,"332312, 332311",0,,,,3.0
ETN.N,Vehicle,"336310, 336350",0,,,,6.0
ETN.N,Hydraulics,"336310, 335999, 333996, 332912",0,,,,6.0
ETN.N,Electrical Americas,"335999, 335314, 335313",0,,,,6.0
ETN.N,Aerospace,"336310, 336413, 333996, 332912",0,,,,6.0
ETN.N,eMobility,"336320, 336350",0,,,,6.0
ETN.N,Electrical Global,"335999, 335314, 335313, 334512",0,,,,6.0
TT.N,Services,"333998, 333415",0,,,,2.0
TT.N, Equipment,"333998, 333415",0,,,,2.0
MSHGn.F,Wholesale,"541511, 424410",0,,,,4.0
MSHGn.F,Retail,"541511, 445110, 311812, 311612",0,,,,4.0
MSHGn.F,Other,,0,,,,4.0
MSHGn.F,Consolidation,,0,,,,4.0
ERMT.PA,Alloys,"331110, 212230",0,,,,6.0
ERMT.PA,Holding Companies and Eliminations,,0,,,,6.0
ERMT.PA,Manganese,212290,0,,,,6.0
ERMT.PA,Nickel,212230,0,,,,6.0
ERMT.PA,Mineralized Sands,212390,0,,,,6.0
ERMT.PA,Nickel - Sandouville,212230,0,,,,6.0
CLSH.L,Equity Investment/ Other Investments,"531390, 531110",0,,,,2.0
CLSH.L,Investment Property,"531120, 531110",0,,,,2.0
AFRY.ST,Infrastructure,541330,0,,,,8.0
AFRY.ST,Other & Eliminations,,0,,,,8.0
AFRY.ST,Energy,541330,0,,,,8.0
AFRY.ST,Process Industries,541330,0,,,,8.0
AFRY.ST,Industrial & Digital solutions,"541618, 541511, 541420, 541330",0,,,,8.0
AFRY.ST,Management Consulting,"541690, 541620, 541618, 541611",0,,,,8.0
AFRY.ST,Group-wide,611430,0,,,,8.0
AFRY.ST,AFRY X,541330,0,,,,8.0
ANTO.L,Transport division,"484121, 484110, 482112, 482111",0,,,,7.0
ANTO.L,Los Pelambres,"212230, 212220",0,,,,7.0
ANTO.L,Exploration & Evaluation,212230,0,,,,7.0
ANTO.L,Corporate and Other,,0,,,,7.0
ANTO.L,Antucoya,212230,0,,,,7.0
ANTO.L,Centinela,"212230, 212220",0,,,,7.0
ANTO.L,Zaldivar,212230,0,,,,7.0
BOLJ.ST,,,0,,,,0.0
CTY1S.HE,,,0,,,,0.0
CEV.MC,Rental Income,"531120, 531110",0,,,,3.0
CEV.MC,Financial Property,"531120, 531110",0,,,,3.0
CEV.MC,Rental Promotion,"531120, 531110",0,,,,3.0
HHDC.CO,Western Europe,"327331, 327320",0,,,,4.0
HHDC.CO,Poland,561499,0,,,,4.0
HHDC.CO,UK,561499,0,,,,4.0
HHDC.CO,Eliminations,,0,,,,4.0
ECORE.L,All Other segments,,0,,,,4.0
ECORE.L,Americas royalities,533110,0,,,,4.0
ECORE.L,Australia royalities,533110,0,,,,4.0
ECORE.L,Europe royalities,533110,0,,,,4.0
PEUG.PA,Bonds,523999,0,,,,5.0
PEUG.PA,Financial Investments,523910,0,,,,5.0
PEUG.PA,Reconciliations,,0,,,,5.0
PEUG.PA,Other Activities,"551112, 531120",0,,,,5.0
PEUG.PA,PSA Peugeon Citroen Group,"551112, 531120",0,,,,5.0
GPIF.PA,Manufacture,"334515, 334418",0,,,,5.0
GPIF.PA,Installation/Maintenance,"811310, 334418",0,,,,5.0
GPIF.PA,Energy,,0,,,,5.0
GPIF.PA,Holding,,0,,,,5.0
GPIF.PA,Aerospace and Defense,334515,0,,,,5.0
HYDRA.AS,Industrial Systems,333111,0,,,,4.0
HYDRA.AS,Hightech Components,"326199, 326122",0,,,,4.0
HYDRA.AS,Agri & Food Equipment,,0,,,,4.0
HYDRA.AS,Holding costs and eliminations,561499,0,,,,4.0
PEABb.ST,Construction Total,"236220, 236116",0,,,,7.0
PEABb.ST,Industry,"532412, 237990, 236220",0,,,,7.0
PEABb.ST,Group Functions,,0,,,,7.0
PEABb.ST,Project Development,531390,0,,,,7.0
PEABb.ST,Civil Engineering,237310,0,,,,7.0
PEABb.ST,Eliminations,,0,,,,7.0
PEABb.ST,Unallocated,,0,,,,7.0
MTHH.CO,E&P,236210,0,,,,5.0
MTHH.CO,Scandi Byg,236210,0,,,,5.0
MTHH.CO,MTH PU,,0,,,,5.0
MTHH.CO,MTH Int,,0,,,,5.0
MTHH.CO,MTH DK,236210,0,,,,5.0
ISUR.MC,Other Income/Corporate,,0,,,,4.0
ISUR.MC,Rental of Buildings,"531120, 531110",0,,,,4.0
ISUR.MC,Sale of Buildings,"531120, 531110",0,,,,4.0
ISUR.MC,Construction,541310,0,,,,4.0
GNC.L,,,0,,,,0.0
KCOGn.DE,Europe,"541614, 493110, 423510",0,,,,3.0
KCOGn.DE,Americas,"541614, 493110, 423510",0,,,,3.0
KCOGn.DE,Distribution Europe,"541614, 493110, 423510",0,,,,3.0
APETIT.HE,Intercompany Eliminations,,0,,,,4.0
APETIT.HE,Oilseed Products,"424590, 424510",0,,,,4.0
APETIT.HE,Food Solutions,"541613, 311991, 311412, 311411",0,,,,4.0
APETIT.HE,Discontinued Operations,,0,,,,4.0
LAT1V.HE,Industrial Services,"562998, 562991",0,,,,5.0
LAT1V.HE,Environmental Services,"562211, 562111, 541620",0,,,,5.0
LAT1V.HE,Eliminations,,0,,,,5.0
LAT1V.HE,Facility Services - Finland,561720,0,,,,5.0
LAT1V.HE,Facility Services - Sweden,561720,0,,,,5.0
LGT.MC,Less: Sales Returns,,0,,,,4.0
LGT.MC,Various,,0,,,,4.0
LGT.MC,Civil Engineering,"541330, 331513, 331210",0,,,,4.0
LGT.MC,Automotive,"336390, 336370",0,,,,4.0
LIAB.ST,Ventilation Systems,333415,0,,,,4.0
LIAB.ST,Other,,0,,,,4.0
LIAB.ST,Eliminations,,0,,,,4.0
LIAB.ST,Profile Systems,"332999, 332322",0,,,,4.0
PNA1V.HE,Grano,323111,0,,,,5.0
PNA1V.HE,Other,,0,,,,5.0
PNA1V.HE,CoreHW,334413,0,,,,5.0
PNA1V.HE,Oscar Software,"513210, 541511",0,,,,5.0
PNA1V.HE,Hygga,621210,0,,,,5.0
PLAZb.ST,Project-buildings,"531120, 236220",0,,,,5.0
PLAZb.ST,Central Gothenburg,531120,0,,,,5.0
PLAZb.ST,North/East Gothenburg,531120,0,,,,5.0
PLAZb.ST,South/West Gothenburg,531120,0,,,,5.0
PLAZb.ST,Industry / logistics,"531120, 236220",0,,,,5.0
STWK.ST,,,0,,,,0.0
RAIVV.HE,Eliminations,,0,,,,4.0
RAIVV.HE,Healthy ingredients,"311999, 311991",0,,,,4.0
RAIVV.HE,Healthy food,"311999, 311991",0,,,,4.0
RAIVV.HE,Other Operation,,0,,,,4.0
RROS.ST,,,0,,,,0.0
SECUb.ST,Security Services North America,561612,0,,,,5.0
SECUb.ST,Other,,0,,,,5.0
SECUb.ST,Security Services Europe,561612,0,,,,5.0
SECUb.ST,Security Services Ibero-America,561612,0,,,,5.0
SECUb.ST,Eliminations,,0,,,,5.0
BEIJb.ST,Eliminations,,0,,,,4.0
BEIJb.ST,APAC,333415,0,,,,4.0
BEIJb.ST,North America,423740,0,,,,4.0
BEIJb.ST,EMEA,423740,0,,,,4.0
YSO.LS,NOS,517810,0,,,,9.0
YSO.LS,Eliminations & Adjustments,,0,,,,9.0
YSO.LS,Sonae MC,445110,0,,,,9.0
YSO.LS,Sonae Sierra,"541330, 531390, 531120, 236220",0,,,,9.0
YSO.LS,Worten,449210,0,,,,9.0
YSO.LS,ISRG,459110,0,,,,9.0
YSO.LS,Bright Pixel,523910,0,,,,9.0
YSO.LS,Universo,522320,0,,,,9.0
YSO.LS,Zeitreel,458110,0,,,,9.0
EQNR.OL,Exploration and Production - Norway,211120,0,,,,7.0
EQNR.OL,Other Operations,,0,,,,7.0
EQNR.OL,Exploration and Production - International,211120,0,,,,7.0
EQNR.OL,Eliminations,,0,,,,7.0
EQNR.OL,Exploration and Production - USA,211120,0,,,,7.0
EQNR.OL,REN,211120,0,,,,7.0
EQNR.OL,"Marketing, Processing and Renewable Energy","221118, 424710, 324110, 221210",0,,,,7.0
EQV1V.HE,Others,,0,,,,5.0
EQV1V.HE,Asset Management,523940,0,,,,5.0
EQV1V.HE,Investments,"523940, 523150",0,,,,5.0
EQV1V.HE,Corporate Finance,"523940, 523150",0,,,,5.0
EQV1V.HE,Eliminations,,0,,,,5.0
FRO.N,Tankers segment includes crude oil tankers and product tankers,,0,,,,1.0
VOSG.DE,Lifecycle Solutions,"488210, 336510, 237990",0,,,,7.0
VOSG.DE,Customized Modules,"541330, 488210, 336510, 331511",0,,,,7.0
VOSG.DE,Holding Companies,,0,,,,7.0
VOSG.DE,Consolidation,,0,,,,7.0
VOSG.DE,Fastening Systems,336510,0,,,,7.0
VOSG.DE,Tie Technologies,332722,0,,,,7.0
VOSG.DE,Consolidation Core segment,,0,,,,7.0
WALLb.ST,,,0,,,,0.0
FABG.ST,,,0,,,,0.0
SAEI.MI,Medical,"334419, 334111",0,,,,8.0
SAEI.MI,Unallocated,,0,,,,8.0
SAEI.MI,SMA Industrial Applications,331491,0,,,,8.0
SAEI.MI,Packaging,322220,0,,,,8.0
SAEI.MI,Sintered Components for Electronic Devices & Lasers,"334510, 334419, 334413",0,,,,8.0
SAEI.MI,Vacuum Technology Division,333248,0,,,,8.0
SAEI.MI,Specialty Chemicals Division,325211,0,,,,8.0
SAEI.MI,Getters & Dispensers,"334513, 334419",0,,,,8.0
ICP.L,IC,"523940, 525910",0,,,,2.0
ICP.L,FMC,"523940, 525910",0,,,,2.0
ARN.MI,Holding,523910,0,,,,2.0
ARN.MI,Operating Activities,221118,0,,,,2.0
LIN.OQ,Engineering,"541330, 237120",0,,,,5.0
LIN.OQ,EMEA,325120,0,,,,5.0
LIN.OQ,APAC,325120,0,,,,5.0
LIN.OQ,Americas,325120,0,,,,5.0
LIN.OQ,Other,561499,0,,,,5.0
NIBEb.ST,NIBE Element,333414,0,,,,5.0
NIBEb.ST,Unallocated,,0,,,,5.0
NIBEb.ST,NIBE Climate Solutions,333414,0,,,,5.0
NIBEb.ST,NIBE Stoves,333414,0,,,,5.0
NIBEb.ST,Eliminations,,0,,,,5.0
EXEP.PA,,,0,,,,0.0
PANDXb.ST,Operator Activities,721110,0,,,,2.0
PANDXb.ST,Property Management,531120,0,,,,2.0
AXFO.ST,Eliminations,,0,,,,6.0
AXFO.ST,Hemkop,"445110, 424410",0,,,,6.0
AXFO.ST,Willys,"445110, 424410",0,,,,6.0
AXFO.ST,Dagab,"445110, 424410",0,,,,6.0
AXFO.ST,Joint Group,445110,0,,,,6.0
AXFO.ST,Snabbgross,,0,,,,6.0
MOWI.OL,Other,,0,,,,7.0
MOWI.OL,Sales and Marketing MH Consumer Products,"311710, 424460",0,,,,7.0
MOWI.OL,Eliminations,,0,,,,7.0
MOWI.OL,Elimination,,0,,,,7.0
MOWI.OL,Farming,112511,0,,,,7.0
MOWI.OL,Sales and Marketing MH Markets,"311710, 424460",0,,,,7.0
MOWI.OL,Fish Feed,311119,0,,,,7.0
KGH.WA,Consolidation Adjustments,,0,,,,6.0
KGH.WA,Eliminations,,0,,,,6.0
KGH.WA,Other Segments,525990,0,,,,6.0
KGH.WA,Sierra Gorda Project,212230,0,,,,6.0
KGH.WA,KGHM INTERNATIONAL LTD.,212230,0,,,,6.0
KGH.WA,KGHM Polska Miedz SA,212230,0,,,,6.0
AFGA.OL,IFRS Adjustment,,0,,,,10.0
AFGA.OL,Other,,0,,,,10.0
AFGA.OL,Property,"238990, 237990, 236220",0,,,,10.0
AFGA.OL,Building,"236118, 236116",0,,,,10.0
AFGA.OL,Civil Engineering,"238990, 237990, 236220",0,,,,10.0
AFGA.OL,Offhore,213112,0,,,,10.0
AFGA.OL,Eliminations,,0,,,,10.0
AFGA.OL,Sweden,"562111, 237310, 236220",0,,,,10.0
AFGA.OL,Energy and Environment,"562219, 238910, 213112",0,,,,10.0
AFGA.OL,Betonmast,"541410, 531120, 531110, 236220",0,,,,10.0
UZU.DE,Eliminations,,0,,,,8.0
UZU.DE,Other Segments,"531120, 423810, 238330",0,,,,8.0
UZU.DE,South-/Eastern Europe,325520,0,,,,8.0
UZU.DE,Western Europe - Operating segment,325520,0,,,,8.0
UZU.DE,Netherlands - Laying Systems,238330,0,,,,8.0
UZU.DE,Germany -Laying Systems,238330,0,,,,8.0
UZU.DE,Germany - Surface Care and Enhancement,"333310, 325613, 238330",0,,,,8.0
UZU.DE,Netherlands -Wholesale,423390,0,,,,8.0
CCHE.PA,Hazardous Waste (HW) division,562211,0,,,,2.0
CCHE.PA,Non-Hazardous Waste (NHW) division,562219,0,,,,2.0
ZMP1L.VL,Cheese and cheese procuts,311513,0,,,,5.0
ZMP1L.VL,Fresh Dairy Products,"311512, 311511",0,,,,5.0
ZMP1L.VL,Other Products,,0,,,,5.0
ZMP1L.VL,Dry Milk Products,311514,0,,,,5.0
ZMP1L.VL,Butter and Fat Mix,311512,0,,,,5.0
IBG.MC,Wood,321999,0,,,,3.0
IBG.MC,Electricity Sales,221122,0,,,,3.0
IBG.MC,Paper,322120,0,,,,3.0
CEMB.MI,Italy,"332216, 335931, 333991, 333514",0,,,,4.0
CEMB.MI,Rest of europe,"332216, 335931, 333991, 333514",0,,,,4.0
CEMB.MI,Elimination of intra group,,0,,,,4.0
CEMB.MI,Rest of World,"332216, 335931, 333991, 333514",0,,,,4.0
NVGR.LS,Eliminations,,0,,,,5.0
NVGR.LS,Other,,0,,,,5.0
NVGR.LS,Pulp for Market,322110,0,,,,5.0
NVGR.LS,Paper UWF,322120,0,,,,5.0
NVGR.LS,Paper Tissue,322230,0,,,,5.0
PATC.PA,,,0,,,,0.0
PZV1L.VL,Other Products,311520,0,,,,5.0
PZV1L.VL,Cheese,311513,0,,,,5.0
PZV1L.VL,Fresh milk products,"311513, 311512, 311511",0,,,,5.0
PZV1L.VL,Dry milk products,311514,0,,,,5.0
PZV1L.VL,Ice-cream,311520,0,,,,5.0
WWL.WA,,,0,,,,0.0
BARN.S,Eliminations,,0,,,,6.0
BARN.S,Corporate,,0,,,,6.0
BARN.S,Americas,"311351, 424490",0,,,,6.0
BARN.S,Global Cocoa,311351,0,,,,6.0
BARN.S,EMEA,"311351, 424490",0,,,,6.0
BARN.S,Asia Pacific,"311351, 424490",0,,,,6.0
BOND.PA,Fresh Products,311991,0,,,,3.0
BOND.PA,Frozen Food,311411,0,,,,3.0
BOND.PA,Canned Food,311421,0,,,,3.0
STF.PA,Other Businesses,,0,,,,4.0
STF.PA,Maritime,"541614, 488510",0,,,,4.0
STF.PA,STEF France,"493120, 484230",0,,,,4.0
STF.PA,STEF-TFE International,"484230, 484220",0,,,,4.0
ALCIS.PA,,,0,,,,0.0
NAFG.DE,Others,,0,,,,3.0
NAFG.DE,Multimetal Recycling segment,331420,0,,,,3.0
NAFG.DE,Custom Smelting & Products segment,"331420, 331410",0,,,,3.0
HEPr.AT,Refining,324110,0,,,,6.0
HEPr.AT,Marketing,541910,0,,,,6.0
HEPr.AT,Exploration & Production,213112,0,,,,6.0
HEPr.AT,Petrochemicals,324110,0,,,,6.0
HEPr.AT,Natural Gas & Electric Power,211120,0,,,,6.0
HEPr.AT,Other,,0,,,,6.0
SAHN.S,Industrial division,334515,0,,,,2.0
SAHN.S,Automotive,334515,0,,,,2.0
ECVG.DE,Reconciliation,,0,,,,6.0
ECVG.DE,PV Services,"221114, 523910",0,,,,6.0
ECVG.DE,Wind Parks,"221115, 523910",0,,,,6.0
ECVG.DE,PV Parks,"221114, 523910",0,,,,6.0
ECVG.DE,Asset management,"221118, 523940",0,,,,6.0
ECVG.DE,Other Companies and Group Functions,,0,,,,6.0
SWECb.ST,Sweco Sweden,"541330, 541320, 541310",0,,,,10.0
SWECb.ST,Sweco Norway,541330,0,,,,10.0
SWECb.ST,Sweco Finland,541310,0,,,,10.0
SWECb.ST,Sweco Central & Eastern Europe,"541330, 541320, 541310",0,,,,10.0
SWECb.ST,"Group wide, Eliminations, etc",,0,,,,10.0
SWECb.ST,Sweco Netherland,"541330, 541320, 541310",0,,,,10.0
SWECb.ST,Sweco belgium,541330,0,,,,10.0
SWECb.ST,Sweco Germany & Central Europe,541330,0,,,,10.0
SWECb.ST,Sweco UK,"541330, 541320",0,,,,10.0
SWECb.ST,Sweco Denmark,"541320, 541310",0,,,,10.0
ZIM.AX,Mining,,0,,,,1.0
GLTN.PA,GL events Venues,"541990, 541410",0,,,,3.0
GLTN.PA,GL event Exhibitions,"561920, 531120",0,,,,3.0
GLTN.PA,GL events Live,"541990, 541410",0,,,,3.0
CEVG.H,Gas Flue Systems,"333414, 326122",0,,,,4.0
CEVG.H,Consolidation,,0,,,,4.0
CEVG.H,Medical Technology & Engineering Plastics,"423450, 339112, 326199, 325211",0,,,,4.0
CEVG.H,Climate Systems,333414,0,,,,4.0
PNEGn.DE,Electricity Generation,221118,0,,,,4.0
PNEGn.DE,Project development,"221118, 541690, 333611",0,,,,4.0
PNEGn.DE,Consolidation,,0,,,,4.0
PNEGn.DE,Services,"334413, 237130",0,,,,4.0
ITERA.OL,,,0,,,,0.0
BITI.PA,,,0,,,,0.0
SAGAa.ST,,,0,,,,0.0
PLAKR.AT,,,0,,,,0.0
MSONb.ST,Intercompany Eliminations,,0,,,,4.0
MSONb.ST,South Europe,311999,0,,,,4.0
MSONb.ST,North Europe,"325620, 311999",0,,,,4.0
MSONb.ST,Nordics,"456191, 325620, 311999, 311514",0,,,,4.0
GREENY.BR,Fresh,"311423, 311411, 111219, 111211",0,,,,4.0
GREENY.BR,Elimination,,0,,,,4.0
GREENY.BR,long fresh,"311423, 311411, 111219, 111211",0,,,,4.0
GREENY.BR,Unallocated,,0,,,,4.0
LIO.L,Investment Management,,0,,,,1.0
ELGr.AT,,,0,,,,0.0
PBX.WA,Production Services,327390,0,,,,6.0
PBX.WA,Other,,0,,,,6.0
PBX.WA,Implementation of contracts - Construction services,"237990, 236220, 236210, 236116",0,,,,6.0
PBX.WA,Implementation of contracts - Prefabrication,238120,0,,,,6.0
PBX.WA,Implementation of Pilot Projects,"332311, 236116, 236115",0,,,,6.0
PBX.WA,Hiring Services,531120,0,,,,6.0
BALDb.ST,,,0,,,,0.0
ASY.PA,Assystem Operations,,0,,,,1.0
DOV1V.HE,,,0,,,,0.0
,,,0,VIE.PA,,,
,,,0,CAG0n.H,,,
,,,0,PKN.WA,,,
,,,0,VVVGn_p.DE,,,
,,,0,ALLN.S,,,
,,,0,PSPN.S,,,
,,,0,IKTr.AT,,,
,,,0,ORPF.PA,,,
,,,0,SPSN.S,,,
,,,0,RWS.L,,,
,,,0,DAIr.AT,,,
,,,0,ETTE.HE,,,
,,,0,EKTG.DE,,,
,,,0,LSG.OL,,,
,,,0,KRDr.AT,,,
,,,0,EVRr.AT,,,
,,,0,MPCKk.DE,,,
,,,0,DEQGn.DE,,,
,,,0,WDIG.H,,,
,,,0,CLII.MI,,,
,,,0,HRPKk.DE,,,
,,,0,CAPMAN.HE,,,
,,,0,MOBN.S,,,
,,,0,FBI.CY,,,
,,,0,SVIK.ST,,,
,,,0,NEXS.PA,,,
,,,0,CPHN.S,,,
,,,0,MORr.AT,,,
,,,0,EMMN.S,,,
,,,0,ROSNP.BX,,,
,,,0,ADDTb.ST,,,
,,,0,LAGRb.ST,,,
,,,0,TWSr.AT,,,
,,,0,JHX.AX,,,
,,,0,MSTT.MM,,,
,,,0,KEPr.AT,,,
,,,0,ITRK.L,,,
,,,0,AKRN.MM,,,
,,,0,REJLb.ST,,,
,,,0,ADXR.MC,,,
,,,0,PREN.PFT,,,
,,,0,IGHZ.ZA,,,
,,,0,GALP.LS,,,
,,,0,DVLP.WA,,,
,,,0,AMG.AS,,,
,,,0,GRNT.MKE,,,
,,,0,MPT.MKE,,,
,,,0,JHG.N,,,
,,,0,LACR.PA,,,
,,,0,CATb.ST,,,
,,,0,HWG.L,,,
,,,0,SOLARb.CO,,,
,,,0,HEIJ.AS,,,
,,,0,HRMr.AT,,,
,,,0,ELSRr.AT,,,
,,,0,MSZ.WA,,,
,,,0,JMT.LS,,,
,,,0,ARDS.AS,,,
,,,0,FPARa.ST,,,
,,,0,KLR.L,,,
,,,0,HEBAb.ST,,,
,,,0,ATRLJb.ST,,,
,,,0,III.L,,,
,,,0,DCC.L,,,
,,,0,DBG.PA,,,
,,,0,ASPO.HE,,,
,,,0,WYWYN.L,,,
,,,0,GRANG.ST,,,
,,,0,SGCG.DE,,,
,,,0,BDXP.WA,,,
,,,0,SEM.LS,,,
,,,0,MYTr.AT,,,
,,,0,MOTA.LS,,,
,,,0,NWF.L,,,
,,,0,MOLB.BU,,,
,,,0,LOUP.PA,,,
,,,0,KTY.WA,,,
,,,0,RLP.WA,,,
,,,0,ECH.WA,,,
,,,0,SAGO.MM,,,
,,,0,UPM.HE,,,
,,,0,NTGNT.CO,,,
,,,0,FLUX.BR,,,
,,,0,BDTG.DE,,,
,,,0,MERG.L,,,
,,,0,IPX.L,,,
,,,0,KIE.L,,,
,,,0,IRC.MI,,,
,,,0,COGP.WA,,,
,,,0,BBHKk.H,,,
,,,0,ICP1V.HE,,,
,,,0,CAST.ST,,,
,,,0,ATTP.WA,,,
,,,0,CICG.LJ,,,
,,,0,ATGR.ZA,,,
,,,0,FEN.L,,,
,,,0,BRKN.S,,,
,,,0,BVI.PA,,,
,,,0,OAP3.L,,,
,,,0,SYSR.ST,,,
,,,0,ENDUR.OL,,,
,,,0,MTCM.MI,,,
,,,0,KMCP.OL,,,
,,,0,EAST9.ST,,,
,,,0,RTA4.MC,,,
,,,0,FREY.PA,,,
,,,0,MRK1T.TL,,,
,,,0,EDPR.LS,,,
,,,0,BREE.L,,,
,,,0,RAMA.LS,,,
,,,0,MLCOR.EUA,,,
,,,0,KLUr.AT,,,
,,,0,YAR.OL,,,
,,,0,GTCP.WA,,,
,,,0,MBH.L,,,
,,,0,AZMT.MI,,,
,,,0,PFD.L,,,
,,,0,GOODG.L,,,
,,,0,PAYP.L,,,
,,,0,BEG.L,,,
,,,0,NEXI.PA,,,
,,,0,RSTP.L,,,
,,,0,SEAF.ST,,,
,,,0,ASCI.MI,,,
,,,0,AKE.PA,,,
,,,0,CIEP.WA,,,
,,,0,M4NG.DE,,,
,,,0,HRGV.L,,,
,,,0,TIP.MI,,,
,,,0,BEGR.ST,,,
,,,0,SALM.OL,,,
