Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
ABM.N,Business & Industry,"812930, 811111, 561720, 541330",0,,,,5.0
ABM.N,Technical Solutions,541330,0,,,,5.0
ABM.N,Aviation,"812930, 561720, 488119",0,,,,5.0
ABM.N,Education,"812930, 561720, 541330",0,,,,5.0
ABM.N,Manufacturing & Distribution,"561720, 541330",0,,,,5.0
ARE.TO,Other and eliminations,,0,,,,3.0
ARE.TO,Concessions,"561990, 561210",0,,,,3.0
ARE.TO,Construction,"237990, 237130, 237120, 236220",0,,,,3.0
ARCH.N,"Corporate, Other and Eliminations",,0,,,,3.0
ARCH.N,Thermal,212115,0,,,,3.0
ARCH.N,Metallurgical,212114,0,,,,3.0
MERC.OQ,Pulp,"221118, 561499, 325199, 322110",0,,,,4.0
MERC.OQ,Wood Products,"221118, 321999, 321114, 321113",0,,,,4.0
MERC.OQ,Corporate and other,,0,,,,4.0
MERC.OQ,Solid Wood,"423310, 321113",0,,,,4.0
ATO.N,Eliminations,,0,,,,3.0
ATO.N,Pipeline and Storage,486210,0,,,,3.0
ATO.N, Distribution,221210,0,,,,3.0
BLX.TO,Wind Power Stations,221115,0,,,,4.0
BLX.TO,Thermal Power Stations,"221118, 221122, 221112",0,,,,4.0
BLX.TO,Hydroelectric Power Stations,"221118, 221122, 221121, 221111",0,,,,4.0
BLX.TO,Solar Power Station,221114,0,,,,4.0
MTZ.N,Oil & Gas,"237120, 221210",0,,,,5.0
MTZ.N,Eliminations,,0,,,,5.0
MTZ.N,Communications,"541330, 237130",0,,,,5.0
MTZ.N,Clean Energy and Infrastructure,237130,0,,,,5.0
MTZ.N,Power delivery,"237120, 221122",0,,,,5.0
TFII.TO,Less than Truck Load,484122,0,,,,6.0
TFII.TO,Package & courier,492110,0,,,,6.0
TFII.TO,Truck Load,484121,0,,,,6.0
TFII.TO,Eliminations,,0,,,,6.0
TFII.TO,Corporate,,0,,,,6.0
TFII.TO,Logistics,"541614, 492110, 488510",0,,,,6.0
CWT.N,water and related utility services,,0,,,,1.0
CASY.OQ,Grocery & Other Merchandise,"445131, 445110",0,,,,4.0
CASY.OQ,Other,,0,,,,4.0
CASY.OQ,Prepared Food & Fountain,"445320, 445298",0,,,,4.0
CASY.OQ,Fuel,457110,0,,,,4.0
CPSH.OQ,POTTERY & RELATED PRODUCTS,,0,,,,1.0
CPK.N,Unregulated Energy,"486210, 221330, 221112",0,,,,2.0
CPK.N,Regulated Energy,"486210, 221210, 221122",0,,,,2.0
CTAS.OQ,Corporate,,0,,,,4.0
CTAS.OQ,Uniform Rental and Facility Services,"812332, 812331, 561720",0,,,,4.0
CTAS.OQ,First Aid and Safety Services,339113,0,,,,4.0
CTAS.OQ,All other,,0,,,,4.0
CLH.N,Corporate Items,,0,,,,3.0
CLH.N,Safety-Kleen,"562910, 562112",0,,,,3.0
CLH.N,Environmental Services,"562211, 562111",0,,,,3.0
CLF.N,Steelmaking,331110,0,,,,2.0
CLF.N,Other Business,,0,,,,2.0
CMC.N,Corporate and Other,,0,,,,4.0
CMC.N,Europe,"331110, 332312",0,,,,4.0
CMC.N,Corporate,,0,,,,4.0
CMC.N,North America,"331110, 332312",0,,,,4.0
CAG.N,Foodservice,"311999, 311991, 311941",0,,,,4.0
CAG.N,Refrigerated & Frozen,"311991, 311813, 311412",0,,,,4.0
CAG.N,International,"311999, 311991, 311941, 311919",0,,,,4.0
CAG.N,Grocery & Snacks,"311942, 311919",0,,,,4.0
ED.N,CECONY Gas,"211120, 237120, 221210, 213112",0,,,,8.0
ED.N,O&R Gas,"211120, 237120, 221210, 213112",0,,,,8.0
ED.N,Clean Energy Businesses,"221118, 221210, 221121, 221112",0,,,,8.0
ED.N,CECONY Steam,"524126, 221330, 221210",0,,,,8.0
ED.N,Other,,0,,,,8.0
ED.N,CECONY Electric,"221118, 221122, 221121, 221112",0,,,,8.0
ED.N,Con Edison Transmission,"221118, 221210, 221121",0,,,,8.0
ED.N,O&R Electric,"221118, 221121, 221112",0,,,,8.0
CXT.N,Payment & Merchandising Technologies,"333310, 335999, 334419",0,,,,4.0
CXT.N,Aerospace & Electronics,"336413, 334511, 334419, 332912",0,,,,4.0
CXT.N,Process Flow Technologies,"561499, 335999, 332912, 326122",0,,,,4.0
CXT.N,Engineered Materials,326199,0,,,,4.0
VVI.N,Pursuit,"721110, 561599, 561510",0,,,,4.0
VVI.N,Spiro,"541890, 541810",0,,,,4.0
VVI.N,GES intersegment eliminations,,0,,,,4.0
VVI.N,GES Exhibition,561920,0,,,,4.0
D.N,Corporate & Other,,0,,,,6.0
D.N,Eliminations,,0,,,,6.0
D.N,Dominion Energy Virginia,"221118, 221122, 221121, 221112",0,,,,6.0
D.N,contracted generation,"221118, 335999, 221121",0,,,,6.0
D.N,Gas distribution,"237120, 221210, 221122, 213112",0,,,,6.0
D.N,Dominion energy south carolina,"221210, 221122, 221121, 221112",0,,,,6.0
DCI.N,Corporate & Unallocated,,0,,,,4.0
DCI.N,Life sciences,"333413, 333912",0,,,,4.0
DCI.N,Mobile Solutions,333413,0,,,,4.0
DCI.N,Industrial Solutions,333912,0,,,,4.0
DY.N,contracting services,,0,,,,1.0
EMR.N,Sales Eliminations/Interest,,0,,,,7.0
EMR.N,AspenTech,334419,0,,,,7.0
EMR.N,Control  System &  Software,541512,0,,,,7.0
EMR.N,Measurement & Analytical,334513,0,,,,7.0
EMR.N,Discrete Automation,"541420, 541330",0,,,,7.0
EMR.N,Final Control,332911,0,,,,7.0
EMR.N,Safety & Productivity,"334512, 333415",0,,,,7.0
EMPa.TO,,,0,,,,0.0
FMC.N,Agricultural Products,325320,0,,,,1.0
RUS.TO,Steel Distributors,423510,0,,,,4.0
RUS.TO,Metals Service Centers,423510,0,,,,4.0
RUS.TO,Energy Products,423720,0,,,,4.0
RUS.TO,Other,,0,,,,4.0
ARG.TO,OTHER,,0,,,,1.0
FI.N,Payments,"522320, 522110, 518210",0,,,,4.0
FI.N,All other and corporate,,0,,,,4.0
FI.N,Acceptance,"541511, 522320, 518210",0,,,,4.0
FI.N,Fintech,"513210, 541511, 522320",0,,,,4.0
FLO.N,Branded food company,,0,,,,1.0
FCX.N,Eliminations and Other,,0,,,,7.0
FCX.N,Atlantic Copper Smelting & Refining,"331410, 212230",0,,,,7.0
FCX.N,Rod & Refining,"331410, 212230",0,,,,7.0
FCX.N,South America Copper Mines,"212230, 212290",0,,,,7.0
FCX.N,Indonesia Mining,"212230, 212220, 213114",0,,,,7.0
FCX.N,Molybdenum Mines,212290,0,,,,7.0
FCX.N,North America Copper Mines,"212230, 212220",0,,,,7.0
GIS.N,International,"311824, 311919, 311411, 311230",0,,,,4.0
GIS.N,North America Retail,"311824, 311991, 311520, 311230",0,,,,4.0
GIS.N,Pet,311111,0,,,,4.0
GIS.N,North America Foodservice,311919,0,,,,4.0
NVRI.N,Harsco Environmental,"541614, 332312, 327910",0,,,,2.0
NVRI.N,Harsco Clean Earth,"562219, 562211",0,,,,2.0
HCSG.OQ,Dietary,"722511, 722310",0,,,,2.0
HCSG.OQ,Housekeeping,"812320, 561720",0,,,,2.0
HTLD.OQ,Truckload services,,0,,,,1.0
HSY.N,International and Other,311351,0,,,,3.0
HSY.N,North America Salty Snacks,,0,,,,3.0
HSY.N,North America Confectionery,,0,,,,3.0
DINO.N,"Corporate, Other and Eliminations",,0,,,,6.0
DINO.N,HEP,"486110, 424710, 324121, 324110",0,,,,6.0
DINO.N,Refining,"486110, 424720, 324121, 324110",0,,,,6.0
DINO.N,Lubricants and Specialty Products,"486110, 424720, 424710, 324110",0,,,,6.0
DINO.N,Renewables,324110,0,,,,6.0
DINO.N,Marketing,424720,0,,,,6.0
HRL.N,Refrigerated Foods,"311615, 311612, 112111",0,,,,5.0
HRL.N,Jennie-O Turkey Store,"456191, 311999, 311615, 311612",0,,,,5.0
HRL.N,Grocery Products,"722310, 424490, 311615, 311611",0,,,,5.0
HRL.N,All Other,,0,,,,5.0
HRL.N,Intersegment elimination,,0,,,,5.0
HUBB.N,Electrical Segment,"423610, 335931, 332919, 238210",0,,,,2.0
HUBB.N,Utility Segment,"457210, 492110, 335929",0,,,,2.0
JBHT.OQ,Intersegment Eliminations,,0,,,,6.0
JBHT.OQ,Integrated Capacity Solutions (ICS),"541614, 484122, 484121",0,,,,6.0
JBHT.OQ,Dedicated Contract Services® (DCS),"541420, 484122, 484121, 237310",0,,,,6.0
JBHT.OQ,Intermodal (JBI),"484121, 484110, 482112, 482111",0,,,,6.0
JBHT.OQ,Truckload (JBT),"532120, 484121, 484110, 482112",0,,,,6.0
JBHT.OQ,Final Mile Services (FMS),"459999, 484121, 482111",0,,,,6.0
