Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-8
000537.SZ,Other,FY-8
000539.SZ,Other Operation,FY-8
000539.SZ,Steam Supply,FY-8
000539.SZ,Service Revenues,FY-8
000539.SZ,Electric Power Generation,FY-8
000629.SZ,Other,FY-8
000629.SZ,Mineral Products,FY-8
000629.SZ,Eliminations,FY-8
000629.SZ,Vanadium products,FY-8
000629.SZ,Titanium products,FY-8
000883.SZ,Hydroelectric Power,FY-8
000883.SZ,Other,FY-8
000883.SZ,Thermal Power,FY-8
000883.SZ,Coal,FY-8
002060.SZ,Hydropower Elec. Generation,FY-8
002060.SZ,Wind Elec. Generation,FY-8
002060.SZ,Civil Engineering Construction,FY-8
002060.SZ,Other,FY-8
002060.SZ,solar energy,FY-8
002545.SZ,Other Business,FY-8
002545.SZ,Manufacturing,FY-8
002545.SZ,Construction/Installation,FY-8
002545.SZ,Intercompany Elimination,FY-8
071320.KS,Cold Water,FY-8
071320.KS,Heat Segement,FY-8
071320.KS,Electricity Segment,FY-8
1811.HK,Management companies,FY-8
1811.HK,Power Plants in the Korea,FY-8
1811.HK,Power Plants in the Peoples Republic China,FY-8
2083.SE,,FY-8
2380.HK,Hydropower Electricity,FY-8
2380.HK,Others,FY-8
2380.HK,Coal Fired Electricity,FY-8
2380.HK,Wind Power Electricity,FY-8
300569.SZ,,FY-8
300772.SZ,,FY-8
3038.T,Super Business ,FY-8
3038.T,Kobe Cook Business,FY-8
3038.T,Eliminations and Corporate,FY-8
3038.T,Eco renewable energy,FY-8
3038.T,Cook Innoventure,FY-8
5110.SE,,FY-8
5711.T,Other Businesses,FY-8
5711.T,Eliminations and Corporate,FY-8
5711.T,Cement Business,FY-8
5711.T,Aluminum Business,FY-8
5711.T,Processing Business,FY-8
5711.T,Electronic Materials Business,FY-8
5711.T,Metal business,FY-8
600011.SS,Transportation Services,FY-8
600011.SS,Other,FY-8
600011.SS,Harbour Services,FY-8
600011.SS,Electric and Power,FY-8
600025.SS,Others,FY-8
600025.SS,Electricity,FY-8
600116.SS,Design and Installation,FY-8
600116.SS,Electricity,FY-8
600116.SS,Irrigation Products,FY-8
600116.SS,Other Business,FY-8
600116.SS,Proterty,FY-8
600116.SS,Steam Sale,FY-8
600116.SS,Eliminations,FY-8
600236.SS,Other,FY-8
600236.SS,Electric Power,FY-8
600236.SS,Sales of Coal,FY-8
600409.SS,Electricity & Steam,FY-8
600409.SS,Chemical Industry,FY-8
600409.SS,Intercompany Elimination,FY-8
600409.SS,Other,FY-8
600409.SS,Mining,FY-8
600459.SS,,FY-8
600674.SS,Other Operations,FY-8
600674.SS,Electricity Industry,FY-8
600674.SS,Other Main,FY-8
600795.SS,Heat Energy Generation,FY-8
600795.SS,Others,FY-8
600795.SS,Coal Selling,FY-8
600795.SS,Chemical Products,FY-8
600795.SS,Hydroelectric Power Generation,FY-8
600795.SS,Intercompany Eliminations,FY-8
600795.SS,Other Operation,FY-8
600886.SS,Coal Ashes Treatment,FY-8
600886.SS,Others,FY-8
600886.SS,Other Business,FY-8
600886.SS,Electric Power,FY-8
600905.SS,,FY-8
600995.SS,Others,FY-8
600995.SS,Power Industry,FY-8
601088.SS,Undistributed,FY-8
601088.SS,Harbor,FY-8
601088.SS,Railroad,FY-8
601088.SS,Shipping,FY-8
601088.SS,Coal,FY-8
601088.SS,Electric Power Generation,FY-8
601088.SS,Coal chemical,FY-8
6013.T,Eliminations and Corporate,FY-8
6013.T,Business Environment and Energy (Domestic),FY-8
6013.T,Business Environment and Energy (Overseas),FY-8
6013.T,Thermal energy consumer business,FY-8
6013.T,Business equipment and systems,FY-8
601778.SS,,FY-8
601991.SS,Power Generation,FY-8
601991.SS,Other,FY-8
601991.SS,Chemical Products,FY-8
601991.SS,Coal Sales,FY-8
603212.SS,,FY-8
6504.T,Other,FY-8
6504.T,Eliminations and Corporate,FY-8
6504.T,Electronic Devices Business,FY-8
6504.T,Power electronics equipment,FY-8
6504.T,Industry Infra,FY-8
6504.T,Food Circulation,FY-8
6504.T,Generation social infra,FY-8
6806.TW,,FY-8
688599.SS,,FY-8
8031.T,Consumer Industries,FY-8
8031.T,Americas,FY-8
8031.T,Other,FY-8
8031.T,Metal Resources,FY-8
8031.T,Energy,FY-8
8031.T,Machinery & Infrastructure Projects,FY-8
8031.T,Chemicals,FY-8
8031.T,Steel Products Business,FY-8
8031.T,Asia & Oceania,FY-8
8031.T,Capacity Driving of nest genetation business,FY-8
8031.T,Eliminations and Corporate Elimination,FY-8
8031.T,"Europe, Middle East & Africa",FY-8
9505.T,Eliminations and Corporate,FY-8
9505.T,Other,FY-8
9505.T,Electric Power Industry,FY-8
9513.T,Eliminations and Corporate,FY-8
9513.T,Other Businesses,FY-8
9513.T,Electric Power Industry,FY-8
9513.T,Power-Related Businesses Peripheral,FY-8
9513.T,Overseas Business,FY-8
9531.T,Gas,FY-8
9531.T,Other Businesses,FY-8
9531.T,Eliminations and Corporate,FY-8
9531.T,Gas Appliances & Construction,FY-8
9531.T,Immovable property,FY-8
9531.T,Other energy,FY-8
9531.T,Real Estate,FY-8
A2.MI,Gas & Heating,FY-8
A2.MI,Network and Markets,FY-8
A2.MI,Eliminations,FY-8
A2.MI,Other Activities,FY-8
A2.MI,Other Services,FY-8
A2.MI,Commercial,FY-8
