Instrument,Segment Name,year
000537.SZ,Real Estate Development,FY-9
000537.SZ,Other,FY-9
000539.SZ,Electricity,FY-9
000539.SZ,Other Operation,FY-9
000629.SZ,Other,FY-9
000629.SZ,Mineral Products,FY-9
000629.SZ,Eliminations,FY-9
000629.SZ,Steel & steel Products,FY-9
000629.SZ,Vanadium products,FY-9
000629.SZ,Titanium products,FY-9
000883.SZ,Hydroelectric Power,FY-9
000883.SZ,Trading,FY-9
000883.SZ,Natural Gas,FY-9
000883.SZ,Other,FY-9
000883.SZ,Thermal Power,FY-9
000883.SZ,Wind Power,FY-9
000883.SZ,Other Operation,FY-9
002060.SZ,Hydropower Elec. Generation,FY-9
002060.SZ,Wind Elec. Generation,FY-9
002060.SZ,Civil Engineering Construction,FY-9
002060.SZ,Other,FY-9
002060.SZ,solar energy,FY-9
002545.SZ,Other Business,FY-9
002545.SZ,Other,FY-9
002545.SZ,Manufacturing,FY-9
002545.SZ,Construction/Installation,FY-9
071320.KS,Cold Water,FY-9
071320.KS,Heat Segement,FY-9
071320.KS,Electricity Segment,FY-9
1811.HK,,FY-9
2083.SE,,FY-9
2380.HK,Hydropower Electricity,FY-9
2380.HK,Others,FY-9
2380.HK,Coal Fired Electricity,FY-9
300569.SZ,,FY-9
300772.SZ,,FY-9
3038.T,Super Business ,FY-9
3038.T,Kobe Cook Business,FY-9
3038.T,Eliminations and Corporate,FY-9
3038.T,Eco renewable energy,FY-9
3038.T,Cook Innoventure,FY-9
5110.SE,,FY-9
5711.T,Other Businesses,FY-9
5711.T,Eliminations and Corporate,FY-9
5711.T,Cement Business,FY-9
5711.T,Aluminum Business,FY-9
5711.T,Processing Business,FY-9
5711.T,Electronic Materials Business,FY-9
5711.T,Metal business,FY-9
600011.SS,Transportation Services,FY-9
600011.SS,Other,FY-9
600011.SS,Harbour Services,FY-9
600011.SS,Electric and Power,FY-9
600025.SS,,FY-9
600116.SS,Design and Installation,FY-9
600116.SS,Electricity,FY-9
600116.SS,Irrigation Products,FY-9
600116.SS,Others,FY-9
600116.SS,Other Business,FY-9
