Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,497275401.612248,1.91816969204895,,,,4.23,3572630795.91718,1862520720.0,5442747169.08021,108718302.614735,2879324773.52259,29.4376979149568,2474795027.96932,2379117107.07243,5038217423.52694,2474795028.41733,,3.22660335186593,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,198184451.338096,12.91442,218488051.088364,China,218488051.088364,462905265.617811,D+,FY0
000539.SZ,7571296082.46825,0.804674360610102,0.040661032209346,0.063895907757544,,-13.83,3797004975.64305,5250283986.0,19083657527.8374,336200767.397716,14902020301.8616,,11679915829.612,2950515226.32373,15861553055.5878,11679915831.0619,,-13.6852408867365,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,763535974.351359,26.91141,-424189031.279097,China,-424189031.279097,2174027462.14225,,FY0
000629.SZ,2187488599.72163,0.685785536159601,0.027335328471395,0.029972106807682,0.040677572130052,16.339,5899434346.75811,8589746202.0,1730452718.55971,1507248.50259179,382055598.468944,0.0,46890151.5731021,1293823845.6997,1395287271.66386,46890152.5256626,,16.2135080426245,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,47077390.134193,10.349001171104,206638455.78548,China,206638455.78548,22053480.3160905,C+,FY0
000883.SZ,2983560684.0457,0.608942759380618,,,,3.81,4000128536.39157,6506671586.0,11522775106.3084,127072789.63729,6149440174.53459,33.9031971553155,4747074495.82874,4498423737.85014,10120409427.6025,4747074496.89729,,3.76227617451612,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,330848116.876588,20.76349793513,310048010.796646,China,310048010.796646,919613781.790289,C,FY0
002060.SZ,2450832378.35643,0.997506234413965,,,,9.939,1199263898.25436,1202262058.0,15633077586.583,103771123.163066,14027125238.0227,130.2017737345,3917015129.60767,1453035264.88285,5522967478.16795,3917015130.77771,,5.72060918498323,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,146463002.201991,18.97011,162217443.404449,China,162217443.404449,657060586.744609,,FY0
002545.SZ,524286430.725512,1.20193701792032,0.139827546026567,0.173327895595432,,10.06,1495284270.14875,1244062083.0,1890067027.85913,10731848.2852822,662176912.613814,61.8636054700755,343505364.708867,1226211118.20594,1571395479.95418,343505364.495737,,10.055721790492,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,44550483.0284925,19.61121,152959777.287455,China,152959777.287455,34036265.0584249,,FY0
071320.KS,3309509831.25813,22.6037990244676,-13.7614695452716,0.248556646685888,,-10.551,261723602.33176,11578744.0,5930693366.47686,49704648.0921101,4608640340.6251,,2839333679.40551,1120137757.01234,4161386705.25727,2839333679.40869,,-12.6786687427124,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,222096859.684647,23.67907,-313423318.964554,Korea; Republic (S. Korea),-313423318.964554,406224973.936035,,FY0
1811.HK,2430056000.0,0.34573276138037,,,,14.264,1483478430.11716,4290824000.0,8343933000.0,454205000.0,6836555000.0,20.000204977888,5930265000.0,1370043000.0,7437643000.0,5930265000.0,,14.1763509787954,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,340977000.0,21.269444291139,589652000.0,Hong Kong,589652000.0,376014000.0,,FY0
2083.SE,1731459409.10301,12.4783823333777,0.858003144235125,0.900636840843082,0.943270537451038,10.71,3119595583.34441,250000000.0,6448299174.87357,75291537.3281597,4253767101.4107,32.5193638029918,3073233164.75912,2194532073.46287,5267765238.22199,3073233164.75912,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,312638455.498846,12.046018243771,280450901.789281,Saudi Arabia,280450901.789281,200815965.107051,,FY0
2380.HK,6334328278.14185,0.422562263909341,0.042327729273396,0.060318926329461,,7.44,5227159004.27684,12370150983.0,30650838601.1715,635561506.524952,20706208171.4319,21.8340965156963,16906348083.2802,5557235399.87241,26850978513.0198,16906348083.2802,,6.95066664021825,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,1161324864.98901,20.90695,836287304.624039,Hong Kong,836287304.624039,2620228557.9769,B-,FY0
