Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,3935275190.16799,1.08937531815868,,,,21.56,2028984101.92713,1862520720.0,11047107584.2993,34000091.6642564,9492989395.20471,9.67591227645284,2803957676.02938,1554118189.09461,4358075865.12399,2803957675.8054,,22.081719588222,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,32358282.6220811,12.89769,537763248.966452,China,537763248.966452,43679375.5504416,,FY-4
000539.SZ,3945306619.15497,0.673405570503963,0.049419487362686,0.062996040606115,,2.02,3276283115.87844,5250283986.0,10665357036.7246,198433925.913005,6068148944.22224,66.3945776799485,4914752411.75187,3536846030.25235,9511960504.25424,4914752413.64264,,1.97374312669097,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,519092903.219105,26.91141,341084311.385662,China,341084311.385662,560226083.171652,,FY-4
000629.SZ,2205134429.49604,0.436331903134318,0.047897103265276,0.047164443134075,,52.81,3747980307.75943,8589746202.0,1725773994.54149,17316108.8998517,581312163.739365,0.0,298139435.004,1101990600.56432,1442601265.80612,298139435.677405,,51.2556696750579,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,37005033.7085391,10.338940177392,487249289.196145,China,487249289.196145,18683830.8985598,D-,FY-4
000883.SZ,1790083176.49625,0.533779361500982,0.055939938171647,0.067716767260415,,6.65,3473542231.63697,6507449486.0,7011536359.21315,57704662.1438055,2710764637.58708,39.52700860227,2181789318.23286,3842116769.87419,6482561039.85892,2181789318.59501,,6.97429611028934,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,218910131.646772,20.760676161315,310935888.097666,China,310935888.097666,556011470.526653,D+,FY-4
002060.SZ,1208404500.03636,0.395607592175115,,,,,475623997.928877,1202262058.0,2945320879.16952,61654910.3976363,2479774455.36906,20.9611320997213,1548402718.57029,443862336.19664,2013949142.37074,1548402718.34776,,6.78194394478625,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,58151620.0305839,18.97011,101175998.672465,China,101175998.672465,201724051.895733,,FY-4
002545.SZ,319607107.846702,0.852301650789034,,,,,1075800819.21314,1262230125.0,1652788805.13999,9660938.3506431,563995889.951276,33.9253665293643,208885541.14319,1085989394.87165,1297678456.3319,208885541.41517,,6.16129244634405,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,36215561.5400206,19.61121,70213430.9444053,China,70213430.9444053,44246066.3129448,,FY-4
071320.KS,2234196259.10357,51.0729806012275,2.67422766452074,6.74890629470672,,-13.365,591360967.698579,11578744.0,5082186821.65185,52393765.5908717,3680810296.09629,,2460045066.42953,1401376525.55556,3861421591.98509,2460045066.43313,,-13.3646843245198,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,207535501.218939,23.67907,12890747.5188887,Korea; Republic (S. Korea),12890747.5188887,365454397.929755,,FY-4
1811.HK,1358487000.0,0.137904615973951,0.03,0.03,,10.13,591724435.931813,4290824000.0,4139068000.0,110158000.0,3174860000.0,25.0535647481607,2708656000.0,875754000.0,3672864000.0,2708656000.0,,10.0078396313218,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,147723000.0,21.2944828779225,199181000.0,Hong Kong,199181000.0,521625000.0,,FY-4
2083.SE,1671741715.32166,,,,,,,250000000.0,6588885067.58378,104757357.655091,4765374176.86422,0.0,3679714468.52755,1811440454.29097,5503225359.24711,3679714468.52755,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,357952679.474596,12.020784085013,153598974.166759,Saudi Arabia,153598974.166759,95602937.5057545,,FY-4
2380.HK,3370754999.63639,0.227287237438549,0.032538074091735,0.038728280630644,,6.707,2228980099.77398,9806886321.0,18174511962.7663,366992355.34825,11942068940.4407,98.2156952897742,9441928005.23598,4356034906.55225,15674371027.5616,9441928005.23598,50.29,3.67639146189375,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,595037330.549536,20.90695,628858173.293227,Hong Kong,628858173.293227,1428000559.62216,C+,FY-4
300569.SZ,202685897.752891,0.431131268853174,0.055743671594147,0.071573263324334,,5.96,280365675.22362,650288363.90989,474897842.834703,3247311.17246905,208428261.010836,21.2549930953255,115114896.315904,255795801.895135,381584478.139772,115114896.371173,,5.9601624642333,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,6160297.53706859,14.27416,20562061.3999386,China,20562061.3999386,72463912.540089,,FY-4
300772.SZ,481676627.154389,,,,,,,396083539.18706,959192086.118828,2416423.29464013,806584536.785689,0.0,342412494.32914,152515517.393644,495020043.662279,342412493.636826,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,10010410.0328232,12.89769,18055980.7457022,China,18055980.7457022,18563891.3692653,,FY-4
3038.T,2365846099.35358,7.35760928713949,,,,36.0,2013041900.96136,213243536.0,1277490480.82883,4538291.53875713,925290002.656513,12.8608713692946,620154077.747277,300991764.810059,972354555.919596,620154077.747277,,35.4290598290598,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012,27700789.4720944,33.83299,142018632.224819,Japan,142018632.224819,65166605.4487401,,FY-4
5110.SE,17079537710.9494,4.03636460582794,0.24520909405901,0.255870359018097,,2.45,16817891801.7275,4166593815.0,123851833959.85,1059232243.75243,104209140739.556,42.6433286495672,42010906182.5162,19642693220.2938,61653599402.81,42010906182.5162,,2.4072428001129,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,4515741634.96653,4.22415250544,1582384971.17929,Saudi Arabia,1582384971.17929,7612149525.68883,C,FY-4
5711.T,15003518585.3482,26.2561218937058,2.08569342411754,2.36110843158271,2.57914698795181,0.231,3452405258.70669,130951042.0,17487098520.3898,43797054.9140705,10961142186.9361,807.087827426811,4690499819.55973,5716194514.61566,11216456153.0134,4690499819.55973,3.6,0.197256193700111,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,582018205.756127,29.13904,332523839.585489,Japan,332523839.585489,816230963.064883,B-,FY-4
600011.SS,24353039969.4568,1.07337648171042,0.052068369445355,0.068296426549042,,1.813,14793626489.592,15698093359.0,58678126220.2022,1596716806.43305,43547453717.2569,109.099282590166,37288714308.3412,10966762119.9913,52419386811.2865,37288714308.7775,,1.97099937032518,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,3014120485.07503,31.52166464304,1914599675.97802,China,1914599675.97802,3135413274.16909,C-,FY-4
600025.SS,2256778273.5801,0.458148498291033,0.034250145190833,0.037228418685688,,13.87,8246672969.2386,18000000000.0,24487738550.5549,626287076.39823,17827998992.8994,46.5987484284763,16142216334.6462,6438084518.24595,22801955892.3017,16142216334.812,,13.8676451645626,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,797849341.279759,11.95637,1148756870.0035,China,1148756870.0035,1166466804.4674,,FY-4
600116.SS,186411456.621337,1.06464984364773,,,,7.66,1057203152.44564,993005502.0,748917462.978693,6997371.37469572,299903289.44804,46.4936961219643,158763112.516908,457960574.462948,607777286.04756,158763112.500909,,6.99610071758587,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,24192352.2801636,14.31353,35508214.8074185,China,35508214.8074185,60212783.5457641,,FY-4
600236.SS,1378225074.54003,0.628765649043706,0.051562593100161,,,16.467,4956166907.83215,7882385684.38568,6683432528.14341,183054977.764587,4268929230.94466,63.5646062162282,3899706939.16806,2047519436.40753,6314210236.36681,3899706939.1317,5.0,16.4577835795492,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,373922409.065604,15.76643,665369352.315662,China,665369352.315662,124849118.967721,,FY-4
600409.SS,2934148303.39612,0.831939495309432,0.106766861073725,0.131960520412741,,15.13,1717413837.91142,2064349448.0,3685181463.55901,55635938.4579451,1948140510.33089,30.0656318782306,1275428601.30754,1630851677.50127,3012469554.53567,1275428601.55625,,14.9462888242875,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,151752121.889442,19.79691,402891395.402244,China,402891395.402244,57211072.9689046,,FY-4
600459.SS,2483316307.17766,1.08355931714057,0.071199176083204,0.104360376564789,,7.83,546741822.442004,504582858.79692,872816434.343684,18816663.2733138,543580964.566941,50.1369263072351,396119782.80416,301886815.779216,725355252.580903,396119783.288488,,7.65002145728163,Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),51,5120,512010,51201010,5120101010,10658285.7159137,14.41254,50328085.3920586,China,50328085.3920586,12353626.9738496,,FY-4
600674.SS,123727311.468257,1.26099920005818,0.099307727957363,0.099161452902329,,15.093,5551095623.82372,4402140480.0,4660594437.04458,46079871.4647425,983796436.947131,36.9923101810506,891571522.071122,3612030384.38805,4568369522.16857,891571522.071122,,15.091695574177,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,29951724.085393,1.16181,34427974.8264881,China,34427974.8264881,546478.947430081,D+,FY-4
600795.SS,15453295587.23,0.372336557341284,0.029693321014514,0.031183500730188,,2.48,7316561483.99389,19650397845.0,51698751776.5661,1359406427.82856,35625261169.6488,48.7591407462965,28460720442.6093,9015228897.93033,44534211049.5266,28460720442.1497,,2.90933293336368,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,2654953339.65393,32.81628,1771126406.89163,China,1771126406.89163,2587964007.35576,D+,FY-4
600886.SS,5925604913.09723,1.17082394007709,0.099352933319482,0.10014454743242,,12.789,7945238592.58963,6786023347.0,32100682712.0631,761042174.74602,21870424506.3545,35.9633295645811,19930312960.7243,4922925433.13941,30160571166.433,19930312961.9664,5.842,13.1844560535883,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,1089640317.96415,16.51138,2207546851.13451,China,2207546851.13451,1551240098.12272,C-,FY-4
600905.SS,1073799997.09112,,,,,,,28571000000.0,12375360675.2033,208972462.678674,6091351619.75129,0.0,4827815468.6001,5926521206.90277,11111824524.0521,4827815469.42041,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,406025011.644809,7.56797,552931826.291485,China,552931826.291485,1608184217.31135,,FY-4
