Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,3301842221.83918,1.11609066620702,,,,,2078741991.20916,1862520720.0,10042641664.9717,45975191.4362025,8087567608.25936,17.782769013402,3303268336.99618,1955074056.71234,5258342393.70852,3303268337.21164,,25.8664324519145,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,35241785.6779995,12.89769,636185501.156535,China,636185501.156535,23043439.6810216,,FY-3
000539.SZ,4168214448.84943,0.588928150765606,,,,4.549,2867814450.02426,5250283986.0,10840878382.4586,178239585.349006,5899623044.6149,54.940023578442,4794223645.60889,3790483369.53087,9735478983.45256,4794223644.74705,,4.52318519699003,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,547421104.671427,26.91141,548878354.752246,China,548878354.752246,697904067.492465,,FY-3
000629.SZ,1890124641.61567,0.419431756155017,,,,16.78,3602812334.43075,8589746202.0,1862469367.40067,10607667.0711824,452681637.860898,0.0,213846159.359648,1366594247.04674,1623633888.89942,213846159.039329,,16.5963924196631,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,36176496.4464249,10.338940177392,225207163.816508,China,225207163.816508,6477232.80969959,C,FY-3
000883.SZ,2271073127.6394,0.598983021632336,,,,5.57,3897851756.24407,6507449486.0,8670886501.33155,69964190.1666118,3807997800.58606,43.4253980424678,3172033518.70493,3957221863.56689,8034922219.45043,3172033520.06665,,5.55364202552232,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,230595143.848278,20.760676161315,379777271.649495,China,379777271.649495,549960311.852452,D+,FY-3
002060.SZ,1600661474.04407,0.435232267517022,,,,,523263241.653021,1202262058.0,3741527200.57456,67697661.269629,3251471385.99787,30.8260351233842,1887866621.19423,465608342.675745,2377922435.77092,1887866620.70154,,7.43683072204567,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,76700292.7822952,18.97011,114814991.534359,China,114814991.534359,447967144.543798,,FY-3
002545.SZ,374317425.091212,1.08448964348301,,,,,1349172444.86339,1244062083.0,1696228896.56554,9365663.27020302,587034323.62751,32.6600442290149,222626834.886093,1106861061.61481,1331821407.82413,222626835.013933,,4.01688234496475,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,40340038.863902,19.61121,38042634.8284361,China,38042634.8284361,25820657.3285357,,FY-3
071320.KS,2051787426.17865,40.8826503712283,4.04568763653364,4.92877938713928,,-1.656,473369742.689957,11578744.0,5105941762.61579,52306680.7427389,3780724411.89183,,2623148645.5215,1325217350.72396,3948365996.24546,2623148645.5241,,-1.65589701053499,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,203766195.272854,23.67907,36398832.2505629,Korea; Republic (S. Korea),36398832.2505629,343144332.618995,,FY-3
1811.HK,1276281000.0,0.142490372272144,,,,,611401109.114249,4290824000.0,5379167000.0,122120000.0,4360763000.0,0.0,3700935000.0,939072000.0,4719339000.0,3700935000.0,,12.2553897729038,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,167584000.0,21.2944828779225,231618000.0,Hong Kong,231618000.0,1168297000.0,,FY-3
2083.SE,1628410205.82276,,,,,,,250000000.0,6344845099.71206,115064738.925766,4511008584.83523,0.0,3432702890.05012,1822914045.00373,5266539404.92695,3432702890.05012,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,354263630.661207,12.020784085013,190874991.792268,Saudi Arabia,190874991.792268,170672861.033424,,FY-3
2380.HK,3987946651.728,0.214377406931964,0.028207147779856,0.040758815232722,,4.259,2102374859.57252,9806886321.0,20151354247.4647,449099591.072764,13668374414.6629,99.2614341071691,11285625556.6089,4355206268.49378,17768605389.4108,11285625556.6089,,4.26209108735088,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,705161168.231256,20.90695,867556266.534132,Hong Kong,867556266.534132,2201592920.39869,C+,FY-3
