Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,3326523323.54795,1.96271306272382,,,,27.56,3655593746.73777,1862520720.0,12741128775.121,19496136.2169168,10899752981.3196,11.5331781634887,3635109892.89458,1841375793.80139,5476485686.69597,3635109891.95088,,22.5301830356493,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,26534593.752367,12.89769,431484154.345135,China,431484154.345135,59385053.0050031,,FY-5
000539.SZ,4056553429.7527,0.740820435577824,,,,,3633240031.25563,5250283986.0,10913639906.3984,186590556.589679,6338464303.6749,56.5169239339134,5256820847.63998,3651813728.84742,9831996450.36349,5256820847.48628,,3.15138520504665,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,529048526.952909,26.91141,369430230.822918,China,369430230.822918,504669320.823179,,FY-5
000629.SZ,1450248351.59768,0.445832123148417,,,,,4053074841.32917,8589746202.0,1609706432.63452,26308211.279983,884929314.244655,0.0,593018617.775079,688433725.664356,1317795736.16495,593018618.877088,,21.3532657556934,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016,34592427.1542577,10.338940177392,152211144.893212,China,152211144.893212,25343418.3791954,D-,FY-5
000883.SZ,1780576478.18268,0.711617970274964,,,,,4630817994.89417,6507449486.0,7124930432.03049,57432831.3069057,2791521127.99133,29.9440786374753,2263561874.77983,3921740050.98136,6596971178.81899,2263561873.87609,,8.82530206230169,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,230315005.387087,20.760676161315,414184826.519999,China,414184826.519999,524037991.14856,D,FY-5
002060.SZ,1019082344.80427,0.587123249773296,,0.070948750849121,,5.65,705876006.572091,1202262058.0,2692058665.40276,56442905.1724296,2243068183.27928,22.8129404958991,1462916176.60883,440851745.37602,1911906658.73231,1462916176.62881,,5.64152953533844,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010,49003527.1601728,18.97011,85431764.2056221,China,85431764.2056221,298282173.848942,,FY-5
002545.SZ,314648967.923397,1.3109152214343,,,,,1720533452.39075,1291154187.0,1686991888.62487,8300215.77091871,602649094.473049,25.6934327053134,218428008.307333,1079894414.61199,1302770802.45915,218428008.238169,,3.6210378396608,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011,31792483.1847228,19.61121,54508855.3083157,China,54508855.3083157,58806782.5934116,,FY-5
071320.KS,1720249408.48861,68.2721533785364,8.64572765026096,10.5428546495314,11.5869372112165,3.845,790505786.298807,11578744.0,5365483752.00259,39794672.576182,3649632262.50457,46.7270638904197,2512119003.93484,1715851489.49802,4227970493.43286,2512119003.92922,,3.84501865340412,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,177946076.395305,23.67907,105738766.454452,Korea; Republic (S. Korea),105738766.454452,599909995.275016,,FY-5
1811.HK,1108560000.0,0.140798197783068,0.02153,0.02,,7.799,604140286.204336,4290824000.0,3740617000.0,101708000.0,2769052000.0,24.9660589604344,2403944000.0,887084000.0,3375509000.0,2403944000.0,,7.69839013413579,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,137788000.0,21.2944828779225,166230000.0,Hong Kong,166230000.0,142925000.0,,FY-5
2083.SE,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,12.020784085013,,Saudi Arabia,,,,FY-5
2380.HK,3068842660.19089,0.262396641322991,0.030125118783655,0.034855875831486,0.051702565726956,2.787,2573294032.46678,9806886321.0,15066412400.2889,290259322.701646,9349728724.46705,99.8850707682403,7936927285.86139,4580465087.68424,13653610961.6833,7936927285.86139,-3.72,2.78706046989924,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012,519196420.130109,20.90695,464107775.822395,Hong Kong,464107775.822395,1118600904.18977,C+,FY-5
300569.SZ,113429425.326222,0.803408647925856,,,,,522458527.888354,650288363.90989,380368697.565436,,117343998.805773,23.5416886699331,36545547.7537156,257490842.580268,299570246.513379,36545548.1610132,,5.81689794378901,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,2606065.60234631,14.27416,10213626.9617409,China,10213626.9617409,63989562.3238537,,FY-5
300772.SZ,500623112.982801,,,,,,,396083539.18706,893558048.597513,3677898.37863737,764081078.705255,0.0,268332015.357423,129368613.482317,397808985.249681,268332015.123803,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,9525117.04122414,12.89769,20072352.2254955,China,20072352.2254955,10327926.9045063,,FY-5
3038.T,2213545150.50167,4.79275761072158,0.428905329593268,0.475762622720898,,,1311298482.29342,211186104.0,1271642316.49358,5286035.14457588,1007023411.37124,15.8039779535107,709487766.238338,215710262.277768,974106671.360676,709487766.238338,,40.1298232960692,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012,26465892.176559,33.83299,128972114.236916,Japan,128972114.236916,56342705.6795166,,FY-5
5110.SE,13515614516.9462,5.61585024399349,0.293317689723215,0.311983360887419,,10.28,23398966892.5895,4166593815.0,118866286232.367,685976532.120423,99584291885.5497,7.91807012167627,39068436308.3651,19281994346.8174,58350430655.1825,39068436308.3651,,10.0186919894337,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,4204967746.80624,4.22415250544,2665987777.31285,Saudi Arabia,2665987777.31285,11525049530.2929,C-,FY-5
5711.T,15053011481.2724,35.5906629981362,2.86952100996925,3.12435246436225,3.46904955967772,5.3,4679799727.96662,130962446.0,18925908149.8212,45668078.2428464,11693694711.086,30.2847232258997,5053020892.15133,6422661396.57444,12285234330.8865,4933794466.40316,,5.30698275901742,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,554553848.492611,29.13904,657474058.83073,Japan,657474058.83073,658431120.177852,B-,FY-5
600011.SS,23185781067.5807,0.948311636413937,0.056473567584679,0.075747071858183,,2.47,12905314940.967,15200383440.0,58766285231.0837,1458785810.21901,44102449122.2354,87.2340913500567,37205284713.8927,11199100307.5481,51869120822.741,37205284714.8149,-8.348,2.19162951918503,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,2879668882.74073,31.52166464304,1678564663.0808,China,1678564663.0808,3874150103.33502,C,FY-5
600025.SS,1974600936.01586,0.814595084763998,,,,6.31,14662711525.7519,18000000000.0,25818120864.4606,519067630.293024,19515841284.8531,45.2277277464002,17480468108.4487,6059093410.42528,23782747688.0562,17480468109.3709,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,683364543.30572,11.95637,1020319187.98595,China,1020319187.98595,1265832443.04814,,FY-5
600116.SS,186249136.990302,1.3679049536603,0.045721132622816,0.044144541842719,,13.25,1358337145.19773,993005502.0,762664620.380247,6304866.82294394,313020273.138343,31.8097753411673,175723875.500669,454472852.482978,625368222.742573,175723875.320843,,12.6977477726012,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,20352313.0096513,14.31353,48063997.3666244,China,48063997.3666244,72103091.4086258,,FY-5
600236.SS,1473274618.44674,0.679814679618216,0.054815464328418,0.056352185253515,,17.894,5358554532.53001,7882385684.38568,7388456065.32899,188171925.238581,4686168760.17245,81.0697961056727,4290954726.87703,2290426308.252,6993242032.03357,4290954725.41998,,17.4804159497193,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,359600954.898725,15.76643,698853659.44871,China,698853659.44871,208733883.212927,,FY-5
600409.SS,3104023718.54971,1.47395601186542,,,,22.31,3042760279.47066,2064349448.0,3702505101.30181,59372386.7229766,2068184053.50814,30.0515041548746,1308650836.7905,1538631509.92423,2942971884.58417,1308650836.88118,,22.2636387582451,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,143751670.506317,19.79691,439414962.735821,China,439414962.735821,106338737.292974,,FY-5
600459.SS,2373316419.47036,1.76319949295298,,,,,889674057.076986,504583362.73338,804300237.208552,10914952.5558124,475148983.302338,30.6188709057352,352100579.43839,312423289.637736,681251833.344604,352100579.43839,,6.0202332272209,Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),51,5120,512010,51201010,5120101010,8645726.2786591,14.41254,34468742.9260587,China,34468742.9260587,9338956.19436233,,FY-5
600674.SS,119101741.389115,1.56463735149009,0.130950570342205,0.130438795581782,,15.34,6887753421.51453,4402140480.0,4461147984.03547,41315809.6791611,940251970.573137,37.0807588425855,851482409.357085,3454631611.24602,4372378422.81942,851482409.357085,-3.029,15.1815172351523,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,29682136.4415062,1.16181,35867763.8577154,China,35867763.8577154,1563403.58020954,D+,FY-5
