Firm Name,WACC,COE,COD,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-1).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-2).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-3).segmentCode,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,Unnamed: 0,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-6).segmentCode
CMC.N,0.068742859879761,0.1032890625,0.0347480985835605,Corporate and Other,,0,,,,4.0,,,,,,,,,,,
CAG.N,0.0381529735629288,0.0614687499999999,0.0447573792849643,Foodservice,"311999, 311991, 311941",0,,,,4.0,,,,,,,,,,,
ED.N,0.0407967638136176,0.0980703125,0.0398942864334256,CECONY Gas,"211120, 237120, 221210, 213112",0,,,,8.0,,,,,,,,,,,
VVI.N,0.0242860825515478,0.112890625,0.0742450164274892,Pursuit,"721110, 561599, 561510",0,,,,4.0,,,,,,,,,,,
D.N,0.0335910508871287,0.102375,0.0211480362537764,Corporate & Other,,0,,,,6.0,,,,,,,,,,,
DCI.N,0.0278532704254646,0.0473515624999999,0.0292816836968125,Corporate & Unallocated,,0,,,,4.0,,,,,,,,,,,
DY.N,0.0359213462189529,0.0598046874999999,0.049241877781509,contracting services,,0,,,,1.0,,,,,,,,,,,
EMR.N,0.0347661232185467,0.0617499999999999,0.0319931355724442,Sales Eliminations/Interest,,0,,,,7.0,,,,,,,,,,,
EMPa.TO,0.0477759698223742,0.11065625,0.0396779754266574,,,0,,,,0.0,,,,,,,,,,,
FMC.N,0.0338771775523551,0.0737304687499999,0.0463653023824068,Agricultural Products,325320,0,,,,1.0,,,,,,,,,,,
RUS.TO,0.0678386174944855,0.095375,0.0677493117824432,Steel Distributors,423510,0,,,,4.0,,,,,,,,,,,
FI.N,0.0497790535197749,0.1158046875,0.0348305163880847,Payments,"522320, 522110, 518210",0,,,,4.0,,,,,,,,,,,
FLO.N,0.0285249445586378,0.0501562499999999,0.031722162077971,Branded food company,,0,,,,1.0,,,,,,,,,,,
FCX.N,0.0329790214094885,0.0802656249999999,0.0527306967984934,Eliminations and Other,,0,,,,7.0,,,,,,,,,,,
GIS.N,0.0253629213889869,0.0454374999999999,0.0338376374306973,International,"311824, 311919, 311411, 311230",0,,,,4.0,,,,,,,,,,,
NVRI.N,0.0423039519684843,0.107,0.0553945486976134,Harsco Environmental,"541614, 332312, 327910",0,,,,2.0,,,,,,,,,,,
HCSG.OQ,0.0444462955548532,0.0695624999999999,0.11948,Dietary,"722511, 722310",0,,,,2.0,,,,,,,,,,,
HTLD.OQ,0.0473552038033516,0.0849062499999999,0.020713884476814,Truckload services,,0,,,,1.0,,,,,,,,,,,
HSY.N,0.0192237364534945,0.0285273437499999,0.0292391802301858,International and Other,311351,0,,,,3.0,,,,,,,,,,,
DINO.N,0.1377781354640729,0.2555312500000001,0.0529549487344548,"Corporate, Other and Eliminations",,0,,,,6.0,,,,,,,,,,,
HRL.N,0.0246471668497793,0.0368281249999999,0.0189477002253477,Refrigerated Foods,"311615, 311612, 112111",0,,,,5.0,,,,,,,,,,,
HUBB.N,0.0282195122965099,0.0480507812499999,0.0343823651739914,Electrical Segment,"423610, 335931, 332919, 238210",0,,,,2.0,,,,,,,,,,,
JBHT.OQ,0.0331301018490783,0.0597343749999999,0.0406177827726516,Intersegment Eliminations,,0,,,,6.0,,,,,,,,,,,
ITW.N,0.0176040266696926,0.0366445312499999,0.0261496844003606,Food Equipment,"333241, 449210, 333310, 334515",0,,,,8.0,,,,,,,,,,,
IFF.N,0.04717900316408,0.0791015624999999,0.0306289881494986,Scent,"325180, 456191, 561499, 325998",0,,,,4.0,,,,,,,,,,,
WKC.N,0.0439699908752419,0.136984375,0.1388199124985219,Land,"531390, 424720, 237210",0,,,,3.0,,,,,,,,,,,
EME.N,0.0252601055084642,0.0658320312499999,0.0533957409624906,United States mechanical construction and facilities services,"811310, 238220, 238210, 221121",0,,,,6.0,,,,,,,,,,,
J.N,0.057162492241059,0.1073203125,0.0584743613780091,,,0,,,,0.0,,,,,,,,,,,
K.N,0.0199475366795523,0.0495781249999999,0.0332114564290067,North America,"311919, 311821, 311412, 311230",0,,,,5.0,,,,,,,,,,,
KR.N,0.031209425054914,0.113,0.0399910300493347,supermarkets and multi-department stores,,0,,,,1.0,,,,,,,,,,,
SR.N,0.0413670929751735,0.1009921875,0.0397976897194659,Eliminations,,0,,,,5.0,,,,,,,,,,,
MDU.N,0.0536427131471415,0.117,0.0496109463277717,Electric,221122,0,,,,6.0,,,,,,,,,,,
MKC.N,0.0215568933973782,0.0349140624999999,0.0289537051421469,Consumer,"311942, 311941",0,,,,2.0,,,,,,,,,,,
MGRC.OQ,0.0423888790411368,0.0757382812499999,0.0366605275751555,Enviroplex,532210,0,,,,4.0,,,,,,,,,,,
MRU.TO,0.0453438341244144,0.0790703124999999,0.0285411895586659,,,0,,,,0.0,,,,,,,,,,,
NI.N,0.0322358176231271,0.093453125,0.0318589545313949,Electric Operations,"221122, 221121, 221112",0,,,,4.0,,,,,,,,,,,
NFG.N,0.0478854608280899,0.0995,0.0493588100232598,Exploration and Production,"211130, 211120",0,,,,6.0,,,,,,,,,,,
NJR.N,0.0360620709167661,0.0664531249999999,0.039223001066234,Home Services and Other,"811412, 238220, 237210",0,,,,5.0,,,,,,,,,,,
AGR.N,0.0627710815495716,0.1185,0.032615715823466,Other,,0,,,,3.0,,,,,,,,,,,
NSC.N,0.0326437106143917,0.0573144531249999,0.0455802924515874,,,0,,,,0.0,,,,,,,,,,,
ES.N,0.0353514518451867,0.0875156249999999,0.0294927064389224,Natural Gas Distribution,221210,0,,,,6.0,,,,,,,,,,,
NWN.N,0.0348794112796488,0.10703125,0.0333823595793021,Other(NW Holdings),,0,,,,2.0,,,,,,,,,,,
NWE.OQ,0.0443857467036464,0.09259375,0.0380533674626412,Gas Utility,"211120, 486210, 221210",0,,,,4.0,,,,,,,,,,,
NUE.N,0.0541786169464323,0.08634375,0.0327155207842961,Raw Materials,"331110, 331492",0,,,,3.0,,,,,,,,,,,
MX.TO,0.0531197447991651,0.115890625,0.0432713500719468,Methanol,,0,,,,1.0,,,,,,,,,,,
OLN.N,0.0520254070118843,0.1197421875,0.0557600650986166,Chlor Alkali Products and Vinyls,"325180, 325199, 325120",0,,,,3.0,,,,,,,,,,,
PPG.N,0.0204947200106054,0.0446367187499999,0.0245011737089201,Performance Coatings,"561910, 325998, 325510",0,,,,2.0,,,,,,,,,,,
PCG.N,0.0356049675988672,0.119625,0.036819360414866,sale and delivery of electricity and natural gas,,0,,,,1.0,,,,,,,,,,,
PAAS.TO,0.0077766618228329,0.0099648437499999,0.023413391172477,La Colorada Silver segment:,212220,0,,,,13.0,,,,,,,,,,,
PKI.TO,0.0427439361989324,0.1245,0.044083342544592,Corporate,,0,,,,6.0,,,,,,,,,,,
WTRG.N,0.0312495584029455,0.0602656249999999,0.0315419538387974,Other,,0,,,,3.0,,,,,,,,,,,
PPC.OQ,0.0352061773719464,0.0729531249999999,0.0478189225394969,Mexico,"424440, 311615",0,,,,3.0,,,,,,,,,,,
PNM.N,0.0328335407998615,0.0931875,0.0295203667404975,Corporate & Other,,0,,,,3.0,,,,,,,,,,,
KWR.N,0.0370038624713484,0.0618339843749999,0.0341926898025411,Operating Segment- EMEA,"332811, 324191",0,,,,4.0,,,,,,,,,,,
RPM.N,0.0251619684338876,0.0378359374999999,0.0443455551419642,Consumer Segment,"325998, 325991, 325520, 325510",0,,,,4.0,,,,,,,,,,,
RRX.N,0.0643923643160416,0.092953125,0.0430936496170002,Eliminations,,0,,,,5.0,,,,,,,,,,,
R.N,0.0376328435728551,0.12598828125,0.0358942065491183,Eliminations,,0,,,,4.0,,,,,,,,,,,
EIX.N,0.0377610847099601,0.14921875,0.0369305616983635,,,0,,,,0.0,,,,,,,,,,,
SEIC.OQ,0.0781158721874445,0.095296875,0.1247709478594036,Institutional Investors,"523940, 518210",0,,,,5.0,,,,,,,,,,,
SJW.N,0.0353715111845665,0.0697539062499999,0.0350636480518484,Real Estate Services,"531312, 531120",0,,,,3.0,,,,,,,,,,,
ATRL.TO,0.040922180896959,0.1043125,0.046190894235428,Capital,523940,0,,,,6.0,,,,,,,,,,,
FSZ.TO,0.683940775811358,2.5824999999999374,0.0499671006455729,Asset Management Services,,0,,,,1.0,,,,,,,,,,,
SHW.N,0.0185231115314076,0.0302070312499999,0.0381278560413256,Consumer Brands group,"424950, 325510",0,,,,4.0,,,,,,,,,,,
CPLE6.SA,0.0879958913244901,0.1515,0.1192124088773393,DIS - Distribution,221111,0,,,,6.0,,,,,,,,,,,
AOS.N,0.0289425893742461,0.0509765624999999,0.0272859216255442,North America,"333310, 332410",0,,,,4.0,,,,,,,,,,,
SJM.N,0.0372077128849707,0.0609082031249999,0.0352047433759496,International and Away From Home,"722310, 424480, 311920",0,,,,4.0,,,,,,,,,,,
SWX.N,0.0368827052514048,0.0960859375,0.0404626326502486,Natural Gas Operations,221210,0,,,,3.0,,,,,,,,,,,
SYY.N,0.0234360703321157,0.0622773437499999,0.0505979176694557,SYGMA,"424490, 424480, 424420, 311612",0,,,,4.0,,,,,,,,,,,
TRNS.OQ,0.0435875805366821,0.0664140624999999,0.0492090314962233,Distribution,"519290, 541810, 334514",0,,,,2.0,,,,,,,,,,,
TSN.N,0.0425946839061336,0.0698789062499999,0.0373448348411529,Intersegment,,0,,,,6.0,,,,,,,,,,,
X.N,0.0752758849367869,0.13121875,0.0399798843349258,USSE,331210,0,,,,6.0,,,,,,,,,,,
WM.N,0.0172353519099491,0.0353183593749999,0.0252269087026161,Other (a),"562211, 562112",0,,,,3.0,,,,,,,,,,,
UTL.N,0.0388233745519995,0.0859609375,0.0462418300653594,Electric,"221122, 221121",0,,,,3.0,,,,,,,,,,,
LNT.OQ,0.0365516594690317,0.0780703124999999,0.0299299751524734,Other Utility,"221330, 221310",0,,,,4.0,,,,,,,,,,,
WSO.N,0.0268140189742246,0.0485820312499999,0.0303795692134989,"distributor of air conditioning, heating and refrigeration equipment",,0,,,,1.0,,,,,,,,,,,
WERN.OQ,0.0434317321081005,0.0870156249999999,0.0170493693693693,Corporate,,0,,,,5.0,,,,,,,,,,,
WMB.N,0.0387929645341237,0.090875,0.0500785888927698,Other,,0,,,,6.0,,,,,,,,,,,
WEC.N,0.031629293527701,0.0773828124999999,0.0297840353869727,Corporate & Other,,0,,,,5.0,,,,,,,,,,,
WOR.N,0.0426072506380655,0.0794218749999999,0.0386247013907432,Steel Processing,"331110, 332420, 331221, 331210",0,,,,5.0,,,,,,,,,,,
FM.TO,0.0541972772707796,0.083984375,0.0788549824466648,Corporate & Other,,0,,,,5.0,,,,,,,,,,,
