Firm Name,WACC,COE,COD
000539.SZ,0.05299076709342969,0.11225000000000002,0.0445608557887065
000629.SZ,0.0158342922514309,0.004562499999999931,0.024893663146615293
002060.SZ,0.03425410168493947,0.0865,0.04779243606181097
071320.KS,0.06084862595409342,0.14184375000000005,0.030233718244537668
1811.HK,0.038501055949171775,0.11700000000000002,0.028723736887144163
2380.HK,0.05118316358336195,0.0985,0.051035739450311195
5711.T,0.018144920055649,0.05087499999999996,0.011512152237167717
600011.SS,0.049114547230999644,0.11450000000000002,0.04768453856706254
600116.SS,0.044512027569548133,0.06349999999999997,0.051658227874532864
600236.SS,0.056831628953478125,0.08499999999999999,0.06301086688217046
600409.SS,0.037944380293330575,0.053499999999999964,0.05400554477862455
600459.SS,,,0.03955323523086373
600674.SS,0.07218167437302384,0.07849999999999999,0.06396294471582739
600795.SS,0.03580205964710903,0.10300000000000001,0.03871034226527944
600886.SS,0.04160788028924722,0.09575,0.051434067057988385
601088.SS,,,0.04436975194038444
601991.SS,0.029250534798212453,0.07749999999999999,0.038020415093411156
6504.T,0.03169887051540748,0.110015625,0.00909994099137396
8031.T,0.03262536768333095,0.0943125,0.010149564281626241
9505.T,0.025077070820200966,0.09503125,0.011482019177165825
9513.T,0.03221911542661017,0.092390625,0.01756276111325019
9531.T,0.049529303249060457,0.09398437500000001,0.01593214070224622
A2.MI,0.041189791894282166,0.11450000000000002,0.03784933842149031
AEP.OQ,0.03984558745405954,0.097609375,0.036421289274372076
AES.N,0.033728104112969566,0.15487500000000004,0.05701907275534087
AP.PS,0.05536726178447528,0.07549999999999998,0.05957217926583476
AVA.N,0.04307571595231609,0.09434375,0.04445247351610712
AWR.N,0.037624320644091436,0.07375781249999998,0.06038738645865549
AY.OQ,0.05287937350886514,0.10482812500000001,0.045603026358060905
BEP_u.TO,0.020057492194898552,0.012875238307706437,0.05846279640228945
BN.N,0.04026398810155254,0.16075000000000006,0.04666556346185669
BP.L,0.033757369219193985,0.08374999999999999,0.016664158892566956
CMIG4.SA,0.0972224226925444,0.2050000000000001,0.11036608967814407
CMS.N,0.03183557768362973,0.0821875,0.0418030191069355
CPFE3.SA,0.05989262494643874,0.12500000000000003,0.09307760344861249
CRBR.NS,0.03802625538511781,0.05112499999999996,0.0423712007950714
CSNA3.SA,0.06700746492811337,0.05899999999999997,0.10172684057325523
CU.TO,0.03541491313647443,0.09178125,0.03771192497718363
DEHr.AT,0.07900563213222904,0.2042500000000001,0.0392435811077289
DUK.N,0.045232945172867925,0.10498437500000002,0.03592856638667326
EDP.LS,0.04857892213175623,0.13075000000000003,0.05508632888329018
ELE.MC,0.03243078564483918,0.09106249999999999,0.03429183566201133
ELET6.SA,0.09871495893522561,0.1975000000000001,0.1656638661785265
EMA.TO,0.04226178413775768,0.08759375,0.04962496355660029
ENAE.WA,0.07123970900299313,0.14062500000000006,0.009313799234286664
ENEI.MI,0.041030374858601476,0.14250000000000004,0.05407689621840788
ENGIE.PA,0.03539259057999428,0.12568750000000004,0.02623728560127166
EONGn.DE,0.028535874728121267,0.15875000000000006,0.049606377168057644
ETR.N,0.035324881140122374,0.11618750000000003,0.04645989584972925
EXC.OQ,0.05350579718509995,0.16062500000000007,0.03924921159618527
FGEN.PS,0.05379580536437381,0.10300000000000001,0.05362057972883075
FORTUM.HE,0.060109212037099354,0.08731249999999999,0.03454421598616615
FTS.TO,0.04698458920673579,0.10103125,0.05157537805254942
GPSC.BK,0.08617356956703184,0.12450000000000003,0.027701852514160224
HE.N,0.027546272442505185,0.14028125000000002,0.033713712299373186
HOLMb.ST,0.053870852308062385,0.088125,0.0183149546925278
IBE.MC,0.04416626036029654,0.10250000000000001,0.03528216349600128
IDA.N,0.04387384695767147,0.08853124999999999,0.052664969532898856
LIGT3.SA,0.07749418394352883,0.17425000000000007,0.1031704350486353
MGEE.OQ,0.037805081353672054,0.07114062499999999,0.0509731208920488
MPLF.PSX,0.06395404945429266,0.08499999999999999,0.12468563630275516
NRG.N,0.03284819519950125,0.12915625000000003,0.048140156185778875
NTPC.NS,0.04546911505234709,0.08449999999999999,0.033278085204718075
ORK.OL,0.028339260358999363,0.03893749999999995,0.034646790665328976
PEG.N,0.04230023463026487,0.096546875,0.039569069673781716
PGRD.NS,0.05512174477807558,0.0975,0.06452069645857861
PIF.TO,0.06661395941197323,0.09568750000000001,0.060118484084600604
PTCI.NS,0.05679536836441128,0.13750000000000004,0.06599272371624008
RATCH.BK,0.07407709908006052,0.0935,0.06580776755874643
RWEG.DE,0.02306652438045481,0.17787500000000006,0.06328822318971182
SHEL.L,0.15828176911558495,0.3265000000000002,0.017009541102108634
SO.N,0.03200402097731132,0.08806249999999999,0.02922959148166191
SRG.MI,0.04057635375793045,0.0985,0.025932942260737675
SSE.L,0.022312720256926107,0.086125,0.03986338281225068
SVT.L,0.028712449074436174,0.07607812499999998,0.04265892094652268
SXC.N,,,0.056768121746095315
TA.TO,0.045677616053489786,0.13050000000000003,0.05378541791849963
TTPW.NS,0.05453030188428378,0.12050000000000002,0.07571845152103548
UNACEMC1.LM,0.20019351658055373,0.5070000000000003,0.05504005902829884
VERB.VI,0.051095290865270766,0.1068125,0.03586442747611016
XEL.OQ,0.03665589352667297,0.09498437500000001,0.038868353328080814
