Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
000537.SZ,1322619580.87282,1.30779202074031,,,,,670527961.325075,512717581.0,9853536113.91906,1018013.39598534,8753542355.05689,5.319409386187,4025916121.03558,958634826.037736,5125909879.89774,4025916121.27322,,13.4365790004923,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023.0,20423764.5418027,12.89769,129674495.51491,China,129674495.51491,75559401.4346433,,FY-6
000539.SZ,3228010355.754,0.76623937779058,,,,3.99,3784968956.26055,5250283986.0,10179605899.4671,197360766.064731,5950419647.55869,44.8485903186393,4877128693.50425,3371096443.90033,9106314945.41265,4877128695.08858,,3.9696440993325,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011.0,601735880.82862,26.91141,573779346.028515,China,573779346.028515,499477215.258808,,FY-6
000629.SZ,1528158699.40948,0.344231600172836,,,,,2956862080.193,8589746202.0,1385728754.87829,172344683.432749,840482224.679533,,545043452.913726,519452371.893994,1090289983.11249,545043452.398099,,-92.8301175736352,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016.0,210070132.025961,10.338940177392,-229304791.409589,China,-229304791.409589,76563758.132659,,FY-6
000883.SZ,1352054804.83941,0.65965720869941,,,,,4292685963.68716,6507449486.0,6014940516.68443,69199254.5708487,2204856311.20553,31.0208803308945,1811187721.74276,3418307076.6225,5621271927.22166,1811187721.44606,,8.39695837145406,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010.0,205357573.371189,20.760676161315,422716221.482166,China,422716221.482166,692478409.10163,,FY-6
002060.SZ,910664768.831917,0.554515339190552,,,,5.05,666672752.887801,1202262058.0,2263626268.48336,50355847.9588138,1865182082.2195,22.3217857005037,1149028914.34538,394158568.225551,1547473100.60925,1149028915.45441,,5.04847590375109,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010.0,50252040.1923316,18.97011,65809949.735108,China,65809949.735108,247272797.121503,,FY-6
002545.SZ,238769058.044073,1.60449373469682,,,,4.06,2112151499.40371,1316397474.0,1555373440.31687,5179765.22663044,564163192.870517,19.2885855016691,233657783.584906,986858148.99179,1224868031.03125,233657783.378943,,2.90018909228126,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,51,5110,511010,51101020,5110102011.0,10544024.5763164,19.61121,21377081.5202371,China,21377081.5202371,19505607.317972,,FY-6
071320.KS,1425796690.41244,56.4962377321863,8.43564302993524,9.47190104993641,9.20212672391577,7.186,654155473.664125,11578744.0,4256004026.5028,46947333.0980842,2759628339.66922,34.7249057826624,1989177799.47523,1496375686.83358,3485553486.30881,1989177799.47772,,7.18568991995294,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012.0,161758662.72447,23.67907,139449869.589565,Korea; Republic (S. Korea),139449869.589565,456074630.546134,,FY-6
1811.HK,1074448000.0,0.148308636721218,,,,10.943,636366257.850685,4290824000.0,3498621000.0,115172000.0,2677226000.0,23.9182986712301,2398472000.0,720317000.0,3219867000.0,2396269000.0,,10.7910596820065,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010.0,147218000.0,21.2944828779225,177397000.0,Hong Kong,177397000.0,32859000.0,,FY-6
2083.SE,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010.0,,12.020784085013,,Saudi Arabia,,,,FY-6
2380.HK,2717291228.57554,0.338547724429657,0.033560420086283,0.04035559170867,0.046244449297518,8.668,2665430278.46042,7873138524.52875,13133682990.0619,281552926.000122,8150990494.02276,49.7418283691229,6875248451.67795,3927263862.88348,11857940947.7171,6875248451.67795,-14.48,8.66816428611953,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Fossil Fuel Electric Utilities,59,5910,591010,59101010,5910101012.0,497099734.239581,20.90695,767830891.271613,Hong Kong,767830891.271613,1290997888.9468,C+,FY-6
300569.SZ,138381039.896298,1.84656687743051,0.053528733976667,0.060911709635604,,21.69,1200825810.16851,650283161.37064,302563844.721302,272739.35488208,67115217.6724759,16.3425784503815,12240410.226127,232042418.934178,247689037.274953,12240410.485381,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011.0,2499234.31326637,14.27416,31077726.0099053,China,31077726.0099053,4692983.66341176,,FY-6
300772.SZ,451383292.524845,,,,,,,396083539.18706,718105219.130059,1743154.60110921,600428442.330405,0.0,233488880.887225,117556704.257526,351165657.686879,233488880.887225,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011.0,8595843.20586277,12.89769,11221513.5151995,China,11221513.5151995,14983378.44208,,FY-6
3038.T,2282854689.43803,4.39590998545392,,,,,1202720972.02019,209122512.0,1270861559.01154,6588880.69020283,1054947047.0375,25.7894736842105,760538116.591928,163018795.91642,976452628.565977,760538116.591928,,28.4697508896797,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012.0,29413345.8435574,33.83299,107688156.363495,Japan,107688156.363495,42481899.2567221,,FY-6
