Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
5110.SE,10258160545.8131,3.99765470923725,0.229150013322675,0.239370918299347,,6.24,16656603386.0135,4166593815.0,84725812323.4369,,68937076115.3457,15.1666641712375,23553033953.414,15788736208.0913,39341770161.5052,23553033953.414,,6.24416756235775,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,3615288542.12927,4.22415250544,995387385.558608,Saudi Arabia,995387385.558608,13413875813.1653,C-,FY-8
5711.T,12631243756.2438,33.6514314414867,3.6121934021657,3.63585427684043,,11.1,4424811075.69061,131021804.6,15802172827.1728,75251668.6876967,10561463536.4635,18.6688514079114,5437379287.37929,4585106560.10656,10678088578.0886,5252006327.00633,8.9,11.1456626366111,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,518672560.591769,29.13904,656918824.274681,Japan,656918824.274681,530664567.067933,B-,FY-8
600011.SS,22460991728.7174,1.42313767204977,0.141485285594694,0.146767338527916,0.151824006697147,16.27,20241717571.6893,14420383440.0,48493191621.8612,1393004376.92109,33906183844.2446,57.2675287162079,28345789473.6164,12093920549.2699,42932797251.233,25246388992.0382,7.74867,17.8059622710375,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,2140728856.18054,31.52166464304,4707975510.69309,China,4707975510.69309,4065293220.3294,C,FY-8
600025.SS,2515623311.73645,,,,,,,15300000000.0,24371592241.6562,709149502.526841,19544613587.3868,0.0,15647410052.4401,4603954661.83799,20474388706.7095,15647410052.2193,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,679019553.91006,11.95637,1399673889.16178,China,1399673889.16178,2210078147.36521,,FY-8
600116.SS,207670036.74693,0.776842210617929,,,,,623493870.998936,802607626.07626,581352798.900816,11641570.7737284,386579545.27125,34.9554335314653,231860549.624472,185823562.126487,426633803.254037,231860550.236921,,12.5013003546768,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,17025768.0812863,14.31353,30180704.7477492,China,30180704.7477492,59632355.2948617,,FY-8
600236.SS,1496718740.93415,0.587877152474024,0.022280868319843,,,,1727446203.75205,2964587332.78733,7484985205.66999,299629837.602294,5676992370.26561,20.4449954970362,5081640856.68053,1196575538.57138,6889633692.08491,5081640856.78368,35.464,26.6271551250007,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,337119618.494129,15.76643,677821015.176159,China,677821015.176159,133227188.862542,,FY-8
600409.SS,2046119113.23856,0.994423492247687,,,,8.09,1840066797.98697,1850385487.0,3227595931.89569,80588003.6209777,2166602891.88022,31.0238875956929,1659222193.92225,981365406.485511,2720215233.93772,1659222193.21149,,8.12746517523253,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,118348948.854868,19.79691,188355227.531137,China,188355227.531137,36471397.9444183,,FY-8
600459.SS,1108968397.64046,1.51882794426716,0.042521398520238,0.057526959717588,,,766369219.488766,504583362.73338,463076197.30039,4710672.72241099,160806535.941076,30.5487659756322,103796409.115817,288938567.359701,406066070.475131,103796409.115817,,4.87843449178987,Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),51,5120,512010,51201010,5120101010,4184229.45419873,14.41254,15159073.2374538,China,15159073.2374538,23429253.3261587,,FY-8
600674.SS,174732472.681559,1.67053476452954,0.160060717424303,0.153524770818028,,27.635,7353928710.18276,4402140480.0,3545834906.44361,52775437.6885758,992885690.081553,18.8334837218484,893934675.266738,2496218862.3215,3446883891.62879,893934675.885633,40.341,26.9952923031087,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,35186769.1098503,1.16181,63548764.8061574,China,63548764.8061574,7993645.49073382,,FY-8
600795.SS,9702888964.63914,0.746220546046482,0.05674463623165,0.061451847072108,0.073237618970802,15.38,14046016768.0817,18822875948.0,39705863688.0782,1102343964.70647,29099870207.0835,49.0553978616537,23115386741.6852,7170867941.88505,33721380222.68,23115386742.0946,3.688,14.5032292693051,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1556898989.04809,32.81628,2513976715.41427,China,2513976715.41427,3889940872.38097,,FY-8
