Firm Name,WACC,COE,COD,year,has ren segment,number of segments
000539.SZ,,,0.0287845197090674,0,False,1
000629.SZ,0.0428378388443717,0.0562499999999999,0.0321442446233507,0,False,5
002545.SZ,0.0866333876076043,0.1265,0.0312421562742632,0,False,5
071320.KS,0.0178614717390517,0.0607031249999999,0.0175057438485064,0,True,3
2083.SE,0.0398356019039264,0.086875,0.0244991295133511,0,False,7
2380.HK,0.023833985132902,0.0409999999999999,0.0375930687925147,0,True,5
300772.SZ,0.0170882786213539,0.0905,0.0058842789267009,0,True,4
3038.T,0.013331345277746,0.0240312499999999,0.0029312958165647,0,False,5
5711.T,0.0574917966101615,0.17625,0.0104752658880521,0,False,6
600011.SS,,,0.0329881809670105,0,False,3
600025.SS,0.040415914608272,0.0784999999999999,0.0331239324141345,0,False,2
600116.SS,0.0494613199090678,0.0744999999999999,0.0342240664087618,0,False,4
600459.SS,0.0421606312717638,0.0594999999999999,0.0428465396059785,0,False,0
600674.SS,0.04825680048209,0.0622499999999999,0.0307494236948516,0,True,5
600795.SS,0.0288566986442025,0.149,0.0333442165627162,0,False,6
600886.SS,0.034082590986005,0.09075,0.0371306886774447,0,False,4
600905.SS,0.0368902391027298,0.0754999999999999,0.0314988278337583,0,True,3
600995.SS,0.0405302288461382,0.0529999999999999,0.0575503456736522,0,False,3
601088.SS,0.1149715903950934,0.175,0.0579034914403712,0,False,8
6013.T,0.0555387682690679,0.0991875,0.0068250781466738,0,False,5
601991.SS,0.0246037790137384,0.103,0.0355984448822094,0,False,3
603212.SS,0.0492327687886892,0.0652499999999999,0.039150902730437,0,False,7
6504.T,0.0447718953354935,0.0995625,0.0108438907356446,0,False,7
688599.SS,0.0246283352613786,0.0636249999999999,0.0172008462304954,0,False,5
8031.T,0.0531662629388555,0.11465625,0.0223412634717401,0,False,9
9505.T,0.022894691835057,0.15675,0.0055220428105126,0,False,4
9513.T,0.0581966133573757,0.16284375,0.0142523963007284,0,False,5
9531.T,0.0523853273771666,0.11359375,0.0117775927798888,0,False,5
A2.MI,0.0340958209765741,0.1705,0.0131459092860654,0,False,6
ACOx.TO,0.0386027577202015,0.1361875,0.0433002512733162,0,False,6
AEP.OQ,0.0360412839804375,0.0900624999999999,0.0308555673963415,0,False,6
AES.N,0.0223776755845476,0.08396875,0.0475359605072772,0,False,6
AEV.PS,0.0546903497767278,0.1095,0.0485198359065567,0,True,7
ALS.TO,0.0453521313151066,0.0613437499999999,0.0605000620981361,0,False,4
AP.PS,,,0.0537458577679365,0,False,4
AVA.N,0.0426681259312498,0.0925624999999999,0.0402740656930982,0,False,4
AVNT.NS,0.0215023442805183,0.0279374999999999,0.1119314082410521,0,False,6
AWR.N,0.0236151401844713,0.0384492187499999,0.0373071284816259,0,False,4
AY.OQ,0.0393176657786731,0.0796562499999999,0.0524290462980849,0,False,4
BEPC.N,0.0365821251689865,0.1215,0.0733006605582782,0,True,6
