Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
600236.SS,1532079019.02221,0.835121498579133,,,,19.64,6582743162.37313,,,,,,,,,3004782173.92565,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,15.76643,,China,,,C+,FY0
600409.SS,3433251335.32448,0.958359914168068,,,,7.58,1978389759.79817,,,,,,,,,1250780903.84504,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,19.79691,,China,,,C-,FY0
600459.SS,5909449391.05724,2.28208548396451,0.104757747708424,0.133857122071875,0.161501527717154,,1736821299.45485,,,,,,,,,644920779.446732,,,Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),51,5120,512010,51201010,5120101010,,14.41254,,China,,,,FY0
600674.SS,188941473.351505,1.77318332076785,0.128416666666667,0.131281609195402,,10.8,7886608439.63057,,,,,,,,,2553257893.05805,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,1.16181,,China,,,C+,FY0
600795.SS,27489334657.5422,0.619091805370295,0.0602530735495,0.071245955855921,,6.219,11041885617.3722,,,,,,,,,34095390274.3142,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,32.81628,,China,,,C+,FY0
600886.SS,7261725052.19509,1.57020240097431,0.121989581826074,0.133683982057589,0.142582838952395,7.7,11704571014.5435,,,,,,,,,20400365217.7695,27.749,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,16.51138,,China,,,B-,FY0
600905.SS,3452441028.24335,0.819172997738213,0.04875488389237,0.055149281238481,,9.72,23444346183.9587,,,,,,,,,19262272952.7924,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,,7.56797,,China,,,B-,FY0
600995.SS,1187796085.36798,2.09070347387346,0.083589108910891,0.088741991846243,,15.08,6681900439.03323,,,,,,,,,1741163857.79737,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,13.698622506359,,China,,,,FY0
601088.SS,49952589456.5911,4.00452357478397,0.497823663987798,0.492108582155218,0.616375481196328,18.0,75171894044.8264,,,,,,,,,8316998202.169,10.695,,Energy,Energy - Fossil Fuels,Coal,Coal,Coal (NEC),50,5010,501010,50101010,5010101010,,22.8746,,China,,,A-,FY0
6013.T,1074260109.94804,9.4195713522996,0.920890579109873,0.950793885081708,,9.9,781824422.240866,,,,,,,,,2168838.01491076,,,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),52,5220,522030,52203010,5220301010,,29.40187,,Japan,,,,FY0
601778.SS,463446991.532796,0.797425042046048,0.047792839763643,,,1.69,2308047566.18627,,,,,,,,,2859139587.07881,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012,,11.265491444432,,China,,,D+,FY0
601991.SS,16613009337.1223,0.404511975874268,0.037342908438061,0.043087971274686,,-1.427,6008090701.93497,,,,,,,,,27867200458.1569,,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Independent Power Producers (NEC),59,5910,591010,59101020,5910102010,,33.06358,,China,,,C+,FY0
603212.SS,596660146.146262,4.59606796961086,0.207026633677776,0.265801193421627,0.365617072078794,6.589,2023933848.69222,,,,,,,,,207939949.544743,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Photovoltaic Solar Systems & Equipment,50,5020,502010,50201010,5020101013,,12.6024,,China,,,,FY0
6504.T,7601829957.07508,38.3647319045077,3.29971106465582,3.56146102732567,3.74674040615201,12.4,5727739033.86469,,,,,,,,,1360275623.1644,7.1,,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,,27.6398,,Japan,,,B+,FY0
6806.TW,140667560.584753,2.77659678843575,,,,,600161395.820387,,,,,,,,,220368839.323675,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,20.85758378736,,Taiwan,,,,FY0
688599.SS,12331350816.2733,9.24433103288291,0.473696195093286,0.637589246364037,,16.94,20053960941.6111,,,,,,,,,5594012406.48379,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010,,18.6342,,China,,,B,FY0
8031.T,107737043452.067,29.3875371825185,4.17418780913587,3.90274323537969,3.71906949177656,18.9,46798672712.4704,,,,,,,,,37958882445.9673,,,Industrials,Industrial & Commercial Services,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,52,5220,522020,52202010,5220201010,,22.17249,,Japan,,,B+,FY0
9505.T,5574388131.63642,4.17206925482419,0.435177476727465,0.435177476727465,,-31.7,877526737.990999,,,,,,,,,9682393252.50395,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,33.33484,,Japan,,,C-,FY0
9513.T,10677776941.0347,15.9865761574251,3.07915109951547,3.04992441297056,2.85352217666791,11.4,2926360350.85043,,,,,,,,,14212154529.7086,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,29.12491,,Japan,,,C+,FY0
9531.T,24773205813.6908,19.7162687819388,2.26559290716734,1.84589859391716,2.11956143970656,20.0,8574113549.80551,,,,,,,,,9512982905.33926,,,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Utilities (NEC),59,5910,591020,59102010,5910201010,,28.82647,,Japan,,,A-,FY0
A2.MI,24556934931.5069,1.33240582191781,0.128965840960976,0.14067934028889,0.148148148148148,10.47,4174301230.59182,,,,,,,,,7372645547.9452,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,29.61088779136,,Italy,,,B+,FY0
ACOx.TO,2481363938.29803,31.2790611853273,2.57261291746359,2.64828600853318,2.74417515426362,9.97,3545162402.40608,,,,,,,,,7529706989.44571,2.9305,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,23.966925946366,,Canada,,,C+,FY0
ADAI.NS,1617906523.85589,31.3025133890252,,,,21.25,34917724644.9671,,,,,,,,,4171133154.81986,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,25.994019311258,,India,,,B-,FY0
AEP.OQ,19231300000.0,94.95,5.27626,5.62823,5.96738,11.23,48791356226.1,,,,,,,,,40913200000.0,6.13667,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,4.12376,,United States of America,,,B+,FY0
AES.N,12617000000.0,28.76,1.72807,1.91326,2.02792,59.869,19210235615.28,,,,,,,,,23498000000.0,8.0685,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,35.16484,,United States of America,,,B+,FY0
AEV.PS,5510197251.66158,1.03405017921147,0.084430980751604,0.099591384051329,,9.91,5821935642.81182,,,,,,,,,6770485306.26909,9.743,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,11.76931693034,,Philippines,,,C,FY0
ALS.TO,75316997.5643959,16.3923536792383,0.448942109903027,0.380325421704732,0.529946043165468,7.37,780543181.319654,,,,,,,,,89211749.9446454,,,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,,23.74702,,Canada,,,C,FY0
AP.PS,3484706089.45572,0.610215053763441,0.065330336416228,0.068434540697889,,17.26,4490331122.81989,,,,,,,,,4464558631.21969,8.4,,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,,11.449468285289,,Philippines,,,C+,FY0
ARG.CN,4402662677.94512,1.95791211058387,,,,,1565092383.01423,,,,,,,,,3114617082.73159,,,Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Cement & Concrete Manufacturing,51,5120,512020,51202010,5120201012,,33.2096794976,,Colombia,,,B-,FY0
AVA.N,1742876000.0,44.34,2.31397,2.44305,2.54179,6.91,3271217198.4,,,,,,,,,2854790000.0,5.2,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,12.69181108237,,United States of America,,,C,FY0
AVNT.NS,619155976.144109,4.65865541545269,0.319015982564475,0.405798159583485,,14.63,634721442.031263,,,,,,,,,371652.872444012,,,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming,Animal Feed,54,5410,541020,54102010,5410201024,,24.2877,,India,,,C-,FY0
AWR.N,380588000.0,92.55,2.73211,2.9699,3.22,11.24,3420731017.35,,,,,,,,,724446000.0,,,Utilities,Utilities,Water & Related Utilities,Water & Related Utilities,Water & Related Utilities (NEC),59,5910,591030,59103010,5910301010,,23.18636,,United States of America,,,B-,FY0
AY.OQ,1102029000.0,25.9,0.31889,0.54823,0.74779,-0.34,2918262841.89999,,,,,,,,,5570252000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Alternative Electric Utilities,59,5910,591010,59101010,5910101020,,21.11201,,United Kingdom,,,B+,FY0
BEPC.N,3778000000.0,27.54,0.2614,-0.24,1.33,-5.44,4742897159.51999,,,,,,,,,14079000000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Alternative Electric Utilities,59,5910,591010,59101010,5910101020,,15.697913341561,,United States of America,,,B,FY0
BEP_u.TO,4565000000.0,25.3007602037051,0.49319,0.88005,0.65654,-6.33,6964967995.92589,,,,,,,,,25409000000.0,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,,16.63329,,Bermuda,,,B,FY0
BKH.N,2569252000.0,70.34,4.10906,4.3584,4.59529,8.939,4577604738.06,,,,,,,,,4667940000.0,,,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,,10.450391428618,,United States of America,,,C,FY0
