Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EQNR.OL,149004000000.0,35.9107844638391,5.67785,4.61956,3.71303,48.8,114033624451.201,3121942270,158021000000.0,930000000.0,104032000000.0,26.2610450149586,32167000000.0,53988000000.0,86156000000.0,32167000000.0,-5.2305,61.8206843157917,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,8876000000.0,63.430897764308,75190000000.0,Norway,75190000000.0,8611000000.0,FY0
BP.L,241392000000.0,5.74487388858646,1.04355,0.96588,1.06218,6.72,104310892039.782,17972856000,288120000000.0,1851000000.0,205130000000.0,,55493000000.0,67532000000.0,138483000000.0,55493000000.0,16.58775,-0.914582983722101,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,14318000000.0,21.14241,44656000000.0,United Kingdom,44656000000.0,12069000000.0,FY0
SHEL.L,381314000000.0,28.1376640658078,4.86892,4.53277,4.26358,22.649,196960140735.039,7003503393,443024000000.0,2745000000.0,250427000000.0,17.5021862960599,83795000000.0,190472000000.0,276392000000.0,83795000000.0,25.258,23.3468896749237,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,18635000000.0,33.369815,59349000000.0,United Kingdom,59349000000.0,22600000000.0,FY0
OILI.NS,4995002434.27459,2.51701584922084,0.821560931137179,0.895267246094937,,25.28,2729465060.27539,1084405194,8992577896.78676,95721519.8965842,3898543086.66018,24.8473121088286,2385449123.66115,4683725657.25414,7479483933.78773,2292082521.90847,,25.2843573752162,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,242636256.571523,25.12147229348,1829943768.9562,India,1829943768.9562,1062367048.26897,FY0
AKSOA.OL,4227734394.93697,3.81768999132343,0.253960079763034,0.350282655412077,0.407322518081539,9.84,1878941369.73408,488328192,3377532792.32379,33963321.8578837,2434338794.46741,41.3910093299406,554789976.011841,943602306.946358,1497983973.86822,554789976.011841,64.95,13.8080459097031,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011,114952781.672837,38.2296476856065,200958362.869878,Norway,200958362.869878,64791567.8519628,FY0
ENB.TO,39345339139.4199,39.0582330799321,2.26866007194245,2.27075839328537,2.38561151079137,9.429,79086171318.0899,2025000000,132561812679.903,2486810268.54287,85770167540.0399,271.263035921205,59797032991.3647,39168204295.52,106588678131.227,59797032991.3647,3.5,4.87809473565211,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,3293447241.8581,20.364000259456,6434640793.80542,Canada,6434640793.80542,3707146661.91873,FY0
OPAL.OQ,235531000.0,7.28,0.1723,1.31106,3.86791,,1262210884.48,29477766,644856000.0,6685000.0,1419012000.0,0.0,169052000.0,-800601000.0,546871000.0,169052000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,12586000.0,22.0291,127894000.0,United States of America,127894000.0,131410000.0,FY0
ENI.MI,141815068493.151,14.21875,2.88620952703848,2.58679437192745,2.44125063570097,26.789,50782094672.9687,3345390143,162810359589.041,1000805685.79372,103702910958.904,21.6677468135666,34105308219.1781,53252354452.0548,93212756849.3151,34105308219.1781,29.07533,31.1381676308355,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,8117060851.62169,28.47653,20440666022.5848,Italy,20440666022.5848,8489992654.53851,FY0
TTEF.PA,263310000000.0,62.767551369863,12.12192,9.98904,9.55254,32.4,164396457475.652,2481943618,303864000000.0,2076000000.0,189294000000.0,36.5135316832966,57020000000.0,111724000000.0,171590000000.0,57020000000.0,4.21375,18.0748232345834,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,13864000000.0,36.237316806664,60384000000.0,France,60384000000.0,15690000000.0,FY0
NESTE.HE,27511772260.274,46.0402397260274,3.14686385589908,3.11814219471187,3.22305871769884,30.53,35414661510.2311,768083170,15964255136.9863,55834422.470597,7052654109.58904,61.8114406779661,2798587328.76712,8906250000.0,11710188356.1644,2798587328.76712,14.19667,24.6749003463373,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,670013069.647164,13.44944,2678998798.9194,Finland,2678998798.9194,1836215063.51416,FY0
