Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EQNR.OL,78555000000.0,21.0925662335277,1.84584,2.10567,2.21809,16.16,70420932893.0678,3328308548.0,112508000000.0,579000000.0,69518000000.0,40.6635700066357,25727000000.0,42971000000.0,68717000000.0,25727000000.0,13.15,18.1934518060653,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,9853000000.0,63.430897764308,19531000000.0,Norway,19531000000.0,11367000000.0,FY-4
BP.L,298756000000.0,6.32686125427361,0.52678,0.61096,0.65478,12.86,128218999633.854,20099199000.0,282176000000.0,1779000000.0,180628000000.0,72.3356009070295,65799000000.0,99423000000.0,167347000000.0,65799000000.0,30.08325,9.35960342205131,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,15457000000.0,21.14241,16973000000.0,United Kingdom,16973000000.0,16707000000.0,FY-4
SHEL.L,388379000000.0,29.4369036076951,2.71649,3.09873,3.30278,10.89,243408898089.903,8178959623.0,399194000000.0,2674000000.0,196660000000.0,67.1248715313464,76824000000.0,198646000000.0,279358000000.0,76824000000.0,17.301,11.8839089877405,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,21704000000.0,33.369815,31620000000.0,United Kingdom,31620000000.0,23011000000.0,FY-4
OILI.NS,1991970222.60769,2.51293847038528,0.414378982268992,0.390193599538706,,14.7,2851943698.14261,1084405194.0,8359222318.58919,84258093.8626358,4818920208.15265,31.817435737229,2190167678.5198,3382989303.26684,5730469788.95635,2190167678.5198,7.8,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,220697992.174661,25.12147229348,686379307.239482,India,686379307.239482,358094750.278944,FY-4
AKSOA.OL,2920809844.07376,2.90125212704899,0.273384519177321,0.349241476746341,0.39838567722809,7.52,1238495852.3968,271532588.0,2426754025.48995,32958307.70164,1546065958.99846,0.0,337203514.417679,868417701.73753,1217891580.90916,337203514.417679,,7.05703632095015,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011,90881303.6996714,38.2296476856065,131833230.80656,Norway,131833230.80656,62104273.8407768,FY-4
ENB.TO,34008946249.175,31.0992153699494,1.85113644944499,2.1710715094767,2.1509023635128,7.16,62875650923.5022,2022000000.0,122391288406.541,2086621416.97814,68541468064.8236,185.475527258257,47378455672.0686,45261421133.6804,101228276013.786,47378455672.0686,15.532,4.48305697032405,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,2505798416.39328,20.364000259456,5356665191.42112,Canada,5356665191.42112,5670854949.73044,FY-4
OPAL.OQ,,,,,,,,,,,,,,,,,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.0291,,United States of America,,,FY-4
ENI.MI,86959812826.8648,15.722241917592,1.38726143421796,1.59081874647092,1.59603613777527,8.32,57137540931.624,3601140133.0,135761308376.915,808712916.667266,77185980365.1711,72.4430441105187,29664418754.0141,58509955041.7469,88239746765.7583,29664418754.0141,26.741,8.33148234153827,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,8252413558.40027,28.47653,12573419799.2794,Italy,12573419799.2794,10765916915.4581,FY-4
TTEF.PA,184106000000.0,52.9635746398752,5.3906,6.10571,6.43545,11.94,139744679597.302,2608128726.0,256762000000.0,1602000000.0,138648000000.0,73.1011702093542,51555000000.0,115640000000.0,169669000000.0,51555000000.0,13.68,9.79858800330992,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,12810000000.0,36.237316806664,17231000000.0,France,17231000000.0,17080000000.0,FY-4
NESTE.HE,17109367831.9112,25.677653877383,1.84942291089199,1.96985050211296,1.96296632889535,25.65,19751555057.5346,767490072.0,9416001468.02459,50765920.3163393,4121937792.45802,74.9357326478149,1307459399.94495,5291769887.14561,6601523075.51151,1307459399.94495,12.666,17.3932483791639,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,491130763.990631,13.44944,1610342216.54621,Finland,1610342216.54621,449809666.058727,FY-4
CLMT.OQ,3497500000.0,2.21,-0.06178,0.3479,,-58.19,170489585.89,77177159.0,2087500000.0,155500000.0,2021800000.0,,1604500000.0,65700000.0,1670200000.0,1604500000.0,,-53.7715517241379,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,118100000.0,22.0291,118100000.0,United States of America,118100000.0,49800000.0,FY-4
