Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
SOAC.BR,41477030.6930027,133.399098715333,,,,,2851410137.2105,21375033.0,3792345806.3359,,233168172.544448,362.5,208954554.62637,2949353182.52136,3768132188.41782,208954554.62637,11.0,1.04506858262573,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010.0,,19.38025,35817649.4223762,Belgium,35817649.4223762,,,FY-3
SOLB.BR,12585476313.2525,115.799385691545,8.56962576153177,9.59506092254134,10.7507941688425,10.74,12260423932.0225,103410650.0,23885164675.0219,156702216.222896,13095531690.6935,,5051229737.91001,8660852409.03078,15840862722.2384,5060197744.54633,-3.376,-2.95929383374611,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010.0,1156238495.41608,19.38025,1343161853.33911,Belgium,1343161853.33911,959241423.593013,A-,FY-3
SPMI.MI,10213438557.9445,12.2431869454708,0.673128807658834,0.935345953002611,1.15176240208877,4.129,4931381340.71884,396913202.4393,14583099791.4938,135435486.87836,9958971369.63881,0.0,4152187072.61843,4519875344.70776,8776315494.47347,4152187072.61843,65.05,0.300225168876658,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010.0,688370449.836293,28.47653,676058132.847351,Italy,676058132.847351,376085318.93495,C+,FY-3
TESB.BR,1953792345.80634,35.2554760890523,2.40508171772646,2.77283354286596,,12.33,1521449330.25805,43154979.0,2142568885.50098,12536177.2978317,1219312602.29133,0.0,562742416.429388,921126381.633523,1485998699.63904,562742416.429388,,12.3466306931329,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010.0,148531314.948416,20.89424,150881848.19176,Belgium,150881848.19176,116743151.086057,C,FY-3
BOOM.OQ,397550000.0,44.94,3.32102,3.66012,,,658180094.88,15389285.0,279645000.0,731000.0,82731000.0,,11264000.0,196914000.0,208178000.0,14272000.0,,-0.765197599273821,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010.0,11081000.0,32.696664229948,2391000.0,United States of America,2391000.0,13853000.0,C,FY-3
XOM.N,255583000000.0,69.78,3.46094,3.72138,4.18185,5.03,295246581285.48,4234000000.0,362597000000.0,830000000.0,163659000000.0,107.735294117647,47074000000.0,191650000000.0,246012000000.0,47074000000.0,2.153,7.09360428119882,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010.0,18998000000.0,28.006675,15445000000.0,United States of America,15445000000.0,24361000000.0,C,FY-3
XXFPL.PK,2785000.0,0.004,,,,,8937.048,2234260.0,16804000.0,1336000.0,14685000.0,,14646000.0,1262000.0,16765000.0,20191000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012.0,1203000.0,,1054000.0,United States of America,1054000.0,96000.0,,FY-3
NEE.N,18442000000.0,60.54,2.27236,2.46668,2.66483,11.42,118361972670.48,1956000000.0,117691000000.0,1543000000.0,76331000000.0,62.4157594608606,42639000000.0,37005000000.0,84486000000.0,42583000000.0,8.1445,10.8448467301016,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,4478000000.0,15.116824648669,4292000000.0,United States of America,4292000000.0,5912000000.0,B+,FY-3
EGAB.PA,807793000.0,150.214111158442,,,,,675963500.21299,4500000.0,4370731000.0,3151000.0,2257421000.0,98.25717575132,67188000.0,2113310000.0,2180498000.0,67188000.0,,2.38571789494421,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,263065000.0,17.788555,144421000.0,Gabon,144421000.0,127640000.0,,FY-3
BTKW.KL,3834071923.53644,4.26510149180729,0.162155688622754,0.191137724550898,,2.903,1859375260.45487,392547169.0,5214925686.9773,44907836.5608194,2318807885.30466,64.8813339238898,1678335722.81959,1353159617.6822,4574453524.49223,1678335722.81959,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,145807000.055688,24.98788,265025018.631361,Malaysia,265025018.631361,161460969.566663,,FY-3
