Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
EQNR.OL,60971000000.0,21.3476300718898,1.4235,1.48784,1.61042,12.09,70941757992.6404,3311924619.0,111100000000.0,490000000.0,71215000000.0,62.9847494553377,28274000000.0,39861000000.0,68159000000.0,28274000000.0,8.186,12.2509441767979,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,9781000000.0,63.430897764308,12797000000.0,Norway,12797000000.0,10755000000.0,FY-5
BP.L,240208000000.0,7.06274997297589,0.4686,0.47841,0.51321,6.36,139954398063.636,19806121000.0,276515000000.0,1421000000.0,176111000000.0,144.855191900165,63230000000.0,98470000000.0,163634000000.0,63230000000.0,48.68925,4.38433943273028,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,15584000000.0,21.14241,9298000000.0,United Kingdom,9298000000.0,16562000000.0,FY-5
SHEL.L,305179000000.0,33.5098908226138,2.39362,2.56547,2.76615,8.75,280180052909.152,8312762919.0,407097000000.0,2826000000.0,209285000000.0,104.346664886159,85665000000.0,194356000000.0,283477000000.0,85665000000.0,41.76667,7.86190098739639,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,22033000000.0,33.369815,18396000000.0,United Kingdom,18396000000.0,20845000000.0,FY-5
OILI.NS,1643027184.76425,3.88010011749961,0.397349209882039,0.395588545144298,0.416154791154791,9.34,4403538594.71251,1134898236.00882,7469585317.15558,80164460.1994848,3010978344.34035,51.8766630976312,1893612348.33359,4458606972.81524,6352219321.14882,1893612348.33359,30.3,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,205864071.775154,25.12147229348,452685572.17023,India,452685572.17023,413655442.419215,FY-5
AKSOA.OL,2736810040.20958,3.5866930978433,0.163766337285069,0.215682528436049,0.266063995343953,7.92,1531099101.73144,271532588.0,2404776410.38138,36936558.7471782,1546119166.56513,0.0,379554039.2348,850493481.174607,1238211283.05105,379554039.2348,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011,95913949.2713612,38.2296476856065,105723330.446841,Norway,105723330.446841,43597249.6688006,FY-5
ENB.TO,35285044128.1705,39.087222708118,1.82652946828956,1.98125850612441,2.33669747081712,9.24,65944317543.2297,1695000000.0,128880496143.754,1971820952.91992,76616840263.9739,735.95041322314,51824759481.5934,40063608173.6503,107322095889.322,51824759481.5934,6.38033,1.50033323517104,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,2453204471.94262,20.364000259456,4733604603.72324,Canada,4733604603.72324,7001661568.34944,FY-5
OPAL.OQ,,,,,,,,,,,,,,,,,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.0291,,United States of America,,,FY-5
ENI.MI,80276148318.7582,16.5545039047036,1.06146193825277,1.09326585544351,1.07954700504844,4.77,60162135235.9016,3601140133.0,137867827881.143,848684152.904746,80192176197.5024,85.3882631890931,29638559998.0806,57616871198.762,87314211681.7217,29638559998.0806,108.9,6.67675898166563,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,8458589726.35423,28.47653,5378013160.684,Italy,5378013160.684,9810155967.19854,FY-5
TTEF.PA,149099000000.0,55.2356617602956,4.80007,5.01869,5.07307,10.06,139544078744.088,2520612860.0,242631000000.0,1074000000.0,128594000000.0,90.2093635311603,51354000000.0,111556000000.0,165391000000.0,51354000000.0,12.344,7.92347647405773,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,11925000000.0,36.237316806664,7836000000.0,France,7836000000.0,13767000000.0,FY-5
NESTE.HE,15855136094.8165,21.332896138482,1.39613502875431,1.37142717006119,1.32716147781197,21.09,16409516018.4018,767370423.0,9334101078.44196,47463028.5246329,4137426374.44369,47.7497255762898,1433524070.00876,5196674703.99827,6630198774.00703,1433524070.00876,1.2225,22.5914445133292,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,419256751.967591,13.44944,1330094870.79745,Finland,1330094870.79745,536784251.171444,FY-5
