Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
MDLZ.OQ,31496000000.0,66.65,3.12626,3.40995,3.68704,14.839,91018473558.2,1365891091.0,71161000000.0,428000000.0,44241000000.0,74.5307324254693,22933000000.0,26883000000.0,49853000000.0,22933000000.0,5.0695,9.85277052509428,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Food Processing (NEC),54,5410,541020,54102020,5410202010,1107000000.0,24.011232706942,4560000000.0,United States of America,4560000000.0,906000000.0,B,FY0
CP.TO,6505277142.22452,74.5073437154033,3.32373543780534,3.96171364148816,4.65339346110485,9.24,69301446169.1637,930500000.0,54243855635.1022,501360635.463806,25543582552.2179,20.10235996588,14503653406.1554,28700273082.8843,43203926489.0398,14503653406.1554,11.06,9.67338238327718,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,Ground Freight & Logistics (NEC),52,5240,524050,52405030,5240503010,655921199.464152,22.4412,2559861281.37885,Canada,2559861281.37885,1197267652.48029,A,FY0
TRP.TO,11053952321.2045,39.8405786404901,3.23054597270137,3.20553472326384,3.53280335983201,12.72,40552571852.4466,1017962000.0,84395896376.1163,1990063381.25818,59216178315.7429,560.842433697348,43029005830.6886,23242305705.2181,68208723891.0621,43029005830.6886,0.866,2.0922072623419,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,1986987549.13877,20.726514733132,4674495863.47313,Canada,4674495863.47313,5172780666.81752,C,FY0
IMO.TO,43850468669.2745,48.6751789799985,6.67682826005261,7.3495603156708,10.1164975573093,32.31,29440810760.462,584153000.0,32123403941.2503,41523733.612033,15581223706.5466,12.6975476839237,3066646985.01734,16542180234.7037,19608827219.721,3066646985.01734,33.998,33.251789435535,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,1458713382.63012,23.640977763007,7141313223.23983,Canada,7141313223.23983,1173429953.55486,B,FY0
ENB.TO,39345339139.4199,39.0582330799321,2.26866007194245,2.27075839328537,2.38561151079137,9.429,79086171318.0899,2025000000.0,132561812679.903,2486810268.54287,85770167540.0399,271.263035921205,59797032991.3647,39168204295.52,106588678131.227,59797032991.3647,3.5,4.87809473565211,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,3293447241.8581,20.364000259456,6434640793.80542,Canada,6434640793.80542,3707146661.91873,B+,FY0
HKLD.SI,2244400000.0,4.6,0.39583,0.41652,0.48,2.29,10244310059.5999,2227000000.0,42596800000.0,216000000.0,9269700000.0,246.077947705969,6990500000.0,33303400000.0,40317600000.0,6990500000.0,,0.597167065367256,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010,17500000.0,17.348027011908,845300000.0,Bermuda,845300000.0,94600000.0,C+,FY0
CNR.TO,12626024060.8163,118.709867886929,5.9048990276739,6.5456095736724,7.13678384442782,23.269,80090365014.3331,671000000.0,37391689423.5737,421389000.35915,21608974832.0909,39.1559202813599,11387556277.216,15782714591.4828,27170270868.6988,11387556277.216,12.715,23.1961566352429,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,Ground Freight & Logistics (NEC),52,5240,524050,52405030,5240503010,1329528433.61491,23.82964,5259672924.19085,Canada,5259672924.19085,2114634582.09427,C+,FY0
SU.TO,43055576057.2736,31.6997564395896,4.99650694133453,5.22786331205407,7.53971213364158,30.44,42777155778.3231,1337471000.0,62453317588.0139,625931836.299905,33398036755.4801,28.5997576291726,11527788028.6368,29055280832.5338,40583068861.1706,11527788028.6368,32.616,23.8928153090904,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,6756065250.28375,23.866128047455,13066903801.2829,Canada,13066903801.2829,3937065112.84461,C+,FY0
HON.OQ,35466000000.0,214.3,9.07492,10.10997,11.21188,32.75,144078654317.6,667600000.0,62275000000.0,414000000.0,44956000000.0,54.3697140555779,19570000000.0,16697000000.0,36896000000.0,19570000000.0,7.85,28.1631032722736,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,54,5440,544010,54401010,5440101010,1204000000.0,21.29911,7052000000.0,United States of America,7052000000.0,766000000.0,A-,FY0
ADM.N,101556000000.0,92.85,6.84877,6.71346,6.94439,18.879,51005682976.95,547000000.0,59774000000.0,396000000.0,35457000000.0,20.7142857142857,9180000000.0,24284000000.0,33796000000.0,9180000000.0,8.05,18.5624772780736,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Food Processing (NEC),54,5410,541020,54102020,5410202010,1029000000.0,13.49515,4212000000.0,United States of America,4212000000.0,1319000000.0,B-,FY0
