Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
SOAC.BR,-371275036.638984,137.396189545677,,,,,2936848085.61309,21375033.0,3258426966.29214,,266243282.852956,,241084513.922814,2329018075.23205,3233268197.36199,241084513.922814,11.0,-13.7505509034817,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,19.32466,-356136821.740877,Belgium,-356136821.740877,,FY-2
SOLB.BR,11863702979.9707,118.319491939424,8.16889672789198,9.58220411142197,9.73081133682034,8.28,12527243749.487,103158294.0,20508060576.4533,130126915.63609,11587689301.4167,,4286761113.82511,6609672691.74402,13207132388.8617,4286761113.82511,-7.91,-18.9374333992997,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,1163151991.51908,19.32466,978234795.615164,Belgium,978234795.615164,610683332.151824,FY-2
SPMI.MI,9036394723.98632,6.80523554356112,-0.192428983672028,0.218424673379683,0.31534265380586,-30.829,2741361293.43816,395794293.31154,13754274548.1192,156380591.597757,10153883732.2912,,4220810942.84319,3569858329.26233,7821201758.67123,4220810942.84319,-4.55,-32.667145938174,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,674605325.797622,28.47653,15980498.4114496,Italy,15980498.4114496,367551463.463341,FY-2
TESB.BR,2121763556.42404,39.8754274548119,3.90003114294612,4.25094027741178,,11.49,1720823234.42843,43022979.0,2401563263.31216,10615616.8018915,1297386419.14998,0.0,551172447.484123,1102833414.7533,1655349291.64631,551172447.484123,,11.4918536557082,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,148961074.478155,20.89424,209116236.35554,Belgium,209116236.35554,114374710.059089,FY-2
BOOM.OQ,229161000.0,43.25,0.60796,2.45123,,,638963433.25,,,,,,,,,11264000.0,,0.624258280551072,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,32.684218229122,,United States of America,,,FY-2
XOM.N,178574000000.0,41.22,1.98492,3.20553,3.72845,-0.81,174287810179.08,4233000000.0,332750000000.0,1158000000.0,168620000000.0,,67779000000.0,157150000000.0,231909000000.0,67779000000.0,13.955,-12.8813073394495,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,20098000000.0,28.006675,-3096000000.0,United States of America,-3096000000.0,17282000000.0,FY-2
XXFPL.PK,2785000.0,0.01,,,,,22342.62,2234260.0,23979000.0,1819000.0,21640000.0,0.0,21377000.0,1394000.0,23716000.0,20191000.0,,13.4036144578313,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,1255000.0,,2114000.0,United States of America,2114000.0,2846000.0,FY-2
NEE.N,17997000000.0,77.15,2.50564,2.701,2.89046,12.38,151142568666.6,1960000000.0,127684000000.0,1950000000.0,82755000000.0,91.2508316699933,48215000000.0,36513000000.0,93144000000.0,48091000000.0,8.7538,8.17758916183792,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,4315000000.0,15.105343665211,4763000000.0,United States of America,4763000000.0,6747000000.0,FY-2
EGAB.PA,434933000.0,161.211529066927,,,,,725451880.801172,4500000.0,3821407000.0,,2042758000.0,,23046000.0,1778649000.0,1801695000.0,23046000.0,,-4.4946516651383,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,378483000.0,17.88961,-236069000.0,Gabon,-236069000.0,60272000.0,FY-2
BTKW.KL,3871448109.80014,4.45273631840796,,,,,1779026066.59203,397888563.0,5377998073.68168,62296214.5251495,2338922947.26704,52.3331136540651,1704620515.29015,1415104743.55887,4743695641.70479,1704620515.29015,,7.23186321410154,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,155654238.341525,24.98788,354696770.074414,Malaysia,354696770.074414,220534406.429701,FY-2
